Date,BID,ASK,RIC
2022-09-02,99.1012,99.1713,48133MAX8=
2022-09-05,99.0411,99.1111,48133MAX8=
2022-09-06,98.9801,99.05,48133MAX8=
2022-09-07,98.9444,99.0141,48133MAX8=
2022-09-08,98.8978,98.9671,48133MAX8=
2022-09-09,98.842,98.9111,48133MAX8=
2022-09-12,98.8078,98.8767,48133MAX8=
2022-09-13,98.5255,98.594,48133MAX8=
2022-09-14,98.4785,98.5469,48133MAX8=
2022-09-15,98.404,98.4719,48133MAX8=
2022-09-16,98.418,98.4858,48133MAX8=
2022-09-19,98.3288,98.3964,48133MAX8=
2022-09-20,98.3405,98.408,48133MAX8=
2022-09-21,98.2459,98.3132,48133MAX8=
2022-09-22,98.2231,98.29,48133MAX8=
2022-09-23,98.1346,98.2013,48133MAX8=
2022-09-26,98.0213,98.0877,48133MAX8=
2022-09-27,98.1076,98.174,48133MAX8=
2022-09-28,98.3517,98.4182,48133MAX8=
2022-09-29,98.3355,98.4016,48133MAX8=
2022-09-30,97.6677,97.733,48133MAX8=
2022-10-03,97.8074,97.8727,48133MAX8=
2022-10-04,97.8341,97.8993,48133MAX8=
2022-10-05,97.6131,97.678,48133MAX8=
2022-10-06,99.4093,99.4753,48133MAX8=
2022-10-07,97.5502,97.6144,48133MAX8=
2022-10-10,97.5533,97.6175,48133MAX8=
2022-10-11,97.4509,97.5149,48133MAX8=
2022-10-12,97.4897,97.5536,48133MAX8=
2022-10-13,97.2452,97.3085,48133MAX8=
2022-10-14,97.2078,97.271,48133MAX8=
2022-10-17,97.2359,97.299,48133MAX8=
2022-10-18,97.2549,97.3178,48133MAX8=
2022-10-19,97.0806,97.1433,48133MAX8=
2022-10-21,97.1531,97.2153,48133MAX8=
2022-10-24,97.1325,97.1946,48133MAX8=
2022-10-25,97.1919,97.2539,48133MAX8=
2022-10-26,97.2584,97.3203,48133MAX8=
2022-10-27,97.3634,97.4252,48133MAX8=
2022-10-28,97.2632,97.3248,48133MAX8=
2022-10-31,97.1236,97.1849,48133MAX8=
2022-11-01,97.1488,97.21,48133MAX8=
2022-11-02,97.0303,97.0913,48133MAX8=
2022-11-03,96.9477,97.0082,48133MAX8=
2022-11-04,97.0065,97.067,48133MAX8=
2022-11-07,96.9623,97.0226,48133MAX8=
2022-11-08,97.0154,97.0756,48133MAX8=
2022-11-09,97.1107,97.1705,48133MAX8=
2022-11-10,97.31,97.3698,48133MAX8=
2022-11-11,97.3379,97.3978,48133MAX8=
2022-11-14,97.2628,97.3225,48133MAX8=
2022-11-15,97.3214,97.381,48133MAX8=
2022-11-16,97.2978,97.3572,48133MAX8=
2022-11-17,97.1975,97.2565,48133MAX8=
2022-11-18,97.1341,97.1929,48133MAX8=
2022-11-21,97.1042,97.1628,48133MAX8=
2022-11-22,97.1215,97.1799,48133MAX8=
2022-11-23,97.2117,97.2698,48133MAX8=
2022-11-24,97.1876,97.2457,48133MAX8=
2022-11-25,97.1894,97.2473,48133MAX8=
2022-11-28,97.2082,97.266,48133MAX8=
2022-11-29,97.2289,97.2866,48133MAX8=
2022-11-30,97.0707,97.1282,48133MAX8=
2022-12-01,97.1924,97.2496,48133MAX8=
2022-12-02,97.1551,97.2121,48133MAX8=
2022-12-05,97.0617,97.1185,48133MAX8=
2022-12-06,97.1174,97.1741,48133MAX8=
2022-12-07,97.2061,97.2628,48133MAX8=
2022-12-08,97.1898,97.2461,48133MAX8=
2022-12-09,97.1703,97.2264,48133MAX8=
2022-12-12,97.1415,97.1975,48133MAX8=
2022-12-13,97.3086,97.3646,48133MAX8=
2022-12-14,97.3134,97.3693,48133MAX8=
2022-12-15,97.2982,97.3537,48133MAX8=
2022-12-16,97.3501,97.4055,48133MAX8=
2022-12-19,97.3031,97.3583,48133MAX8=
2022-12-20,97.3317,97.3868,48133MAX8=
2022-12-21,97.3829,97.4379,48133MAX8=
2022-12-22,97.3347,97.3892,48133MAX8=
2022-12-23,97.3073,97.3616,48133MAX8=
2022-12-27,97.2612,97.3154,48133MAX8=
2022-12-28,97.2624,97.3164,48133MAX8=
2022-12-29,97.0877,97.1412,48133MAX8=
2022-12-30,97.0658,97.1192,48133MAX8=
2023-01-02,97.0576,97.111,48133MAX8=
2023-01-03,97.0798,97.1331,48133MAX8=
2023-01-04,97.1313,97.1845,48133MAX8=
2023-01-05,97.0517,97.1044,48133MAX8=
2023-01-06,97.1482,97.2009,48133MAX8=
2023-01-09,97.1827,97.2353,48133MAX8=
2023-01-10,97.1621,97.2145,48133MAX8=
2023-01-11,97.1616,97.2139,48133MAX8=
2023-01-12,97.2549,97.3068,48133MAX8=
2023-01-13,97.2361,97.2878,48133MAX8=
2023-01-16,97.2202,97.2719,48133MAX8=
2023-01-17,97.2335,97.2851,48133MAX8=
2023-01-18,97.3244,97.3759,48133MAX8=
2023-01-19,97.3077,97.3588,48133MAX8=
2023-01-20,97.2956,97.3466,48133MAX8=
2023-01-23,97.2673,97.3181,48133MAX8=
2023-01-24,97.3112,97.3619,48133MAX8=
2023-01-25,97.3028,97.3534,48133MAX8=
2023-01-26,97.2951,97.3453,48133MAX8=
2023-01-27,97.3047,97.3549,48133MAX8=
2023-01-30,97.2667,97.3168,48133MAX8=
2023-01-31,97.319,97.369,48133MAX8=
2023-02-01,97.3547,97.4046,48133MAX8=
2023-02-02,97.375,97.4245,48133MAX8=
2023-02-03,97.2403,97.2896,48133MAX8=
2023-02-06,97.1348,97.1839,48133MAX8=
2023-02-07,97.1602,97.2091,48133MAX8=
2023-02-08,97.2816,97.3305,48133MAX8=
2023-02-09,97.2801,97.3286,48133MAX8=
2023-02-10,97.2738,97.3222,48133MAX8=
2023-02-13,97.2577,97.3059,48133MAX8=
2023-02-14,97.2044,97.2525,48133MAX8=
2023-02-15,97.2201,97.2681,48133MAX8=
2023-02-16,97.2249,97.2723,48133MAX8=
2023-02-17,97.2276,97.2749,48133MAX8=
2023-02-20,97.2183,97.2656,48133MAX8=
2023-02-21,97.1948,97.242,48133MAX8=
2023-02-22,97.1634,97.2104,48133MAX8=
2023-02-23,97.2069,97.2535,48133MAX8=
2023-02-24,97.1921,97.2386,48133MAX8=
2023-02-27,97.2134,97.2597,48133MAX8=
2023-02-28,97.2215,97.2676,48133MAX8=
2023-03-01,97.2081,97.2541,48133MAX8=
2023-03-02,97.2461,97.2918,48133MAX8=
2023-03-03,97.2615,97.307,48133MAX8=
2023-03-06,97.2398,97.2852,48133MAX8=
2023-03-07,97.0932,97.1384,48133MAX8=
2023-03-08,97.0739,97.1189,48133MAX8=
2023-03-09,97.1883,97.233,48133MAX8=
2023-03-10,97.3251,97.3698,48133MAX8=
2023-03-13,97.8573,97.9022,48133MAX8=
2023-03-14,97.6832,97.7279,48133MAX8=
2023-03-15,97.834,97.8787,48133MAX8=
2023-03-16,97.5868,97.6309,48133MAX8=
2023-03-17,97.7741,97.8182,48133MAX8=
2023-03-20,97.6599,97.7038,48133MAX8=
2023-03-21,97.4732,97.5168,48133MAX8=
2023-03-22,97.5309,97.5745,48133MAX8=
2023-03-23,97.6668,97.7101,48133MAX8=
2023-03-24,97.747,97.7902,48133MAX8=
2023-03-27,97.5693,97.6122,48133MAX8=
2023-03-28,97.5293,97.5721,48133MAX8=
2023-03-29,97.5277,97.5705,48133MAX8=
2023-03-30,97.5244,97.5668,48133MAX8=
2023-03-31,97.5315,97.5738,48133MAX8=
2023-04-03,97.5685,97.6107,48133MAX8=
2023-04-04,97.6648,97.7069,48133MAX8=
2023-04-05,97.699,97.7406,48133MAX8=
2023-04-06,97.6778,97.7193,48133MAX8=
2023-04-07,97.568,97.6094,48133MAX8=
2023-04-10,97.5423,97.5835,48133MAX8=
2023-04-11,97.5376,97.5787,48133MAX8=
2023-04-12,97.6466,97.6877,48133MAX8=
2023-04-13,97.6676,97.7083,48133MAX8=
2023-04-14,97.5892,97.6297,48133MAX8=
2023-04-17,97.5656,97.606,48133MAX8=
2023-04-18,97.5668,97.607,48133MAX8=
2023-04-19,97.5443,97.5844,48133MAX8=
2023-04-20,97.6252,97.665,48133MAX8=
2023-04-21,97.6204,97.66,48133MAX8=
2023-04-24,97.6477,97.6872,48133MAX8=
2023-04-25,97.725,97.7644,48133MAX8=
2023-04-26,97.6873,97.7266,48133MAX8=
2023-04-27,97.6449,97.6838,48133MAX8=
2023-04-28,97.6738,97.7126,48133MAX8=
2023-05-01,97.8066,97.8453,48133MAX8=
2023-05-02,97.8788,97.9174,48133MAX8=
2023-05-03,97.9091,97.9476,48133MAX8=
2023-05-04,97.9525,97.9906,48133MAX8=
2023-05-05,97.8837,97.9217,48133MAX8=
2023-05-08,97.8484,97.8862,48133MAX8=
2023-05-09,97.8117,97.8494,48133MAX8=
2023-05-10,97.8719,97.9095,48133MAX8=
2023-05-11,97.9005,97.9377,48133MAX8=
2023-05-12,97.8962,97.9333,48133MAX8=
2023-05-15,97.8875,97.9244,48133MAX8=
2023-05-16,97.7946,97.8313,48133MAX8=
2023-05-17,97.7442,97.7808,48133MAX8=
2023-05-18,97.7261,97.7623,48133MAX8=
2023-05-19,97.864,97.9001,48133MAX8=
2023-05-22,97.7552,97.7911,48133MAX8=
2023-05-23,97.7036,97.7394,48133MAX8=
2023-05-24,97.6657,97.7013,48133MAX8=
2023-05-25,97.6885,97.7236,48133MAX8=
2023-05-26,97.7111,97.7462,48133MAX8=
2023-05-29,97.7113,97.7464,48133MAX8=
2023-05-30,97.7217,97.7567,48133MAX8=
2023-05-31,97.7066,97.7415,48133MAX8=
2023-06-01,97.7566,97.7911,48133MAX8=
2023-06-02,97.7134,97.7478,48133MAX8=
2023-06-05,97.7426,97.7768,48133MAX8=
2023-06-06,97.7562,97.7903,48133MAX8=
2023-06-07,97.7652,97.7992,48133MAX8=
2023-06-08,97.8361,97.8697,48133MAX8=
2023-06-09,97.8253,97.8588,48133MAX8=
2023-06-12,97.8432,97.8766,48133MAX8=
2023-06-13,97.8367,97.8699,48133MAX8=
2023-06-14,97.8196,97.8527,48133MAX8=
2023-06-15,97.8876,97.9202,48133MAX8=
2023-06-16,97.8919,97.9244,48133MAX8=
2023-06-19,97.8812,97.9137,48133MAX8=
2023-06-20,97.8941,97.9265,48133MAX8=
2023-06-21,97.8626,97.8948,48133MAX8=
2023-06-22,97.8859,97.9177,48133MAX8=
2023-06-23,97.9053,97.937,48133MAX8=
2023-06-26,97.9244,97.956,48133MAX8=
2023-06-27,97.9015,97.9329,48133MAX8=
2023-06-28,97.9002,97.9315,48133MAX8=
2023-06-29,97.9029,97.9338,48133MAX8=
2023-06-30,97.9369,97.9676,48133MAX8=
2023-07-03,97.9333,97.9638,48133MAX8=
2023-07-04,97.9233,97.9538,48133MAX8=
2023-07-05,98.0608,98.0913,48133MAX8=
2023-07-07,98.0896,98.1196,48133MAX8=
2023-07-10,98.1939,98.2238,48133MAX8=
2023-07-11,98.1869,98.2167,48133MAX8=
2023-07-12,98.2119,98.2415,48133MAX8=
2023-07-13,98.2581,98.2874,48133MAX8=
2023-07-14,98.2517,98.2808,48133MAX8=
2023-07-17,98.2392,98.2682,48133MAX8=
2023-07-18,98.2631,98.292,48133MAX8=
2023-07-19,98.2725,98.3012,48133MAX8=
2023-07-20,98.2931,98.3215,48133MAX8=
2023-07-21,98.2993,98.3275,48133MAX8=
