Date,BID,ASK,RIC
2022-09-28,98.6526,98.7031,48133MCP3=
2022-09-29,98.6646,98.7148,48133MCP3=
2022-09-30,98.1662,98.2159,48133MCP3=
2022-10-03,98.2353,98.2849,48133MCP3=
2022-10-04,98.2492,98.2987,48133MCP3=
2022-10-05,98.0699,98.1191,48133MCP3=
2022-10-06,99.2193,99.2688,48133MCP3=
2022-10-07,98.0495,98.0981,48133MCP3=
2022-10-10,98.0552,98.1038,48133MCP3=
2022-10-11,97.9627,98.0111,48133MCP3=
2022-10-12,97.9888,98.037,48133MCP3=
2022-10-13,97.8133,97.861,48133MCP3=
2022-10-14,97.7848,97.8324,48133MCP3=
2022-10-17,97.792,97.8395,48133MCP3=
2022-10-18,97.7981,97.8454,48133MCP3=
2022-10-19,97.6859,97.733,48133MCP3=
2022-10-21,97.728,97.7746,48133MCP3=
2022-10-24,97.718,97.7645,48133MCP3=
2022-10-25,97.7491,97.7955,48133MCP3=
2022-10-26,97.8069,97.8532,48133MCP3=
2022-10-27,97.8688,97.9149,48133MCP3=
2022-10-28,97.8122,97.8581,48133MCP3=
2022-10-31,97.7143,97.76,48133MCP3=
2022-11-01,97.7417,97.7873,48133MCP3=
2022-11-02,97.6735,97.719,48133MCP3=
2022-11-03,97.649,97.6941,48133MCP3=
2022-11-04,97.685,97.7299,48133MCP3=
2022-11-07,97.6705,97.7153,48133MCP3=
2022-11-08,97.6831,97.7278,48133MCP3=
2022-11-09,97.7459,97.7901,48133MCP3=
2022-11-10,97.847,97.8912,48133MCP3=
2022-11-11,97.8703,97.9145,48133MCP3=
2022-11-14,97.839,97.883,48133MCP3=
2022-11-15,97.8625,97.9064,48133MCP3=
2022-11-16,97.8581,97.9019,48133MCP3=
2022-11-17,97.8161,97.8595,48133MCP3=
2022-11-18,97.7651,97.8083,48133MCP3=
2022-11-21,97.7669,97.81,48133MCP3=
2022-11-22,97.7489,97.7917,48133MCP3=
2022-11-23,97.7982,97.8406,48133MCP3=
2022-11-24,97.8007,97.8431,48133MCP3=
2022-11-25,97.8134,97.8557,48133MCP3=
2022-11-28,97.8208,97.863,48133MCP3=
2022-11-29,97.8221,97.8642,48133MCP3=
2022-11-30,97.6938,97.7357,48133MCP3=
2022-12-01,97.7898,97.8313,48133MCP3=
2022-12-02,97.7695,97.8109,48133MCP3=
2022-12-05,97.7152,97.7564,48133MCP3=
2022-12-06,97.7252,97.7663,48133MCP3=
2022-12-07,97.7763,97.8173,48133MCP3=
2022-12-08,97.7933,97.8339,48133MCP3=
2022-12-09,97.7742,97.8147,48133MCP3=
2022-12-12,97.7606,97.8009,48133MCP3=
2022-12-13,97.8528,97.8931,48133MCP3=
2022-12-14,97.8699,97.9101,48133MCP3=
2022-12-15,97.8788,97.9186,48133MCP3=
2022-12-16,97.904,97.9437,48133MCP3=
2022-12-19,97.8987,97.9382,48133MCP3=
2022-12-20,97.8916,97.931,48133MCP3=
2022-12-21,97.9258,97.9651,48133MCP3=
2022-12-22,97.9456,97.9844,48133MCP3=
2022-12-23,97.9392,97.9778,48133MCP3=
2022-12-27,97.934,97.9725,48133MCP3=
2022-12-28,97.8944,97.9328,48133MCP3=
2022-12-29,97.9262,97.9642,48133MCP3=
2022-12-30,97.9127,97.9505,48133MCP3=
2023-01-02,97.9061,97.9439,48133MCP3=
2023-01-03,97.9163,97.954,48133MCP3=
2023-01-04,97.9139,97.9515,48133MCP3=
2023-01-05,97.881,97.9182,48133MCP3=
2023-01-06,97.9168,97.9539,48133MCP3=
2023-01-09,97.921,97.9579,48133MCP3=
2023-01-10,97.8917,97.9285,48133MCP3=
2023-01-11,97.9082,97.9449,48133MCP3=
2023-01-12,97.9939,98.0301,48133MCP3=
2023-01-13,97.994,98.0301,48133MCP3=
2023-01-16,97.9882,98.0243,48133MCP3=
2023-01-17,98.0049,98.0408,48133MCP3=
2023-01-18,97.9973,98.0331,48133MCP3=
2023-01-19,98.0114,98.0468,48133MCP3=
2023-01-20,98.0198,98.0551,48133MCP3=
2023-01-23,98.0134,98.0486,48133MCP3=
2023-01-24,98.0195,98.0545,48133MCP3=
2023-01-25,98.0155,98.0504,48133MCP3=
2023-01-26,98.0395,98.074,48133MCP3=
2023-01-27,98.0441,98.0786,48133MCP3=
2023-01-30,98.09,98.1244,48133MCP3=
2023-01-31,98.0684,98.1027,48133MCP3=
2023-02-01,98.0887,98.1228,48133MCP3=
2023-02-02,98.1318,98.1656,48133MCP3=
2023-02-03,98.0785,98.1121,48133MCP3=
2023-02-06,98.0497,98.0832,48133MCP3=
2023-02-07,98.0268,98.0601,48133MCP3=
2023-02-08,98.1075,98.1407,48133MCP3=
2023-02-09,98.138,98.1709,48133MCP3=
2023-02-10,98.1435,98.1762,48133MCP3=
2023-02-13,98.1364,98.169,48133MCP3=
2023-02-14,98.0868,98.1192,48133MCP3=
2023-02-15,98.1056,98.1379,48133MCP3=
2023-02-16,98.1309,98.1627,48133MCP3=
2023-02-17,98.1325,98.1642,48133MCP3=
2023-02-20,98.1348,98.1665,48133MCP3=
2023-02-21,98.134,98.1655,48133MCP3=
2023-02-22,98.082,98.1134,48133MCP3=
2023-02-23,98.1305,98.1615,48133MCP3=
2023-02-24,98.1289,98.1595,48133MCP3=
2023-02-27,98.1345,98.165,48133MCP3=
2023-02-28,98.0986,98.1289,48133MCP3=
2023-03-01,98.1044,98.1346,48133MCP3=
2023-03-02,98.147,98.1768,48133MCP3=
2023-03-03,98.1602,98.1899,48133MCP3=
2023-03-06,98.155,98.1845,48133MCP3=
2023-03-07,98.0726,98.102,48133MCP3=
2023-03-08,98.0725,98.1017,48133MCP3=
2023-03-09,98.1368,98.1657,48133MCP3=
2023-03-10,98.1625,98.1913,48133MCP3=
2023-03-13,98.4291,98.4579,48133MCP3=
2023-03-14,98.329,98.3576,48133MCP3=
2023-03-15,98.4192,98.4477,48133MCP3=
2023-03-16,98.3174,98.3454,48133MCP3=
2023-03-17,98.4293,98.4573,48133MCP3=
2023-03-20,98.3591,98.3869,48133MCP3=
2023-03-21,98.27,98.2976,48133MCP3=
2023-03-22,98.3005,98.328,48133MCP3=
2023-03-23,98.3974,98.4246,48133MCP3=
2023-03-24,98.4329,98.4599,48133MCP3=
2023-03-27,98.3637,98.3906,48133MCP3=
2023-03-28,98.3279,98.3546,48133MCP3=
2023-03-29,98.3308,98.3575,48133MCP3=
2023-03-30,98.3726,98.399,48133MCP3=
2023-03-31,98.3844,98.4106,48133MCP3=
2023-04-03,98.4061,98.4322,48133MCP3=
2023-04-04,98.444,98.47,48133MCP3=
2023-04-05,98.4662,98.4917,48133MCP3=
2023-04-06,98.4571,98.4824,48133MCP3=
2023-04-07,98.4022,98.4275,48133MCP3=
2023-04-10,98.4002,98.4254,48133MCP3=
2023-04-11,98.3984,98.4235,48133MCP3=
2023-04-12,98.4619,98.4869,48133MCP3=
2023-04-13,98.4923,98.5169,48133MCP3=
2023-04-14,98.4615,98.4859,48133MCP3=
2023-04-17,98.4548,98.4791,48133MCP3=
2023-04-18,98.4371,98.4613,48133MCP3=
2023-04-19,98.4454,98.4694,48133MCP3=
2023-04-20,98.4865,98.5101,48133MCP3=
2023-04-21,98.4946,98.5181,48133MCP3=
2023-04-24,98.5122,98.5356,48133MCP3=
2023-04-25,98.5397,98.5723,48133MCP3=
2023-04-26,98.5336,98.566,48133MCP3=
2023-04-27,98.5319,98.5637,48133MCP3=
2023-04-28,98.5565,98.5882,48133MCP3=
2023-05-01,98.6504,98.682,48133MCP3=
2023-05-02,98.6786,98.71,48133MCP3=
2023-05-03,98.6873,98.7185,48133MCP3=
2023-05-04,98.7042,98.7349,48133MCP3=
2023-05-05,98.6848,98.7153,48133MCP3=
2023-05-08,98.6954,98.7257,48133MCP3=
2023-05-09,98.6749,98.705,48133MCP3=
2023-05-10,98.7006,98.7305,48133MCP3=
2023-05-11,98.7215,98.7509,48133MCP3=
2023-05-12,98.7231,98.7523,48133MCP3=
2023-05-15,98.7221,98.7511,48133MCP3=
2023-05-16,98.7028,98.7316,48133MCP3=
2023-05-17,98.6954,98.724,48133MCP3=
2023-05-18,98.6894,98.7175,48133MCP3=
2023-05-19,98.7066,98.7345,48133MCP3=
2023-05-22,98.7148,98.7425,48133MCP3=
2023-05-23,98.7059,98.7334,48133MCP3=
2023-05-24,98.6968,98.7241,48133MCP3=
2023-05-25,98.7251,98.7517,48133MCP3=
2023-05-26,98.7395,98.7661,48133MCP3=
2023-05-29,98.7419,98.7685,48133MCP3=
2023-05-30,98.7583,98.7847,48133MCP3=
2023-05-31,98.7486,98.7748,48133MCP3=
2023-06-01,98.7814,98.8071,48133MCP3=
2023-06-02,98.7771,98.8026,48133MCP3=
2023-06-05,98.8025,98.8278,48133MCP3=
2023-06-06,98.818,98.8431,48133MCP3=
2023-06-07,98.8267,98.8517,48133MCP3=
2023-06-08,98.869,98.8934,48133MCP3=
2023-06-09,98.8744,98.8986,48133MCP3=
2023-06-12,98.8903,98.9144,48133MCP3=
2023-06-13,98.9045,98.9284,48133MCP3=
2023-06-14,98.9144,98.9381,48133MCP3=
2023-06-15,98.9548,98.9778,48133MCP3=
2023-06-16,98.9592,98.982,48133MCP3=
2023-06-19,98.9591,98.9819,48133MCP3=
2023-06-20,98.9676,98.9902,48133MCP3=
2023-06-21,98.9591,98.9815,48133MCP3=
2023-06-22,98.9807,99.0026,48133MCP3=
2023-06-23,98.9898,99.0115,48133MCP3=
2023-06-26,99.009,99.0305,48133MCP3=
2023-06-27,99.0122,99.0335,48133MCP3=
2023-06-28,99.0197,99.0408,48133MCP3=
2023-06-29,99.0401,99.0607,48133MCP3=
2023-06-30,99.0662,99.0864,48133MCP3=
2023-07-03,99.0722,99.0922,48133MCP3=
2023-07-04,99.0752,99.0952,48133MCP3=
2023-07-05,99.1329,99.1528,48133MCP3=
2023-07-07,99.1575,99.1766,48133MCP3=
2023-07-10,99.2077,99.2267,48133MCP3=
2023-07-11,99.2124,99.2312,48133MCP3=
2023-07-12,99.2251,99.2437,48133MCP3=
2023-07-13,99.2475,99.2655,48133MCP3=
2023-07-14,99.2542,99.272,48133MCP3=
2023-07-17,99.2611,99.2788,48133MCP3=
2023-07-18,99.2695,99.287,48133MCP3=
