Date,BID,ASK,RIC
2022-03-25,99.1612,99.3883,48723RAC9=
2022-03-28,99.1204,99.3474,48723RAC9=
2022-03-29,99.3974,99.6251,48723RAC9=
2022-03-30,99.6709,99.8993,48723RAC9=
2022-03-31,99.6029,99.8307,48723RAC9=
2022-04-01,99.163,99.3895,48723RAC9=
2022-04-04,99.3853,99.6123,48723RAC9=
2022-04-05,98.9831,99.2089,48723RAC9=
2022-04-06,98.6999,98.9249,48723RAC9=
2022-04-07,98.7376,98.9623,48723RAC9=
2022-04-08,98.38,98.6037,48723RAC9=
2022-04-11,98.1533,98.3763,48723RAC9=
2022-04-12,98.4977,98.7215,48723RAC9=
2022-04-13,98.3623,98.5853,48723RAC9=
2022-04-14,98.4967,98.7199,48723RAC9=
2022-04-15,98.597,98.8205,48723RAC9=
2022-04-18,98.4529,98.6759,48723RAC9=
2022-04-19,97.9035,98.1249,48723RAC9=
2022-04-20,97.7543,97.9752,48723RAC9=
2022-04-21,97.2481,97.4673,48723RAC9=
2022-04-22,97.3984,97.6179,48723RAC9=
2022-04-25,97.4961,97.7158,48723RAC9=
2022-04-26,98.0473,98.2683,48723RAC9=
2022-04-27,97.6302,97.85,48723RAC9=
2022-04-28,97.7784,97.9982,48723RAC9=
2022-04-29,97.285,97.5034,48723RAC9=
2022-05-02,97.1731,97.3911,48723RAC9=
2022-05-03,97.0831,97.3008,48723RAC9=
2022-05-04,97.4897,97.7083,48723RAC9=
2022-05-05,97.2192,97.4368,48723RAC9=
2022-05-06,96.5629,96.7787,48723RAC9=
2022-05-09,97.0485,97.2654,48723RAC9=
2022-05-10,97.2624,97.4798,48723RAC9=
2022-05-11,97.616,97.8342,48723RAC9=
2022-05-12,97.7241,97.9422,48723RAC9=
2022-05-13,97.6164,97.8341,48723RAC9=
2022-05-16,97.5742,97.7917,48723RAC9=
2022-05-17,97.151,97.3673,48723RAC9=
2022-05-18,97.2172,97.4335,48723RAC9=
2022-05-19,97.459,97.6756,48723RAC9=
2022-05-20,97.4906,97.7072,48723RAC9=
2022-05-23,97.3752,97.5914,48723RAC9=
2022-05-24,97.6272,97.8439,48723RAC9=
2022-05-25,97.9231,98.1404,48723RAC9=
2022-05-26,98.0564,98.2737,48723RAC9=
2022-05-27,98.0921,98.3094,48723RAC9=
2022-05-30,97.7178,97.9342,48723RAC9=
2022-05-31,97.6733,97.8894,48723RAC9=
2022-06-01,97.257,97.4719,48723RAC9=
2022-06-02,97.2913,97.506,48723RAC9=
2022-06-03,97.4042,97.6191,48723RAC9=
2022-06-06,96.8412,97.0545,48723RAC9=
2022-06-07,97.0262,97.2399,48723RAC9=
