Date,BID,ASK,RIC
2019-09-06,98.2362,98.6695,49326EEJ8=
2019-09-09,97.7689,98.1999,49326EEJ8=
2019-09-10,96.9483,97.3751,49326EEJ8=
2019-09-11,96.6687,97.094,49326EEJ8=
2019-09-12,96.6551,97.08,49326EEJ8=
2019-09-13,95.3934,95.8119,49326EEJ8=
2019-09-16,95.88,96.3008,49326EEJ8=
2019-09-17,96.2095,96.6319,49326EEJ8=
2019-09-18,96.3458,96.7687,49326EEJ8=
2019-09-19,96.468,96.8912,49326EEJ8=
2019-09-20,97.146,97.5725,49326EEJ8=
2019-09-23,97.0781,97.5042,49326EEJ8=
2019-09-24,97.5812,98.0097,49326EEJ8=
2019-09-25,96.9266,97.3517,49326EEJ8=
2019-09-26,97.1845,97.6106,49326EEJ8=
2019-09-27,97.2608,97.6872,49326EEJ8=
2019-09-30,97.8415,98.2707,49326EEJ8=
2019-10-01,97.9528,98.3824,49326EEJ8=
2019-10-02,98.0802,98.5103,49326EEJ8=
2019-10-03,98.7019,99.1348,49326EEJ8=
2019-10-04,98.5031,98.9349,49326EEJ8=
2019-10-07,98.3914,98.8226,49326EEJ8=
2019-10-08,98.6841,99.1166,49326EEJ8=
2019-10-09,97.9886,98.4176,49326EEJ8=
2019-10-10,97.7193,98.1465,49326EEJ8=
2019-10-11,96.9056,97.3287,49326EEJ8=
2019-10-14,97.1098,97.5339,49326EEJ8=
2019-10-15,96.9063,97.3293,49326EEJ8=
2019-10-16,97.0664,97.4901,49326EEJ8=
2019-10-17,97.1034,97.5269,49326EEJ8=
2019-10-18,97.1868,97.6106,49326EEJ8=
2019-10-21,96.9936,97.4164,49326EEJ8=
2019-10-22,97.4001,97.8248,49326EEJ8=
2019-10-23,97.24,97.6638,49326EEJ8=
2019-10-24,97.133,97.5559,49326EEJ8=
2019-10-25,97.5641,97.9891,49326EEJ8=
2019-10-28,96.8135,97.2347,49326EEJ8=
2019-10-29,97.0412,97.4635,49326EEJ8=
2019-10-30,97.0159,97.438,49326EEJ8=
2019-10-31,97.7542,98.1796,49326EEJ8=
2019-11-01,97.4914,97.9154,49326EEJ8=
2019-11-04,97.3564,97.7796,49326EEJ8=
2019-11-05,96.8272,97.2477,49326EEJ8=
2019-11-06,96.5595,96.9786,49326EEJ8=
2019-11-07,96.5056,96.924,49326EEJ8=
2019-11-08,96.274,96.6912,49326EEJ8=
2019-11-11,96.4183,96.8362,49326EEJ8=
2019-11-12,95.9688,96.3844,49326EEJ8=
2019-11-13,96.6448,97.0636,49326EEJ8=
2019-11-14,96.7752,97.1943,49326EEJ8=
2019-11-15,97.0747,97.4952,49326EEJ8=
2019-11-18,96.8319,97.2511,49326EEJ8=
2019-11-19,97.4073,97.8292,49326EEJ8=
2019-11-20,96.8958,97.3151,49326EEJ8=
2019-11-21,97.2075,97.628,49326EEJ8=
2019-11-22,97.4501,97.8717,49326EEJ8=
2019-11-25,97.5254,97.9473,49326EEJ8=
2019-11-26,97.7032,98.1257,49326EEJ8=
2019-11-27,97.9048,98.328,49326EEJ8=
2019-11-28,97.8031,98.2258,49326EEJ8=
2019-11-29,97.8441,98.2669,49326EEJ8=
2019-12-02,97.2195,97.6391,49326EEJ8=
2019-12-03,97.5735,97.9948,49326EEJ8=
2019-12-04,97.4,97.8203,49326EEJ8=
2019-12-05,97.4784,97.8988,49326EEJ8=
2019-12-06,96.9836,97.4014,49326EEJ8=
2019-12-09,97.3759,97.7956,49326EEJ8=
2019-12-10,97.1498,97.5682,49326EEJ8=
2019-12-11,97.9383,98.3605,49326EEJ8=
2019-12-12,97.2548,97.6733,49326EEJ8=
2019-12-13,98.0267,98.4489,49326EEJ8=
2019-12-16,97.5223,97.9419,49326EEJ8=
2019-12-17,97.9011,98.3225,49326EEJ8=
2019-12-18,97.2848,97.7031,49326EEJ8=
2019-12-19,97.3945,97.813,49326EEJ8=
2019-12-20,97.4784,97.8972,49326EEJ8=
2019-12-23,97.2731,97.6907,49326EEJ8=
2019-12-24,97.4981,97.9167,49326EEJ8=
2019-12-25,97.453,97.8714,49326EEJ8=
2019-12-26,97.5773,97.9959,49326EEJ8=
2019-12-27,97.6964,98.1157,49326EEJ8=
2019-12-30,98.0262,98.4468,49326EEJ8=
2019-12-31,97.782,98.2013,49326EEJ8=
2020-01-01,97.8549,98.2746,49326EEJ8=
2020-01-02,98.0107,98.4308,49326EEJ8=
2020-01-03,98.4394,98.8615,49326EEJ8=
2020-01-06,98.4812,98.9034,49326EEJ8=
2020-01-07,98.1899,98.6106,49326EEJ8=
2020-01-08,97.3806,97.7972,49326EEJ8=
2020-01-09,98.0409,98.4604,49326EEJ8=
2020-01-10,98.2393,98.6597,49326EEJ8=
2020-01-13,98.0137,98.4329,49326EEJ8=
2020-01-14,98.0476,98.4668,49326EEJ8=
2020-01-15,98.365,98.7857,49326EEJ8=
2020-01-16,97.9485,98.3667,49326EEJ8=
2020-01-17,97.936,98.3541,49326EEJ8=
2020-01-20,97.938,98.3561,49326EEJ8=
2020-01-21,98.2453,98.6647,49326EEJ8=
2020-01-22,98.5365,98.9572,49326EEJ8=
2020-01-23,98.9778,99.4004,49326EEJ8=
2020-01-24,99.0439,99.4667,49326EEJ8=
2020-01-27,99.5756,100.0008,49326EEJ8=
2020-01-28,99.4519,99.8764,49326EEJ8=
2020-01-29,99.8932,100.3199,49326EEJ8=
2020-01-30,99.7064,100.1318,49326EEJ8=
2020-01-31,100.3967,100.8254,49326EEJ8=
2020-02-03,100.3684,100.7968,49326EEJ8=
2020-02-04,99.4925,99.9166,49326EEJ8=
2020-02-05,99.6974,100.1224,49326EEJ8=
2020-02-06,99.7396,100.1644,49326EEJ8=
2020-02-07,100.2053,100.6323,49326EEJ8=
2020-02-10,100.6854,101.1146,49326EEJ8=
2020-02-11,100.1727,100.5993,49326EEJ8=
2020-02-12,100.139,100.5653,49326EEJ8=
2020-02-13,100.1783,100.6044,49326EEJ8=
2020-02-14,100.5234,100.951,49326EEJ8=
2020-02-17,100.521,100.9486,49326EEJ8=
2020-02-18,100.5085,100.9359,49326EEJ8=
2020-02-19,100.833,101.2619,49326EEJ8=
2020-02-20,101.0348,101.4643,49326EEJ8=
2020-02-21,100.8954,101.3241,49326EEJ8=
2020-02-24,101.1027,101.5323,49326EEJ8=
2020-02-25,101.0586,101.4879,49326EEJ8=
2020-02-26,101.1226,101.5521,49326EEJ8=
2020-02-27,101.6548,102.0864,49326EEJ8=
2020-02-28,101.8678,102.3003,49326EEJ8=
2020-03-02,102.1807,102.6146,49326EEJ8=
2020-03-03,103.2418,103.6807,49326EEJ8=
2020-03-04,102.8512,103.2881,49326EEJ8=
2020-03-05,103.6002,104.0404,49326EEJ8=
2020-03-06,103.9089,104.3504,49326EEJ8=
2020-03-09,102.1171,102.5499,49326EEJ8=
2020-03-10,100.1201,100.5433,49326EEJ8=
2020-03-11,99.4696,99.8895,49326EEJ8=
