Date,BID,ASK,RIC
2015-09-11,100.2363,100.6599,500630CG1=
2015-09-14,100.27,100.4392,500630CG1=
2015-09-15,99.3536,99.521,500630CG1=
2015-09-16,99.3205,99.4877,500630CG1=
2015-09-17,100.1933,100.3622,500630CG1=
2015-09-18,100.6837,100.8535,500630CG1=
2015-09-21,100.1341,100.3028,500630CG1=
2015-09-22,100.7002,100.8699,500630CG1=
2015-09-23,100.5387,100.708,500630CG1=
2015-09-24,100.7332,100.9028,500630CG1=
2015-09-25,100.4116,100.5806,500630CG1=
2015-09-28,100.9957,101.1658,500630CG1=
2015-09-29,101.3102,101.4809,500630CG1=
2015-09-30,101.5223,101.6932,500630CG1=
2015-10-01,101.4621,101.6329,500630CG1=
2015-10-02,101.8978,102.0694,500630CG1=
2015-10-05,101.342,101.5125,500630CG1=
2015-10-06,101.5206,101.6914,500630CG1=
2015-10-07,101.2636,101.4337,500630CG1=
2015-10-08,100.9495,101.119,500630CG1=
2015-10-09,101.0339,101.2035,500630CG1=
2015-10-13,101.4581,101.6285,500630CG1=
2015-10-14,102.0286,102.2,500630CG1=
2015-10-15,101.6694,101.84,500630CG1=
2015-10-16,101.5157,101.686,500630CG1=
2015-10-19,102.1126,102.284,500630CG1=
2015-10-20,101.7362,101.9068,500630CG1=
2015-10-21,102.0847,102.2559,500630CG1=
2015-10-22,102.0842,102.2554,500630CG1=
2015-10-23,101.5808,101.7509,500630CG1=
2015-10-26,101.8271,101.9977,500630CG1=
2015-10-27,102.0057,102.1766,500630CG1=
2015-10-28,101.4434,101.6131,500630CG1=
2015-10-29,100.8601,101.0286,500630CG1=
2015-10-30,101.079,101.2479,500630CG1=
2015-11-02,100.826,100.9944,500630CG1=
2015-11-03,100.4733,100.641,500630CG1=
2015-11-04,100.4143,100.5817,500630CG1=
2015-11-05,100.3222,100.4894,500630CG1=
2015-11-06,99.5655,99.7312,500630CG1=
2015-11-09,99.3838,99.5491,500630CG1=
2015-11-10,99.4914,99.6568,500630CG1=
2015-11-12,99.6652,99.8309,500630CG1=
2015-11-13,99.9968,100.1631,500630CG1=
2015-11-16,100.03,100.1963,500630CG1=
2015-11-17,101.3101,101.4788,500630CG1=
2015-11-18,101.2502,101.4187,500630CG1=
2015-11-19,101.4942,101.6631,500630CG1=
2015-11-20,101.3421,101.5107,500630CG1=
2015-11-23,101.5184,101.6873,500630CG1=
2015-11-24,101.5509,101.7197,500630CG1=
2015-11-25,101.5758,101.7446,500630CG1=
2015-11-27,101.6936,101.8626,500630CG1=
2015-11-30,101.8114,101.9806,500630CG1=
2015-12-01,102.3448,102.515,500630CG1=
2015-12-02,102.0632,102.2327,500630CG1=
2015-12-03,100.8605,101.0276,500630CG1=
2015-12-04,101.2619,101.4298,500630CG1=
2015-12-07,101.5723,101.7407,500630CG1=
2015-12-08,101.6898,101.8584,500630CG1=
2015-12-09,101.7812,101.9499,500630CG1=
2015-12-10,101.5872,101.7555,500630CG1=
2015-12-11,102.4481,102.618,500630CG1=
2015-12-14,101.6621,101.8304,500630CG1=
2015-12-15,101.2926,101.4602,500630CG1=
2015-12-16,101.0244,101.1913,500630CG1=
2015-12-17,101.6601,101.8282,500630CG1=
2015-12-18,101.8361,102.0045,500630CG1=
2015-12-21,101.9114,102.0799,500630CG1=
2015-12-22,101.5404,101.708,500630CG1=
2015-12-23,101.3727,101.54,500630CG1=
2015-12-24,101.4894,101.6569,500630CG1=
2015-12-28,101.5889,101.7566,500630CG1=
2015-12-29,100.9465,101.1128,500630CG1=
2015-12-30,101.0875,101.254,500630CG1=
2015-12-31,101.2871,101.4539,500630CG1=
2016-01-04,101.9223,102.0903,500630CG1=
2016-01-05,101.9554,102.1234,500630CG1=
2016-01-06,102.5346,102.7036,500630CG1=
2016-01-07,102.7114,102.8807,500630CG1=
2016-01-08,103.0072,103.177,500630CG1=
2016-01-11,102.4063,102.5749,500630CG1=
2016-01-12,102.9972,103.1669,500630CG1=
2016-01-13,103.113,103.2828,500630CG1=
2016-01-14,103.1292,103.299,500630CG1=
2016-01-15,103.5789,103.7495,500630CG1=
2016-01-19,103.3994,103.5696,500630CG1=
2016-01-20,103.985,104.1562,500630CG1=
2016-01-21,103.6427,103.8132,500630CG1=
2016-01-22,103.3953,103.5653,500630CG1=
2016-01-25,103.837,104.0078,500630CG1=
2016-01-26,103.8531,104.0239,500630CG1=
2016-01-27,103.8512,104.0219,500630CG1=
2016-01-28,104.0295,104.2005,500630CG1=
2016-01-29,104.5336,104.7055,500630CG1=
2016-02-01,104.3011,104.4725,500630CG1=
2016-02-02,105.1428,105.3158,500630CG1=
2016-02-03,104.8718,105.0441,500630CG1=
2016-02-04,105.1895,105.3624,500630CG1=
2016-02-05,105.2142,105.3871,500630CG1=
2016-02-08,106.0367,106.2111,500630CG1=
2016-02-09,106.1834,106.358,500630CG1=
2016-02-10,106.6841,106.8595,500630CG1=
2016-02-11,106.7788,106.9543,500630CG1=
2016-02-12,106.0437,106.2178,500630CG1=
2016-02-16,105.7557,105.9292,500630CG1=
2016-02-17,105.4315,105.6043,500630CG1=
2016-02-18,106.0622,106.2361,500630CG1=
2016-02-19,106.0607,106.2346,500630CG1=
2016-02-22,105.9551,106.1287,500630CG1=
2016-02-23,106.2924,106.4666,500630CG1=
2016-02-24,105.9831,106.1565,500630CG1=
2016-02-25,106.302,106.476,500630CG1=
2016-02-26,105.8669,106.0401,500630CG1=
2016-02-29,106.0906,106.2641,500630CG1=
2016-03-01,105.321,105.493,500630CG1=
2016-03-02,105.2484,105.4202,500630CG1=
2016-03-03,105.2557,105.4274,500630CG1=
2016-03-04,104.8949,105.0659,500630CG1=
2016-03-07,104.6549,104.8254,500630CG1=
2016-03-08,105.2947,105.4664,500630CG1=
2016-03-09,104.8548,105.0255,500630CG1=
2016-03-10,104.3944,104.5642,500630CG1=
2016-03-11,104.004,104.1731,500630CG1=
2016-03-14,104.1635,104.3328,500630CG1=
2016-03-15,104.0863,104.2554,500630CG1=
2016-03-16,104.5655,104.7354,500630CG1=
2016-03-17,104.6831,104.8532,500630CG1=
2016-03-18,104.8604,105.0308,500630CG1=
2016-03-21,104.5279,104.6976,500630CG1=
2016-03-22,104.2946,104.4637,500630CG1=
2016-03-23,104.8441,105.0142,500630CG1=
2016-03-24,104.6646,104.8343,500630CG1=
2016-03-28,104.8079,104.9779,500630CG1=
2016-03-29,105.4806,105.6518,500630CG1=
2016-03-30,105.2713,105.442,500630CG1=
2016-03-31,105.7656,105.9372,500630CG1=
2016-04-01,105.7298,105.9012,500630CG1=
2016-04-04,105.8139,105.9855,500630CG1=
2016-04-05,106.1901,106.3623,500630CG1=
2016-04-06,105.8677,106.0392,500630CG1=
2016-04-07,106.4503,106.6228,500630CG1=
2016-04-08,106.1991,106.3711,500630CG1=
2016-04-11,106.1631,106.335,500630CG1=
2016-04-12,105.6534,105.8243,500630CG1=
