Date,BID,ASK,RIC
2016-09-07,99.6758,99.8558,500630CL0=
2016-09-08,99.0846,99.2633,500630CL0=
2016-09-09,98.4356,98.613,500630CL0=
2016-09-12,98.5246,98.7021,500630CL0=
2016-09-13,97.9417,98.118,500630CL0=
2016-09-14,98.2252,98.402,500630CL0=
2016-09-15,98.2345,98.4112,500630CL0=
2016-09-16,98.2702,98.447,500630CL0=
2016-09-19,98.1559,98.3324,500630CL0=
2016-09-20,98.2798,98.4565,500630CL0=
2016-09-21,98.6345,98.8118,500630CL0=
2016-09-22,98.9274,99.1052,500630CL0=
2016-09-23,98.9277,99.1055,500630CL0=
2016-09-26,99.248,99.4264,500630CL0=
2016-09-27,99.4622,99.6409,500630CL0=
2016-09-28,98.0289,98.2046,500630CL0=
2016-09-29,98.1523,98.3282,500630CL0=
2016-09-30,97.802,97.9772,500630CL0=
2016-10-03,97.5492,97.7238,500630CL0=
2016-10-04,97.0021,97.1756,500630CL0=
2016-10-05,96.8665,97.0396,500630CL0=
2016-10-06,96.5825,96.755,500630CL0=
2016-10-07,96.7213,96.894,500630CL0=
2016-10-10,96.325,96.4969,500630CL0=
2016-10-11,96.352,96.5239,500630CL0=
2016-10-12,96.2947,96.4664,500630CL0=
2016-10-13,96.5273,96.6994,500630CL0=
2016-10-14,96.0226,96.1936,500630CL0=
2016-10-17,96.3402,96.5118,500630CL0=
2016-10-18,96.5728,96.7448,500630CL0=
2016-10-19,96.5238,96.6956,500630CL0=
2016-10-20,96.4475,96.6191,500630CL0=
2016-10-21,96.6199,96.7918,500630CL0=
2016-10-24,96.3465,96.5178,500630CL0=
2016-10-25,96.4329,96.6044,500630CL0=
2016-10-26,96.1471,96.3179,500630CL0=
2016-10-27,95.6518,95.8216,500630CL0=
2016-10-28,95.6613,95.8311,500630CL0=
2016-10-31,95.9511,96.1214,500630CL0=
2016-11-01,95.9181,96.0883,500630CL0=
2016-11-02,96.1422,96.3127,500630CL0=
2016-11-03,96.0836,96.2539,500630CL0=
2016-11-04,96.3572,96.528,500630CL0=
2016-11-07,95.9326,96.1025,500630CL0=
2016-11-08,95.6826,95.8519,500630CL0=
2016-11-09,93.9267,94.0925,500630CL0=
2016-11-10,93.3507,93.5153,500630CL0=
2016-11-11,93.0784,93.2425,500630CL0=
2016-11-14,91.1943,91.3546,500630CL0=
2016-11-15,91.3888,91.5494,500630CL0=
2016-11-16,91.5234,91.6842,500630CL0=
2016-11-17,90.8618,91.0212,500630CL0=
2016-11-18,90.4589,90.6175,500630CL0=
2016-11-21,90.7332,90.8923,500630CL0=
