Date,BID,ASK,RIC
2019-02-14,99.666,99.803,500630CW6=
2019-02-15,99.559,99.696,500630CW6=
2019-02-18,99.544,99.681,500630CW6=
2019-02-19,99.73,99.867,500630CW6=
2019-02-20,99.676,99.813,500630CW6=
2019-02-21,99.485,99.621,500630CW6=
2019-02-22,99.676,99.813,500630CW6=
2019-02-25,99.631,99.767,500630CW6=
2019-02-26,99.799,99.935,500630CW6=
2019-02-27,99.618,99.754,500630CW6=
2019-02-28,99.482,99.618,500630CW6=
2019-03-01,99.271,99.406,500630CW6=
2019-03-04,99.415,99.55,500630CW6=
2019-03-05,99.415,99.551,500630CW6=
2019-03-06,99.537,99.673,500630CW6=
2019-03-07,99.8,99.935,500630CW6=
2019-03-08,99.863,99.999,500630CW6=
2019-03-11,99.8,99.935,500630CW6=
2019-03-12,99.976,100.112,500630CW6=
2019-03-13,99.845,99.98,500630CW6=
2019-03-14,99.854,99.989,500630CW6=
2019-03-15,100.012,100.147,500630CW6=
2019-03-18,99.931,100.066,500630CW6=
2019-03-19,99.868,100.003,500630CW6=
2019-03-20,100.332,100.468,500630CW6=
2019-03-21,100.255,100.39,500630CW6=
2019-03-22,100.72,100.856,500630CW6=
2019-03-25,100.969,101.105,500630CW6=
2019-03-26,100.864,101.0,500630CW6=
2019-03-27,101.036,101.172,500630CW6=
2019-03-28,100.854,100.99,500630CW6=
2019-03-29,100.74,100.876,500630CW6=
2019-04-01,100.334,100.469,500630CW6=
2019-04-02,100.523,100.658,500630CW6=
2019-04-03,100.311,100.446,500630CW6=
2019-04-04,100.364,100.499,500630CW6=
2019-04-05,100.414,100.548,500630CW6=
2019-04-08,100.328,100.463,500630CW6=
2019-04-09,100.413,100.548,500630CW6=
2019-04-10,100.579,100.713,500630CW6=
2019-04-11,100.372,100.506,500630CW6=
2019-04-12,100.091,100.224,500630CW6=
2019-04-15,100.113,100.246,500630CW6=
2019-04-16,99.971,100.104,500630CW6=
2019-04-17,99.984,100.117,500630CW6=
2019-04-18,100.135,100.268,500630CW6=
2019-04-19,100.141,100.274,500630CW6=
