Date,BID,ASK,RIC
2019-09-26,100.094,100.236,500630CY2=
2019-09-27,100.189,100.331,500630CY2=
2019-09-30,100.279,100.421,500630CY2=
2019-10-01,100.549,100.691,500630CY2=
2019-10-02,100.819,100.962,500630CY2=
2019-10-03,101.203,101.346,500630CY2=
2019-10-04,101.212,101.355,500630CY2=
2019-10-07,100.983,101.126,500630CY2=
2019-10-08,101.173,101.315,500630CY2=
2019-10-09,100.925,101.067,500630CY2=
2019-10-10,100.54,100.682,500630CY2=
2019-10-11,100.229,100.37,500630CY2=
2019-10-14,100.246,100.387,500630CY2=
2019-10-15,100.028,100.168,500630CY2=
2019-10-16,100.178,100.318,500630CY2=
2019-10-17,100.144,100.285,500630CY2=
2019-10-18,100.172,100.313,500630CY2=
2019-10-21,99.967,100.107,500630CY2=
2019-10-22,100.065,100.205,500630CY2=
2019-10-23,100.06,100.2,500630CY2=
2019-10-24,100.078,100.218,500630CY2=
2019-10-25,99.902,100.041,500630CY2=
2019-10-28,99.712,99.851,500630CY2=
2019-10-29,99.749,99.888,500630CY2=
2019-10-30,99.985,100.125,500630CY2=
2019-10-31,100.404,100.544,500630CY2=
2019-11-01,100.273,100.413,500630CY2=
2019-11-04,100.032,100.171,500630CY2=
2019-11-05,99.74,99.879,500630CY2=
2019-11-06,99.87,100.008,500630CY2=
2019-11-07,99.369,99.506,500630CY2=
2019-11-08,99.323,99.461,500630CY2=
2019-11-11,99.36,99.497,500630CY2=
2019-11-12,99.406,99.544,500630CY2=
2019-11-13,99.58,99.718,500630CY2=
2019-11-14,99.884,100.022,500630CY2=
2019-11-15,99.783,99.921,500630CY2=
2019-11-18,99.852,99.99,500630CY2=
2019-11-19,99.912,100.049,500630CY2=
2019-11-20,100.059,100.197,500630CY2=
2019-11-21,99.926,100.063,500630CY2=
2019-11-22,99.903,100.04,500630CY2=
2019-11-25,99.985,100.123,500630CY2=
2019-11-26,100.04,100.178,500630CY2=
2019-11-27,99.898,100.035,500630CY2=
2019-11-28,99.866,100.003,500630CY2=
2019-11-29,99.912,100.049,500630CY2=
2019-12-02,99.812,99.949,500630CY2=
2019-12-03,100.14,100.277,500630CY2=
2019-12-04,99.871,100.008,500630CY2=
2019-12-05,99.744,99.88,500630CY2=
2019-12-06,99.577,99.713,500630CY2=
2019-12-09,99.622,99.758,500630CY2=
2019-12-10,99.496,99.631,500630CY2=
2019-12-11,99.713,99.849,500630CY2=
2019-12-12,99.294,99.429,500630CY2=
2019-12-13,99.628,99.763,500630CY2=
2019-12-16,99.412,99.547,500630CY2=
2019-12-17,99.43,99.565,500630CY2=
2019-12-18,99.264,99.399,500630CY2=
2019-12-19,99.407,99.542,500630CY2=
2019-12-20,99.397,99.532,500630CY2=
2019-12-23,99.344,99.479,500630CY2=
2019-12-24,99.501,99.636,500630CY2=
2019-12-25,99.461,99.595,500630CY2=
2019-12-26,99.483,99.618,500630CY2=
2019-12-27,99.667,99.801,500630CY2=
2019-12-30,99.68,99.815,500630CY2=
2019-12-31,99.606,99.74,500630CY2=
2020-01-01,99.648,99.782,500630CY2=
2020-01-02,99.823,99.958,500630CY2=
2020-01-03,100.137,100.271,500630CY2=
2020-01-06,100.066,100.201,500630CY2=
2020-01-07,100.032,100.167,500630CY2=
2020-01-08,99.897,100.032,500630CY2=
2020-01-09,100.048,100.183,500630CY2=
2020-01-10,100.034,100.169,500630CY2=
2020-01-13,100.0,100.134,500630CY2=
2020-01-14,100.134,100.268,500630CY2=
2020-01-15,100.177,100.311,500630CY2=
2020-01-16,100.245,100.379,500630CY2=
2020-01-17,100.341,100.475,500630CY2=
2020-01-20,100.357,100.491,500630CY2=
2020-01-21,100.238,100.372,500630CY2=
2020-01-22,100.38,100.514,500630CY2=
2020-01-23,100.511,100.645,500630CY2=
2020-01-24,100.528,100.662,500630CY2=
2020-01-27,100.958,101.092,500630CY2=
2020-01-28,100.777,100.911,500630CY2=
2020-01-29,101.117,101.252,500630CY2=
2020-01-30,101.067,101.201,500630CY2=
2020-01-31,101.434,101.569,500630CY2=
2020-02-03,101.271,101.405,500630CY2=
2020-02-04,101.27,101.404,500630CY2=
2020-02-05,100.816,100.949,500630CY2=
2020-02-06,100.818,100.951,500630CY2=
2020-02-07,101.076,101.21,500630CY2=
2020-02-10,101.179,101.313,500630CY2=
2020-02-11,101.31,101.444,500630CY2=
2020-02-12,101.175,101.309,500630CY2=
2020-02-13,101.214,101.347,500630CY2=
2020-02-14,101.319,101.452,500630CY2=
2020-02-17,101.31,101.443,500630CY2=
2020-02-18,101.277,101.41,500630CY2=
2020-02-19,101.202,101.335,500630CY2=
2020-02-20,101.461,101.594,500630CY2=
2020-02-21,101.639,101.772,500630CY2=
2020-02-24,101.891,102.025,500630CY2=
2020-02-25,101.997,102.131,500630CY2=
2020-02-26,102.111,102.245,500630CY2=
2020-02-27,102.193,102.327,500630CY2=
2020-02-28,102.51,102.644,500630CY2=
2020-03-02,102.544,102.678,500630CY2=
2020-03-03,103.443,103.579,500630CY2=
2020-03-04,103.371,103.506,500630CY2=
2020-03-05,103.816,103.951,500630CY2=
2020-03-06,104.132,104.268,500630CY2=
2020-03-09,104.495,104.631,500630CY2=
2020-03-10,102.687,102.82,500630CY2=
2020-03-11,102.972,103.106,500630CY2=
2020-03-12,101.061,101.192,500630CY2=
2020-03-13,101.901,102.033,500630CY2=
2020-03-16,102.858,102.992,500630CY2=
2020-03-17,100.746,100.963,500630CY2=
2020-03-18,100.509,100.725,500630CY2=
2020-03-19,100.891,101.108,500630CY2=
2020-03-20,101.838,102.057,500630CY2=
2020-03-23,102.135,102.355,500630CY2=
2020-03-24,101.065,101.282,500630CY2=
2020-03-25,101.118,101.335,500630CY2=
2020-03-26,101.136,101.353,500630CY2=
2020-03-27,101.464,101.682,500630CY2=
2020-03-30,101.195,101.411,500630CY2=
2020-03-31,100.902,101.118,500630CY2=
2020-04-01,101.043,101.259,500630CY2=
2020-04-02,101.003,101.219,500630CY2=
2020-04-03,101.074,101.289,500630CY2=
2020-04-06,100.834,101.049,500630CY2=
2020-04-07,100.833,101.048,500630CY2=
2020-04-08,100.924,101.138,500630CY2=
2020-04-09,101.503,101.719,500630CY2=
2020-04-10,101.515,101.731,500630CY2=
2020-04-13,101.335,101.551,500630CY2=
2020-04-14,102.045,102.261,500630CY2=
2020-04-15,100.771,100.985,500630CY2=
2020-04-16,102.042,102.258,500630CY2=
2020-04-17,101.81,102.026,500630CY2=
2020-04-20,101.829,102.045,500630CY2=
2020-04-21,101.907,102.122,500630CY2=
2020-04-22,101.73,101.945,500630CY2=
2020-04-23,101.78,101.995,500630CY2=
2020-04-24,101.768,101.983,500630CY2=
2020-04-27,101.899,102.114,500630CY2=
2020-04-28,101.953,102.168,500630CY2=
2020-04-29,102.073,102.288,500630CY2=
2020-04-30,102.034,102.249,500630CY2=
2020-05-01,102.163,102.378,500630CY2=
2020-05-04,102.365,102.58,500630CY2=
2020-05-05,102.221,102.436,500630CY2=
2020-05-06,101.979,102.193,500630CY2=
2020-05-07,102.332,102.546,500630CY2=
2020-05-08,102.038,102.251,500630CY2=
2020-05-11,102.155,102.369,500630CY2=
2020-05-12,102.125,102.338,500630CY2=
2020-05-13,102.269,102.483,500630CY2=
2020-05-14,102.347,102.561,500630CY2=
2020-05-15,102.824,103.039,500630CY2=
2020-05-18,102.713,102.927,500630CY2=
2020-05-19,102.892,103.106,500630CY2=
2020-05-20,103.031,103.246,500630CY2=
2020-05-21,103.495,103.71,500630CY2=
2020-05-22,103.49,103.705,500630CY2=
2020-05-25,103.505,103.72,500630CY2=
2020-05-26,103.393,103.607,500630CY2=
2020-05-27,103.53,103.745,500630CY2=
2020-05-28,104.017,104.233,500630CY2=
2020-05-29,104.073,104.288,500630CY2=
2020-06-01,104.003,104.218,500630CY2=
2020-06-02,104.088,104.303,500630CY2=
2020-06-03,104.171,104.386,500630CY2=
2020-06-04,103.975,104.19,500630CY2=
2020-06-05,103.896,104.111,500630CY2=
2020-06-08,103.928,104.143,500630CY2=
2020-06-09,104.208,104.423,500630CY2=
2020-06-10,104.62,104.836,500630CY2=
2020-06-11,104.55,104.765,500630CY2=
2020-06-12,104.636,104.851,500630CY2=
2020-06-15,104.525,104.74,500630CY2=
2020-06-16,104.582,104.797,500630CY2=
2020-06-17,104.566,104.781,500630CY2=
2020-06-18,104.453,104.667,500630CY2=
2020-06-19,104.614,104.829,500630CY2=
2020-06-22,104.475,104.689,500630CY2=
2020-06-23,104.552,104.766,500630CY2=
2020-06-24,104.597,104.811,500630CY2=
2020-06-25,104.567,104.781,500630CY2=
2020-06-26,104.674,104.888,500630CY2=
2020-06-29,104.733,104.946,500630CY2=
2020-06-30,104.684,104.897,500630CY2=
2020-07-01,104.578,104.79,500630CY2=
2020-07-02,104.751,104.963,500630CY2=
2020-07-03,104.751,104.963,500630CY2=
2020-07-06,104.696,104.908,500630CY2=
2020-07-07,104.699,104.911,500630CY2=
2020-07-08,104.64,104.852,500630CY2=
2020-07-09,104.653,104.865,500630CY2=
2020-07-10,104.629,104.84,500630CY2=
2020-07-13,104.686,104.897,500630CY2=
2020-07-14,104.621,104.832,500630CY2=
2020-07-15,104.805,105.016,500630CY2=
2020-07-16,104.749,104.96,500630CY2=
2020-07-17,104.864,105.075,500630CY2=
2020-07-20,104.729,104.94,500630CY2=
2020-07-21,104.817,105.028,500630CY2=
2020-07-22,104.822,105.033,500630CY2=
2020-07-23,104.869,105.079,500630CY2=
2020-07-24,104.86,105.07,500630CY2=
2020-07-27,104.687,104.896,500630CY2=
2020-07-28,104.769,104.979,500630CY2=
2020-07-29,104.907,105.117,500630CY2=
2020-07-30,105.026,105.236,500630CY2=
