Date,BID,ASK,RIC
2021-04-23,99.5597,99.7015,500630DJ4=
2021-04-26,99.5149,99.6564,500630DJ4=
2021-04-27,99.4645,99.6058,500630DJ4=
2021-04-28,99.561,99.7024,500630DJ4=
2021-04-29,99.5538,99.6947,500630DJ4=
2021-04-30,99.5993,99.7402,500630DJ4=
2021-05-03,99.6278,99.7686,500630DJ4=
2021-05-04,99.5523,99.6928,500630DJ4=
2021-05-05,99.5555,99.6959,500630DJ4=
2021-05-06,99.5205,99.6604,500630DJ4=
2021-05-07,99.574,99.7139,500630DJ4=
2021-05-10,99.5326,99.6723,500630DJ4=
2021-05-11,99.5442,99.6837,500630DJ4=
2021-05-12,99.5948,99.7343,500630DJ4=
2021-05-13,99.6488,99.788,500630DJ4=
2021-05-14,99.5575,99.6964,500630DJ4=
2021-05-17,99.5358,99.6745,500630DJ4=
2021-05-18,99.5113,99.6498,500630DJ4=
2021-05-19,99.3902,99.5284,500630DJ4=
2021-05-20,99.5684,99.7065,500630DJ4=
2021-05-21,99.5661,99.704,500630DJ4=
2021-05-24,99.5555,99.6933,500630DJ4=
2021-05-25,99.7156,99.8535,500630DJ4=
2021-05-26,99.6801,99.8178,500630DJ4=
2021-05-27,99.6536,99.7909,500630DJ4=
2021-05-28,99.6896,99.8268,500630DJ4=
2021-05-31,99.6763,99.8135,500630DJ4=
2021-06-01,99.6625,99.7995,500630DJ4=
2021-06-02,99.6629,99.7998,500630DJ4=
2021-06-03,99.6039,99.7403,500630DJ4=
2021-06-04,99.6915,99.8279,500630DJ4=
2021-06-07,99.6754,99.8116,500630DJ4=
2021-06-08,99.6893,99.8254,500630DJ4=
2021-06-09,99.6869,99.8228,500630DJ4=
2021-06-10,99.7448,99.8804,500630DJ4=
2021-06-11,99.7017,99.8371,500630DJ4=
2021-06-14,99.7453,99.8807,500630DJ4=
2021-06-15,99.6294,99.7644,500630DJ4=
2021-06-16,99.4978,99.6325,500630DJ4=
2021-06-17,99.5584,99.6928,500630DJ4=
2021-06-18,99.5186,99.6528,500630DJ4=
2021-06-21,99.4575,99.5914,500630DJ4=
2021-06-22,99.5437,99.6776,500630DJ4=
2021-06-23,99.3519,99.4854,500630DJ4=
2021-06-24,99.3193,99.4523,500630DJ4=
2021-06-25,99.3173,99.4502,500630DJ4=
2021-06-28,99.3525,99.4853,500630DJ4=
2021-06-29,99.3611,99.4938,500630DJ4=
2021-06-30,99.5926,99.7255,500630DJ4=
2021-07-01,99.5863,99.7187,500630DJ4=
2021-07-02,99.6555,99.7878,500630DJ4=
2021-07-05,99.6627,99.795,500630DJ4=
2021-07-06,99.7536,99.886,500630DJ4=
2021-07-07,99.7618,99.894,500630DJ4=
2021-07-08,99.702,99.8337,500630DJ4=
2021-07-09,99.6182,99.7497,500630DJ4=
2021-07-12,99.5635,99.6947,500630DJ4=
2021-07-13,99.4043,99.5351,500630DJ4=
2021-07-14,99.4938,99.6246,500630DJ4=
2021-07-15,99.4901,99.6205,500630DJ4=
2021-07-16,99.4959,99.6262,500630DJ4=
2021-07-19,99.6135,99.7438,500630DJ4=
2021-07-20,99.6764,99.8067,500630DJ4=
2021-07-21,99.5806,99.7106,500630DJ4=
2021-07-22,99.6233,99.753,500630DJ4=
2021-07-23,99.6496,99.7792,500630DJ4=
2021-07-26,99.6422,99.7716,500630DJ4=
2021-07-27,99.6788,99.8082,500630DJ4=
2021-07-28,99.6714,99.8006,500630DJ4=
2021-07-29,99.6592,99.7881,500630DJ4=
2021-07-30,99.7342,99.8631,500630DJ4=
2021-08-02,99.7886,99.9174,500630DJ4=
2021-08-03,99.7837,99.9124,500630DJ4=
2021-08-04,99.7094,99.8378,500630DJ4=
2021-08-05,99.6157,99.7436,500630DJ4=
2021-08-06,99.5319,99.6595,500630DJ4=
2021-08-09,99.4993,99.6267,500630DJ4=
2021-08-10,99.6093,99.7368,500630DJ4=
2021-08-11,99.6225,99.7498,500630DJ4=
2021-08-12,99.5958,99.7227,500630DJ4=
2021-08-13,99.6697,99.7966,500630DJ4=
2021-08-16,99.6827,99.8095,500630DJ4=
2021-08-17,99.5743,99.7008,500630DJ4=
2021-08-18,99.6,99.7264,500630DJ4=
2021-08-19,99.5812,99.7071,500630DJ4=
2021-08-20,99.632,99.7579,500630DJ4=
2021-08-23,99.6324,99.7581,500630DJ4=
2021-08-24,99.6001,99.7256,500630DJ4=
2021-08-25,99.6106,99.736,500630DJ4=
2021-08-26,99.5994,99.7244,500630DJ4=
2021-08-27,99.6994,99.8245,500630DJ4=
2021-08-30,99.7597,99.8848,500630DJ4=
2021-08-31,99.7574,99.8823,500630DJ4=
2021-09-01,99.7328,99.8576,500630DJ4=
2021-09-02,99.7166,99.8408,500630DJ4=
2021-09-03,99.8087,99.9329,500630DJ4=
2021-09-06,99.8083,99.9325,500630DJ4=
2021-09-07,99.7296,99.8535,500630DJ4=
2021-09-08,99.6952,99.819,500630DJ4=
2021-09-09,99.7086,99.832,500630DJ4=
2021-09-10,99.6892,99.8124,500630DJ4=
2021-09-13,99.7018,99.8249,500630DJ4=
2021-09-14,99.7218,99.8448,500630DJ4=
2021-09-15,99.7099,99.8327,500630DJ4=
2021-09-16,99.6595,99.7818,500630DJ4=
2021-09-17,99.7796,99.902,500630DJ4=
2021-09-20,99.8116,99.9339,500630DJ4=
2021-09-21,99.8118,99.9339,500630DJ4=
2021-09-22,99.588,99.7097,500630DJ4=
2021-09-23,99.4731,99.5942,500630DJ4=
2021-09-24,99.4616,99.5825,500630DJ4=
2021-09-27,99.4284,99.5492,500630DJ4=
2021-09-28,99.4291,99.5497,500630DJ4=
2021-09-29,99.4996,99.6202,500630DJ4=
2021-09-30,99.5325,99.6527,500630DJ4=
2021-10-01,99.6027,99.7229,500630DJ4=
2021-10-04,99.5647,99.6847,500630DJ4=
2021-10-05,99.5269,99.6467,500630DJ4=
2021-10-06,99.482,99.6016,500630DJ4=
2021-10-07,99.4202,99.5392,500630DJ4=
2021-10-08,99.3805,99.4993,500630DJ4=
2021-10-11,99.2777,99.3963,500630DJ4=
2021-10-12,99.5117,99.6305,500630DJ4=
2021-10-13,99.3961,99.5146,500630DJ4=
2021-10-14,99.4289,99.5471,500630DJ4=
2021-10-15,99.3046,99.4224,500630DJ4=
2021-10-18,99.2184,99.336,500630DJ4=
2021-10-19,99.2451,99.3626,500630DJ4=
2021-10-20,99.2507,99.3681,500630DJ4=
2021-10-21,99.0805,99.1972,500630DJ4=
2021-10-22,99.1235,99.2401,500630DJ4=
2021-10-25,99.1851,99.3017,500630DJ4=
2021-10-26,99.1558,99.2722,500630DJ4=
2021-10-27,99.1312,99.2474,500630DJ4=
2021-10-28,99.1518,99.2678,500630DJ4=
2021-10-29,99.1713,99.2872,500630DJ4=
2021-11-01,99.1538,99.2695,500630DJ4=
2021-11-02,99.2703,99.386,500630DJ4=
2021-11-03,99.1719,99.2874,500630DJ4=
2021-11-04,99.3313,99.4466,500630DJ4=
2021-11-05,99.4058,99.5211,500630DJ4=
2021-11-08,99.1653,99.2801,500630DJ4=
2021-11-09,99.1512,99.2657,500630DJ4=
2021-11-10,98.8788,98.9925,500630DJ4=
2021-11-11,98.7936,98.9072,500630DJ4=
2021-11-12,98.8801,98.9937,500630DJ4=
2021-11-15,98.8384,98.9518,500630DJ4=
2021-11-16,98.8285,98.9417,500630DJ4=
2021-11-17,98.8954,99.0086,500630DJ4=
2021-11-18,98.9039,99.0167,500630DJ4=
2021-11-19,98.858,98.9706,500630DJ4=
2021-11-22,98.6663,98.7785,500630DJ4=
2021-11-23,98.6739,98.7858,500630DJ4=
2021-11-24,98.6364,98.7479,500630DJ4=
2021-11-25,98.6312,98.7426,500630DJ4=
2021-11-26,98.8943,99.006,500630DJ4=
2021-11-29,98.938,99.0496,500630DJ4=
2021-11-30,98.8258,98.9371,500630DJ4=
2021-12-01,98.8872,98.9985,500630DJ4=
2021-12-02,98.7297,98.8403,500630DJ4=
2021-12-03,98.8019,98.9125,500630DJ4=
2021-12-06,98.7019,98.8122,500630DJ4=
2021-12-07,98.5714,98.6814,500630DJ4=
2021-12-08,98.4766,98.5863,500630DJ4=
2021-12-09,98.4713,98.5806,500630DJ4=
2021-12-10,98.543,98.6523,500630DJ4=
2021-12-13,98.619,98.7283,500630DJ4=
2021-12-14,98.5575,98.6665,500630DJ4=
2021-12-15,98.5593,98.6682,500630DJ4=
2021-12-16,98.7252,98.8339,500630DJ4=
2021-12-17,98.6812,98.7897,500630DJ4=
2021-12-20,98.7002,98.8086,500630DJ4=
2021-12-21,98.6326,98.7408,500630DJ4=
2021-12-22,98.6351,98.7428,500630DJ4=
2021-12-23,98.5852,98.6927,500630DJ4=
2021-12-24,98.5848,98.6922,500630DJ4=
2021-12-27,98.5698,98.6771,500630DJ4=
2021-12-28,98.5759,98.6831,500630DJ4=
2021-12-29,98.5642,98.6709,500630DJ4=
2021-12-30,98.63,98.7367,500630DJ4=
2021-12-31,98.6193,98.726,500630DJ4=
2022-01-03,98.4891,98.5955,500630DJ4=
2022-01-04,98.5144,98.6207,500630DJ4=
2022-01-05,98.3658,98.4717,500630DJ4=
2022-01-06,98.2582,98.3636,500630DJ4=
2022-01-07,98.2141,98.3193,500630DJ4=
2022-01-10,98.1429,98.2479,500630DJ4=
2022-01-11,98.162,98.2669,500630DJ4=
2022-01-12,98.0451,98.1497,500630DJ4=
2022-01-13,98.1383,98.2424,500630DJ4=
2022-01-14,97.9849,98.0887,500630DJ4=
2022-01-17,97.8847,97.9884,500630DJ4=
2022-01-18,97.8033,97.9067,500630DJ4=
2022-01-19,97.8164,97.9197,500630DJ4=
2022-01-20,97.9031,98.0061,500630DJ4=
2022-01-21,97.9592,98.0622,500630DJ4=
2022-01-24,98.0174,98.1203,500630DJ4=
2022-01-25,97.9974,98.1001,500630DJ4=
2022-01-26,97.7277,97.83,500630DJ4=
2022-01-27,97.707,97.809,500630DJ4=
2022-01-28,97.7854,97.8873,500630DJ4=
2022-01-31,97.7821,97.8839,500630DJ4=
2022-02-01,97.7891,97.8908,500630DJ4=
2022-02-02,97.8305,97.9321,500630DJ4=
2022-02-03,97.7077,97.8087,500630DJ4=
2022-02-07,97.5125,97.613,500630DJ4=
2022-02-08,97.4196,97.5199,500630DJ4=
2022-02-09,97.319,97.419,500630DJ4=
2022-02-10,96.9086,97.0077,500630DJ4=
2022-02-11,97.1623,97.2616,500630DJ4=
2022-02-14,97.0453,97.1443,500630DJ4=
2022-02-15,97.0334,97.1322,500630DJ4=
2022-02-16,97.1222,97.221,500630DJ4=
2022-02-17,97.2534,97.3518,500630DJ4=
2022-02-18,97.3042,97.4026,500630DJ4=
2022-02-21,97.3467,97.4451,500630DJ4=
2022-02-22,97.147,97.245,500630DJ4=
2022-02-23,97.098,97.1958,500630DJ4=
2022-02-24,97.1681,97.2656,500630DJ4=
2022-02-25,97.1718,97.2689,500630DJ4=
2022-02-28,97.4455,97.5428,500630DJ4=
2022-03-01,97.7136,97.8111,500630DJ4=
2022-03-02,97.3458,97.4427,500630DJ4=
2022-03-03,97.3566,97.4531,500630DJ4=
2022-03-04,97.1043,97.2004,500630DJ4=
2022-03-07,96.9779,97.0737,500630DJ4=
2022-03-08,96.8617,96.9572,500630DJ4=
2022-03-09,96.784,96.8793,500630DJ4=
2022-03-10,96.6493,96.744,500630DJ4=
2022-03-11,96.5707,96.6652,500630DJ4=
2022-03-14,96.5207,96.615,500630DJ4=
2022-03-15,96.4954,96.5896,500630DJ4=
2022-03-16,96.3556,96.4494,500630DJ4=
2022-03-17,96.5053,96.5989,500630DJ4=
2022-03-18,96.4615,96.5549,500630DJ4=
2022-03-21,96.0479,96.1407,500630DJ4=
2022-03-22,95.9811,96.0737,500630DJ4=
2022-03-23,95.7799,95.8721,500630DJ4=
2022-03-24,95.803,95.8949,500630DJ4=
2022-03-25,95.5178,95.6092,500630DJ4=
2022-03-28,95.7213,95.8128,500630DJ4=
2022-03-29,95.2346,95.3255,500630DJ4=
2022-03-30,95.352,95.4429,500630DJ4=
2022-03-31,95.3841,95.4747,500630DJ4=
2022-04-01,95.4538,95.5443,500630DJ4=
2022-04-04,95.6447,95.7353,500630DJ4=
2022-04-05,95.0635,95.1533,500630DJ4=
2022-04-06,95.5018,95.592,500630DJ4=
2022-04-07,95.5674,95.6573,500630DJ4=
2022-04-08,95.4877,95.5773,500630DJ4=
2022-04-11,95.13,95.2191,500630DJ4=
2022-04-12,95.7169,95.8065,500630DJ4=
2022-04-13,95.7591,95.8483,500630DJ4=
2022-04-14,95.5679,95.6567,500630DJ4=
2022-04-15,95.5826,95.6714,500630DJ4=
2022-04-18,95.592,95.6807,500630DJ4=
2022-04-19,95.4709,95.5593,500630DJ4=
2022-04-20,95.1481,95.236,500630DJ4=
2022-04-21,94.9959,95.0832,500630DJ4=
2022-04-22,94.9961,95.0833,500630DJ4=
2022-04-25,95.23,95.3174,500630DJ4=
2022-04-26,95.5987,95.6864,500630DJ4=
