Date,BID,ASK,RIC
2021-04-23,99.242,99.501,500630DL9=
2021-04-26,99.155,99.413,500630DL9=
2021-04-27,98.908,99.165,500630DL9=
2021-04-28,99.057,99.315,500630DL9=
2021-04-29,98.982,99.239,500630DL9=
2021-04-30,99.075,99.332,500630DL9=
2021-05-03,99.147,99.405,500630DL9=
2021-05-04,99.178,99.436,500630DL9=
2021-05-05,99.313,99.57,500630DL9=
2021-05-06,99.262,99.519,500630DL9=
2021-05-07,99.412,99.669,500630DL9=
2021-05-10,99.345,99.602,500630DL9=
2021-05-11,99.263,99.52,500630DL9=
2021-05-12,98.952,99.207,500630DL9=
2021-05-13,99.132,99.388,500630DL9=
2021-05-14,99.189,99.444,500630DL9=
2021-05-17,99.097,99.353,500630DL9=
2021-05-18,99.184,99.44,500630DL9=
2021-05-19,98.986,99.241,500630DL9=
2021-05-20,99.206,99.461,500630DL9=
2021-05-21,99.166,99.421,500630DL9=
2021-05-24,99.268,99.523,500630DL9=
2021-05-25,99.416,99.672,500630DL9=
2021-05-26,99.376,99.631,500630DL9=
2021-05-27,99.214,99.468,500630DL9=
2021-05-28,99.28,99.534,500630DL9=
2021-05-31,99.264,99.518,500630DL9=
2021-06-01,99.271,99.525,500630DL9=
2021-06-02,99.322,99.576,500630DL9=
2021-06-03,99.085,99.338,500630DL9=
2021-06-04,99.389,99.643,500630DL9=
2021-06-07,99.324,99.577,500630DL9=
2021-06-08,99.42,99.674,500630DL9=
2021-06-09,99.542,99.796,500630DL9=
2021-06-10,99.715,99.969,500630DL9=
2021-06-11,99.573,99.827,500630DL9=
2021-06-14,99.356,99.609,500630DL9=
2021-06-15,99.397,99.65,500630DL9=
2021-06-16,98.804,99.055,500630DL9=
2021-06-17,98.876,99.127,500630DL9=
2021-06-18,98.912,99.162,500630DL9=
2021-06-21,98.852,99.103,500630DL9=
2021-06-22,99.018,99.269,500630DL9=
2021-06-23,99.244,99.495,500630DL9=
2021-06-24,99.07,99.32,500630DL9=
2021-06-25,99.02,99.271,500630DL9=
2021-06-28,99.151,99.401,500630DL9=
2021-06-29,99.191,99.442,500630DL9=
2021-06-30,99.192,99.442,500630DL9=
2021-07-01,99.183,99.433,500630DL9=
2021-07-02,99.353,99.603,500630DL9=
2021-07-05,99.37,99.62,500630DL9=
2021-07-06,99.669,99.919,500630DL9=
2021-07-07,99.724,99.975,500630DL9=
2021-07-08,99.94,100.191,500630DL9=
2021-07-09,99.714,99.965,500630DL9=
2021-07-12,99.6697,99.9196,500630DL9=
2021-07-13,99.4207,99.6698,500630DL9=
2021-07-14,99.675,99.9247,500630DL9=
2021-07-15,99.7502,99.9997,500630DL9=
2021-07-16,99.7454,99.9948,500630DL9=
2021-07-19,100.1096,100.3598,500630DL9=
2021-07-20,100.2246,100.475,500630DL9=
2021-07-21,99.9549,100.2045,500630DL9=
2021-07-22,100.0496,100.299,500630DL9=
2021-07-23,100.0894,100.3388,500630DL9=
2021-07-26,99.96,100.2089,500630DL9=
2021-07-27,100.0993,100.3485,500630DL9=
2021-07-28,100.0296,100.2784,500630DL9=
2021-07-29,99.9403,100.1886,500630DL9=
2021-07-30,100.1289,100.3776,500630DL9=
2021-08-02,100.3226,100.5717,500630DL9=
2021-08-03,100.3623,100.6114,500630DL9=
2021-08-04,100.2279,100.4765,500630DL9=
2021-08-05,99.9702,100.2177,500630DL9=
2021-08-06,99.7334,99.9801,500630DL9=
2021-08-09,99.6154,99.8616,500630DL9=
2021-08-10,99.4634,99.7091,500630DL9=
2021-08-11,99.5716,99.8175,500630DL9=
2021-08-12,99.4694,99.7146,500630DL9=
2021-08-13,99.6755,99.9211,500630DL9=
