Date,BID,ASK,RIC
2021-11-08,98.738,98.894,500630DM7=
2021-11-09,98.718,98.874,500630DM7=
2021-11-10,98.347,98.501,500630DM7=
2021-11-11,98.231,98.385,500630DM7=
2021-11-12,98.348,98.502,500630DM7=
2021-11-15,98.291,98.445,500630DM7=
2021-11-16,98.277,98.431,500630DM7=
2021-11-17,98.368,98.522,500630DM7=
2021-11-18,98.378,98.532,500630DM7=
2021-11-19,98.315,98.468,500630DM7=
2021-11-22,98.053,98.206,500630DM7=
2021-11-23,98.062,98.215,500630DM7=
2021-11-24,98.01,98.162,500630DM7=
2021-11-25,98.003,98.155,500630DM7=
2021-11-26,98.361,98.514,500630DM7=
2021-11-29,98.421,98.573,500630DM7=
2021-11-30,98.267,98.419,500630DM7=
2021-12-01,98.35,98.503,500630DM7=
2021-12-02,98.134,98.285,500630DM7=
2021-12-03,98.232,98.383,500630DM7=
2021-12-06,98.094,98.246,500630DM7=
2021-12-07,97.915,98.066,500630DM7=
2021-12-08,97.785,97.935,500630DM7=
2021-12-09,97.776,97.926,500630DM7=
2021-12-10,97.873,98.023,500630DM7=
2021-12-13,97.977,98.127,500630DM7=
2021-12-14,97.892,98.042,500630DM7=
2021-12-15,97.894,98.043,500630DM7=
2021-12-16,98.12,98.27,500630DM7=
2021-12-17,98.298,98.448,500630DM7=
2021-12-20,98.324,98.473,500630DM7=
2021-12-21,98.23,98.379,500630DM7=
2021-12-22,98.23,98.379,500630DM7=
2021-12-23,98.16,98.309,500630DM7=
2021-12-24,98.16,98.308,500630DM7=
2021-12-27,98.495,98.644,500630DM7=
2021-12-28,98.502,98.651,500630DM7=
2021-12-29,98.482,98.631,500630DM7=
2021-12-30,98.573,98.721,500630DM7=
2021-12-31,98.558,98.706,500630DM7=
2022-01-03,98.375,98.523,500630DM7=
2022-01-04,98.409,98.557,500630DM7=
2022-01-05,98.201,98.349,500630DM7=
2022-01-06,98.048,98.194,500630DM7=
2022-01-07,97.985,98.131,500630DM7=
2022-01-10,97.914,98.06,500630DM7=
2022-01-11,97.939,98.085,500630DM7=
2022-01-12,97.774,97.92,500630DM7=
2022-01-13,97.899,98.044,500630DM7=
2022-01-14,97.683,97.828,500630DM7=
2022-01-17,97.543,97.688,500630DM7=
2022-01-18,97.414,97.558,500630DM7=
2022-01-19,97.445,97.589,500630DM7=
2022-01-20,97.561,97.705,500630DM7=
2022-01-21,97.638,97.782,500630DM7=
2022-01-24,97.718,97.862,500630DM7=
2022-01-25,97.688,97.832,500630DM7=
2022-01-26,97.309,97.452,500630DM7=
2022-01-27,97.277,97.42,500630DM7=
2022-01-28,97.385,97.528,500630DM7=
2022-01-31,97.379,97.521,500630DM7=
2022-02-01,97.387,97.529,500630DM7=
2022-02-02,97.443,97.586,500630DM7=
2022-02-03,97.266,97.408,500630DM7=
2022-02-07,96.96,97.101,500630DM7=
2022-02-08,96.828,96.968,500630DM7=
2022-02-09,96.685,96.825,500630DM7=
2022-02-10,96.103,96.242,500630DM7=
2022-02-11,96.457,96.596,500630DM7=
2022-02-14,96.235,96.374,500630DM7=
2022-02-15,96.208,96.346,500630DM7=
2022-02-16,96.339,96.478,500630DM7=
2022-02-17,96.515,96.654,500630DM7=
2022-02-18,96.585,96.724,500630DM7=
2022-02-21,96.645,96.784,500630DM7=
2022-02-22,96.362,96.5,500630DM7=
2022-02-23,96.291,96.428,500630DM7=
2022-02-24,96.383,96.521,500630DM7=
2022-02-25,96.382,96.52,500630DM7=
2022-02-28,96.767,96.905,500630DM7=
2022-03-01,97.145,97.283,500630DM7=
2022-03-02,96.622,96.76,500630DM7=
2022-03-03,96.632,96.769,500630DM7=
2022-03-04,96.218,96.354,500630DM7=
2022-03-07,96.051,96.186,500630DM7=
2022-03-08,95.889,96.025,500630DM7=
2022-03-09,95.616,95.75,500630DM7=
2022-03-10,95.534,95.668,500630DM7=
2022-03-11,95.437,95.571,500630DM7=
2022-03-14,95.089,95.222,500630DM7=
2022-03-15,95.107,95.24,500630DM7=
2022-03-16,94.836,94.968,500630DM7=
2022-03-17,94.943,95.075,500630DM7=
2022-03-18,95.059,95.191,500630DM7=
2022-03-21,94.757,94.889,500630DM7=
2022-03-22,94.594,94.726,500630DM7=
2022-03-23,94.801,94.933,500630DM7=
2022-03-24,94.604,94.735,500630DM7=
2022-03-25,94.396,94.526,500630DM7=
2022-03-28,94.164,94.294,500630DM7=
