Date,BID,ASK,RIC
2021-10-22,99.2991,99.568,500630DP0=
2021-10-25,99.3619,99.6309,500630DP0=
2021-10-26,99.5502,99.8197,500630DP0=
2021-10-27,100.0901,100.3612,500630DP0=
2021-10-28,99.8378,100.108,500630DP0=
2021-10-29,99.9908,100.2614,500630DP0=
2021-11-01,99.9908,100.2613,500630DP0=
2021-11-02,100.1169,100.3877,500630DP0=
2021-11-03,99.6136,99.8828,500630DP0=
2021-11-04,100.2699,100.5409,500630DP0=
2021-11-05,100.9487,101.2217,500630DP0=
2021-11-08,100.622,100.894,500630DP0=
2021-11-09,101.0933,101.3665,500630DP0=
2021-11-10,99.9098,100.1793,500630DP0=
2021-11-11,99.6808,99.9496,500630DP0=
2021-11-12,99.9098,100.1792,500630DP0=
2021-11-15,99.3201,99.5877,500630DP0=
2021-11-16,99.1068,99.3736,500630DP0=
2021-11-17,99.5967,99.865,500630DP0=
2021-11-18,99.5791,99.8471,500630DP0=
2021-11-19,99.9277,100.1967,500630DP0=
2021-11-22,99.179,99.4457,500630DP0=
2021-11-23,98.7899,99.0553,500630DP0=
2021-11-24,99.0825,99.3485,500630DP0=
2021-11-25,99.146,99.4122,500630DP0=
2021-11-26,100.25,100.5195,500630DP0=
2021-11-29,100.0708,100.3397,500630DP0=
2021-11-30,100.4832,100.7532,500630DP0=
2021-12-01,100.9515,101.2229,500630DP0=
2021-12-02,100.5905,100.8606,500630DP0=
2021-12-03,101.113,101.3846,500630DP0=
2021-12-06,100.4196,100.689,500630DP0=
2021-12-07,99.9812,100.2492,500630DP0=
2021-12-08,99.5719,99.8387,500630DP0=
2021-12-09,99.8476,100.115,500630DP0=
2021-12-10,99.9812,100.2489,500630DP0=
2021-12-13,100.589,100.8585,500630DP0=
2021-12-14,100.3471,100.6158,500630DP0=
2021-12-15,100.1951,100.4632,500630DP0=
2021-12-16,100.4987,100.7675,500630DP0=
2021-12-17,100.6507,100.9199,500630DP0=
2021-12-20,100.4626,100.7312,500630DP0=
2021-12-21,100.1146,100.3821,500630DP0=
2021-12-22,100.239,100.5066,500630DP0=
2021-12-23,99.8746,100.141,500630DP0=
2021-12-24,99.8864,100.1529,500630DP0=
2021-12-27,100.4706,100.7387,500630DP0=
2021-12-28,100.4081,100.676,500630DP0=
2021-12-29,99.7597,100.0255,500630DP0=
2021-12-30,100.203,100.47,500630DP0=
2021-12-31,100.1408,100.4076,500630DP0=
2022-01-03,99.3188,99.5831,500630DP0=
2022-01-04,99.2135,99.4774,500630DP0=
2022-01-05,98.9506,99.2137,500630DP0=
2022-01-06,98.5237,98.7853,500630DP0=
2022-01-07,98.1939,98.4545,500630DP0=
2022-01-10,98.2898,98.5506,500630DP0=
2022-01-11,98.3684,98.6294,500630DP0=
2022-01-12,98.3167,98.5774,500630DP0=
2022-01-13,98.7616,99.0234,500630DP0=
2022-01-14,97.9814,98.2408,500630DP0=
2022-01-17,97.7494,98.0081,500630DP0=
2022-01-18,97.2599,97.5171,500630DP0=
2022-01-19,97.4405,97.6982,500630DP0=
2022-01-20,97.8117,98.0703,500630DP0=
2022-01-21,98.2262,98.4859,500630DP0=
2022-01-24,98.1144,98.3737,500630DP0=
2022-01-25,96.6601,96.9151,500630DP0=
2022-01-26,95.8418,96.0943,500630DP0=
2022-01-27,96.4339,96.688,500630DP0=
2022-01-28,96.6465,96.9012,500630DP0=
2022-01-31,96.5965,96.851,500630DP0=
2022-02-01,96.4958,96.7499,500630DP0=
2022-02-02,96.6999,96.9545,500630DP0=
2022-02-03,96.1621,96.415,500630DP0=
2022-02-07,95.4771,95.7278,500630DP0=
2022-02-08,95.1451,95.3948,500630DP0=
2022-02-09,95.2378,95.4877,500630DP0=
2022-02-10,94.4473,94.6947,500630DP0=
2022-02-11,95.4839,95.7342,500630DP0=
2022-02-14,94.9205,95.1691,500630DP0=
2022-02-15,94.4515,94.6987,500630DP0=
2022-02-16,94.4776,94.7248,500630DP0=
2022-02-17,94.7467,94.9944,500630DP0=
2022-02-18,95.1032,95.3519,500630DP0=
2022-02-21,95.2745,95.5237,500630DP0=
2022-02-22,94.9474,95.1956,500630DP0=
2022-02-23,94.5039,94.7507,500630DP0=
2022-02-24,93.8376,94.0823,500630DP0=
2022-02-25,93.8422,94.0867,500630DP0=
2022-02-28,95.0567,95.3047,500630DP0=
2022-03-01,95.9372,96.1877,500630DP0=
2022-03-02,95.1748,95.423,500630DP0=
2022-03-03,95.4928,95.7417,500630DP0=
2022-03-04,95.7594,96.009,500630DP0=
2022-03-07,95.4206,95.6692,500630DP0=
