Date,BID,ASK,RIC
2022-02-21,99.8946,100.0394,500630DQ8=
2022-02-22,99.5088,99.653,500630DQ8=
2022-02-23,99.5179,99.662,500630DQ8=
2022-02-24,99.5883,99.7318,500630DQ8=
2022-02-25,99.5948,99.7382,500630DQ8=
2022-02-28,99.9078,100.0516,500630DQ8=
2022-03-01,100.2416,100.3859,500630DQ8=
2022-03-02,99.8075,99.9509,500630DQ8=
2022-03-03,99.7509,99.8938,500630DQ8=
2022-03-04,99.7996,99.9425,500630DQ8=
2022-03-07,99.6487,99.7912,500630DQ8=
2022-03-08,99.5325,99.6746,500630DQ8=
2022-03-09,99.2411,99.3826,500630DQ8=
2022-03-10,99.2572,99.3984,500630DQ8=
2022-03-11,99.1508,99.2916,500630DQ8=
2022-03-14,98.7532,98.8933,500630DQ8=
2022-03-15,98.6565,98.7963,500630DQ8=
2022-03-16,98.368,98.5071,500630DQ8=
2022-03-17,98.4695,98.6084,500630DQ8=
2022-03-18,98.3933,98.532,500630DQ8=
2022-03-21,97.9639,98.1017,500630DQ8=
2022-03-22,97.8448,97.9823,500630DQ8=
2022-03-23,98.0859,98.2237,500630DQ8=
2022-03-24,97.9512,98.0884,500630DQ8=
2022-03-25,97.5651,97.7015,500630DQ8=
2022-03-28,97.4285,97.5645,500630DQ8=
2022-03-29,97.4202,97.5562,500630DQ8=
2022-03-30,97.5804,97.7166,500630DQ8=
2022-03-31,97.4812,97.6168,500630DQ8=
2022-04-01,97.2348,97.3699,500630DQ8=
2022-04-04,97.4101,97.5454,500630DQ8=
2022-04-05,97.2048,97.3396,500630DQ8=
2022-04-06,97.2343,97.369,500630DQ8=
2022-04-07,97.1453,97.2795,500630DQ8=
2022-04-08,97.0542,97.1881,500630DQ8=
2022-04-11,97.2041,97.3381,500630DQ8=
2022-04-12,97.4237,97.558,500630DQ8=
2022-04-13,97.5509,97.6849,500630DQ8=
2022-04-14,97.3422,97.4757,500630DQ8=
2022-04-15,97.3723,97.5058,500630DQ8=
2022-04-18,97.454,97.5876,500630DQ8=
2022-04-19,97.0945,97.2273,500630DQ8=
2022-04-20,97.0548,97.1874,500630DQ8=
2022-04-21,96.9653,97.0974,500630DQ8=
2022-04-22,96.8179,96.9497,500630DQ8=
2022-04-25,96.9209,97.0527,500630DQ8=
2022-04-26,97.2639,97.3961,500630DQ8=
2022-04-27,97.132,97.2639,500630DQ8=
2022-04-28,97.1243,97.2558,500630DQ8=
2022-04-29,96.7107,96.8414,500630DQ8=
2022-05-02,96.6512,96.7817,500630DQ8=
2022-05-03,96.493,96.6231,500630DQ8=
2022-05-04,96.8712,97.0018,500630DQ8=
2022-05-05,96.7344,96.8644,500630DQ8=
2022-05-06,96.6079,96.7375,500630DQ8=
2022-05-09,96.8522,96.9821,500630DQ8=
2022-05-10,96.8759,97.0057,500630DQ8=
2022-05-11,96.8945,97.0242,500630DQ8=
2022-05-12,97.0405,97.1701,500630DQ8=
2022-05-13,97.0666,97.1961,500630DQ8=
2022-05-16,97.1626,97.2921,500630DQ8=
2022-05-17,96.7938,96.9226,500630DQ8=
2022-05-18,96.959,97.0879,500630DQ8=
2022-05-19,97.1376,97.2664,500630DQ8=
2022-05-20,97.233,97.3619,500630DQ8=
2022-05-23,96.9326,97.0609,500630DQ8=
2022-05-24,97.2255,97.3541,500630DQ8=
2022-05-25,97.2462,97.3747,500630DQ8=
2022-05-26,97.3357,97.464,500630DQ8=
2022-05-27,97.3132,97.4413,500630DQ8=
2022-05-30,97.0802,97.2079,500630DQ8=
2022-05-31,97.1472,97.2749,500630DQ8=
2022-06-01,96.9538,97.0811,500630DQ8=
2022-06-02,96.9019,97.0287,500630DQ8=
2022-06-03,96.8518,96.9784,500630DQ8=
2022-06-06,96.6605,96.7867,500630DQ8=
2022-06-07,96.752,96.8782,500630DQ8=
2022-06-08,96.652,96.7779,500630DQ8=
2022-06-09,96.5841,96.7095,500630DQ8=
2022-06-10,96.1454,96.27,500630DQ8=
2022-06-13,95.5197,95.6432,500630DQ8=
2022-06-14,95.3025,95.4256,500630DQ8=
2022-06-15,95.5138,95.6371,500630DQ8=
2022-06-16,95.3966,95.5192,500630DQ8=
2022-06-17,95.6782,95.8011,500630DQ8=
2022-06-20,95.5955,95.7183,500630DQ8=
2022-06-21,95.6236,95.7463,500630DQ8=
2022-06-22,95.9175,96.0405,500630DQ8=
2022-06-23,96.0278,96.1506,500630DQ8=
2022-06-24,95.9803,96.1029,500630DQ8=
2022-06-27,95.8083,95.9305,500630DQ8=
2022-06-28,95.7906,95.9127,500630DQ8=
2022-06-29,96.0437,96.166,500630DQ8=
2022-06-30,96.1035,96.2254,500630DQ8=
2022-07-01,96.466,96.5883,500630DQ8=
2022-07-04,96.3855,96.5077,500630DQ8=
2022-07-05,96.4623,96.5845,500630DQ8=
2022-07-06,96.0886,96.2101,500630DQ8=
2022-07-07,96.0932,96.2143,500630DQ8=
2022-07-08,95.9909,96.1118,500630DQ8=
2022-07-11,95.6747,95.7949,500630DQ8=
2022-07-12,95.768,95.8883,500630DQ8=
2022-07-13,95.6859,95.8059,500630DQ8=
2022-07-14,95.5964,95.7159,500630DQ8=
2022-07-15,95.6057,95.7251,500630DQ8=
2022-07-18,95.5982,95.7174,500630DQ8=
2022-07-19,95.422,95.5409,500630DQ8=
2022-07-20,95.5003,95.6191,500630DQ8=
2022-07-21,95.7419,95.8607,500630DQ8=
2022-07-22,95.9696,96.0886,500630DQ8=
2022-07-25,95.9334,96.0523,500630DQ8=
2022-07-26,95.7977,95.9162,500630DQ8=
2022-07-27,95.9347,96.0533,500630DQ8=
2022-07-28,96.0687,96.1873,500630DQ8=
2022-07-29,96.1391,96.2576,500630DQ8=
2022-08-01,96.1668,96.2853,500630DQ8=
2022-08-02,95.9229,96.0409,500630DQ8=
2022-08-03,95.986,96.1039,500630DQ8=
2022-08-04,96.0174,96.135,500630DQ8=
2022-08-05,95.8387,95.9559,500630DQ8=
2022-08-08,95.7589,95.8759,500630DQ8=
2022-08-09,95.5349,95.6514,500630DQ8=
2022-08-10,95.3607,95.4768,500630DQ8=
2022-08-11,95.5073,95.6233,500630DQ8=
2022-08-12,95.7648,95.881,500630DQ8=
2022-08-15,95.6163,95.7322,500630DQ8=
2022-08-16,95.6025,95.7182,500630DQ8=
2022-08-17,95.4687,95.5841,500630DQ8=
2022-08-18,95.5912,95.7064,500630DQ8=
2022-08-19,95.5822,95.6973,500630DQ8=
2022-08-22,95.4813,95.5961,500630DQ8=
2022-08-23,95.4356,95.5502,500630DQ8=
2022-08-24,95.4267,95.5412,500630DQ8=
2022-08-25,95.4707,95.5848,500630DQ8=
2022-08-26,95.5393,95.6534,500630DQ8=
2022-08-29,95.3811,95.495,500630DQ8=
2022-08-30,95.3506,95.4643,500630DQ8=
