Date,BID,ASK,RIC
2022-02-21,100.0059,100.2414,500630DR6=
2022-02-22,99.3532,99.587,500630DR6=
2022-02-23,99.2975,99.531,500630DR6=
2022-02-24,99.335,99.568,500630DR6=
2022-02-25,99.3088,99.5416,500630DR6=
2022-02-28,99.9857,100.2202,500630DR6=
2022-03-01,100.6105,100.8465,500630DR6=
2022-03-02,99.9202,100.1543,500630DR6=
2022-03-03,99.9482,100.182,500630DR6=
2022-03-04,100.2942,100.5288,500630DR6=
2022-03-07,99.9902,100.2238,500630DR6=
2022-03-08,99.8783,100.1115,500630DR6=
2022-03-09,99.4279,99.6598,500630DR6=
2022-03-10,99.3732,99.6046,500630DR6=
2022-03-11,98.7063,98.9358,500630DR6=
2022-03-14,98.0815,98.3092,500630DR6=
2022-03-15,97.9916,98.219,500630DR6=
2022-03-16,97.6257,97.852,500630DR6=
2022-03-17,97.8372,98.0637,500630DR6=
2022-03-18,97.8203,98.0466,500630DR6=
2022-03-21,97.0209,97.245,500630DR6=
2022-03-22,96.6386,96.8616,500630DR6=
2022-03-23,96.7962,97.0195,500630DR6=
2022-03-24,96.4768,96.6989,500630DR6=
2022-03-25,96.244,96.4653,500630DR6=
2022-03-28,95.9768,96.1973,500630DR6=
2022-03-29,96.0146,96.2352,500630DR6=
2022-03-30,96.2434,96.4645,500630DR6=
2022-03-31,96.4479,96.6692,500630DR6=
2022-04-01,96.1543,96.3747,500630DR6=
2022-04-04,95.8883,96.1079,500630DR6=
2022-04-05,95.4576,95.6759,500630DR6=
2022-04-06,95.4905,95.7088,500630DR6=
2022-04-07,95.4583,95.6762,500630DR6=
2022-04-08,95.1568,95.3738,500630DR6=
2022-04-11,95.0857,95.3024,500630DR6=
2022-04-12,95.3786,95.5959,500630DR6=
2022-04-13,95.4966,95.7137,500630DR6=
2022-04-14,95.062,95.2779,500630DR6=
2022-04-15,95.1507,95.3668,500630DR6=
2022-04-18,94.9916,95.2072,500630DR6=
2022-04-19,94.612,94.8265,500630DR6=
2022-04-20,94.7263,94.941,500630DR6=
2022-04-21,94.5977,94.8117,500630DR6=
2022-04-22,94.1064,94.319,500630DR6=
2022-04-25,94.5393,94.7529,500630DR6=
2022-04-26,95.0212,95.2359,500630DR6=
2022-04-27,94.7756,94.9896,500630DR6=
2022-04-28,94.8137,95.0274,500630DR6=
2022-04-29,94.3738,94.5863,500630DR6=
2022-05-02,93.8651,94.0762,500630DR6=
2022-05-03,93.8094,94.0202,500630DR6=
2022-05-04,94.2811,94.493,500630DR6=
2022-05-05,94.2775,94.489,500630DR6=
2022-05-06,93.7249,93.9349,500630DR6=
2022-05-09,94.1866,94.3977,500630DR6=
2022-05-10,94.2402,94.4513,500630DR6=
2022-05-11,94.8864,95.099,500630DR6=
2022-05-12,94.937,95.1494,500630DR6=
2022-05-13,94.9312,95.1435,500630DR6=
2022-05-16,95.0612,95.2737,500630DR6=
2022-05-17,94.5268,94.7378,500630DR6=
2022-05-18,94.8632,95.075,500630DR6=
2022-05-19,95.0871,95.2991,500630DR6=
2022-05-20,95.2211,95.4333,500630DR6=
2022-05-23,94.8011,95.0121,500630DR6=
2022-05-24,94.9008,95.1119,500630DR6=
2022-05-25,95.1442,95.3558,500630DR6=
2022-05-26,95.2726,95.4842,500630DR6=
2022-05-27,95.2476,95.459,500630DR6=
2022-05-30,94.8833,95.0938,500630DR6=
2022-05-31,94.9678,95.1784,500630DR6=
2022-06-01,94.6893,94.8991,500630DR6=
2022-06-02,94.56,94.7691,500630DR6=
2022-06-03,94.3295,94.5379,500630DR6=
2022-06-06,94.4575,94.6661,500630DR6=
2022-06-07,94.182,94.3898,500630DR6=
2022-06-08,94.0608,94.2682,500630DR6=
2022-06-09,93.9754,94.1822,500630DR6=
2022-06-10,93.333,93.5381,500630DR6=
2022-06-13,92.3275,92.5299,500630DR6=
2022-06-14,92.1338,92.3356,500630DR6=
2022-06-15,92.5339,92.7366,500630DR6=
2022-06-16,92.5784,92.7808,500630DR6=
2022-06-17,92.9428,93.146,500630DR6=
2022-06-20,92.7994,93.0022,500630DR6=
2022-06-21,92.9954,93.1986,500630DR6=
2022-06-22,93.3284,93.5323,500630DR6=
2022-06-23,93.6368,93.8411,500630DR6=
2022-06-24,93.4854,93.6892,500630DR6=
2022-06-27,93.2817,93.4849,500630DR6=
2022-06-28,93.3016,93.5047,500630DR6=
2022-06-29,93.4962,93.6997,500630DR6=
2022-06-30,93.738,93.9416,500630DR6=
2022-07-01,94.5545,94.7601,500630DR6=
2022-07-04,94.4988,94.7042,500630DR6=
2022-07-05,94.6808,94.8866,500630DR6=
2022-07-06,94.3721,94.577,500630DR6=
2022-07-07,94.304,94.5083,500630DR6=
2022-07-08,94.0505,94.2541,500630DR6=
2022-07-11,93.5998,93.8022,500630DR6=
2022-07-12,93.8664,94.0693,500630DR6=
2022-07-13,93.9144,94.1173,500630DR6=
2022-07-14,93.7427,93.9448,500630DR6=
2022-07-15,93.8472,94.0495,500630DR6=
2022-07-18,93.7054,93.9072,500630DR6=
2022-07-19,93.4073,93.6083,500630DR6=
2022-07-20,93.4993,93.7004,500630DR6=
2022-07-21,93.7431,93.9444,500630DR6=
2022-07-22,94.3963,94.5991,500630DR6=
2022-07-25,94.3549,94.5575,500630DR6=
2022-07-26,94.3541,94.5566,500630DR6=
2022-07-27,94.4544,94.657,500630DR6=
2022-07-28,94.6954,94.8983,500630DR6=
2022-07-29,94.881,95.0843,500630DR6=
2022-08-01,95.0423,95.2459,500630DR6=
2022-08-02,94.6155,94.8179,500630DR6=
2022-08-03,94.663,94.8654,500630DR6=
2022-08-04,94.761,94.9633,500630DR6=
2022-08-05,94.764,94.9662,500630DR6=
2022-08-08,94.481,94.6824,500630DR6=
2022-08-09,94.1111,94.3114,500630DR6=
2022-08-10,93.8908,94.0905,500630DR6=
2022-08-11,94.0487,94.2484,500630DR6=
2022-08-12,94.512,94.7127,500630DR6=
2022-08-15,94.307,94.5071,500630DR6=
2022-08-16,94.4903,94.6907,500630DR6=
2022-08-17,94.2098,94.4094,500630DR6=
2022-08-18,94.1442,94.3433,500630DR6=
2022-08-19,93.9689,94.1675,500630DR6=
2022-08-22,93.8298,94.0279,500630DR6=
2022-08-23,93.5726,93.77,500630DR6=
2022-08-24,93.4659,93.6629,500630DR6=
2022-08-25,93.469,93.6657,500630DR6=
2022-08-26,93.3471,93.5434,500630DR6=
2022-08-29,93.1122,93.3079,500630DR6=
2022-08-30,93.2294,93.4253,500630DR6=
2022-08-31,92.451,92.6449,500630DR6=
2022-09-01,92.3481,92.5413,500630DR6=
2022-09-02,92.5687,92.7623,500630DR6=
2022-09-05,92.376,92.5691,500630DR6=
2022-09-06,91.9338,92.1257,500630DR6=
2022-09-07,92.6852,92.8788,500630DR6=
2022-09-08,92.2432,92.4354,500630DR6=
2022-09-09,92.4358,92.6284,500630DR6=
2022-09-12,92.4593,92.6518,500630DR6=
2022-09-13,91.8394,92.0303,500630DR6=
2022-09-14,91.947,92.1381,500630DR6=
2022-09-15,91.7247,91.9149,500630DR6=
2022-09-16,91.8282,92.0185,500630DR6=
2022-09-19,91.8214,92.0116,500630DR6=
2022-09-20,91.281,91.4698,500630DR6=
2022-09-21,91.0789,91.2671,500630DR6=
2022-09-22,90.4547,90.6411,500630DR6=
2022-09-23,90.4303,90.6165,500630DR6=
2022-09-26,89.4308,89.6146,500630DR6=
2022-09-27,89.2316,89.4148,500630DR6=
2022-09-28,90.1721,90.3574,500630DR6=
2022-09-29,89.9084,90.0927,500630DR6=
2022-09-30,89.4737,89.6569,500630DR6=
2022-10-03,90.0118,90.1961,500630DR6=
2022-10-04,90.1206,90.3051,500630DR6=
2022-10-05,90.4251,90.6102,500630DR6=
2022-10-06,89.9027,90.0861,500630DR6=
2022-10-07,89.4156,89.5978,500630DR6=
2022-10-10,89.3012,89.4831,500630DR6=
2022-10-11,88.9285,89.1094,500630DR6=
2022-10-12,89.4094,89.5913,500630DR6=
2022-10-13,89.0799,89.2607,500630DR6=
2022-10-14,88.5751,88.7546,500630DR6=
2022-10-17,88.3597,88.5386,500630DR6=
2022-10-18,88.1807,88.3591,500630DR6=
2022-10-19,87.5277,87.7045,500630DR6=
