Date,BID,ASK,RIC
2018-01-29,99.436,99.567,500769HS6=
2018-01-30,99.218,99.349,500769HS6=
2018-01-31,99.305,99.436,500769HS6=
2018-02-01,98.717,98.846,500769HS6=
2018-02-02,98.209,98.338,500769HS6=
2018-02-05,99.349,99.48,500769HS6=
2018-02-06,98.528,98.657,500769HS6=
2018-02-07,98.271,98.399,500769HS6=
2018-02-08,98.314,98.443,500769HS6=
2018-02-09,98.485,98.549,500769HS6=
2018-02-12,98.376,98.441,500769HS6=
2018-02-13,98.508,98.572,500769HS6=
2018-02-14,98.028,98.092,500769HS6=
2018-02-15,98.095,98.159,500769HS6=
2018-02-16,98.35,98.414,500769HS6=
2018-02-20,98.088,98.152,500769HS6=
2018-02-21,97.861,97.925,500769HS6=
2018-02-22,97.923,97.987,500769HS6=
2018-02-23,98.314,98.378,500769HS6=
2018-02-26,98.446,98.509,500769HS6=
2018-02-27,98.019,98.083,500769HS6=
2018-02-28,98.316,98.38,500769HS6=
2018-03-01,98.638,98.702,500769HS6=
2018-03-02,98.347,98.411,500769HS6=
2018-03-05,98.262,98.325,500769HS6=
2018-03-06,98.286,98.35,500769HS6=
2018-03-07,98.307,98.371,500769HS6=
2018-03-08,98.47,98.534,500769HS6=
2018-03-09,98.122,98.186,500769HS6=
2018-03-12,98.281,98.345,500769HS6=
2018-03-13,98.484,98.548,500769HS6=
2018-03-14,98.783,98.847,500769HS6=
2018-03-15,98.672,98.736,500769HS6=
2018-03-16,98.524,98.587,500769HS6=
2018-03-19,98.499,98.563,500769HS6=
2018-03-20,98.155,98.219,500769HS6=
2018-03-21,98.149,98.213,500769HS6=
2018-03-22,98.684,98.748,500769HS6=
2018-03-23,98.736,98.921,500769HS6=
2018-03-26,98.673,98.858,500769HS6=
2018-03-27,99.009,99.195,500769HS6=
2018-03-28,99.284,99.471,500769HS6=
2018-03-29,99.416,99.603,500769HS6=
2018-04-02,99.479,99.543,500769HS6=
2018-04-03,99.196,99.382,500769HS6=
2018-04-04,99.074,99.26,500769HS6=
2018-04-05,98.738,98.922,500769HS6=
2018-04-06,99.164,99.35,500769HS6=
2018-04-09,99.07,99.255,500769HS6=
2018-04-10,99.037,99.223,500769HS6=
2018-04-11,99.184,99.369,500769HS6=
2018-04-12,98.794,98.979,500769HS6=
2018-04-13,98.822,99.006,500769HS6=
2018-04-16,98.727,98.911,500769HS6=
2018-04-17,98.779,98.963,500769HS6=
2018-04-18,98.555,98.739,500769HS6=
2018-04-19,98.043,98.226,500769HS6=
2018-04-20,97.827,98.009,500769HS6=
2018-04-23,97.575,97.756,500769HS6=
2018-04-24,97.454,97.635,500769HS6=
2018-04-25,97.192,97.372,500769HS6=
2018-04-26,97.444,97.625,500769HS6=
2018-04-27,97.726,97.907,500769HS6=
2018-04-30,97.832,98.014,500769HS6=
2018-05-01,97.663,97.845,500769HS6=
2018-05-02,97.614,97.795,500769HS6=
2018-05-03,97.854,98.036,500769HS6=
2018-05-04,97.782,97.964,500769HS6=
2018-05-07,97.768,97.95,500769HS6=
2018-05-08,97.571,97.752,500769HS6=
2018-05-09,97.372,97.552,500769HS6=
2018-05-10,97.566,97.746,500769HS6=
2018-05-11,97.59,97.77,500769HS6=
2018-05-14,97.379,97.56,500769HS6=
2018-05-15,96.764,96.943,500769HS6=
2018-05-16,96.6,96.778,500769HS6=
2018-05-17,96.428,96.606,500769HS6=
2018-05-18,96.77,96.948,500769HS6=
2018-05-21,96.803,96.981,500769HS6=
2018-05-22,96.765,96.944,500769HS6=
2018-05-23,97.263,97.442,500769HS6=
2018-05-24,97.56,97.74,500769HS6=
2018-05-25,97.919,98.1,500769HS6=
2018-05-28,98.092,98.273,500769HS6=
2018-05-29,98.822,99.005,500769HS6=
2018-05-30,98.487,98.669,500769HS6=
2018-05-31,98.591,98.773,500769HS6=
2018-06-01,98.167,98.347,500769HS6=
2018-06-04,97.92,98.1,500769HS6=
2018-06-05,98.084,98.264,500769HS6=
2018-06-06,97.602,97.781,500769HS6=
2018-06-07,97.838,98.018,500769HS6=
2018-06-08,97.915,98.096,500769HS6=
2018-06-11,97.744,97.924,500769HS6=
2018-06-12,97.686,97.866,500769HS6=
2018-06-13,97.713,97.892,500769HS6=
2018-06-14,97.881,98.061,500769HS6=
2018-06-15,98.075,98.255,500769HS6=
2018-06-18,98.043,98.223,500769HS6=
2018-06-19,98.332,98.513,500769HS6=
2018-06-20,98.043,98.223,500769HS6=
2018-06-21,98.189,98.369,500769HS6=
2018-06-22,98.203,98.383,500769HS6=
2018-06-25,98.422,98.602,500769HS6=
