Date,BID,ASK,RIC
2021-10-15,99.262,99.741,500769JQ8=
2021-10-18,99.066,99.209,500769JQ8=
2021-10-19,99.067,99.21,500769JQ8=
2021-10-20,99.01,99.153,500769JQ8=
2021-10-21,98.642,98.784,500769JQ8=
2021-10-22,98.804,98.946,500769JQ8=
2021-10-25,98.994,99.136,500769JQ8=
2021-10-26,98.971,99.113,500769JQ8=
2021-10-27,99.189,99.332,500769JQ8=
2021-10-28,99.034,99.176,500769JQ8=
2021-10-29,98.883,99.025,500769JQ8=
2021-11-01,98.907,99.049,500769JQ8=
2021-11-02,99.083,99.225,500769JQ8=
2021-11-03,98.908,99.05,500769JQ8=
2021-11-04,99.231,99.373,500769JQ8=
2021-11-05,99.402,99.544,500769JQ8=
2021-11-08,99.137,99.279,500769JQ8=
2021-11-09,99.332,99.474,500769JQ8=
2021-11-10,98.839,98.98,500769JQ8=
2021-11-11,98.642,98.782,500769JQ8=
2021-11-12,98.69,98.831,500769JQ8=
2021-11-15,98.565,98.705,500769JQ8=
2021-11-16,98.496,98.636,500769JQ8=
2021-11-17,98.688,98.828,500769JQ8=
2021-11-18,98.685,98.825,500769JQ8=
2021-11-19,98.579,98.718,500769JQ8=
2021-11-22,98.255,98.394,500769JQ8=
2021-11-23,98.159,98.298,500769JQ8=
2021-11-24,98.246,98.384,500769JQ8=
2021-11-25,98.225,98.363,500769JQ8=
2021-11-26,98.881,99.021,500769JQ8=
2021-11-29,99.073,99.213,500769JQ8=
2021-11-30,99.027,99.166,500769JQ8=
2021-12-01,99.195,99.335,500769JQ8=
2021-12-02,98.922,99.061,500769JQ8=
2021-12-03,99.067,99.206,500769JQ8=
2021-12-06,98.859,98.998,500769JQ8=
2021-12-07,98.559,98.697,500769JQ8=
2021-12-08,98.463,98.601,500769JQ8=
2021-12-09,98.479,98.617,500769JQ8=
2021-12-10,98.669,98.807,500769JQ8=
2021-12-13,98.826,98.965,500769JQ8=
2021-12-14,98.684,98.822,500769JQ8=
2021-12-15,98.634,98.772,500769JQ8=
2021-12-16,98.958,99.096,500769JQ8=
2021-12-17,98.904,99.042,500769JQ8=
2021-12-20,98.936,99.074,500769JQ8=
2021-12-21,98.657,98.795,500769JQ8=
2021-12-22,98.729,98.866,500769JQ8=
2021-12-23,98.606,98.743,500769JQ8=
2021-12-24,98.604,98.741,500769JQ8=
2021-12-27,98.575,98.712,500769JQ8=
2021-12-28,98.59,98.726,500769JQ8=
2021-12-29,98.351,98.487,500769JQ8=
2021-12-30,98.511,98.647,500769JQ8=
