Date,BID,ASK,RIC
2022-08-22,99.887,99.944,500769JV7=
2022-08-23,99.872,99.929,500769JV7=
2022-08-24,99.737,99.794,500769JV7=
2022-08-25,99.773,99.83,500769JV7=
2022-08-26,99.796,99.853,500769JV7=
2022-08-29,99.666,99.723,500769JV7=
2022-08-30,99.653,99.71,500769JV7=
2022-08-31,99.527,99.583,500769JV7=
2022-09-01,99.542,99.599,500769JV7=
2022-09-02,99.772,99.828,500769JV7=
2022-09-05,99.645,99.701,500769JV7=
2022-09-06,99.545,99.601,500769JV7=
2022-09-07,99.729,99.785,500769JV7=
2022-09-08,99.557,99.613,500769JV7=
2022-09-09,99.426,99.481,500769JV7=
2022-09-12,99.402,99.458,500769JV7=
2022-09-13,99.147,99.202,500769JV7=
2022-09-14,99.032,99.087,500769JV7=
2022-09-15,98.899,98.954,500769JV7=
2022-09-16,98.886,98.94,500769JV7=
2022-09-19,98.714,98.769,500769JV7=
2022-09-20,98.707,98.761,500769JV7=
2022-09-21,98.586,98.64,500769JV7=
2022-09-22,98.485,98.539,500769JV7=
2022-09-23,98.263,98.317,500769JV7=
2022-09-26,97.958,98.012,500769JV7=
2022-09-27,98.118,98.171,500769JV7=
2022-09-28,98.406,98.459,500769JV7=
2022-09-29,98.35,98.403,500769JV7=
2022-09-30,98.156,98.209,500769JV7=
2022-10-03,98.459,98.513,500769JV7=
2022-10-04,98.433,98.486,500769JV7=
2022-10-05,98.352,98.405,500769JV7=
2022-10-06,98.203,98.256,500769JV7=
2022-10-07,98.125,98.178,500769JV7=
2022-10-10,98.103,98.156,500769JV7=
2022-10-11,98.069,98.121,500769JV7=
2022-10-12,98.143,98.195,500769JV7=
2022-10-13,97.889,97.941,500769JV7=
2022-10-14,97.805,97.857,500769JV7=
2022-10-17,97.888,97.94,500769JV7=
2022-10-18,97.855,97.906,500769JV7=
2022-10-19,97.686,97.737,500769JV7=
2022-10-20,97.66,97.711,500769JV7=
2022-10-21,97.76,97.812,500769JV7=
2022-10-24,97.825,97.876,500769JV7=
2022-10-25,97.821,97.873,500769JV7=
2022-10-26,97.935,97.986,500769JV7=
2022-10-27,98.275,98.326,500769JV7=
2022-10-28,97.951,98.002,500769JV7=
2022-10-31,97.813,97.864,500769JV7=
2022-11-01,97.712,97.763,500769JV7=
2022-11-02,97.594,97.645,500769JV7=
2022-11-03,97.409,97.459,500769JV7=
2022-11-04,97.63,97.68,500769JV7=
2022-11-07,97.433,97.483,500769JV7=
2022-11-08,97.522,97.572,500769JV7=
2022-11-09,97.81,97.86,500769JV7=
2022-11-10,98.133,98.183,500769JV7=
2022-11-11,98.101,98.151,500769JV7=
2022-11-14,98.038,98.087,500769JV7=
2022-11-15,98.031,98.08,500769JV7=
2022-11-16,98.0,98.05,500769JV7=
2022-11-17,97.886,97.935,500769JV7=
2022-11-18,97.773,97.822,500769JV7=
2022-11-21,97.723,97.773,500769JV7=
2022-11-22,97.747,97.796,500769JV7=
2022-11-23,97.855,97.903,500769JV7=
2022-11-24,97.932,97.98,500769JV7=
2022-11-25,97.868,97.916,500769JV7=
2022-11-28,97.892,97.941,500769JV7=
2022-11-29,97.855,97.903,500769JV7=
2022-11-30,98.117,98.166,500769JV7=
2022-12-01,98.26,98.309,500769JV7=
2022-12-02,98.221,98.269,500769JV7=
2022-12-05,97.957,98.005,500769JV7=
2022-12-06,98.027,98.075,500769JV7=
2022-12-07,98.194,98.242,500769JV7=
2022-12-08,98.155,98.202,500769JV7=
2022-12-09,98.081,98.129,500769JV7=
2022-12-12,98.024,98.071,500769JV7=
2022-12-13,98.291,98.338,500769JV7=
2022-12-14,98.242,98.29,500769JV7=
2022-12-15,98.229,98.276,500769JV7=
2022-12-16,98.371,98.418,500769JV7=
2022-12-19,98.149,98.197,500769JV7=
2022-12-20,98.149,98.196,500769JV7=
2022-12-21,98.188,98.235,500769JV7=
2022-12-22,98.174,98.22,500769JV7=
2022-12-23,98.135,98.181,500769JV7=
2022-12-27,97.973,98.02,500769JV7=
2022-12-28,98.001,98.048,500769JV7=
2022-12-29,98.014,98.06,500769JV7=
2022-12-30,97.936,97.982,500769JV7=
2023-01-02,97.968,98.014,500769JV7=
2023-01-03,97.998,98.044,500769JV7=
2023-01-04,98.024,98.07,500769JV7=
2023-01-05,97.913,97.959,500769JV7=
2023-01-06,98.216,98.261,500769JV7=
2023-01-09,98.264,98.31,500769JV7=
2023-01-10,98.254,98.299,500769JV7=
