Date,BID,ASK,RIC
2018-03-16,100.249,100.653,539439AR0=
2018-03-19,99.987,100.358,539439AR0=
2018-03-20,99.575,100.015,539439AR0=
2018-03-21,99.456,99.896,539439AR0=
2018-03-22,99.324,99.784,539439AR0=
2018-03-23,99.358,99.809,539439AR0=
2018-03-26,99.402,99.857,539439AR0=
2018-03-27,99.898,100.354,539439AR0=
2018-03-28,100.304,100.761,539439AR0=
2018-03-29,100.718,101.332,539439AR0=
2018-04-02,100.981,101.387,539439AR0=
2018-04-03,100.33,100.897,539439AR0=
2018-04-04,100.192,100.753,539439AR0=
2018-04-05,100.494,101.077,539439AR0=
2018-04-06,100.771,101.359,539439AR0=
2018-04-09,100.995,101.579,539439AR0=
2018-04-10,100.967,101.54,539439AR0=
2018-04-11,101.101,101.595,539439AR0=
2018-04-12,100.733,101.225,539439AR0=
2018-04-13,100.852,101.29,539439AR0=
2018-04-16,100.73,101.258,539439AR0=
2018-04-17,100.616,101.143,539439AR0=
2018-04-18,100.328,100.854,539439AR0=
2018-04-19,99.712,100.237,539439AR0=
2018-04-20,99.589,100.113,539439AR0=
2018-04-23,99.143,99.666,539439AR0=
2018-04-24,98.927,99.322,539439AR0=
2018-04-25,98.762,99.156,539439AR0=
2018-04-26,98.967,99.362,539439AR0=
2018-04-27,99.093,99.488,539439AR0=
2018-04-30,99.204,99.599,539439AR0=
2018-05-01,98.474,98.866,539439AR0=
2018-05-02,98.412,98.803,539439AR0=
2018-05-03,98.647,99.039,539439AR0=
2018-05-04,98.46,98.851,539439AR0=
2018-05-07,98.835,99.228,539439AR0=
2018-05-08,98.133,98.523,539439AR0=
2018-05-09,98.336,98.726,539439AR0=
2018-05-10,98.915,99.307,539439AR0=
2018-05-11,98.774,99.166,539439AR0=
2018-05-14,98.68,99.072,539439AR0=
2018-05-15,98.058,98.447,539439AR0=
2018-05-16,97.503,97.888,539439AR0=
2018-05-17,97.343,97.728,539439AR0=
2018-05-18,98.068,98.456,539439AR0=
2018-05-21,98.092,98.48,539439AR0=
2018-05-22,97.976,98.363,539439AR0=
2018-05-23,98.348,98.737,539439AR0=
2018-05-24,98.489,98.879,539439AR0=
2018-05-25,98.682,99.073,539439AR0=
2018-05-28,98.98,99.372,539439AR0=
2018-05-29,99.078,99.47,539439AR0=
2018-05-30,97.963,98.35,539439AR0=
2018-05-31,98.708,99.098,539439AR0=
2018-06-01,98.919,99.31,539439AR0=
2018-06-04,98.904,99.294,539439AR0=
2018-06-05,98.577,98.966,539439AR0=
2018-06-06,98.36,98.748,539439AR0=
2018-06-07,98.563,98.951,539439AR0=
2018-06-08,97.853,98.238,539439AR0=
2018-06-11,98.069,98.455,539439AR0=
2018-06-12,98.054,98.44,539439AR0=
2018-06-13,97.977,98.363,539439AR0=
