Date,BID,ASK,RIC
2018-08-14,99.603,100.0,539439AT6=
2018-08-15,99.73,100.127,539439AT6=
2018-08-16,99.682,100.079,539439AT6=
2018-08-17,99.729,100.127,539439AT6=
2018-08-20,100.087,100.486,539439AT6=
2018-08-21,99.904,100.302,539439AT6=
2018-08-22,100.071,100.469,539439AT6=
2018-08-23,100.014,100.413,539439AT6=
2018-08-24,100.134,100.532,539439AT6=
2018-08-27,99.871,100.269,539439AT6=
2018-08-28,99.571,99.966,539439AT6=
2018-08-29,99.542,99.938,539439AT6=
2018-08-30,99.76,100.157,539439AT6=
2018-08-31,99.523,99.918,539439AT6=
2018-09-03,99.492,99.887,539439AT6=
2018-09-04,99.208,99.602,539439AT6=
2018-09-05,99.177,99.571,539439AT6=
2018-09-06,99.374,99.768,539439AT6=
2018-09-07,98.903,99.295,539439AT6=
2018-09-10,99.327,99.72,539439AT6=
2018-09-11,98.966,99.358,539439AT6=
2018-09-12,99.084,99.476,539439AT6=
2018-09-13,99.021,99.413,539439AT6=
2018-09-14,99.445,99.838,539439AT6=
2018-09-17,99.492,99.886,539439AT6=
2018-09-18,98.998,99.39,539439AT6=
2018-09-19,98.928,99.319,539439AT6=
2018-09-20,99.319,99.712,539439AT6=
2018-09-21,99.319,99.712,539439AT6=
2018-09-24,98.517,98.906,539439AT6=
2018-09-25,98.463,98.851,539439AT6=
2018-09-26,98.836,99.226,539439AT6=
2018-09-27,98.79,99.179,539439AT6=
2018-09-28,98.549,98.938,539439AT6=
2018-10-01,98.395,98.782,539439AT6=
2018-10-02,98.349,98.736,539439AT6=
2018-10-03,97.581,97.964,539439AT6=
2018-10-04,97.384,97.766,539439AT6=
2018-10-05,97.034,97.415,539439AT6=
2018-10-08,96.794,97.174,539439AT6=
2018-10-09,97.012,97.392,539439AT6=
2018-10-10,97.256,97.637,539439AT6=
2018-10-11,97.395,97.776,539439AT6=
2018-10-12,97.311,97.693,539439AT6=
2018-10-15,97.304,97.685,539439AT6=
2018-10-16,97.191,97.571,539439AT6=
2018-10-17,97.389,97.77,539439AT6=
2018-10-18,97.239,97.619,539439AT6=
2018-10-19,97.035,97.414,539439AT6=
2018-10-22,96.99,97.369,539439AT6=
2018-10-23,96.998,97.377,539439AT6=
2018-10-24,97.438,97.819,539439AT6=
2018-10-25,97.25,97.63,539439AT6=
2018-10-26,97.243,97.623,539439AT6=
2018-10-29,97.367,97.748,539439AT6=
2018-10-30,96.776,97.153,539439AT6=
2018-10-31,96.852,97.229,539439AT6=
2018-11-01,96.982,97.36,539439AT6=
2018-11-02,96.621,96.998,539439AT6=
2018-11-05,96.765,97.142,539439AT6=
2018-11-06,96.765,97.142,539439AT6=
2018-11-07,97.007,97.385,539439AT6=
2018-11-08,96.634,97.01,539439AT6=
2018-11-09,96.882,97.259,539439AT6=
2018-11-12,97.162,97.54,539439AT6=
2018-11-13,96.996,97.373,539439AT6=
2018-11-14,97.102,97.48,539439AT6=
2018-11-15,97.24,97.618,539439AT6=
2018-11-16,97.565,97.945,539439AT6=
2018-11-19,97.588,97.968,539439AT6=
2018-11-20,94.486,94.851,539439AT6=
2018-11-21,94.475,94.84,539439AT6=
2018-11-22,94.437,94.802,539439AT6=
2018-11-23,94.746,95.112,539439AT6=
2018-11-26,95.238,95.606,539439AT6=
2018-11-27,95.239,95.607,539439AT6=
2018-11-28,95.225,95.593,539439AT6=
2018-11-29,94.994,95.36,539439AT6=
2018-11-30,95.288,95.656,539439AT6=
2018-12-03,95.121,95.487,539439AT6=
2018-12-04,94.91,95.276,539439AT6=
2018-12-05,94.129,94.491,539439AT6=
2018-12-06,94.427,94.791,539439AT6=
2018-12-07,94.675,95.04,539439AT6=
2018-12-10,94.205,94.568,539439AT6=
2018-12-11,94.874,95.239,539439AT6=
2018-12-12,94.657,95.021,539439AT6=
2018-12-13,94.864,95.229,539439AT6=
2018-12-14,94.997,95.362,539439AT6=
2018-12-17,94.46,94.823,539439AT6=
2018-12-18,95.452,95.819,539439AT6=
2018-12-19,96.567,96.939,539439AT6=
2018-12-20,95.786,96.155,539439AT6=
2018-12-21,95.935,96.304,539439AT6=
2018-12-24,96.32,96.69,539439AT6=
2018-12-26,95.475,95.842,539439AT6=
2018-12-27,95.005,95.37,539439AT6=
2018-12-28,95.282,95.648,539439AT6=
2018-12-31,95.532,95.898,539439AT6=
2019-01-02,95.907,96.275,539439AT6=
2019-01-03,96.351,96.721,539439AT6=
2019-01-04,94.709,95.071,539439AT6=
2019-01-07,94.508,94.869,539439AT6=
2019-01-08,94.265,94.625,539439AT6=
2019-01-09,94.396,94.756,539439AT6=
2019-01-10,94.156,94.515,539439AT6=
2019-01-11,94.495,94.855,539439AT6=
2019-01-14,94.446,94.806,539439AT6=
2019-01-15,94.368,94.728,539439AT6=
2019-01-16,97.369,97.742,539439AT6=
2019-01-17,97.872,98.247,539439AT6=
2019-01-18,97.142,97.514,539439AT6=
2019-01-21,97.264,97.636,539439AT6=
2019-01-22,98.527,98.906,539439AT6=
2019-01-23,98.099,98.475,539439AT6=
2019-01-24,98.809,99.188,539439AT6=
2019-01-25,99.554,99.936,539439AT6=
2019-01-28,98.719,99.097,539439AT6=
2019-01-29,99.526,99.909,539439AT6=
2019-01-30,100.098,100.483,539439AT6=
2019-01-31,100.437,100.823,539439AT6=
2019-02-01,100.892,101.281,539439AT6=
2019-02-04,100.114,100.498,539439AT6=
2019-02-05,100.275,100.66,539439AT6=
2019-02-06,99.922,100.306,539439AT6=
2019-02-07,100.406,100.791,539439AT6=
2019-02-08,100.583,100.969,539439AT6=
2019-02-11,100.421,100.807,539439AT6=
2019-02-12,100.184,100.568,539439AT6=
2019-02-13,99.931,100.314,539439AT6=
2019-02-14,100.574,100.96,539439AT6=
2019-02-15,100.335,100.719,539439AT6=
2019-02-18,100.266,100.65,539439AT6=
2019-02-19,100.397,100.782,539439AT6=
2019-02-20,101.013,101.4,539439AT6=
2019-02-21,100.65,101.035,539439AT6=
2019-02-22,100.965,101.352,539439AT6=
2019-02-25,100.857,101.243,539439AT6=
2019-02-26,101.818,102.208,539439AT6=
2019-02-27,101.396,101.784,539439AT6=
2019-02-28,101.557,101.946,539439AT6=
2019-03-01,101.232,101.619,539439AT6=
2019-03-04,101.953,102.343,539439AT6=
2019-03-05,102.007,102.397,539439AT6=
2019-03-06,102.209,102.6,539439AT6=
2019-03-07,101.895,102.285,539439AT6=
2019-03-08,101.84,102.23,539439AT6=
2019-03-11,101.677,102.065,539439AT6=
2019-03-12,101.995,102.384,539439AT6=
2019-03-13,101.722,102.111,539439AT6=
2019-03-14,101.76,102.148,539439AT6=
2019-03-15,102.062,102.451,539439AT6=
2019-03-18,101.859,102.248,539439AT6=
2019-03-19,101.774,102.162,539439AT6=
2019-03-20,102.348,102.738,539439AT6=
2019-03-21,102.229,102.619,539439AT6=
2019-03-22,103.104,103.497,539439AT6=
2019-03-25,103.197,103.591,539439AT6=
2019-03-26,103.196,103.59,539439AT6=
2019-03-27,103.384,103.779,539439AT6=
2019-03-28,103.698,104.094,539439AT6=
2019-03-29,103.555,103.95,539439AT6=
2019-04-01,102.504,102.894,539439AT6=
2019-04-02,102.82,103.212,539439AT6=
2019-04-03,102.383,102.773,539439AT6=
2019-04-04,102.498,102.888,539439AT6=
2019-04-05,102.606,102.996,539439AT6=
2019-04-08,102.442,102.831,539439AT6=
2019-04-09,102.581,102.971,539439AT6=
2019-04-10,103.656,104.051,539439AT6=
2019-04-11,103.386,103.779,539439AT6=
2019-04-12,104.379,104.776,539439AT6=
2019-04-15,104.433,104.831,539439AT6=
2019-04-16,104.147,104.543,539439AT6=
2019-04-17,104.127,104.523,539439AT6=
2019-04-18,104.395,104.792,539439AT6=
2019-04-19,104.412,104.809,539439AT6=
2019-04-22,104.18,104.576,539439AT6=
2019-04-23,104.006,104.4,539439AT6=
2019-04-24,104.566,104.963,539439AT6=
2019-04-25,104.594,104.991,539439AT6=
2019-04-26,104.926,105.325,539439AT6=
2019-04-29,104.568,104.965,539439AT6=
2019-04-30,104.59,104.987,539439AT6=
2019-05-01,104.526,104.922,539439AT6=
2019-05-02,103.634,104.026,539439AT6=
2019-05-03,103.986,104.379,539439AT6=
2019-05-06,104.221,104.615,539439AT6=
2019-05-07,104.235,104.63,539439AT6=
2019-05-08,103.771,104.163,539439AT6=
2019-05-09,104.035,104.428,539439AT6=
2019-05-10,103.642,104.033,539439AT6=
2019-05-13,104.119,104.512,539439AT6=
2019-05-14,103.789,104.181,539439AT6=
2019-05-15,103.999,104.392,539439AT6=
2019-05-16,103.847,104.239,539439AT6=
2019-05-17,103.714,104.105,539439AT6=
2019-05-20,103.355,103.744,539439AT6=
2019-05-21,103.206,103.595,539439AT6=
2019-05-22,103.345,103.734,539439AT6=
2019-05-23,103.793,104.184,539439AT6=
2019-05-24,103.769,104.16,539439AT6=
