Date,BID,ASK,RIC
2017-01-06,98.6129,99.0209,53944YAD5=
2017-01-09,99.111,99.5214,53944YAD5=
2017-01-10,98.8578,99.2668,53944YAD5=
2017-01-11,98.9319,99.3409,53944YAD5=
2017-01-12,99.0872,99.4969,53944YAD5=
2017-01-13,98.4604,98.8669,53944YAD5=
2017-01-17,99.2182,99.6283,53944YAD5=
2017-01-18,98.1379,98.5425,53944YAD5=
2017-01-19,97.8803,98.2836,53944YAD5=
2017-01-20,98.2274,98.6323,53944YAD5=
2017-01-23,98.6812,99.0882,53944YAD5=
2017-01-24,98.0828,98.4868,53944YAD5=
2017-01-25,97.9229,98.3258,53944YAD5=
2017-01-26,97.8562,98.2589,53944YAD5=
2017-01-27,98.0762,98.4798,53944YAD5=
2017-01-30,97.6429,98.0443,53944YAD5=
2017-01-31,98.3995,98.8045,53944YAD5=
2017-02-01,97.9092,98.3115,53944YAD5=
2017-02-02,98.0944,98.4975,53944YAD5=
2017-02-03,98.3122,98.7163,53944YAD5=
2017-02-06,98.6355,99.041,53944YAD5=
2017-02-07,98.4741,98.8788,53944YAD5=
2017-02-08,99.0173,99.4243,53944YAD5=
2017-02-09,98.4108,98.8148,53944YAD5=
2017-02-10,98.4594,98.8635,53944YAD5=
2017-02-13,98.162,98.5646,53944YAD5=
2017-02-14,98.4358,98.8396,53944YAD5=
2017-02-15,97.7555,98.1557,53944YAD5=
2017-02-16,98.0679,98.4695,53944YAD5=
2017-02-17,98.2929,98.6955,53944YAD5=
2017-02-21,98.446,98.8492,53944YAD5=
2017-02-22,98.4148,98.8176,53944YAD5=
2017-02-23,98.9925,99.3977,53944YAD5=
2017-02-24,99.2228,99.6291,53944YAD5=
2017-02-27,98.8187,99.223,53944YAD5=
2017-02-28,98.642,99.045,53944YAD5=
2017-03-01,98.474,98.876,53944YAD5=
2017-03-02,98.611,99.013,53944YAD5=
2017-03-03,98.519,98.922,53944YAD5=
2017-03-06,98.347,98.748,53944YAD5=
2017-03-07,98.155,98.555,53944YAD5=
2017-03-08,97.583,97.981,53944YAD5=
2017-03-09,97.118,97.513,53944YAD5=
2017-03-10,97.458,97.854,53944YAD5=
2017-03-13,96.985,97.379,53944YAD5=
2017-03-14,97.253,97.649,53944YAD5=
2017-03-15,97.904,98.302,53944YAD5=
2017-03-16,97.532,97.929,53944YAD5=
2017-03-17,97.905,98.303,53944YAD5=
2017-03-20,98.033,98.431,53944YAD5=
2017-03-21,98.416,98.816,53944YAD5=
2017-03-22,98.281,98.681,53944YAD5=
2017-03-23,98.242,98.641,53944YAD5=
2017-03-24,98.163,98.561,53944YAD5=
2017-03-27,98.269,98.668,53944YAD5=
2017-03-28,97.978,98.376,53944YAD5=
2017-03-29,98.467,98.866,53944YAD5=
2017-03-30,97.966,98.364,53944YAD5=
2017-03-31,98.237,98.635,53944YAD5=
2017-04-03,98.843,99.244,53944YAD5=
2017-04-04,98.198,98.596,53944YAD5=
2017-04-05,98.637,99.036,53944YAD5=
2017-04-06,98.541,98.941,53944YAD5=
2017-04-07,98.295,98.693,53944YAD5=
2017-04-10,98.423,98.821,53944YAD5=
2017-04-11,98.886,99.287,53944YAD5=
2017-04-12,99.311,99.713,53944YAD5=
2017-04-13,99.203,99.604,53944YAD5=
2017-04-17,99.127,99.528,53944YAD5=
2017-04-18,99.737,100.141,53944YAD5=
2017-04-19,99.48,99.883,53944YAD5=
2017-04-20,99.224,99.625,53944YAD5=
2017-04-21,99.304,99.706,53944YAD5=
2017-04-24,99.569,99.972,53944YAD5=
2017-04-25,98.905,99.304,53944YAD5=
2017-04-26,99.161,99.561,53944YAD5=
2017-04-27,99.594,99.996,53944YAD5=
2017-04-28,99.682,100.085,53944YAD5=
2017-05-01,99.578,99.98,53944YAD5=
2017-05-02,99.698,100.101,53944YAD5=
2017-05-03,99.578,99.98,53944YAD5=
2017-05-04,99.418,99.819,53944YAD5=
2017-05-05,99.507,99.908,53944YAD5=
2017-05-08,99.523,99.924,53944YAD5=
2017-05-09,99.611,100.012,53944YAD5=
2017-05-10,99.353,99.753,53944YAD5=
2017-05-11,99.332,99.732,53944YAD5=
2017-05-12,100.181,100.585,53944YAD5=
2017-05-15,99.972,100.375,53944YAD5=
2017-05-16,100.27,100.674,53944YAD5=
2017-05-17,100.941,101.347,53944YAD5=
2017-05-18,100.738,101.144,53944YAD5=
2017-05-19,100.835,101.241,53944YAD5=
2017-05-22,100.867,101.273,53944YAD5=
2017-05-23,100.544,100.948,53944YAD5=
2017-05-24,100.769,101.175,53944YAD5=
2017-05-25,100.67,101.075,53944YAD5=
2017-05-26,101.071,101.477,53944YAD5=
2017-05-30,101.142,101.548,53944YAD5=
2017-05-31,101.076,101.482,53944YAD5=
2017-06-01,101.019,101.425,53944YAD5=
2017-06-02,101.62,102.028,53944YAD5=
2017-06-05,101.181,101.587,53944YAD5=
2017-06-06,101.57,101.978,53944YAD5=
2017-06-07,101.083,101.488,53944YAD5=
2017-06-08,100.865,101.269,53944YAD5=
2017-06-09,100.784,101.188,53944YAD5=
2017-06-12,100.687,101.09,53944YAD5=
2017-06-13,100.695,101.098,53944YAD5=
2017-06-14,101.64,102.048,53944YAD5=
2017-06-15,101.251,101.656,53944YAD5=
2017-06-16,101.421,101.827,53944YAD5=
2017-06-19,100.879,101.283,53944YAD5=
2017-06-20,101.315,101.72,53944YAD5=
2017-06-21,101.322,101.727,53944YAD5=
2017-06-22,101.37,101.776,53944YAD5=
2017-06-23,101.573,101.979,53944YAD5=
2017-06-26,101.564,101.97,53944YAD5=
2017-06-27,101.015,101.418,53944YAD5=
2017-06-28,100.75,101.151,53944YAD5=
2017-06-29,100.813,101.215,53944YAD5=
2017-06-30,100.605,101.006,53944YAD5=
2017-07-03,99.857,100.254,53944YAD5=
2017-07-04,99.842,100.239,53944YAD5=
2017-07-05,99.786,100.183,53944YAD5=
2017-07-06,100.573,100.973,53944YAD5=
2017-07-07,100.111,100.509,53944YAD5=
2017-07-10,100.453,100.852,53944YAD5=
2017-07-11,100.23,100.628,53944YAD5=
2017-07-12,100.548,100.947,53944YAD5=
2017-07-13,100.571,100.971,53944YAD5=
2017-07-14,100.699,101.099,53944YAD5=
2017-07-17,100.826,101.227,53944YAD5=
2017-07-18,101.508,101.911,53944YAD5=
2017-07-19,101.185,101.587,53944YAD5=
2017-07-20,101.538,101.941,53944YAD5=
2017-07-21,101.682,102.086,53944YAD5=
2017-07-24,101.698,102.102,53944YAD5=
2017-07-25,101.095,101.496,53944YAD5=
2017-07-26,101.156,101.557,53944YAD5=
2017-07-27,101.118,101.519,53944YAD5=
2017-07-28,101.583,101.986,53944YAD5=
2017-07-31,101.462,101.864,53944YAD5=
2017-08-01,101.727,102.13,53944YAD5=
2017-08-02,101.741,102.144,53944YAD5=
2017-08-03,101.918,102.322,53944YAD5=
2017-08-04,101.636,102.038,53944YAD5=
2017-08-07,101.531,101.933,53944YAD5=
2017-08-08,101.427,101.828,53944YAD5=
2017-08-09,101.834,102.237,53944YAD5=
2017-08-10,101.257,101.657,53944YAD5=
2017-08-11,100.938,101.337,53944YAD5=
2017-08-14,101.153,101.552,53944YAD5=
2017-08-15,100.826,101.224,53944YAD5=
2017-08-16,101.303,101.702,53944YAD5=
2017-08-17,101.686,102.087,53944YAD5=
2017-08-18,101.525,101.926,53944YAD5=
2017-08-21,101.557,101.957,53944YAD5=
2017-08-22,101.285,101.684,53944YAD5=
2017-08-23,101.747,102.148,53944YAD5=
2017-08-24,101.133,101.531,53944YAD5=
2017-08-25,101.586,101.986,53944YAD5=
2017-08-28,101.576,101.976,53944YAD5=
2017-08-29,101.826,102.227,53944YAD5=
2017-08-30,101.688,102.088,53944YAD5=
2017-08-31,102.055,102.457,53944YAD5=
