Date,BID,ASK,RIC
2015-02-09,98.6491,99.0742,55279HAK6=
2015-02-10,98.4292,98.8531,55279HAK6=
2015-02-11,98.287,98.7098,55279HAK6=
2015-02-12,98.7538,99.1788,55279HAK6=
2015-02-13,98.2626,98.6851,55279HAK6=
2015-02-17,97.4616,97.88,55279HAK6=
2015-02-18,98.424,98.8469,55279HAK6=
2015-02-19,98.1128,98.534,55279HAK6=
2015-02-20,97.7526,98.172,55279HAK6=
2015-02-23,98.206,98.6275,55279HAK6=
2015-02-24,99.2128,99.6392,55279HAK6=
2015-02-25,99.3836,99.8103,55279HAK6=
2015-02-26,98.4609,98.883,55279HAK6=
2015-02-27,98.4192,98.8409,55279HAK6=
2015-03-02,98.1424,98.5627,55279HAK6=
2015-03-03,97.783,98.2015,55279HAK6=
2015-03-04,97.8095,98.2278,55279HAK6=
2015-03-05,97.7433,98.1611,55279HAK6=
2015-03-06,96.6672,97.0797,55279HAK6=
2015-03-09,97.6111,98.0281,55279HAK6=
2015-03-10,98.2126,98.6324,55279HAK6=
2015-03-11,98.3143,98.7343,55279HAK6=
2015-03-12,97.9718,98.39,55279HAK6=
2015-03-13,97.9222,98.3401,55279HAK6=
2015-03-16,98.2819,98.7015,55279HAK6=
2015-03-17,98.207,98.6261,55279HAK6=
2015-03-18,99.3352,99.7595,55279HAK6=
2015-03-19,98.8122,99.2338,55279HAK6=
2015-03-20,99.2171,99.6406,55279HAK6=
2015-03-23,99.2426,99.6661,55279HAK6=
2015-03-24,99.4627,99.8872,55279HAK6=
2015-03-25,99.0914,99.5138,55279HAK6=
2015-03-26,98.1696,98.5875,55279HAK6=
2015-03-27,98.4703,98.8896,55279HAK6=
2015-03-30,98.454,98.8731,55279HAK6=
2015-03-31,99.1768,99.599,55279HAK6=
2015-04-01,99.7515,100.1764,55279HAK6=
2015-04-02,99.0341,99.4554,55279HAK6=
2015-04-03,99.6583,100.0826,55279HAK6=
2015-04-06,99.4133,99.8363,55279HAK6=
2015-04-07,99.6077,100.0316,55279HAK6=
