Date,BID,ASK,RIC
2022-12-05,100.3632,100.4989,55279HAT7=
2022-12-06,100.2086,100.3439,55279HAT7=
2022-12-07,100.7531,100.8892,55279HAT7=
2022-12-08,100.5448,100.6802,55279HAT7=
2022-12-09,100.4087,100.5437,55279HAT7=
2022-12-12,101.0037,101.1396,55279HAT7=
2022-12-13,100.916,101.0516,55279HAT7=
2022-12-14,101.3886,101.5249,55279HAT7=
2022-12-15,101.2923,101.4281,55279HAT7=
2022-12-16,101.4045,101.5403,55279HAT7=
2022-12-19,101.1482,101.2835,55279HAT7=
2022-12-20,101.0837,101.2188,55279HAT7=
2022-12-21,101.0529,101.1878,55279HAT7=
2022-12-22,101.791,101.9266,55279HAT7=
2022-12-23,101.6572,101.7925,55279HAT7=
2022-12-27,101.4541,101.589,55279HAT7=
2022-12-28,100.723,100.8566,55279HAT7=
2022-12-29,100.6498,100.7829,55279HAT7=
2022-12-30,100.4929,100.6256,55279HAT7=
2023-01-02,100.5812,100.7141,55279HAT7=
2023-01-03,100.6764,100.8093,55279HAT7=
2023-01-04,100.8121,100.9451,55279HAT7=
2023-01-05,100.5477,100.6799,55279HAT7=
2023-01-06,100.8515,100.9841,55279HAT7=
2023-01-09,100.9511,101.0837,55279HAT7=
2023-01-10,100.8592,100.9916,55279HAT7=
2023-01-11,100.9714,101.1038,55279HAT7=
2023-01-12,101.5187,101.6515,55279HAT7=
2023-01-13,101.3093,101.4417,55279HAT7=
2023-01-16,101.2432,101.3755,55279HAT7=
2023-01-17,101.3402,101.4725,55279HAT7=
2023-01-18,101.6668,101.7995,55279HAT7=
2023-01-19,101.5716,101.7038,55279HAT7=
2023-01-20,101.4192,101.551,55279HAT7=
2023-01-23,101.3635,101.4951,55279HAT7=
2023-01-24,101.5574,101.6892,55279HAT7=
2023-01-25,101.6163,101.7481,55279HAT7=
2023-01-26,101.4674,101.5986,55279HAT7=
2023-01-27,101.4455,101.5767,55279HAT7=
2023-01-30,101.6905,101.8219,55279HAT7=
2023-01-31,101.8162,101.9477,55279HAT7=
2023-02-01,102.1328,102.2647,55279HAT7=
2023-02-02,101.8398,101.9709,55279HAT7=
2023-02-03,101.3747,101.5049,55279HAT7=
2023-02-06,100.8218,100.951,55279HAT7=
2023-02-07,100.8935,101.0227,55279HAT7=
2023-02-08,100.8712,101.0003,55279HAT7=
2023-02-09,100.6909,100.8193,55279HAT7=
2023-02-10,100.5487,100.6768,55279HAT7=
2023-02-13,100.6881,100.8163,55279HAT7=
2023-02-14,100.5422,100.67,55279HAT7=
2023-02-15,100.4841,100.6117,55279HAT7=
2023-02-16,100.4312,100.5583,55279HAT7=
2023-02-17,100.5654,100.6926,55279HAT7=
2023-02-20,100.4629,100.5899,55279HAT7=
2023-02-21,100.4803,100.6072,55279HAT7=
2023-02-22,100.2953,100.4218,55279HAT7=
2023-02-23,100.3664,100.4927,55279HAT7=
2023-02-24,100.1122,100.2377,55279HAT7=
2023-02-27,100.1503,100.2757,55279HAT7=
2023-02-28,99.8095,99.9343,55279HAT7=
2023-03-01,99.6362,99.7606,55279HAT7=
2023-03-02,99.7164,99.8406,55279HAT7=
2023-03-03,99.7935,99.9177,55279HAT7=
2023-03-06,99.7612,99.8852,55279HAT7=
2023-03-07,99.4758,99.5993,55279HAT7=
2023-03-08,99.3764,99.4996,55279HAT7=
2023-03-09,99.8511,99.9747,55279HAT7=
2023-03-10,99.9502,100.0738,55279HAT7=
