Date,BID,ASK,RIC
2018-02-28,100.11,100.416,606822AU8=
2018-03-01,100.226,100.532,606822AU8=
2018-03-02,99.89,100.195,606822AU8=
2018-03-05,99.817,100.121,606822AU8=
2018-03-06,99.775,100.079,606822AU8=
2018-03-07,99.696,99.999,606822AU8=
2018-03-08,99.823,100.127,606822AU8=
2018-03-09,99.665,99.969,606822AU8=
2018-03-12,99.787,100.09,606822AU8=
2018-03-13,99.908,100.212,606822AU8=
2018-03-14,100.011,100.315,606822AU8=
2018-03-15,99.98,100.284,606822AU8=
2018-03-16,99.871,100.174,606822AU8=
2018-03-19,99.799,100.102,606822AU8=
2018-03-20,99.545,99.847,606822AU8=
2018-03-21,99.491,99.793,606822AU8=
2018-03-22,99.859,100.162,606822AU8=
2018-03-23,99.919,100.222,606822AU8=
2018-03-26,99.467,99.768,606822AU8=
2018-03-27,99.913,100.216,606822AU8=
2018-03-28,99.618,99.919,606822AU8=
2018-03-29,100.046,100.348,606822AU8=
2018-04-02,100.173,100.475,606822AU8=
2018-04-03,99.714,100.015,606822AU8=
2018-04-04,99.444,99.745,606822AU8=
2018-04-05,99.553,99.853,606822AU8=
2018-04-06,100.039,100.341,606822AU8=
2018-04-09,100.166,100.468,606822AU8=
2018-04-10,99.913,100.214,606822AU8=
2018-04-11,100.081,100.383,606822AU8=
2018-04-12,99.805,100.105,606822AU8=
2018-04-13,99.697,99.997,606822AU8=
2018-04-16,99.416,99.715,606822AU8=
2018-04-17,99.518,99.817,606822AU8=
2018-04-18,99.745,100.045,606822AU8=
2018-04-19,99.459,99.757,606822AU8=
2018-04-20,99.28,99.578,606822AU8=
2018-04-23,98.961,99.257,606822AU8=
2018-04-24,98.754,99.05,606822AU8=
2018-04-25,98.737,99.032,606822AU8=
2018-04-26,99.27,99.567,606822AU8=
2018-04-27,99.027,99.323,606822AU8=
2018-04-30,99.353,99.65,606822AU8=
2018-05-01,99.028,99.324,606822AU8=
2018-05-02,98.999,99.294,606822AU8=
2018-05-03,99.342,99.639,606822AU8=
2018-05-04,99.254,99.55,606822AU8=
2018-05-07,99.077,99.372,606822AU8=
2018-05-08,98.989,99.284,606822AU8=
2018-05-09,98.978,99.272,606822AU8=
2018-05-10,99.173,99.468,606822AU8=
2018-05-11,98.973,99.267,606822AU8=
2018-05-14,98.856,99.15,606822AU8=
2018-05-15,98.342,98.634,606822AU8=
2018-05-16,98.576,98.868,606822AU8=
2018-05-17,98.094,98.385,606822AU8=
2018-05-18,98.899,99.193,606822AU8=
2018-05-21,98.479,98.771,606822AU8=
2018-05-22,98.579,98.871,606822AU8=
2018-05-23,99.006,99.299,606822AU8=
2018-05-24,99.212,99.506,606822AU8=
2018-05-25,99.536,99.83,606822AU8=
2018-05-28,99.784,100.079,606822AU8=
2018-05-29,100.092,100.388,606822AU8=
2018-05-30,99.483,99.777,606822AU8=
2018-05-31,99.319,99.613,606822AU8=
2018-06-01,99.243,99.536,606822AU8=
2018-06-04,98.969,99.261,606822AU8=
2018-06-05,99.115,99.408,606822AU8=
2018-06-06,98.958,99.25,606822AU8=
2018-06-07,99.216,99.508,606822AU8=
2018-06-08,98.942,99.234,606822AU8=
2018-06-11,99.321,99.614,606822AU8=
