Date,BID,ASK,RIC
2019-02-28,99.95,100.365,606822BH6=
2019-03-01,99.604,100.017,606822BH6=
2019-03-04,99.876,100.29,606822BH6=
2019-03-05,99.934,100.348,606822BH6=
2019-03-06,100.149,100.565,606822BH6=
2019-03-07,100.564,100.981,606822BH6=
2019-03-08,100.422,100.839,606822BH6=
2019-03-11,100.331,100.747,606822BH6=
2019-03-12,100.672,101.089,606822BH6=
2019-03-13,100.463,100.88,606822BH6=
2019-03-14,100.421,100.837,606822BH6=
2019-03-15,100.745,101.163,606822BH6=
2019-03-18,100.612,101.029,606822BH6=
2019-03-19,100.52,100.937,606822BH6=
2019-03-20,101.304,101.724,606822BH6=
2019-03-21,101.177,101.596,606822BH6=
2019-03-22,102.034,102.457,606822BH6=
2019-03-25,102.304,102.728,606822BH6=
2019-03-26,102.134,102.557,606822BH6=
2019-03-27,102.506,102.931,606822BH6=
2019-03-28,102.42,102.844,606822BH6=
2019-03-29,102.267,102.69,606822BH6=
2019-04-01,101.475,101.895,606822BH6=
2019-04-02,101.735,102.156,606822BH6=
2019-04-03,101.266,101.684,606822BH6=
2019-04-04,101.39,101.809,606822BH6=
2019-04-05,102.01,102.431,606822BH6=
2019-04-08,101.833,102.254,606822BH6=
2019-04-09,101.816,102.236,606822BH6=
2019-04-10,101.874,102.294,606822BH6=
2019-04-11,102.007,102.428,606822BH6=
2019-04-12,101.47,101.889,606822BH6=
2019-04-15,101.528,101.947,606822BH6=
2019-04-16,101.228,101.645,606822BH6=
2019-04-17,101.543,101.961,606822BH6=
2019-04-18,101.827,102.246,606822BH6=
2019-04-19,101.845,102.264,606822BH6=
2019-04-22,101.6,102.019,606822BH6=
2019-04-23,101.75,102.169,606822BH6=
2019-04-24,102.261,102.682,606822BH6=
2019-04-25,102.125,102.545,606822BH6=
2019-04-26,102.393,102.815,606822BH6=
2019-04-29,102.183,102.603,606822BH6=
2019-04-30,102.375,102.796,606822BH6=
2019-05-01,102.391,102.812,606822BH6=
2019-05-02,102.029,102.448,606822BH6=
2019-05-03,102.154,102.574,606822BH6=
2019-05-06,102.405,102.826,606822BH6=
2019-05-07,102.842,103.265,606822BH6=
2019-05-08,102.513,102.934,606822BH6=
2019-05-09,102.713,103.135,606822BH6=
2019-05-10,102.544,102.965,606822BH6=
2019-05-13,102.552,102.973,606822BH6=
2019-05-14,102.451,102.871,606822BH6=
2019-05-15,102.761,103.182,606822BH6=
2019-05-16,102.599,103.02,606822BH6=
2019-05-17,102.96,103.382,606822BH6=
2019-05-20,102.825,103.246,606822BH6=
2019-05-21,102.748,103.169,606822BH6=
2019-05-22,103.151,103.574,606822BH6=
2019-05-23,103.638,104.063,606822BH6=
2019-05-24,103.613,104.037,606822BH6=
2019-05-27,103.717,104.142,606822BH6=
2019-05-28,104.01,104.436,606822BH6=
2019-05-29,104.051,104.477,606822BH6=
2019-05-30,104.442,104.87,606822BH6=
2019-05-31,105.16,105.592,606822BH6=
2019-06-03,105.668,106.102,606822BH6=
2019-06-04,105.089,105.52,606822BH6=
2019-06-05,105.088,105.518,606822BH6=
2019-06-06,105.17,105.601,606822BH6=
2019-06-07,104.886,105.315,606822BH6=
2019-06-10,103.897,104.321,606822BH6=
2019-06-11,104.875,105.304,606822BH6=
2019-06-12,105.156,105.587,606822BH6=
2019-06-13,105.574,106.006,606822BH6=
2019-06-14,105.633,106.065,606822BH6=
2019-06-17,105.073,105.502,606822BH6=
2019-06-18,106.045,106.479,606822BH6=
2019-06-19,106.738,107.175,606822BH6=
2019-06-20,106.342,106.777,606822BH6=
2019-06-21,106.897,107.335,606822BH6=
2019-06-24,106.904,107.342,606822BH6=
2019-06-25,107.165,107.603,606822BH6=
2019-06-26,106.709,107.145,606822BH6=
2019-06-27,107.368,107.807,606822BH6=
2019-06-28,106.99,107.427,606822BH6=
2019-07-01,107.285,107.724,606822BH6=
2019-07-02,106.811,107.247,606822BH6=
2019-07-03,106.58,107.015,606822BH6=
2019-07-04,106.623,107.058,606822BH6=
2019-07-05,106.874,107.309,606822BH6=
2019-07-08,106.794,107.229,606822BH6=
2019-07-09,106.411,106.844,606822BH6=
2019-07-10,106.504,106.938,606822BH6=
2019-07-11,105.365,105.793,606822BH6=
2019-07-12,105.783,106.213,606822BH6=
2019-07-15,105.474,105.902,606822BH6=
2019-07-16,105.25,105.678,606822BH6=
2019-07-17,105.959,106.39,606822BH6=
2019-07-18,106.015,106.445,606822BH6=
2019-07-19,105.389,105.816,606822BH6=
2019-07-22,106.149,106.58,606822BH6=
2019-07-23,105.395,105.822,606822BH6=
2019-07-24,105.975,106.405,606822BH6=
2019-07-25,105.936,106.366,606822BH6=
2019-07-26,105.935,106.364,606822BH6=
2019-07-29,105.591,106.019,606822BH6=
2019-07-30,105.882,106.311,606822BH6=
2019-07-31,106.249,106.68,606822BH6=
2019-08-01,107.324,107.759,606822BH6=
2019-08-02,107.835,108.273,606822BH6=
2019-08-05,108.578,109.019,606822BH6=
2019-08-06,108.33,108.77,606822BH6=
2019-08-07,107.847,108.284,606822BH6=
2019-08-08,108.541,108.981,606822BH6=
2019-08-09,108.232,108.671,606822BH6=
2019-08-12,108.634,109.074,606822BH6=
2019-08-13,108.263,108.702,606822BH6=
2019-08-14,109.308,109.751,606822BH6=
2019-08-15,109.753,110.198,606822BH6=
2019-08-16,108.166,108.603,606822BH6=
2019-08-19,108.373,108.812,606822BH6=
2019-08-20,109.746,110.19,606822BH6=
2019-08-21,108.667,109.107,606822BH6=
2019-08-22,108.757,109.197,606822BH6=
2019-08-23,109.371,109.813,606822BH6=
2019-08-26,109.324,109.766,606822BH6=
2019-08-27,109.799,110.244,606822BH6=
2019-08-28,108.968,109.408,606822BH6=
2019-08-29,109.33,109.772,606822BH6=
2019-08-30,109.038,109.478,606822BH6=
2019-09-02,109.636,110.079,606822BH6=
2019-09-03,109.811,110.255,606822BH6=
2019-09-04,109.986,110.43,606822BH6=
2019-09-05,109.51,109.951,606822BH6=
2019-09-06,110.25,110.695,606822BH6=
2019-09-09,108.698,109.135,606822BH6=
2019-09-10,108.103,108.538,606822BH6=
2019-09-11,107.833,108.266,606822BH6=
2019-09-12,107.284,107.714,606822BH6=
2019-09-13,105.892,106.316,606822BH6=
2019-09-16,106.894,107.323,606822BH6=
