Date,BID,ASK,RIC
2019-07-18,101.225,101.938,606822BK9=
2019-07-19,101.695,102.411,606822BK9=
2019-07-22,102.109,102.83,606822BK9=
2019-07-23,101.31,102.023,606822BK9=
2019-07-24,102.31,103.032,606822BK9=
2019-07-25,101.864,102.582,606822BK9=
2019-07-26,102.194,102.915,606822BK9=
2019-07-29,102.241,102.962,606822BK9=
2019-07-30,101.993,102.712,606822BK9=
2019-07-31,102.409,103.131,606822BK9=
2019-08-01,103.742,104.476,606822BK9=
2019-08-02,104.653,105.396,606822BK9=
2019-08-05,105.142,105.889,606822BK9=
2019-08-06,106.083,106.838,606822BK9=
2019-08-07,106.067,106.822,606822BK9=
2019-08-08,106.261,107.017,606822BK9=
2019-08-09,105.81,106.562,606822BK9=
2019-08-12,107.488,108.255,606822BK9=
2019-08-13,106.184,106.939,606822BK9=
2019-08-14,108.516,109.292,606822BK9=
2019-08-15,109.555,110.34,606822BK9=
2019-08-16,108.004,108.775,606822BK9=
2019-08-19,107.36,108.126,606822BK9=
2019-08-20,108.125,108.897,606822BK9=
2019-08-21,107.695,108.463,606822BK9=
2019-08-22,107.235,107.999,606822BK9=
2019-08-23,108.105,108.877,606822BK9=
2019-08-26,107.89,108.66,606822BK9=
2019-08-27,109.279,110.061,606822BK9=
2019-08-28,109.481,110.265,606822BK9=
2019-08-29,109.572,110.356,606822BK9=
2019-08-30,109.555,110.339,606822BK9=
2019-09-02,109.728,110.514,606822BK9=
2019-09-03,109.695,110.48,606822BK9=
2019-09-04,109.35,110.133,606822BK9=
2019-09-05,108.141,108.913,606822BK9=
2019-09-06,108.587,109.362,606822BK9=
2019-09-09,106.95,107.711,606822BK9=
2019-09-10,106.121,106.874,606822BK9=
2019-09-11,106.135,106.888,606822BK9=
2019-09-12,105.655,106.404,606822BK9=
2019-09-13,103.943,104.677,606822BK9=
2019-09-16,104.956,105.699,606822BK9=
2019-09-17,105.594,106.342,606822BK9=
2019-09-18,105.906,106.657,606822BK9=
2019-09-19,106.204,106.957,606822BK9=
