Date,BID,ASK,RIC
2019-07-18,101.017,101.447,606822BM5=
2019-07-19,100.733,101.162,606822BM5=
2019-07-22,100.896,101.326,606822BM5=
2019-07-23,100.485,100.913,606822BM5=
2019-07-24,100.724,101.153,606822BM5=
2019-07-25,100.433,100.86,606822BM5=
2019-07-26,101.031,101.461,606822BM5=
2019-07-29,101.117,101.547,606822BM5=
2019-07-30,100.98,101.409,606822BM5=
2019-07-31,101.005,101.435,606822BM5=
2019-08-01,101.908,102.342,606822BM5=
2019-08-02,102.42,102.856,606822BM5=
2019-08-05,103.337,103.778,606822BM5=
2019-08-06,103.354,103.795,606822BM5=
2019-08-07,103.309,103.75,606822BM5=
2019-08-08,102.869,103.307,606822BM5=
2019-08-09,102.65,103.087,606822BM5=
2019-08-12,103.402,103.842,606822BM5=
2019-08-13,102.858,103.296,606822BM5=
2019-08-14,103.902,104.344,606822BM5=
2019-08-15,104.616,105.062,606822BM5=
2019-08-16,103.73,104.172,606822BM5=
2019-08-19,103.325,103.765,606822BM5=
2019-08-20,103.905,104.346,606822BM5=
2019-08-21,103.534,103.974,606822BM5=
2019-08-22,103.716,104.156,606822BM5=
2019-08-23,104.421,104.864,606822BM5=
2019-08-26,104.375,104.819,606822BM5=
2019-08-27,104.942,105.388,606822BM5=
2019-08-28,104.994,105.441,606822BM5=
2019-08-29,104.742,105.186,606822BM5=
2019-08-30,104.803,105.248,606822BM5=
2019-09-02,104.784,105.229,606822BM5=
2019-09-03,105.139,105.586,606822BM5=
2019-09-04,105.049,105.495,606822BM5=
2019-09-05,104.222,104.664,606822BM5=
2019-09-06,104.256,104.698,606822BM5=
2019-09-09,103.501,103.939,606822BM5=
2019-09-10,102.648,103.081,606822BM5=
2019-09-11,102.639,103.072,606822BM5=
2019-09-12,102.352,102.784,606822BM5=
2019-09-13,101.298,101.725,606822BM5=
2019-09-16,101.793,102.221,606822BM5=
2019-09-17,102.333,102.764,606822BM5=
2019-09-18,102.418,102.85,606822BM5=
2019-09-19,102.528,102.96,606822BM5=
2019-09-20,103.098,103.533,606822BM5=
2019-09-23,103.08,103.514,606822BM5=
2019-09-24,103.871,104.309,606822BM5=
2019-09-25,103.113,103.547,606822BM5=
2019-09-26,103.475,103.911,606822BM5=
2019-09-27,103.561,103.997,606822BM5=
2019-09-30,103.552,103.988,606822BM5=
2019-10-01,103.057,103.49,606822BM5=
2019-10-02,103.802,104.239,606822BM5=
2019-10-03,104.368,104.807,606822BM5=
2019-10-04,104.41,104.85,606822BM5=
2019-10-07,104.112,104.55,606822BM5=
2019-10-08,104.382,104.821,606822BM5=
2019-10-09,103.9,104.337,606822BM5=
2019-10-10,103.177,103.61,606822BM5=
2019-10-11,102.625,103.055,606822BM5=
2019-10-14,102.833,103.264,606822BM5=
2019-10-15,102.736,103.167,606822BM5=
2019-10-16,103.045,103.477,606822BM5=
2019-10-17,103.0,103.431,606822BM5=
2019-10-18,102.707,103.137,606822BM5=
2019-10-21,102.373,102.801,606822BM5=
2019-10-22,102.757,103.187,606822BM5=
2019-10-23,102.757,103.186,606822BM5=
2019-10-24,102.9,103.33,606822BM5=
2019-10-25,102.737,103.166,606822BM5=
2019-10-28,102.343,102.77,606822BM5=
2019-10-29,102.403,102.83,606822BM5=
2019-10-30,102.95,103.38,606822BM5=
2019-10-31,103.619,104.051,606822BM5=
2019-11-01,103.816,104.25,606822BM5=
2019-11-04,103.229,103.66,606822BM5=
2019-11-05,102.843,103.271,606822BM5=
2019-11-06,103.073,103.503,606822BM5=
2019-11-07,102.311,102.737,606822BM5=
2019-11-08,102.175,102.6,606822BM5=
2019-11-11,102.321,102.747,606822BM5=
2019-11-12,102.318,102.744,606822BM5=
2019-11-13,102.632,103.059,606822BM5=
2019-11-14,103.22,103.649,606822BM5=
2019-11-15,103.099,103.528,606822BM5=
2019-11-18,103.536,103.966,606822BM5=
2019-11-19,103.801,104.233,606822BM5=
2019-11-20,103.431,103.861,606822BM5=
2019-11-21,103.609,104.039,606822BM5=
2019-11-22,103.737,104.168,606822BM5=
2019-11-25,103.899,104.331,606822BM5=
2019-11-26,103.906,104.337,606822BM5=
2019-11-27,103.68,104.11,606822BM5=
2019-11-28,103.575,104.005,606822BM5=
2019-11-29,103.619,104.048,606822BM5=
2019-12-02,103.464,103.892,606822BM5=
2019-12-03,104.089,104.521,606822BM5=
2019-12-04,103.573,104.002,606822BM5=
2019-12-05,103.485,103.914,606822BM5=
2019-12-06,103.194,103.621,606822BM5=
2019-12-09,103.381,103.809,606822BM5=
2019-12-10,103.457,103.885,606822BM5=
2019-12-11,103.704,104.133,606822BM5=
2019-12-12,103.062,103.488,606822BM5=
2019-12-13,103.471,103.898,606822BM5=
2019-12-16,103.663,104.092,606822BM5=
2019-12-17,103.673,104.101,606822BM5=
2019-12-18,102.948,103.373,606822BM5=
2019-12-19,102.951,103.375,606822BM5=
2019-12-20,103.103,103.528,606822BM5=
2019-12-23,103.013,103.437,606822BM5=
2019-12-24,103.223,103.648,606822BM5=
2019-12-25,103.177,103.602,606822BM5=
2019-12-26,103.301,103.726,606822BM5=
2019-12-27,103.263,103.688,606822BM5=
2019-12-30,103.677,104.104,606822BM5=
2019-12-31,103.392,103.818,606822BM5=
2020-01-01,103.468,103.894,606822BM5=
2020-01-02,103.79,104.217,606822BM5=
2020-01-03,104.277,104.706,606822BM5=
2020-01-06,104.206,104.634,606822BM5=
2020-01-07,103.998,104.426,606822BM5=
2020-01-08,103.301,103.725,606822BM5=
2020-01-09,103.465,103.889,606822BM5=
2020-01-10,103.704,104.129,606822BM5=
2020-01-13,103.796,104.222,606822BM5=
2020-01-14,103.744,104.17,606822BM5=
2020-01-15,103.757,104.182,606822BM5=
2020-01-16,103.538,103.962,606822BM5=
2020-01-17,103.524,103.948,606822BM5=
2020-01-20,103.529,103.953,606822BM5=
2020-01-21,103.93,104.356,606822BM5=
2020-01-22,103.93,104.355,606822BM5=
2020-01-23,104.306,104.733,606822BM5=
2020-01-24,104.738,105.167,606822BM5=
2020-01-27,105.119,105.55,606822BM5=
2020-01-28,104.399,104.826,606822BM5=
2020-01-29,105.08,105.51,606822BM5=
2020-01-30,105.121,105.551,606822BM5=
2020-01-31,105.931,106.366,606822BM5=
2020-02-03,105.389,105.82,606822BM5=
2020-02-04,104.884,105.313,606822BM5=
2020-02-05,104.841,105.269,606822BM5=
2020-02-06,105.399,105.83,606822BM5=
2020-02-07,105.93,106.363,606822BM5=
2020-02-10,105.933,106.366,606822BM5=
2020-02-11,105.182,105.611,606822BM5=
2020-02-12,105.036,105.465,606822BM5=
2020-02-13,105.259,105.688,606822BM5=
2020-02-14,105.332,105.762,606822BM5=
2020-02-17,105.33,105.76,606822BM5=
2020-02-18,105.794,106.225,606822BM5=
2020-02-19,105.723,106.155,606822BM5=
2020-02-20,106.153,106.586,606822BM5=
2020-02-21,106.079,106.512,606822BM5=
2020-02-24,106.501,106.935,606822BM5=
2020-02-25,106.238,106.671,606822BM5=
2020-02-26,106.433,106.867,606822BM5=
2020-02-27,106.552,106.986,606822BM5=
2020-02-28,106.869,107.304,606822BM5=
2020-03-02,107.009,107.445,606822BM5=
2020-03-03,107.982,108.422,606822BM5=
2020-03-04,107.608,108.046,606822BM5=
2020-03-05,108.547,108.99,606822BM5=
2020-03-06,107.555,107.992,606822BM5=
2020-03-09,106.767,107.201,606822BM5=
2020-03-10,105.399,105.826,606822BM5=
2020-03-11,103.8,104.22,606822BM5=
2020-03-12,103.965,104.385,606822BM5=
2020-03-13,100.001,100.403,606822BM5=
2020-03-16,98.811,99.207,606822BM5=
2020-03-17,96.289,96.673,606822BM5=
2020-03-18,95.435,95.968,606822BM5=
2020-03-19,95.18,95.711,606822BM5=
2020-03-20,85.191,85.658,606822BM5=
2020-03-23,90.022,90.52,606822BM5=
2020-03-24,92.202,92.714,606822BM5=
2020-03-25,92.569,93.083,606822BM5=
2020-03-26,98.369,98.92,606822BM5=
2020-03-27,99.417,99.975,606822BM5=
2020-03-30,99.576,100.134,606822BM5=
2020-03-31,101.242,101.811,606822BM5=
2020-04-01,100.892,101.459,606822BM5=
2020-04-02,100.626,101.19,606822BM5=
2020-04-03,101.868,102.441,606822BM5=
2020-04-06,101.394,101.963,606822BM5=
2020-04-07,101.848,102.42,606822BM5=
2020-04-08,101.526,102.095,606822BM5=
2020-04-09,103.955,104.539,606822BM5=
2020-04-10,104.079,104.665,606822BM5=
2020-04-13,104.939,105.53,606822BM5=
2020-04-14,104.505,105.093,606822BM5=
2020-04-15,105.626,106.221,606822BM5=
2020-04-16,106.151,106.749,606822BM5=
2020-04-17,105.974,106.571,606822BM5=
2020-04-20,106.1,106.697,606822BM5=
2020-04-21,105.642,106.236,606822BM5=
2020-04-22,105.566,106.159,606822BM5=
2020-04-23,105.215,105.806,606822BM5=
2020-04-24,104.917,105.506,606822BM5=
2020-04-27,104.964,105.553,606822BM5=
2020-04-28,105.537,106.129,606822BM5=
2020-04-29,105.452,106.044,606822BM5=
2020-04-30,105.56,106.152,606822BM5=
2020-05-01,105.151,105.74,606822BM5=
2020-05-04,105.033,105.621,606822BM5=
2020-05-05,105.862,106.455,606822BM5=
2020-05-06,105.926,106.519,606822BM5=
2020-05-07,105.512,106.102,606822BM5=
2020-05-08,105.304,105.893,606822BM5=
2020-05-11,104.204,104.786,606822BM5=
2020-05-12,104.838,105.424,606822BM5=
2020-05-13,104.476,104.976,606822BM5=
2020-05-14,105.081,105.584,606822BM5=
2020-05-15,104.894,105.395,606822BM5=
2020-05-18,104.733,105.233,606822BM5=
2020-05-19,105.607,106.112,606822BM5=
2020-05-20,106.071,106.579,606822BM5=
2020-05-21,105.922,106.428,606822BM5=
2020-05-22,106.738,107.249,606822BM5=
2020-05-25,106.769,107.28,606822BM5=
2020-05-26,106.154,106.661,606822BM5=
2020-05-27,107.288,107.801,606822BM5=
2020-05-28,106.826,107.337,606822BM5=
2020-05-29,107.225,107.738,606822BM5=
2020-06-01,107.283,107.795,606822BM5=
2020-06-02,107.762,108.278,606822BM5=
2020-06-03,106.66,107.169,606822BM5=
2020-06-04,107.458,107.971,606822BM5=
2020-06-05,106.137,106.643,606822BM5=
2020-06-08,108.363,108.88,606822BM5=
2020-06-09,108.402,108.92,606822BM5=
2020-06-10,109.339,109.862,606822BM5=
2020-06-11,109.418,109.941,606822BM5=
2020-06-12,108.133,108.649,606822BM5=
2020-06-15,107.679,108.192,606822BM5=
2020-06-16,108.474,108.991,606822BM5=
2020-06-17,108.521,109.038,606822BM5=
2020-06-18,109.086,109.606,606822BM5=
2020-06-19,109.374,109.895,606822BM5=
2020-06-22,109.039,109.558,606822BM5=
2020-06-23,109.193,109.713,606822BM5=
2020-06-24,109.395,109.916,606822BM5=
2020-06-25,109.366,109.887,606822BM5=
2020-06-26,109.227,109.746,606822BM5=
2020-06-29,109.487,110.008,606822BM5=
2020-06-30,108.717,109.234,606822BM5=
2020-07-01,108.815,109.331,606822BM5=
2020-07-02,109.195,109.713,606822BM5=
2020-07-03,109.215,109.734,606822BM5=
2020-07-06,109.347,109.866,606822BM5=
2020-07-07,109.583,110.104,606822BM5=
2020-07-08,109.484,110.004,606822BM5=
2020-07-09,109.888,110.409,606822BM5=
2020-07-10,109.729,110.25,606822BM5=
2020-07-13,109.506,110.025,606822BM5=
2020-07-14,109.724,110.244,606822BM5=
2020-07-15,109.65,110.169,606822BM5=
2020-07-16,109.544,110.063,606822BM5=
2020-07-17,109.903,110.424,606822BM5=
2020-07-20,110.317,110.84,606822BM5=
2020-07-21,110.646,111.17,606822BM5=
2020-07-22,110.77,111.295,606822BM5=
2020-07-23,110.775,111.3,606822BM5=
2020-07-24,110.937,111.462,606822BM5=
2020-07-27,110.797,111.321,606822BM5=
2020-07-28,110.923,111.448,606822BM5=
2020-07-29,111.38,111.908,606822BM5=
2020-07-30,111.731,112.259,606822BM5=
2020-07-31,111.668,112.197,606822BM5=
2020-08-03,111.234,111.76,606822BM5=
2020-08-04,112.211,112.742,606822BM5=
2020-08-05,112.605,113.137,606822BM5=
2020-08-06,112.223,112.665,606822BM5=
2020-08-07,112.177,112.618,606822BM5=
2020-08-10,112.417,112.859,606822BM5=
2020-08-11,111.712,112.151,606822BM5=
2020-08-12,111.579,112.017,606822BM5=
2020-08-13,111.463,111.901,606822BM5=
2020-08-14,111.495,111.932,606822BM5=
2020-08-17,111.549,111.986,606822BM5=
2020-08-18,111.242,111.678,606822BM5=
2020-08-19,111.135,111.57,606822BM5=
2020-08-20,111.211,111.646,606822BM5=
