Date,BID,ASK,RIC
2020-07-15,100.164,100.453,606822BS2=
2020-07-16,100.207,100.496,606822BS2=
2020-07-17,100.202,100.491,606822BS2=
2020-07-20,100.192,100.481,606822BS2=
2020-07-21,100.255,100.544,606822BS2=
2020-07-22,100.221,100.51,606822BS2=
2020-07-23,100.254,100.542,606822BS2=
2020-07-24,100.22,100.508,606822BS2=
2020-07-27,100.648,100.937,606822BS2=
2020-07-28,101.227,101.518,606822BS2=
2020-07-29,101.136,101.426,606822BS2=
2020-07-30,101.258,101.549,606822BS2=
2020-07-31,101.359,101.65,606822BS2=
2020-08-03,102.278,102.571,606822BS2=
2020-08-04,102.413,102.707,606822BS2=
2020-08-05,102.26,102.554,606822BS2=
2020-08-06,102.296,102.54,606822BS2=
2020-08-07,102.168,102.411,606822BS2=
2020-08-10,102.142,102.386,606822BS2=
2020-08-11,101.942,102.185,606822BS2=
2020-08-12,101.834,102.077,606822BS2=
2020-08-13,101.73,101.972,606822BS2=
2020-08-14,101.85,102.092,606822BS2=
2020-08-17,101.873,102.115,606822BS2=
2020-08-18,101.935,102.176,606822BS2=
2020-08-19,101.871,102.112,606822BS2=
2020-08-20,101.954,102.196,606822BS2=
2020-08-21,101.973,102.214,606822BS2=
2020-08-24,101.904,102.145,606822BS2=
2020-08-25,101.836,102.076,606822BS2=
2020-08-26,101.878,102.119,606822BS2=
2020-08-27,101.747,101.987,606822BS2=
2020-08-28,101.956,102.197,606822BS2=
2020-08-31,101.96,102.2,606822BS2=
2020-09-01,102.036,102.276,606822BS2=
2020-09-02,102.035,102.275,606822BS2=
2020-09-03,102.054,102.294,606822BS2=
2020-09-04,101.809,102.048,606822BS2=
2020-09-07,101.847,102.086,606822BS2=
2020-09-08,101.942,102.181,606822BS2=
2020-09-09,101.431,101.669,606822BS2=
2020-09-10,101.481,101.718,606822BS2=
2020-09-11,101.547,101.784,606822BS2=
2020-09-14,101.484,101.721,606822BS2=
2020-09-15,101.455,101.692,606822BS2=
2020-09-16,101.308,101.544,606822BS2=
