Date,BID,ASK,RIC
2020-07-15,100.506,101.05,606822BU7=
2020-07-16,100.641,101.186,606822BU7=
2020-07-17,100.586,101.131,606822BU7=
2020-07-20,100.686,101.231,606822BU7=
2020-07-21,101.021,101.568,606822BU7=
2020-07-22,101.076,101.623,606822BU7=
2020-07-23,101.275,101.823,606822BU7=
2020-07-24,101.183,101.731,606822BU7=
2020-07-27,101.657,102.207,606822BU7=
2020-07-28,101.986,102.538,606822BU7=
2020-07-29,101.733,102.284,606822BU7=
2020-07-30,102.472,103.026,606822BU7=
2020-07-31,102.591,103.146,606822BU7=
2020-08-03,102.397,102.95,606822BU7=
2020-08-04,102.783,103.339,606822BU7=
2020-08-05,102.635,103.19,606822BU7=
2020-08-06,103.187,103.652,606822BU7=
2020-08-07,102.835,103.298,606822BU7=
2020-08-10,102.705,103.167,606822BU7=
2020-08-11,102.135,102.594,606822BU7=
2020-08-12,101.851,102.308,606822BU7=
2020-08-13,101.449,101.904,606822BU7=
2020-08-14,101.522,101.977,606822BU7=
2020-08-17,102.15,102.608,606822BU7=
2020-08-18,102.314,102.773,606822BU7=
2020-08-19,102.194,102.653,606822BU7=
2020-08-20,102.486,102.945,606822BU7=
2020-08-21,102.65,103.11,606822BU7=
2020-08-24,102.475,102.934,606822BU7=
2020-08-25,101.708,102.164,606822BU7=
2020-08-26,101.708,102.163,606822BU7=
2020-08-27,101.104,101.556,606822BU7=
2020-08-28,101.39,101.843,606822BU7=
2020-08-31,101.543,101.997,606822BU7=
2020-09-01,101.851,102.306,606822BU7=
2020-09-02,102.069,102.525,606822BU7=
2020-09-03,102.176,102.632,606822BU7=
2020-09-04,101.405,101.857,606822BU7=
2020-09-07,101.372,101.824,606822BU7=
2020-09-08,101.775,102.229,606822BU7=
2020-09-09,101.612,102.065,606822BU7=
2020-09-10,101.773,102.227,606822BU7=
2020-09-11,101.872,102.326,606822BU7=
2020-09-14,101.808,102.262,606822BU7=
2020-09-15,101.763,102.216,606822BU7=
2020-09-16,101.419,101.871,606822BU7=
2020-09-17,101.499,101.951,606822BU7=
2020-09-18,101.454,101.905,606822BU7=
2020-09-21,101.688,102.14,606822BU7=
2020-09-22,101.04,101.489,606822BU7=
2020-09-23,101.255,101.705,606822BU7=
2020-09-24,100.798,101.245,606822BU7=
2020-09-25,100.905,101.352,606822BU7=
2020-09-28,100.887,101.334,606822BU7=
2020-09-29,100.949,101.397,606822BU7=
2020-09-30,100.637,101.083,606822BU7=
2020-10-01,100.699,101.144,606822BU7=
2020-10-02,100.476,100.921,606822BU7=
2020-10-05,99.823,100.264,606822BU7=
2020-10-06,100.211,100.654,606822BU7=
2020-10-07,99.779,100.219,606822BU7=
2020-10-08,100.609,101.053,606822BU7=
2020-10-09,100.608,101.053,606822BU7=
2020-10-12,100.774,101.219,606822BU7=
2020-10-13,101.052,101.499,606822BU7=
2020-10-14,101.07,101.516,606822BU7=
2020-10-15,100.962,101.408,606822BU7=
2020-10-16,100.856,101.3,606822BU7=
2020-10-19,100.669,101.113,606822BU7=
2020-10-20,100.545,100.988,606822BU7=
2020-10-21,100.236,100.678,606822BU7=
2020-10-22,99.85,100.289,606822BU7=
2020-10-23,100.06,100.5,606822BU7=
2020-10-26,100.394,100.836,606822BU7=
2020-10-27,100.677,101.12,606822BU7=
2020-10-28,101.538,101.985,606822BU7=
2020-10-29,101.03,101.474,606822BU7=
2020-10-30,100.641,101.083,606822BU7=
2020-11-02,100.844,101.287,606822BU7=
2020-11-03,100.455,100.897,606822BU7=
2020-11-04,101.295,101.74,606822BU7=
2020-11-05,102.141,102.59,606822BU7=
2020-11-06,101.658,102.105,606822BU7=
2020-11-09,102.426,102.876,606822BU7=
2020-11-10,102.103,102.551,606822BU7=
2020-11-12,102.792,103.244,606822BU7=
2020-11-13,102.657,103.107,606822BU7=
2020-11-16,102.539,102.989,606822BU7=
2020-11-17,102.979,103.431,606822BU7=
2020-11-18,102.906,103.358,606822BU7=
2020-11-19,103.156,103.609,606822BU7=
2020-11-20,103.318,103.771,606822BU7=
2020-11-23,103.002,103.453,606822BU7=
2020-11-24,102.766,103.216,606822BU7=
2020-11-25,102.791,103.241,606822BU7=
2020-11-26,103.031,103.482,606822BU7=
2020-11-27,103.15,103.601,606822BU7=
2020-11-30,103.149,103.6,606822BU7=
2020-12-01,102.906,103.355,606822BU7=
2020-12-02,102.824,103.273,606822BU7=
2020-12-03,103.064,103.514,606822BU7=
2020-12-04,102.956,103.405,606822BU7=
2020-12-07,103.107,103.558,606822BU7=
2020-12-08,103.421,103.873,606822BU7=
2020-12-09,103.267,103.718,606822BU7=
2020-12-10,103.553,104.005,606822BU7=
2020-12-11,102.834,103.282,606822BU7=
2020-12-14,102.815,103.263,606822BU7=
2020-12-15,102.698,103.146,606822BU7=
2020-12-16,102.617,103.064,606822BU7=
2020-12-17,102.838,103.286,606822BU7=
2020-12-18,102.748,103.195,606822BU7=
2020-12-21,102.81,103.257,606822BU7=
2020-12-22,102.961,103.409,606822BU7=
2020-12-23,103.19,103.639,606822BU7=
2020-12-24,103.359,103.808,606822BU7=
2020-12-28,103.385,103.834,606822BU7=
2020-12-29,103.228,103.676,606822BU7=
2020-12-30,103.355,103.803,606822BU7=
2020-12-31,103.695,104.145,606822BU7=
2021-01-04,103.694,104.143,606822BU7=
