Date,BID,ASK,RIC
2017-02-24,101.1738,101.5957,60687YAK5=
2017-02-27,100.7538,101.1735,60687YAK5=
2017-02-28,100.486,100.9043,60687YAK5=
2017-03-01,99.9782,100.3938,60687YAK5=
2017-03-02,99.788,100.202,60687YAK5=
2017-03-03,99.779,100.194,60687YAK5=
2017-03-06,99.68,100.094,60687YAK5=
2017-03-07,99.482,99.895,60687YAK5=
2017-03-08,98.566,98.974,60687YAK5=
2017-03-09,98.656,99.064,60687YAK5=
2017-03-10,98.68,99.089,60687YAK5=
2017-03-13,98.274,98.681,60687YAK5=
2017-03-14,98.55,98.958,60687YAK5=
2017-03-15,99.302,99.713,60687YAK5=
2017-03-16,99.409,99.82,60687YAK5=
2017-03-17,99.467,99.878,60687YAK5=
2017-03-20,99.845,100.258,60687YAK5=
2017-03-21,100.491,100.907,60687YAK5=
2017-03-22,100.432,100.848,60687YAK5=
2017-03-23,100.39,100.806,60687YAK5=
2017-03-24,100.307,100.722,60687YAK5=
2017-03-27,100.335,100.75,60687YAK5=
2017-03-28,100.373,100.789,60687YAK5=
2017-03-29,100.705,101.121,60687YAK5=
2017-03-30,100.265,100.68,60687YAK5=
2017-03-31,100.713,101.129,60687YAK5=
2017-04-03,101.346,101.765,60687YAK5=
2017-04-04,100.837,101.254,60687YAK5=
2017-04-05,101.462,101.881,60687YAK5=
2017-04-06,101.277,101.696,60687YAK5=
2017-04-07,101.019,101.436,60687YAK5=
2017-04-10,101.318,101.737,60687YAK5=
2017-04-11,101.886,102.307,60687YAK5=
2017-04-12,102.67,103.094,60687YAK5=
2017-04-13,102.555,102.979,60687YAK5=
2017-04-17,102.474,102.897,60687YAK5=
2017-04-18,103.118,103.544,60687YAK5=
2017-04-19,102.844,103.268,60687YAK5=
2017-04-20,102.572,102.996,60687YAK5=
2017-04-21,102.403,102.825,60687YAK5=
2017-04-24,102.175,102.596,60687YAK5=
2017-04-25,102.065,102.486,60687YAK5=
2017-04-26,101.913,102.332,60687YAK5=
2017-04-27,102.114,102.534,60687YAK5=
2017-04-28,101.787,102.205,60687YAK5=
2017-05-01,102.18,102.6,60687YAK5=
2017-05-02,101.635,102.053,60687YAK5=
2017-05-03,101.509,101.926,60687YAK5=
2017-05-04,101.926,102.345,60687YAK5=
2017-05-05,101.767,102.185,60687YAK5=
2017-05-08,101.533,101.95,60687YAK5=
2017-05-09,101.624,102.041,60687YAK5=
2017-05-10,101.592,102.009,60687YAK5=
2017-05-11,101.914,102.332,60687YAK5=
2017-05-12,102.802,103.225,60687YAK5=
2017-05-15,102.331,102.751,60687YAK5=
2017-05-16,102.725,103.147,60687YAK5=
2017-05-17,103.763,104.19,60687YAK5=
2017-05-18,103.211,103.635,60687YAK5=
2017-05-19,103.228,103.651,60687YAK5=
2017-05-22,103.261,103.684,60687YAK5=
2017-05-23,102.838,103.26,60687YAK5=
2017-05-24,103.578,104.003,60687YAK5=
2017-05-25,103.231,103.654,60687YAK5=
2017-05-26,103.218,103.641,60687YAK5=
2017-05-30,103.627,104.052,60687YAK5=
2017-05-31,104.066,104.492,60687YAK5=
2017-06-01,103.497,103.92,60687YAK5=
2017-06-02,104.465,104.893,60687YAK5=
2017-06-05,104.003,104.429,60687YAK5=
2017-06-06,104.071,104.497,60687YAK5=
2017-06-07,103.983,104.408,60687YAK5=
