Date,BID,ASK,RIC
2014-04-15,100.1136,100.5285,60688XAG5=
2014-04-16,100.4879,100.9044,60688XAG5=
2014-04-17,99.2841,99.6948,60688XAG5=
2014-04-21,99.3301,99.7409,60688XAG5=
2014-04-22,98.7926,99.2006,60688XAG5=
2014-04-23,99.5961,100.0078,60688XAG5=
2014-04-24,99.6871,100.0992,60688XAG5=
2014-04-25,99.8183,100.2309,60688XAG5=
2014-04-28,99.553,99.9642,60688XAG5=
2014-04-29,99.5523,99.9634,60688XAG5=
2014-04-30,99.9807,100.3935,60688XAG5=
2014-05-01,100.3365,100.751,60688XAG5=
2014-05-02,100.6439,101.0598,60688XAG5=
2014-05-05,100.4585,100.8734,60688XAG5=
2014-05-06,100.5499,100.9652,60688XAG5=
2014-05-07,100.5909,101.0061,60688XAG5=
2014-05-08,100.5611,100.976,60688XAG5=
2014-05-09,100.4652,100.8796,60688XAG5=
2014-05-12,100.1549,100.5676,60688XAG5=
2014-05-13,100.2634,100.6766,60688XAG5=
2014-05-14,101.1017,101.5187,60688XAG5=
2014-05-15,101.5974,102.0167,60688XAG5=
2014-05-16,101.3114,101.7291,60688XAG5=
2014-05-19,101.1171,101.5339,60688XAG5=
2014-05-20,101.3841,101.802,60688XAG5=
2014-05-21,101.2268,101.6436,60688XAG5=
2014-05-22,101.0684,101.4844,60688XAG5=
2014-05-23,101.2273,101.6439,60688XAG5=
2014-05-27,101.346,101.7631,60688XAG5=
2014-05-28,101.9566,102.3765,60688XAG5=
2014-05-29,101.746,102.1648,60688XAG5=
2014-05-30,101.6999,102.1183,60688XAG5=
2014-06-02,101.251,101.6671,60688XAG5=
2014-06-03,100.6551,101.0683,60688XAG5=
2014-06-04,100.7764,101.1899,60688XAG5=
2014-06-05,100.777,101.1904,60688XAG5=
2014-06-06,100.6831,101.0959,60688XAG5=
2014-06-09,100.5853,100.9976,60688XAG5=
2014-06-10,100.3224,100.7334,60688XAG5=
2014-06-11,100.3309,100.7416,60688XAG5=
2014-06-12,100.6826,101.0948,60688XAG5=
2014-06-13,100.5912,101.003,60688XAG5=
2014-06-16,100.6578,101.0698,60688XAG5=
2014-06-17,100.2141,100.6238,60688XAG5=
2014-06-18,100.7388,101.1508,60688XAG5=
2014-06-19,100.48,100.8907,60688XAG5=
2014-06-20,100.5765,100.9875,60688XAG5=
2014-06-23,100.4377,100.8479,60688XAG5=
2014-06-24,100.8395,101.2516,60688XAG5=
2014-06-25,100.9765,101.3889,60688XAG5=
2014-06-26,101.2144,101.6279,60688XAG5=
2014-06-27,101.1825,101.5957,60688XAG5=
2014-06-30,101.2088,101.6221,60688XAG5=
2014-07-01,100.9224,101.3339,60688XAG5=
2014-07-02,100.432,100.841,60688XAG5=
2014-07-03,100.3246,100.733,60688XAG5=
