Date,BID,ASK,RIC
2016-07-07,99.0634,99.7188,63254AAS7=
2016-07-08,99.3863,100.044,63254AAS7=
2016-07-11,98.7771,99.4301,63254AAS7=
2016-07-12,98.1122,98.76,63254AAS7=
2016-07-13,98.8388,99.4916,63254AAS7=
2016-07-14,98.8044,98.9779,63254AAS7=
2016-07-15,98.4501,98.6228,63254AAS7=
2016-07-18,98.3125,98.4849,63254AAS7=
2016-07-19,98.6235,98.7965,63254AAS7=
2016-07-20,98.2624,98.4346,63254AAS7=
2016-07-21,98.884,99.0574,63254AAS7=
2016-07-22,98.9882,99.1617,63254AAS7=
2016-07-25,98.5648,98.7374,63254AAS7=
2016-07-26,98.6687,98.8415,63254AAS7=
2016-07-27,99.1884,99.3621,63254AAS7=
2016-07-28,99.1452,99.3188,63254AAS7=
2016-07-29,99.3885,99.5626,63254AAS7=
2016-08-01,98.8686,99.0416,63254AAS7=
2016-08-02,98.6618,98.8343,63254AAS7=
2016-08-03,98.4906,98.6627,63254AAS7=
2016-08-04,99.0945,99.2677,63254AAS7=
2016-08-05,98.1654,98.3367,63254AAS7=
2016-08-08,98.4229,98.5947,63254AAS7=
2016-08-09,98.8792,99.0519,63254AAS7=
2016-08-10,99.1043,99.2773,63254AAS7=
2016-08-11,98.9491,99.1217,63254AAS7=
2016-08-12,99.0443,99.2171,63254AAS7=
2016-08-15,98.7086,98.8807,63254AAS7=
2016-08-16,98.9154,99.0878,63254AAS7=
2016-08-17,99.3994,99.5727,63254AAS7=
2016-08-18,99.1835,99.3563,63254AAS7=
2016-08-19,98.8564,99.0285,63254AAS7=
2016-08-22,99.0976,99.2701,63254AAS7=
2016-08-23,99.4172,99.5903,63254AAS7=
2016-08-24,99.3658,99.5387,63254AAS7=
2016-08-25,99.0642,99.2365,63254AAS7=
2016-08-26,98.8853,99.0572,63254AAS7=
2016-08-29,99.4697,99.6427,63254AAS7=
2016-08-30,99.3921,99.5649,63254AAS7=
2016-08-31,99.4098,99.5825,63254AAS7=
2016-09-01,99.3065,99.4789,63254AAS7=
2016-09-02,98.8943,99.0659,63254AAS7=
