Date,BID,ASK,RIC
2022-06-02,99.6927,99.9746,63254ABD9=
2022-06-03,99.5971,99.8787,63254ABD9=
2022-06-06,99.3697,99.51,63254ABD9=
2022-06-07,99.4314,99.5718,63254ABD9=
2022-06-08,99.289,99.429,63254ABD9=
2022-06-09,99.1846,99.3241,63254ABD9=
2022-06-10,98.5196,98.6578,63254ABD9=
2022-06-13,97.8228,97.9597,63254ABD9=
2022-06-14,97.5516,97.688,63254ABD9=
2022-06-15,98.1933,98.3306,63254ABD9=
2022-06-16,98.4046,98.5418,63254ABD9=
2022-06-17,98.2335,98.3703,63254ABD9=
2022-06-20,98.1034,98.24,63254ABD9=
2022-06-21,98.2678,98.4045,63254ABD9=
2022-06-22,98.592,98.7291,63254ABD9=
2022-06-23,98.8693,99.0065,63254ABD9=
2022-06-24,98.8127,98.9497,63254ABD9=
2022-06-27,98.6988,98.8355,63254ABD9=
2022-06-28,98.6481,98.7846,63254ABD9=
2022-06-29,98.873,99.0098,63254ABD9=
2022-06-30,99.0894,99.226,63254ABD9=
2022-07-01,99.4922,99.6294,63254ABD9=
2022-07-04,99.4019,99.5389,63254ABD9=
2022-07-05,99.4022,99.5391,63254ABD9=
2022-07-06,99.1162,99.2525,63254ABD9=
2022-07-07,98.9745,99.1102,63254ABD9=
2022-07-08,98.7752,98.9105,63254ABD9=
2022-07-11,98.9844,99.1199,63254ABD9=
2022-07-12,98.8879,99.0231,63254ABD9=
2022-07-13,98.6571,98.7918,63254ABD9=
2022-07-14,98.6874,98.8218,63254ABD9=
2022-07-15,98.8147,98.9492,63254ABD9=
2022-07-18,98.8963,99.0308,63254ABD9=
2022-07-19,98.6399,98.7738,63254ABD9=
2022-07-20,98.6973,98.8312,63254ABD9=
2022-07-21,98.9305,99.0644,63254ABD9=
2022-07-22,99.398,99.5326,63254ABD9=
2022-07-25,99.4334,99.5679,63254ABD9=
2022-07-26,99.3292,99.4634,63254ABD9=
2022-07-27,99.3995,99.5337,63254ABD9=
2022-07-28,99.7304,99.8649,63254ABD9=
2022-07-29,99.6984,99.8327,63254ABD9=
2022-08-01,99.6718,99.8059,63254ABD9=
2022-08-02,99.3647,99.4982,63254ABD9=
2022-08-03,99.4319,99.5654,63254ABD9=
2022-08-04,99.5346,99.6679,63254ABD9=
2022-08-05,99.0097,99.142,63254ABD9=
2022-08-08,99.0212,99.1534,63254ABD9=
2022-08-09,98.8164,98.9482,63254ABD9=
2022-08-10,99.0097,99.1417,63254ABD9=
2022-08-11,99.1361,99.2679,63254ABD9=
2022-08-12,99.0028,99.1342,63254ABD9=
2022-08-15,99.2244,99.3561,63254ABD9=
2022-08-16,98.9417,99.0728,63254ABD9=
2022-08-17,98.7335,98.8641,63254ABD9=
2022-08-18,98.8595,98.99,63254ABD9=
2022-08-19,98.8449,98.9752,63254ABD9=
2022-08-22,98.5188,98.6485,63254ABD9=
2022-08-23,98.886,99.0161,63254ABD9=
2022-08-24,98.7339,98.8637,63254ABD9=
2022-08-25,98.8228,98.9524,63254ABD9=
2022-08-26,98.7929,98.9223,63254ABD9=
2022-08-29,98.6101,98.7392,63254ABD9=
2022-08-30,98.549,98.6779,63254ABD9=
2022-08-31,98.2909,98.4192,63254ABD9=
2022-09-01,98.0397,98.1672,63254ABD9=
2022-09-02,98.5572,98.6853,63254ABD9=
2022-09-05,98.4337,98.5617,63254ABD9=
2022-09-06,98.2343,98.3618,63254ABD9=
2022-09-07,98.4016,98.5293,63254ABD9=
2022-09-08,98.2791,98.4062,63254ABD9=
2022-09-09,98.2503,98.3772,63254ABD9=
2022-09-12,98.1709,98.2976,63254ABD9=
2022-09-13,97.769,97.8949,63254ABD9=
2022-09-14,97.6807,97.8064,63254ABD9=
2022-09-15,97.5148,97.6398,63254ABD9=
2022-09-16,97.5571,97.6821,63254ABD9=
2022-09-19,97.3825,97.5071,63254ABD9=
2022-09-20,97.2881,97.4124,63254ABD9=
2022-09-21,97.2187,97.3428,63254ABD9=
2022-09-22,96.778,96.901,63254ABD9=
2022-09-23,96.5604,96.683,63254ABD9=
2022-09-26,96.0125,96.1341,63254ABD9=
2022-09-27,96.3448,96.4668,63254ABD9=
2022-09-28,96.5875,96.7098,63254ABD9=
2022-09-29,96.4562,96.5779,63254ABD9=
2022-09-30,96.2631,96.3844,63254ABD9=
2022-10-03,96.3686,96.4899,63254ABD9=
2022-10-04,96.7387,96.8605,63254ABD9=
2022-10-05,96.7565,96.8782,63254ABD9=
2022-10-06,96.4381,96.5588,63254ABD9=
2022-10-07,96.1386,96.2587,63254ABD9=
2022-10-10,96.1112,96.2313,63254ABD9=
2022-10-11,95.8528,95.9724,63254ABD9=
2022-10-12,96.3021,96.4222,63254ABD9=
2022-10-13,96.2748,96.3945,63254ABD9=
2022-10-14,95.7995,95.9184,63254ABD9=
2022-10-17,95.9938,96.1129,63254ABD9=
2022-10-18,95.8814,96.0002,63254ABD9=
2022-10-19,95.5803,95.6985,63254ABD9=
2022-10-20,95.7396,95.8577,63254ABD9=
2022-10-21,95.6214,95.7392,63254ABD9=
2022-10-24,95.7387,95.8565,63254ABD9=
2022-10-25,95.7524,95.8701,63254ABD9=
2022-10-26,95.9945,96.1125,63254ABD9=
2022-10-27,95.9152,96.0328,63254ABD9=
2022-10-28,96.1478,96.2656,63254ABD9=
2022-10-31,95.6732,95.7902,63254ABD9=
2022-11-01,95.8553,95.9725,63254ABD9=
2022-11-02,95.7333,95.8501,63254ABD9=
2022-11-03,95.5603,95.6765,63254ABD9=
2022-11-04,95.5973,95.7135,63254ABD9=
2022-11-07,95.5601,95.6761,63254ABD9=
2022-11-08,95.7408,95.8569,63254ABD9=
2022-11-09,95.8207,95.9365,63254ABD9=
2022-11-10,96.6872,96.8041,63254ABD9=
2022-11-11,96.6021,96.7189,63254ABD9=
2022-11-14,96.3739,96.4902,63254ABD9=
2022-11-15,96.8015,96.9183,63254ABD9=
2022-11-16,96.6836,96.8001,63254ABD9=
2022-11-17,96.5131,96.629,63254ABD9=
2022-11-18,96.3896,96.5052,63254ABD9=
2022-11-21,96.4049,96.5204,63254ABD9=
2022-11-22,96.4909,96.6063,63254ABD9=
2022-11-23,96.6355,96.7507,63254ABD9=
2022-11-24,96.7456,96.861,63254ABD9=
2022-11-25,96.6713,96.7865,63254ABD9=
2022-11-28,96.7231,96.8382,63254ABD9=
2022-11-29,96.6761,96.791,63254ABD9=
2022-11-30,97.096,97.2114,63254ABD9=
2022-12-01,97.3334,97.4488,63254ABD9=
2022-12-02,97.3133,97.4285,63254ABD9=
2022-12-05,97.1117,97.2265,63254ABD9=
2022-12-06,97.03,97.1446,63254ABD9=
2022-12-07,97.3266,97.4415,63254ABD9=
2022-12-08,97.2615,97.3759,63254ABD9=
2022-12-09,97.1478,97.262,63254ABD9=
2022-12-12,97.1051,97.2191,63254ABD9=
2022-12-13,97.4433,97.5576,63254ABD9=
2022-12-14,97.5532,97.6676,63254ABD9=
2022-12-15,97.5767,97.6907,63254ABD9=
2022-12-16,97.5996,97.7135,63254ABD9=
2022-12-19,97.4089,97.5225,63254ABD9=
2022-12-20,97.3097,97.423,63254ABD9=
2022-12-21,97.4664,97.5798,63254ABD9=
2022-12-22,97.1121,97.2245,63254ABD9=
2022-12-23,97.2026,97.315,63254ABD9=
2022-12-27,97.0352,97.1472,63254ABD9=
2022-12-28,96.922,97.0338,63254ABD9=
2022-12-29,97.0743,97.1859,63254ABD9=
2022-12-30,96.8548,96.966,63254ABD9=
2023-01-02,96.931,97.0423,63254ABD9=
