Date,BID,ASK,RIC
2022-06-02,99.6585,100.1081,63254ABE7=
2022-06-03,99.5509,100.0,63254ABE7=
2022-06-06,99.0953,99.3183,63254ABE7=
2022-06-07,99.3005,99.5241,63254ABE7=
2022-06-08,99.1045,99.3275,63254ABE7=
2022-06-09,98.9501,99.1723,63254ABE7=
2022-06-10,98.0942,98.3141,63254ABE7=
2022-06-13,97.1435,97.3608,63254ABE7=
2022-06-14,96.6301,96.8459,63254ABE7=
2022-06-15,97.62,97.8383,63254ABE7=
2022-06-16,98.0039,98.2228,63254ABE7=
2022-06-17,97.7517,97.9698,63254ABE7=
2022-06-20,97.5847,97.8024,63254ABE7=
2022-06-21,97.4008,97.6179,63254ABE7=
2022-06-22,97.8408,98.0589,63254ABE7=
2022-06-23,98.2057,98.4244,63254ABE7=
2022-06-24,98.2152,98.4339,63254ABE7=
2022-06-27,97.8632,98.0808,63254ABE7=
2022-06-28,97.9685,98.1863,63254ABE7=
2022-06-29,98.3049,98.5235,63254ABE7=
2022-06-30,98.596,98.8149,63254ABE7=
2022-07-01,99.2942,99.5148,63254ABE7=
2022-07-04,99.2344,99.4548,63254ABE7=
2022-07-05,99.3826,99.6033,63254ABE7=
2022-07-06,99.0048,99.2244,63254ABE7=
2022-07-07,98.7045,98.923,63254ABE7=
2022-07-08,98.6048,98.8229,63254ABE7=
2022-07-11,98.5968,98.8148,63254ABE7=
2022-07-12,98.8371,99.0556,63254ABE7=
2022-07-13,98.7896,99.0078,63254ABE7=
2022-07-14,98.6478,98.8653,63254ABE7=
2022-07-15,98.7571,98.9748,63254ABE7=
2022-07-18,98.6013,98.8185,63254ABE7=
2022-07-19,98.3638,98.5803,63254ABE7=
2022-07-20,98.4164,98.6329,63254ABE7=
2022-07-21,99.0167,99.2344,63254ABE7=
2022-07-22,99.5535,99.7725,63254ABE7=
2022-07-25,99.8032,100.0227,63254ABE7=
2022-07-26,99.755,99.9743,63254ABE7=
2022-07-27,99.8602,100.0796,63254ABE7=
2022-07-28,100.2904,100.5107,63254ABE7=
2022-07-29,100.7179,100.9392,63254ABE7=
2022-08-01,100.6601,100.8811,63254ABE7=
2022-08-02,100.1494,100.369,63254ABE7=
2022-08-03,100.2853,100.5051,63254ABE7=
2022-08-04,100.4251,100.6449,63254ABE7=
2022-08-05,99.7255,99.9434,63254ABE7=
2022-08-08,99.8083,100.0263,63254ABE7=
2022-08-09,99.6648,99.8824,63254ABE7=
2022-08-10,99.5955,99.8128,63254ABE7=
2022-08-11,99.9303,100.1481,63254ABE7=
2022-08-12,99.7783,99.9956,63254ABE7=
2022-08-15,100.2918,100.5103,63254ABE7=
2022-08-16,100.2262,100.4444,63254ABE7=
2022-08-17,99.7006,99.9173,63254ABE7=
2022-08-18,99.7486,99.9651,63254ABE7=
2022-08-19,99.4682,99.6839,63254ABE7=
2022-08-22,99.0989,99.3136,63254ABE7=
2022-08-23,98.9024,99.1164,63254ABE7=
2022-08-24,98.6555,98.8688,63254ABE7=
2022-08-25,98.99,99.2038,63254ABE7=
2022-08-26,99.0247,99.2385,63254ABE7=
2022-08-29,98.7155,98.9285,63254ABE7=
2022-08-30,98.7653,98.9783,63254ABE7=
2022-08-31,98.2106,98.4221,63254ABE7=
2022-09-01,97.8315,98.0416,63254ABE7=
2022-09-02,98.4896,98.7013,63254ABE7=
2022-09-05,98.279,98.4901,63254ABE7=
2022-09-06,97.8338,98.0437,63254ABE7=
2022-09-07,98.314,98.525,63254ABE7=
2022-09-08,98.1569,98.3672,63254ABE7=
2022-09-09,98.1621,98.3723,63254ABE7=
2022-09-12,98.008,98.2177,63254ABE7=
2022-09-13,97.4957,97.704,63254ABE7=
2022-09-14,97.4015,97.6094,63254ABE7=
2022-09-15,97.1489,97.3559,63254ABE7=
2022-09-16,97.2579,97.465,63254ABE7=
2022-09-19,96.9993,97.2057,63254ABE7=
2022-09-20,96.7376,96.9432,63254ABE7=
2022-09-21,96.842,97.0478,63254ABE7=
2022-09-22,96.067,96.2705,63254ABE7=
2022-09-23,95.6718,95.8742,63254ABE7=
2022-09-26,94.8218,95.022,63254ABE7=
2022-09-27,94.7207,94.9206,63254ABE7=
2022-09-28,95.6222,95.8242,63254ABE7=
2022-09-29,95.3718,95.5728,63254ABE7=
2022-09-30,95.0859,95.2861,63254ABE7=
2022-10-03,95.9524,96.1546,63254ABE7=
2022-10-04,96.0677,96.2701,63254ABE7=
2022-10-05,95.8721,96.0739,63254ABE7=
2022-10-06,95.3277,95.5277,63254ABE7=
2022-10-07,94.9517,95.1507,63254ABE7=
2022-10-10,94.8268,95.0255,63254ABE7=
2022-10-11,94.8115,95.0101,63254ABE7=
2022-10-12,95.0962,95.2953,63254ABE7=
2022-10-13,94.8425,95.0407,63254ABE7=
2022-10-14,94.4427,94.6398,63254ABE7=
2022-10-17,94.4771,94.6742,63254ABE7=
2022-10-18,94.4329,94.6298,63254ABE7=
2022-10-19,93.7861,93.9813,63254ABE7=
2022-10-20,94.0105,94.2059,63254ABE7=
2022-10-21,93.8423,94.0372,63254ABE7=
2022-10-24,93.8534,94.0482,63254ABE7=
2022-10-25,94.1568,94.3522,63254ABE7=
2022-10-26,94.4767,94.6728,63254ABE7=
2022-10-27,94.9507,95.1478,63254ABE7=
2022-10-28,94.709,94.9053,63254ABE7=
2022-10-31,94.3247,94.52,63254ABE7=
2022-11-01,94.4761,94.6717,63254ABE7=
2022-11-02,94.1597,94.3544,63254ABE7=
2022-11-03,93.7742,93.9676,63254ABE7=
2022-11-04,94.1453,94.3395,63254ABE7=
2022-11-07,93.8699,94.0633,63254ABE7=
2022-11-08,94.2448,94.439,63254ABE7=
2022-11-09,94.2692,94.4631,63254ABE7=
2022-11-10,95.5519,95.7487,63254ABE7=
2022-11-11,95.4569,95.6535,63254ABE7=
2022-11-14,95.1663,95.3621,63254ABE7=
2022-11-15,95.8442,96.0415,63254ABE7=
2022-11-16,95.8426,96.0398,63254ABE7=
2022-11-17,96.0742,96.2716,63254ABE7=
2022-11-18,95.6401,95.8364,63254ABE7=
2022-11-21,95.5016,95.6974,63254ABE7=
2022-11-22,95.7572,95.9534,63254ABE7=
2022-11-23,96.0507,96.2473,63254ABE7=
2022-11-24,96.1947,96.3916,63254ABE7=
2022-11-25,96.0019,96.1982,63254ABE7=
2022-11-28,96.0317,96.228,63254ABE7=
2022-11-29,96.0653,96.2616,63254ABE7=
2022-11-30,96.7484,96.9462,63254ABE7=
2022-12-01,96.9832,97.1812,63254ABE7=
2022-12-02,96.9336,97.1314,63254ABE7=
2022-12-05,96.5376,96.7343,63254ABE7=
2022-12-06,96.6182,96.815,63254ABE7=
2022-12-07,96.7854,96.9825,63254ABE7=
2022-12-08,96.8927,97.0897,63254ABE7=
2022-12-09,96.7685,96.9651,63254ABE7=
2022-12-12,96.5076,96.7035,63254ABE7=
2022-12-13,96.7954,96.9919,63254ABE7=
2022-12-14,97.3875,97.5852,63254ABE7=
2022-12-15,97.3718,97.5692,63254ABE7=
2022-12-16,97.0939,97.2905,63254ABE7=
2022-12-19,96.7937,96.9895,63254ABE7=
2022-12-20,96.6977,96.8931,63254ABE7=
