Date,BID,ASK,RIC
2022-11-18,99.7206,99.908,63254ABG2=
2022-11-21,99.7028,99.7963,63254ABG2=
2022-11-22,100.1724,100.2662,63254ABG2=
2022-11-23,99.9865,100.0797,63254ABG2=
2022-11-24,100.0723,100.1656,63254ABG2=
2022-11-25,100.0368,100.1299,63254ABG2=
2022-11-28,100.1832,100.2764,63254ABG2=
2022-11-29,100.0942,100.1872,63254ABG2=
2022-11-30,100.3372,100.4303,63254ABG2=
2022-12-01,100.5627,100.6557,63254ABG2=
2022-12-02,100.4185,100.5112,63254ABG2=
2022-12-05,100.2425,100.3349,63254ABG2=
2022-12-06,100.4596,100.5521,63254ABG2=
2022-12-07,100.6728,100.7655,63254ABG2=
2022-12-08,100.498,100.5901,63254ABG2=
2022-12-09,100.4553,100.5472,63254ABG2=
2022-12-12,100.5723,100.6642,63254ABG2=
2022-12-13,100.7875,100.8796,63254ABG2=
2022-12-14,100.9763,101.0685,63254ABG2=
2022-12-15,100.9329,101.0246,63254ABG2=
2022-12-16,100.951,101.0426,63254ABG2=
2022-12-19,100.8444,100.9358,63254ABG2=
2022-12-20,100.8106,100.9018,63254ABG2=
2022-12-21,100.8837,100.9749,63254ABG2=
2022-12-22,100.7292,100.8197,63254ABG2=
2022-12-23,100.7401,100.8305,63254ABG2=
2022-12-27,100.6248,100.7149,63254ABG2=
2022-12-28,100.7214,100.8115,63254ABG2=
2022-12-29,100.5175,100.607,63254ABG2=
2022-12-30,100.3008,100.3899,63254ABG2=
2023-01-02,100.3319,100.4211,63254ABG2=
2023-01-03,100.4634,100.5526,63254ABG2=
2023-01-04,100.4218,100.5108,63254ABG2=
2023-01-05,100.2869,100.3754,63254ABG2=
2023-01-06,100.3993,100.4878,63254ABG2=
2023-01-09,100.3821,100.4705,63254ABG2=
2023-01-10,100.6071,100.6956,63254ABG2=
2023-01-11,100.4263,100.5145,63254ABG2=
2023-01-12,100.756,100.844,63254ABG2=
2023-01-13,100.8815,100.9696,63254ABG2=
2023-01-16,100.8407,100.9287,63254ABG2=
2023-01-17,100.926,101.014,63254ABG2=
2023-01-18,101.1632,101.2513,63254ABG2=
2023-01-19,101.1594,101.2471,63254ABG2=
2023-01-20,100.9178,101.0051,63254ABG2=
2023-01-23,100.9432,101.0304,63254ABG2=
2023-01-24,100.5952,100.6819,63254ABG2=
2023-01-25,100.6381,100.7248,63254ABG2=
2023-01-26,100.8183,100.9048,63254ABG2=
2023-01-27,100.6168,100.7031,63254ABG2=
2023-01-30,100.7637,100.85,63254ABG2=
2023-01-31,100.9036,100.9899,63254ABG2=
2023-02-01,100.9959,101.0822,63254ABG2=
2023-02-02,101.1737,101.2598,63254ABG2=
2023-02-03,100.8655,100.9511,63254ABG2=
2023-02-06,100.6457,100.731,63254ABG2=
2023-02-07,100.5562,100.6413,63254ABG2=
2023-02-08,100.4496,100.5344,63254ABG2=
2023-02-09,100.4144,100.4988,63254ABG2=
2023-02-10,100.3912,100.4754,63254ABG2=
2023-02-13,100.2862,100.3702,63254ABG2=
2023-02-14,100.213,100.2968,63254ABG2=
2023-02-15,100.0843,100.1678,63254ABG2=
2023-02-16,100.1937,100.2768,63254ABG2=
2023-02-17,100.0956,100.1785,63254ABG2=
2023-02-20,100.048,100.1309,63254ABG2=
2023-02-21,100.0344,100.1171,63254ABG2=
2023-02-22,100.0278,100.1104,63254ABG2=
