Date,BID,ASK,RIC
2022-01-06,99.5404,100.0142,6325C0EB3=
2022-01-07,99.3988,99.8718,6325C0EB3=
2022-01-10,99.3281,99.8008,6325C0EB3=
2022-01-11,99.4321,99.6683,6325C0EB3=
2022-01-12,99.3193,99.555,6325C0EB3=
2022-01-13,99.5418,99.7776,6325C0EB3=
2022-01-14,99.1333,99.3679,6325C0EB3=
2022-01-17,98.923,99.1571,6325C0EB3=
2022-01-18,98.6666,98.8998,6325C0EB3=
2022-01-19,98.6953,98.9285,6325C0EB3=
2022-01-20,99.0141,99.2478,6325C0EB3=
2022-01-21,99.1313,99.3652,6325C0EB3=
2022-01-24,99.1924,99.4263,6325C0EB3=
2022-01-25,99.1695,99.4032,6325C0EB3=
2022-01-26,98.5469,98.7788,6325C0EB3=
2022-01-27,98.6642,98.8962,6325C0EB3=
2022-01-28,98.906,99.1385,6325C0EB3=
2022-01-31,98.8927,99.1251,6325C0EB3=
2022-02-01,98.8515,99.0836,6325C0EB3=
2022-02-02,98.9124,99.1446,6325C0EB3=
2022-02-03,98.6182,98.8492,6325C0EB3=
2022-02-07,98.1921,98.4217,6325C0EB3=
2022-02-08,97.9504,98.1793,6325C0EB3=
2022-02-09,97.9423,98.171,6325C0EB3=
2022-02-10,97.3455,97.5723,6325C0EB3=
2022-02-11,97.8054,98.0333,6325C0EB3=
2022-02-14,97.6112,97.8384,6325C0EB3=
2022-02-15,97.5172,97.7441,6325C0EB3=
2022-02-16,97.5955,97.8225,6325C0EB3=
2022-02-17,97.5463,97.7726,6325C0EB3=
2022-02-18,97.6516,97.8781,6325C0EB3=
2022-02-21,97.7433,97.97,6325C0EB3=
2022-02-22,97.4316,97.6574,6325C0EB3=
2022-02-23,97.3203,97.5457,6325C0EB3=
2022-02-24,97.4505,97.6758,6325C0EB3=
2022-02-25,97.4321,97.657,6325C0EB3=
2022-02-28,98.1368,98.3634,6325C0EB3=
2022-03-01,98.061,98.2873,6325C0EB3=
2022-03-02,98.1343,98.3607,6325C0EB3=
2022-03-03,98.2096,98.4358,6325C0EB3=
2022-03-04,98.0752,98.3009,6325C0EB3=
2022-03-07,97.0369,97.2598,6325C0EB3=
2022-03-08,96.6035,96.8252,6325C0EB3=
2022-03-09,96.3667,96.5876,6325C0EB3=
2022-03-10,96.1174,96.3373,6325C0EB3=
2022-03-11,95.9878,96.2073,6325C0EB3=
2022-03-14,95.2224,95.4398,6325C0EB3=
2022-03-15,94.9953,95.2119,6325C0EB3=
2022-03-16,94.7863,95.0023,6325C0EB3=
2022-03-17,95.0621,95.2784,6325C0EB3=
2022-03-18,95.1209,95.3373,6325C0EB3=
2022-03-21,94.3967,94.6111,6325C0EB3=
2022-03-22,94.1092,94.3227,6325C0EB3=
2022-03-23,94.33,94.544,6325C0EB3=
2022-03-24,94.1686,94.3818,6325C0EB3=
2022-03-25,93.3079,93.5188,6325C0EB3=
2022-03-28,93.2315,93.4421,6325C0EB3=
2022-03-29,93.3199,93.5307,6325C0EB3=
2022-03-30,93.83,94.042,6325C0EB3=
2022-03-31,93.9457,94.1576,6325C0EB3=
2022-04-01,93.7082,93.9194,6325C0EB3=
2022-04-04,93.7917,94.003,6325C0EB3=
2022-04-05,93.1689,93.3785,6325C0EB3=
2022-04-06,93.2018,93.4113,6325C0EB3=
2022-04-07,93.0375,93.2463,6325C0EB3=
2022-04-08,92.7084,92.9162,6325C0EB3=
2022-04-11,92.7082,92.9159,6325C0EB3=
2022-04-12,92.9904,93.1987,6325C0EB3=
2022-04-13,93.0845,93.2926,6325C0EB3=
2022-04-14,92.9222,93.1297,6325C0EB3=
2022-04-15,93.0155,93.2233,6325C0EB3=
2022-04-18,92.8846,93.0919,6325C0EB3=
2022-04-19,92.1304,92.3357,6325C0EB3=
2022-04-20,92.3645,92.5703,6325C0EB3=
2022-04-21,91.9022,92.1065,6325C0EB3=
2022-04-22,91.9636,92.1679,6325C0EB3=
2022-04-25,92.0986,92.3031,6325C0EB3=
2022-04-26,92.656,92.8618,6325C0EB3=
2022-04-27,92.2379,92.4425,6325C0EB3=
2022-04-28,92.0915,92.2954,6325C0EB3=
2022-04-29,91.718,91.9209,6325C0EB3=
2022-05-02,91.5769,91.7793,6325C0EB3=
2022-05-03,91.2548,91.4563,6325C0EB3=
2022-05-04,91.999,92.2022,6325C0EB3=
2022-05-05,91.3943,91.5957,6325C0EB3=
2022-05-06,91.1421,91.3427,6325C0EB3=
2022-05-09,91.4841,91.6855,6325C0EB3=
2022-05-10,91.8877,92.0899,6325C0EB3=
2022-05-11,91.8558,92.0579,6325C0EB3=
2022-05-12,91.9659,92.1679,6325C0EB3=
2022-05-13,91.8696,92.0712,6325C0EB3=
2022-05-16,91.9949,92.1967,6325C0EB3=
2022-05-17,91.4451,91.6454,6325C0EB3=
2022-05-18,91.63,91.8307,6325C0EB3=
2022-05-19,91.8642,92.0651,6325C0EB3=
2022-05-20,91.7364,91.9369,6325C0EB3=
2022-05-23,91.633,91.8331,6325C0EB3=
2022-05-24,91.9498,92.1506,6325C0EB3=
2022-05-25,92.1871,92.3883,6325C0EB3=
2022-05-26,92.5057,92.7074,6325C0EB3=
2022-05-27,92.4374,92.6388,6325C0EB3=
2022-05-30,92.0904,92.2909,6325C0EB3=
2022-05-31,92.0525,92.2528,6325C0EB3=
2022-06-01,91.6699,91.8692,6325C0EB3=
2022-06-02,91.5527,91.7513,6325C0EB3=
2022-06-03,91.6209,91.8196,6325C0EB3=
2022-06-06,91.2615,91.4592,6325C0EB3=
2022-06-07,91.3966,91.5945,6325C0EB3=
2022-06-08,91.2041,91.4014,6325C0EB3=
2022-06-09,91.0851,91.2818,6325C0EB3=
2022-06-10,90.6047,90.8001,6325C0EB3=
2022-06-13,89.4291,89.6215,6325C0EB3=
2022-06-14,88.9869,89.1781,6325C0EB3=
2022-06-15,89.7446,89.9375,6325C0EB3=
2022-06-16,89.5523,89.7443,6325C0EB3=
2022-06-17,89.317,89.5083,6325C0EB3=
2022-06-20,89.1819,89.3729,6325C0EB3=
2022-06-21,89.6367,89.8287,6325C0EB3=
2022-06-22,89.8766,90.069,6325C0EB3=
2022-06-23,90.3284,90.5216,6325C0EB3=
2022-06-24,90.303,90.496,6325C0EB3=
2022-06-27,90.1121,90.3045,6325C0EB3=
2022-06-28,89.9795,90.1715,6325C0EB3=
2022-06-29,90.3578,90.5506,6325C0EB3=
2022-06-30,90.595,90.7879,6325C0EB3=
2022-07-01,91.2539,91.4483,6325C0EB3=
2022-07-04,91.2011,91.3954,6325C0EB3=
2022-07-05,91.4142,91.6089,6325C0EB3=
2022-07-06,91.0469,91.2406,6325C0EB3=
2022-07-07,90.8731,91.066,6325C0EB3=
2022-07-08,90.5209,90.7128,6325C0EB3=
2022-07-11,90.6335,90.8256,6325C0EB3=
2022-07-12,90.7346,90.9268,6325C0EB3=
2022-07-13,90.736,90.9281,6325C0EB3=
2022-07-14,90.5869,90.7783,6325C0EB3=
2022-07-15,90.8409,91.0328,6325C0EB3=
2022-07-18,90.7848,90.9765,6325C0EB3=
2022-07-19,90.4272,90.6179,6325C0EB3=
2022-07-20,90.5659,90.7568,6325C0EB3=
2022-07-21,91.0591,91.2508,6325C0EB3=
2022-07-22,91.6135,91.8065,6325C0EB3=
2022-07-25,91.6452,91.8381,6325C0EB3=
2022-07-26,91.6076,91.8003,6325C0EB3=
2022-07-27,91.7432,91.9361,6325C0EB3=
2022-07-28,92.1307,92.3243,6325C0EB3=
2022-07-29,92.4722,92.6665,6325C0EB3=
2022-08-01,92.4261,92.6202,6325C0EB3=
2022-08-02,91.9051,92.0978,6325C0EB3=
2022-08-03,91.952,92.1447,6325C0EB3=
2022-08-04,92.0504,92.243,6325C0EB3=
2022-08-05,91.6713,91.8629,6325C0EB3=
2022-08-08,91.6722,91.8637,6325C0EB3=
2022-08-09,91.5509,91.742,6325C0EB3=
2022-08-10,91.4947,91.6855,6325C0EB3=
2022-08-11,91.7647,91.9558,6325C0EB3=
2022-08-12,91.5218,91.7122,6325C0EB3=
2022-08-15,91.8619,92.053,6325C0EB3=
2022-08-16,91.9239,92.1151,6325C0EB3=
2022-08-17,91.2785,91.468,6325C0EB3=
2022-08-18,91.4865,91.6761,6325C0EB3=
2022-08-19,91.3212,91.5103,6325C0EB3=
2022-08-22,91.2658,91.4547,6325C0EB3=
2022-08-23,90.9847,91.1728,6325C0EB3=
2022-08-24,90.7724,90.9599,6325C0EB3=
2022-08-25,91.0805,91.2684,6325C0EB3=
2022-08-26,90.9657,91.1532,6325C0EB3=
2022-08-29,90.704,90.8909,6325C0EB3=
2022-08-30,90.7803,90.9672,6325C0EB3=
