Date,BID,ASK,RIC
2021-08-05,99.794,99.941,63307A2P9=
2021-08-06,99.726,99.873,63307A2P9=
2021-08-09,99.747,99.894,63307A2P9=
2021-08-10,99.639,99.785,63307A2P9=
2021-08-11,99.654,99.8,63307A2P9=
2021-08-12,99.622,99.769,63307A2P9=
2021-08-13,99.707,99.854,63307A2P9=
2021-08-16,99.722,99.868,63307A2P9=
2021-08-17,99.714,99.86,63307A2P9=
2021-08-18,99.772,99.918,63307A2P9=
2021-08-19,99.75,99.895,63307A2P9=
2021-08-20,99.75,99.895,63307A2P9=
2021-08-23,99.779,99.924,63307A2P9=
2021-08-24,99.742,99.887,63307A2P9=
2021-08-25,99.725,99.869,63307A2P9=
2021-08-26,99.711,99.855,63307A2P9=
2021-08-27,99.824,99.969,63307A2P9=
2021-08-30,99.838,99.983,63307A2P9=
2021-08-31,99.807,99.951,63307A2P9=
2021-09-01,99.807,99.951,63307A2P9=
2021-09-02,99.816,99.96,63307A2P9=
2021-09-03,99.836,99.98,63307A2P9=
2021-09-06,99.836,99.979,63307A2P9=
2021-09-07,99.773,99.917,63307A2P9=
2021-09-08,99.848,99.991,63307A2P9=
2021-09-09,99.863,100.006,63307A2P9=
2021-09-10,99.84,99.983,63307A2P9=
2021-09-13,99.854,99.997,63307A2P9=
2021-09-14,99.877,100.02,63307A2P9=
2021-09-15,99.863,100.006,63307A2P9=
2021-09-16,99.804,99.946,63307A2P9=
2021-09-17,99.688,99.83,63307A2P9=
2021-09-20,99.725,99.867,63307A2P9=
2021-09-21,99.754,99.895,63307A2P9=
2021-09-22,99.664,99.805,63307A2P9=
2021-09-23,99.53,99.67,63307A2P9=
2021-09-24,99.516,99.657,63307A2P9=
2021-09-27,99.646,99.786,63307A2P9=
2021-09-28,99.646,99.786,63307A2P9=
2021-09-29,99.728,99.868,63307A2P9=
2021-09-30,99.765,99.905,63307A2P9=
2021-10-01,99.846,99.986,63307A2P9=
2021-10-04,99.801,99.941,63307A2P9=
2021-10-05,99.757,99.897,63307A2P9=
2021-10-06,99.704,99.844,63307A2P9=
2021-10-07,99.631,99.769,63307A2P9=
2021-10-08,99.584,99.722,63307A2P9=
2021-10-11,99.464,99.602,63307A2P9=
2021-10-12,99.515,99.654,63307A2P9=
2021-10-13,99.381,99.519,63307A2P9=
2021-10-14,99.418,99.556,63307A2P9=
2021-10-15,99.274,99.411,63307A2P9=
2021-10-18,99.173,99.31,63307A2P9=
2021-10-19,99.204,99.341,63307A2P9=
2021-10-20,99.21,99.347,63307A2P9=
2021-10-21,99.011,99.147,63307A2P9=
2021-10-22,99.061,99.197,63307A2P9=
2021-10-25,99.133,99.268,63307A2P9=
2021-10-26,99.098,99.234,63307A2P9=
2021-10-27,99.069,99.205,63307A2P9=
2021-10-28,99.093,99.228,63307A2P9=
2021-10-29,99.115,99.25,63307A2P9=
2021-11-01,99.095,99.229,63307A2P9=
2021-11-02,99.23,99.365,63307A2P9=
2021-11-03,99.115,99.25,63307A2P9=
2021-11-04,99.3,99.435,63307A2P9=
2021-11-05,99.387,99.522,63307A2P9=
2021-11-08,99.213,99.348,63307A2P9=
2021-11-09,99.196,99.33,63307A2P9=
2021-11-10,98.877,99.009,63307A2P9=
2021-11-11,98.777,98.91,63307A2P9=
2021-11-12,99.037,99.17,63307A2P9=
2021-11-15,98.988,99.12,63307A2P9=
2021-11-16,98.975,99.108,63307A2P9=
2021-11-17,99.053,99.186,63307A2P9=
2021-11-18,98.903,99.035,63307A2P9=
2021-11-19,98.849,98.98,63307A2P9=
2021-11-22,98.624,98.755,63307A2P9=
2021-11-23,98.632,98.763,63307A2P9=
2021-11-24,98.586,98.717,63307A2P9=
2021-11-25,98.58,98.711,63307A2P9=
2021-11-26,98.993,99.124,63307A2P9=
2021-11-29,99.044,99.175,63307A2P9=
2021-11-30,98.911,99.042,63307A2P9=
2021-12-01,98.931,99.061,63307A2P9=
2021-12-02,98.744,98.874,63307A2P9=
2021-12-03,98.829,98.959,63307A2P9=
2021-12-06,98.711,98.84,63307A2P9=
2021-12-07,98.557,98.686,63307A2P9=
2021-12-08,98.445,98.574,63307A2P9=
2021-12-09,98.437,98.565,63307A2P9=
2021-12-10,98.521,98.649,63307A2P9=
2021-12-13,98.609,98.738,63307A2P9=
2021-12-14,98.537,98.665,63307A2P9=
2021-12-15,98.538,98.666,63307A2P9=
2021-12-16,98.732,98.86,63307A2P9=
2021-12-17,98.679,98.807,63307A2P9=
2021-12-20,98.701,98.829,63307A2P9=
2021-12-21,98.621,98.748,63307A2P9=
2021-12-22,98.622,98.749,63307A2P9=
2021-12-23,98.562,98.689,63307A2P9=
2021-12-24,98.562,98.689,63307A2P9=
2021-12-27,98.544,98.67,63307A2P9=
2021-12-28,98.55,98.677,63307A2P9=
2021-12-29,98.535,98.661,63307A2P9=
2021-12-30,98.612,98.738,63307A2P9=
2021-12-31,98.599,98.725,63307A2P9=
2022-01-03,98.445,98.57,63307A2P9=
2022-01-04,98.474,98.6,63307A2P9=
2022-01-05,98.298,98.423,63307A2P9=
2022-01-06,98.169,98.294,63307A2P9=
2022-01-07,98.116,98.241,63307A2P9=
2022-01-10,98.056,98.18,63307A2P9=
2022-01-11,98.078,98.202,63307A2P9=
2022-01-12,97.939,98.063,63307A2P9=
2022-01-13,98.047,98.17,63307A2P9=
2022-01-14,97.872,97.995,63307A2P9=
2022-01-17,97.746,97.869,63307A2P9=
2022-01-18,97.896,98.019,63307A2P9=
2022-01-19,97.889,98.011,63307A2P9=
2022-01-20,97.954,98.076,63307A2P9=
2022-01-21,97.988,98.11,63307A2P9=
2022-01-24,98.095,98.217,63307A2P9=
2022-01-25,97.961,98.083,63307A2P9=
2022-01-26,97.65,97.771,63307A2P9=
2022-01-27,97.575,97.696,63307A2P9=
2022-01-28,97.619,97.739,63307A2P9=
2022-01-31,97.59,97.71,63307A2P9=
2022-02-01,97.631,97.752,63307A2P9=
2022-02-02,97.679,97.8,63307A2P9=
2022-02-03,97.634,97.754,63307A2P9=
2022-02-07,97.181,97.3,63307A2P9=
2022-02-08,97.068,97.186,63307A2P9=
2022-02-09,97.016,97.135,63307A2P9=
2022-02-10,96.454,96.571,63307A2P9=
2022-02-11,96.744,96.862,63307A2P9=
2022-02-14,96.412,96.53,63307A2P9=
2022-02-15,96.405,96.522,63307A2P9=
2022-02-16,96.521,96.638,63307A2P9=
2022-02-17,96.664,96.781,63307A2P9=
2022-02-18,96.672,96.789,63307A2P9=
2022-02-21,96.741,96.857,63307A2P9=
2022-02-22,96.439,96.555,63307A2P9=
2022-02-23,96.341,96.457,63307A2P9=
2022-02-24,96.43,96.545,63307A2P9=
2022-02-25,96.444,96.559,63307A2P9=
2022-02-28,96.761,96.876,63307A2P9=
2022-03-01,97.002,97.118,63307A2P9=
2022-03-02,96.588,96.703,63307A2P9=
2022-03-03,96.572,96.687,63307A2P9=
2022-03-04,96.659,96.773,63307A2P9=
2022-03-07,96.507,96.621,63307A2P9=
2022-03-08,96.413,96.527,63307A2P9=
2022-03-09,96.251,96.365,63307A2P9=
2022-03-10,96.201,96.314,63307A2P9=
2022-03-11,95.253,95.365,63307A2P9=
2022-03-14,95.105,95.216,63307A2P9=
2022-03-15,94.986,95.097,63307A2P9=
2022-03-16,94.954,95.065,63307A2P9=
2022-03-17,95.042,95.152,63307A2P9=
2022-03-18,94.979,95.089,63307A2P9=
2022-03-21,95.007,95.117,63307A2P9=
2022-03-22,95.037,95.147,63307A2P9=
2022-03-23,95.192,95.302,63307A2P9=
2022-03-24,94.93,95.04,63307A2P9=
2022-03-25,94.611,94.72,63307A2P9=
2022-03-28,94.504,94.613,63307A2P9=
2022-03-29,94.313,94.422,63307A2P9=
2022-03-30,94.588,94.697,63307A2P9=
2022-03-31,94.769,94.878,63307A2P9=
2022-04-01,94.591,94.7,63307A2P9=
2022-04-04,94.451,94.559,63307A2P9=
2022-04-05,94.251,94.359,63307A2P9=
2022-04-06,94.365,94.472,63307A2P9=
2022-04-07,94.59,94.697,63307A2P9=
2022-04-08,94.263,94.369,63307A2P9=
2022-04-11,94.385,94.491,63307A2P9=
2022-04-12,94.338,94.444,63307A2P9=
2022-04-13,94.428,94.534,63307A2P9=
2022-04-14,94.602,94.708,63307A2P9=
2022-04-15,94.619,94.726,63307A2P9=
2022-04-18,94.672,94.778,63307A2P9=
2022-04-19,94.208,94.314,63307A2P9=
2022-04-20,94.137,94.243,63307A2P9=
2022-04-21,94.181,94.286,63307A2P9=
2022-04-22,93.824,93.928,63307A2P9=
2022-04-25,93.915,94.019,63307A2P9=
2022-04-26,94.27,94.375,63307A2P9=
2022-04-27,94.277,94.382,63307A2P9=
2022-04-28,94.26,94.364,63307A2P9=
2022-04-29,93.806,93.91,63307A2P9=
2022-05-02,93.876,93.979,63307A2P9=
2022-05-03,93.835,93.939,63307A2P9=
2022-05-04,94.049,94.152,63307A2P9=
2022-05-05,94.054,94.157,63307A2P9=
2022-05-06,93.747,93.849,63307A2P9=
2022-05-09,94.097,94.199,63307A2P9=
2022-05-10,94.169,94.272,63307A2P9=
2022-05-11,94.359,94.462,63307A2P9=
2022-05-12,94.148,94.25,63307A2P9=
2022-05-13,93.956,94.057,63307A2P9=
2022-05-16,93.991,94.093,63307A2P9=
2022-05-17,93.741,93.842,63307A2P9=
2022-05-18,93.696,93.797,63307A2P9=
2022-05-19,93.751,93.852,63307A2P9=
2022-05-20,93.928,94.029,63307A2P9=
2022-05-23,93.971,94.072,63307A2P9=
2022-05-24,93.995,94.096,63307A2P9=
2022-05-25,94.222,94.323,63307A2P9=
2022-05-26,94.51,94.611,63307A2P9=
2022-05-27,94.346,94.447,63307A2P9=
2022-05-30,94.168,94.269,63307A2P9=
2022-05-31,93.855,93.955,63307A2P9=
2022-06-01,93.694,93.793,63307A2P9=
2022-06-02,99.781,99.888,63307A2P9=
2022-06-03,94.262,94.362,63307A2P9=
2022-06-06,93.962,94.061,63307A2P9=
2022-06-07,93.845,93.943,63307A2P9=
2022-06-08,93.708,93.807,63307A2P9=
2022-06-09,93.8,93.899,63307A2P9=
2022-06-10,93.233,93.331,63307A2P9=
2022-06-13,92.641,92.738,63307A2P9=
2022-06-14,92.82,92.917,63307A2P9=
2022-06-15,93.078,93.175,63307A2P9=
