Date,BID,ASK,RIC
2023-01-12,100.0094,100.1032,63307A2T1=
2023-01-13,99.8613,99.9548,63307A2T1=
2023-01-16,99.8147,99.9082,63307A2T1=
2023-01-17,99.8968,99.9903,63307A2T1=
2023-01-18,100.1397,100.2333,63307A2T1=
2023-01-19,100.1311,100.2243,63307A2T1=
2023-01-20,100.2463,100.3396,63307A2T1=
2023-01-23,100.2365,100.3296,63307A2T1=
2023-01-24,100.1245,100.2174,63307A2T1=
2023-01-25,100.1223,100.215,63307A2T1=
2023-01-26,100.3321,100.4247,63307A2T1=
2023-01-27,100.6478,100.7408,63307A2T1=
2023-01-30,100.5482,100.641,63307A2T1=
2023-01-31,100.3937,100.4862,63307A2T1=
2023-02-01,100.7352,100.8279,63307A2T1=
2023-02-02,100.6027,100.6949,63307A2T1=
2023-02-03,100.2583,100.35,63307A2T1=
2023-02-06,100.0805,100.1719,63307A2T1=
2023-02-07,100.113,100.2043,63307A2T1=
2023-02-08,100.0526,100.1437,63307A2T1=
2023-02-09,100.2971,100.3881,63307A2T1=
2023-02-10,99.9685,100.059,63307A2T1=
2023-02-13,99.9739,100.0643,63307A2T1=
2023-02-14,99.8836,99.9737,63307A2T1=
2023-02-15,99.9719,100.062,63307A2T1=
2023-02-16,99.9339,100.0235,63307A2T1=
2023-02-17,100.018,100.1076,63307A2T1=
2023-02-20,99.9568,100.0463,63307A2T1=
2023-02-21,99.7287,99.8178,63307A2T1=
2023-02-22,99.8572,99.9463,63307A2T1=
2023-02-23,99.6324,99.7209,63307A2T1=
2023-02-24,99.5044,99.5924,63307A2T1=
2023-02-27,99.7784,99.8666,63307A2T1=
2023-02-28,99.5923,99.6801,63307A2T1=
2023-03-01,99.4001,99.4876,63307A2T1=
2023-03-02,99.3832,99.4703,63307A2T1=
2023-03-03,99.3805,99.4675,63307A2T1=
2023-03-06,99.4942,99.5812,63307A2T1=
2023-03-07,99.3404,99.4271,63307A2T1=
2023-03-08,99.2462,99.3327,63307A2T1=
2023-03-09,99.3008,99.387,63307A2T1=
2023-03-10,99.7795,99.8661,63307A2T1=
2023-03-13,100.0862,100.173,63307A2T1=
2023-03-14,99.6369,99.7231,63307A2T1=
2023-03-15,99.2839,99.3695,63307A2T1=
2023-03-16,98.8076,98.8923,63307A2T1=
2023-03-17,99.8275,99.9133,63307A2T1=
2023-03-20,99.6225,99.7079,63307A2T1=
2023-03-21,99.3796,99.4646,63307A2T1=
2023-03-22,99.4127,99.4976,63307A2T1=
2023-03-23,99.6436,99.7284,63307A2T1=
2023-03-24,100.031,100.1161,63307A2T1=
2023-03-27,99.3695,99.4538,63307A2T1=
2023-03-28,99.5691,99.6535,63307A2T1=
2023-03-29,99.5731,99.6575,63307A2T1=
2023-03-30,99.4501,99.5339,63307A2T1=
2023-03-31,99.5748,99.6587,63307A2T1=
2023-04-03,99.6893,99.7732,63307A2T1=
2023-04-04,99.8053,99.8892,63307A2T1=
2023-04-05,99.9548,100.0383,63307A2T1=
2023-04-06,100.06,100.1435,63307A2T1=
2023-04-07,99.7866,99.8698,63307A2T1=
2023-04-10,99.7255,99.8085,63307A2T1=
