Date,BID,ASK,RIC
2020-01-14,100.1526,100.2481,639832AG9=
2020-01-15,100.2289,100.3244,639832AG9=
2020-01-16,100.114,100.2092,639832AG9=
2020-01-17,100.1234,100.2186,639832AG9=
2020-01-20,100.1371,100.2323,639832AG9=
2020-01-21,100.3471,100.4425,639832AG9=
2020-01-22,100.3564,100.4517,639832AG9=
2020-01-23,100.4986,100.5939,639832AG9=
2020-01-24,100.6651,100.7606,639832AG9=
2020-01-27,100.9847,101.0804,639832AG9=
2020-01-28,100.7883,100.8838,639832AG9=
2020-01-29,101.1613,101.2572,639832AG9=
2020-01-30,101.1546,101.2503,639832AG9=
2020-01-31,101.5949,101.691,639832AG9=
2020-02-03,101.4213,101.5172,639832AG9=
2020-02-04,101.0811,101.1766,639832AG9=
2020-02-05,100.8756,100.9708,639832AG9=
2020-02-06,100.8837,100.9788,639832AG9=
2020-02-07,101.1638,101.2591,639832AG9=
2020-02-10,101.2775,101.3729,639832AG9=
2020-02-11,101.0769,101.172,639832AG9=
2020-02-12,100.9244,101.0193,639832AG9=
2020-02-13,100.9696,101.0644,639832AG9=
2020-02-14,101.0875,101.1823,639832AG9=
2020-02-17,101.0786,101.1734,639832AG9=
2020-02-18,101.1864,101.2813,639832AG9=
2020-02-19,101.1384,101.2332,639832AG9=
2020-02-20,101.3496,101.4445,639832AG9=
2020-02-21,101.5433,101.6383,639832AG9=
2020-02-24,102.0945,102.19,639832AG9=
2020-02-25,102.208,102.3036,639832AG9=
2020-02-26,102.3262,102.4219,639832AG9=
2020-02-27,102.6891,102.785,639832AG9=
2020-02-28,102.8218,102.9177,639832AG9=
2020-03-02,102.9209,103.0169,639832AG9=
2020-03-03,103.8251,103.922,639832AG9=
2020-03-04,103.6151,103.7117,639832AG9=
2020-03-05,104.1069,104.2039,639832AG9=
2020-03-06,104.4492,104.5465,639832AG9=
2020-03-09,104.9876,105.0854,639832AG9=
2020-03-10,104.1629,104.2598,639832AG9=
2020-03-11,104.0059,104.1026,639832AG9=
2020-03-12,103.4654,103.5613,639832AG9=
2020-03-13,102.8997,102.995,639832AG9=
2020-03-16,103.9753,104.0717,639832AG9=
2020-03-17,102.8584,102.9535,639832AG9=
2020-03-18,102.5958,102.7855,639832AG9=
2020-03-19,102.9992,103.1895,639832AG9=
2020-03-20,104.0819,104.2743,639832AG9=
2020-03-23,104.4405,104.6336,639832AG9=
2020-03-24,103.8424,104.0341,639832AG9=
2020-03-25,103.8785,104.0702,639832AG9=
2020-03-26,103.8385,104.0298,639832AG9=
2020-03-27,104.4568,104.6494,639832AG9=
2020-03-30,104.3774,104.5697,639832AG9=
2020-03-31,104.5767,104.7693,639832AG9=
2020-04-01,104.5837,104.7762,639832AG9=
2020-04-02,104.5135,104.7055,639832AG9=
2020-04-03,104.5061,104.698,639832AG9=
2020-04-06,104.2166,104.4078,639832AG9=
2020-04-07,104.1092,104.3001,639832AG9=
2020-04-08,104.0856,104.276,639832AG9=
2020-04-09,104.3688,104.5597,639832AG9=
2020-04-10,104.3694,104.5603,639832AG9=
2020-04-13,104.1569,104.3472,639832AG9=
2020-04-14,104.3067,104.4972,639832AG9=
2020-04-15,104.7094,104.9007,639832AG9=
2020-04-16,104.6345,104.8253,639832AG9=
2020-04-17,104.6033,104.7939,639832AG9=
2020-04-20,104.6387,104.8293,639832AG9=
2020-04-21,104.7264,104.9171,639832AG9=
2020-04-22,104.5573,104.7475,639832AG9=
2020-04-23,104.5209,104.7107,639832AG9=
2020-04-24,104.5041,104.6938,639832AG9=
2020-04-27,104.3502,104.5394,639832AG9=
2020-04-28,104.4989,104.6883,639832AG9=
2020-04-29,104.5247,104.7141,639832AG9=
