Date,BID,ASK,RIC
2020-12-29,99.9466,100.0923,63983TED3=
2020-12-30,100.0,100.1455,63983TED3=
2020-12-31,99.9951,100.1405,63983TED3=
2021-01-04,100.0823,100.2278,63983TED3=
2021-01-05,99.9758,100.121,63983TED3=
2021-01-06,99.8695,100.0144,63983TED3=
2021-01-07,99.7686,99.9131,63983TED3=
2021-01-08,99.6773,99.8216,63983TED3=
2021-01-11,99.3467,99.4904,63983TED3=
2021-01-12,99.529,99.6729,63983TED3=
2021-01-13,99.4957,99.6395,63983TED3=
2021-01-14,99.5016,99.6451,63983TED3=
2021-01-15,99.6548,99.7984,63983TED3=
2021-01-18,99.6408,99.7844,63983TED3=
2021-01-19,99.6311,99.7746,63983TED3=
2021-01-20,99.7556,99.8992,63983TED3=
2021-01-21,99.7752,99.9186,63983TED3=
2021-01-22,99.7466,99.8899,63983TED3=
2021-01-25,99.8327,99.976,63983TED3=
2021-01-26,99.8137,99.9569,63983TED3=
2021-01-27,99.8997,100.043,63983TED3=
2021-01-28,99.7997,99.9427,63983TED3=
2021-01-29,99.7808,99.9237,63983TED3=
2021-02-01,99.7809,99.9237,63983TED3=
2021-02-02,99.724,99.8666,63983TED3=
2021-02-03,99.6008,99.7431,63983TED3=
2021-02-04,99.6347,99.7768,63983TED3=
2021-02-05,99.5923,99.7343,63983TED3=
2021-02-08,99.5169,99.6587,63983TED3=
2021-02-09,99.503,99.6447,63983TED3=
2021-02-10,99.6166,99.7584,63983TED3=
2021-02-11,99.6033,99.7447,63983TED3=
2021-02-12,99.4671,99.6082,63983TED3=
2021-02-15,99.3756,99.5166,63983TED3=
2021-02-16,99.2844,99.4252,63983TED3=
2021-02-17,99.1818,99.3223,63983TED3=
2021-02-18,99.1785,99.3188,63983TED3=
2021-02-19,99.1229,99.263,63983TED3=
2021-02-22,98.9231,99.0628,63983TED3=
2021-02-23,99.1566,99.2966,63983TED3=
2021-02-24,98.9243,99.0639,63983TED3=
