Date,BID,ASK,RIC
2023-02-17,100.0151,100.2037,63983TEG6=
2023-02-20,99.9507,100.1392,63983TEG6=
2023-02-21,99.8043,99.9924,63983TEG6=
2023-02-22,99.8457,100.0339,63983TEG6=
2023-02-23,99.8327,100.0202,63983TEG6=
2023-02-24,99.6273,99.814,63983TEG6=
2023-02-27,99.6878,99.8739,63983TEG6=
2023-02-28,99.6398,99.6955,63983TEG6=
2023-03-01,99.4735,99.529,63983TEG6=
2023-03-02,99.4918,99.5471,63983TEG6=
2023-03-03,99.5991,99.6544,63983TEG6=
2023-03-06,99.4616,99.5167,63983TEG6=
2023-03-07,99.2259,99.2808,63983TEG6=
2023-03-08,99.0353,99.09,63983TEG6=
2023-03-09,99.4937,99.5485,63983TEG6=
2023-03-10,100.0926,100.1477,63983TEG6=
2023-03-13,101.065,101.1207,63983TEG6=
2023-03-14,100.5274,100.5827,63983TEG6=
2023-03-15,101.199,101.2547,63983TEG6=
2023-03-16,100.6744,100.7295,63983TEG6=
2023-03-17,101.4989,101.5545,63983TEG6=
2023-03-20,101.275,101.3304,63983TEG6=
2023-03-21,100.8635,100.9185,63983TEG6=
2023-03-22,101.3007,101.3559,63983TEG6=
2023-03-23,101.4509,101.506,63983TEG6=
2023-03-24,101.4635,101.5185,63983TEG6=
2023-03-27,101.0212,101.0759,63983TEG6=
2023-03-28,100.8526,100.9071,63983TEG6=
2023-03-29,100.8181,100.8725,63983TEG6=
2023-03-30,100.7548,100.809,63983TEG6=
2023-03-31,100.9052,100.9594,63983TEG6=
2023-04-03,101.0265,101.0807,63983TEG6=
2023-04-04,101.2942,101.3485,63983TEG6=
2023-04-05,101.4108,101.4649,63983TEG6=
2023-04-06,101.3422,101.3962,63983TEG6=
2023-04-07,101.0478,101.1016,63983TEG6=
2023-04-10,100.9801,101.0337,63983TEG6=
2023-04-11,100.9375,100.991,63983TEG6=
2023-04-12,101.052,101.1055,63983TEG6=
2023-04-13,101.0118,101.0651,63983TEG6=
2023-04-14,100.7783,100.8314,63983TEG6=
2023-04-17,100.5902,100.643,63983TEG6=
2023-04-18,100.628,100.6808,63983TEG6=
2023-04-19,100.5656,100.6183,63983TEG6=
2023-04-20,100.7326,100.7852,63983TEG6=
2023-04-21,100.6826,100.7351,63983TEG6=
2023-04-24,100.8458,100.8983,63983TEG6=
2023-04-25,101.1893,101.2419,63983TEG6=
2023-04-26,101.1858,101.2384,63983TEG6=
2023-04-27,100.6746,100.7266,63983TEG6=
2023-04-28,100.7237,100.7757,63983TEG6=
2023-05-01,100.5499,100.6017,63983TEG6=
2023-05-02,101.1351,101.1872,63983TEG6=
2023-05-03,101.1473,101.1993,63983TEG6=
2023-05-04,101.3944,101.4463,63983TEG6=
2023-05-05,100.927,100.9786,63983TEG6=
2023-05-08,100.8176,100.869,63983TEG6=
2023-05-09,100.7736,100.8249,63983TEG6=
2023-05-10,100.9878,101.0392,63983TEG6=
2023-05-11,100.9713,101.0224,63983TEG6=
2023-05-12,100.7202,100.7711,63983TEG6=
2023-05-15,100.8444,100.8953,63983TEG6=
2023-05-16,100.6977,100.7484,63983TEG6=
2023-05-17,100.5381,100.5886,63983TEG6=
2023-05-18,100.3949,100.4451,63983TEG6=
2023-05-19,100.3943,100.4444,63983TEG6=
2023-05-22,100.267,100.317,63983TEG6=
2023-05-23,100.3664,100.4164,63983TEG6=
2023-05-24,100.1135,100.1632,63983TEG6=
2023-05-25,99.8744,99.9237,63983TEG6=
2023-05-26,99.8563,99.9056,63983TEG6=
2023-05-29,99.7812,99.8304,63983TEG6=
2023-05-30,100.0962,100.1455,63983TEG6=
2023-05-31,100.0813,100.1306,63983TEG6=
2023-06-01,100.2101,100.2592,63983TEG6=
2023-06-02,99.9374,99.9863,63983TEG6=
2023-06-05,99.9652,100.014,63983TEG6=
2023-06-06,99.8922,99.9409,63983TEG6=
2023-06-07,99.7354,99.7839,63983TEG6=
2023-06-08,99.8414,99.8897,63983TEG6=
2023-06-09,99.7083,99.7565,63983TEG6=
2023-06-12,99.7553,99.8034,63983TEG6=
2023-06-13,99.5366,99.5845,63983TEG6=
2023-06-14,99.6139,99.6618,63983TEG6=
2023-06-15,99.6863,99.7339,63983TEG6=
2023-06-16,99.5791,99.6266,63983TEG6=
2023-06-19,99.5112,99.5586,63983TEG6=
2023-06-20,99.6668,99.7143,63983TEG6=
2023-06-21,99.5869,99.6342,63983TEG6=
2023-06-22,99.418,99.465,63983TEG6=
2023-06-23,99.4832,99.5302,63983TEG6=
2023-06-26,99.4778,99.5247,63983TEG6=
2023-06-27,99.3228,99.3695,63983TEG6=
2023-06-28,99.5139,99.5607,63983TEG6=
2023-06-29,99.2826,99.329,63983TEG6=
2023-06-30,99.2373,99.2835,63983TEG6=
2023-07-03,99.1864,99.2325,63983TEG6=
2023-07-04,99.2316,99.2777,63983TEG6=
2023-07-05,99.128,99.174,63983TEG6=
2023-07-07,99.2361,99.2819,63983TEG6=
2023-07-10,99.3715,99.4173,63983TEG6=
2023-07-11,99.2737,99.3193,63983TEG6=
2023-07-12,99.4558,99.5015,63983TEG6=
2023-07-13,99.6195,99.665,63983TEG6=
2023-07-14,99.3843,99.4296,63983TEG6=
2023-07-17,99.4699,99.5152,63983TEG6=
2023-07-18,99.4226,99.4678,63983TEG6=
2023-07-19,99.3576,99.4027,63983TEG6=
2023-07-20,99.3208,99.3656,63983TEG6=
2023-07-21,99.4101,99.4549,63983TEG6=
