Date,BID,ASK,RIC
2022-06-29,99.777,99.9385,65540JAH1=
2022-06-30,100.0939,100.256,65540JAH1=
2022-07-01,100.5715,100.7346,65540JAH1=
2022-07-04,100.4642,100.627,65540JAH1=
2022-07-05,100.6915,100.8547,65540JAH1=
2022-07-06,100.0903,100.2522,65540JAH1=
2022-07-07,99.9833,100.1446,65540JAH1=
2022-07-08,99.681,99.8416,65540JAH1=
2022-07-11,99.7999,99.9606,65540JAH1=
2022-07-12,99.8545,100.0152,65540JAH1=
2022-07-13,99.643,99.8032,65540JAH1=
2022-07-14,99.6339,99.7937,65540JAH1=
2022-07-15,99.7043,99.8642,65540JAH1=
2022-07-18,99.5928,99.7523,65540JAH1=
2022-07-19,99.2244,99.3831,65540JAH1=
2022-07-20,99.3866,99.5455,65540JAH1=
2022-07-21,99.6606,99.8197,65540JAH1=
2022-07-22,100.2471,100.4072,65540JAH1=
2022-07-25,100.3204,100.4805,65540JAH1=
2022-07-26,100.1955,100.3552,65540JAH1=
2022-07-27,100.374,100.5339,65540JAH1=
2022-07-28,100.7026,100.8629,65540JAH1=
2022-07-29,100.8237,100.9841,65540JAH1=
2022-08-01,100.8551,101.0155,65540JAH1=
2022-08-02,100.5188,100.6784,65540JAH1=
2022-08-03,100.2797,100.4387,65540JAH1=
2022-08-04,100.4629,100.6219,65540JAH1=
2022-08-05,100.2152,100.3736,65540JAH1=
2022-08-08,100.1644,100.3226,65540JAH1=
2022-08-09,99.9496,100.1073,65540JAH1=
2022-08-10,99.959,100.1166,65540JAH1=
2022-08-11,100.1382,100.2958,65540JAH1=
2022-08-12,100.1034,100.2608,65540JAH1=
2022-08-15,100.2732,100.4308,65540JAH1=
2022-08-16,100.0906,100.2477,65540JAH1=
2022-08-17,99.8712,100.0278,65540JAH1=
2022-08-18,99.8931,100.0494,65540JAH1=
2022-08-19,99.6563,99.812,65540JAH1=
2022-08-22,99.4826,99.6379,65540JAH1=
2022-08-23,99.5078,99.663,65540JAH1=
2022-08-24,99.3347,99.4895,65540JAH1=
2022-08-25,99.438,99.5926,65540JAH1=
2022-08-26,99.4014,99.5558,65540JAH1=
2022-08-29,99.1949,99.3489,65540JAH1=
2022-08-30,99.3494,99.5036,65540JAH1=
2022-08-31,98.9536,99.1069,65540JAH1=
2022-09-01,98.8925,99.0453,65540JAH1=
2022-09-02,98.9605,99.1133,65540JAH1=
2022-09-05,98.8133,98.9658,65540JAH1=
2022-09-06,98.7571,98.9094,65540JAH1=
2022-09-07,98.895,99.0474,65540JAH1=
2022-09-08,98.8064,98.9583,65540JAH1=
2022-09-09,98.7103,98.8619,65540JAH1=
2022-09-12,98.8263,98.978,65540JAH1=
2022-09-13,98.5853,98.7364,65540JAH1=
2022-09-14,98.177,98.3273,65540JAH1=
2022-09-15,98.0345,98.1841,65540JAH1=
2022-09-16,98.0241,98.1736,65540JAH1=
2022-09-19,97.9331,98.0823,65540JAH1=
2022-09-20,97.8483,97.9973,65540JAH1=
2022-09-21,97.7044,97.853,65540JAH1=
2022-09-22,97.3787,97.5263,65540JAH1=
2022-09-23,97.1158,97.2628,65540JAH1=
2022-09-26,96.4573,96.603,65540JAH1=
2022-09-27,96.5911,96.737,65540JAH1=
2022-09-28,96.9088,97.0551,65540JAH1=
2022-09-29,96.7471,96.8928,65540JAH1=
2022-09-30,96.5434,96.6886,65540JAH1=
2022-10-03,97.0462,97.1922,65540JAH1=
2022-10-04,97.0806,97.2265,65540JAH1=
2022-10-05,97.1004,97.2462,65540JAH1=
2022-10-06,96.6836,96.8282,65540JAH1=
2022-10-07,96.4671,96.6112,65540JAH1=
2022-10-10,96.4342,96.5783,65540JAH1=
2022-10-11,96.0938,96.2371,65540JAH1=
2022-10-12,96.1427,96.286,65540JAH1=
2022-10-13,96.3349,96.4782,65540JAH1=
2022-10-14,95.8501,95.9924,65540JAH1=
2022-10-17,95.8249,95.9671,65540JAH1=
2022-10-18,95.746,95.8879,65540JAH1=
2022-10-19,95.1594,95.3001,65540JAH1=
2022-10-21,95.3151,95.4557,65540JAH1=
2022-10-24,95.2852,95.4256,65540JAH1=
