Date,BID,ASK,RIC
2023-06-29,98.9052,99.1222,65540JAK4=
2023-06-30,98.7943,99.0108,65540JAK4=
2023-07-03,98.6273,98.8432,65540JAK4=
2023-07-04,98.7112,98.9273,65540JAK4=
2023-07-05,98.378,98.5932,65540JAK4=
2023-07-07,97.9139,98.1275,65540JAK4=
2023-07-10,98.432,98.6468,65540JAK4=
2023-07-11,98.4242,98.6389,65540JAK4=
2023-07-12,99.1305,99.3469,65540JAK4=
2023-07-13,99.684,99.9015,65540JAK4=
2023-07-14,99.2611,99.4774,65540JAK4=
2023-07-17,99.3823,99.5988,65540JAK4=
2023-07-18,99.4343,99.6508,65540JAK4=
2023-07-19,99.5341,99.7508,65540JAK4=
2023-07-20,99.0024,99.2174,65540JAK4=
2023-07-21,99.1337,99.3489,65540JAK4=
