Date,BID,ASK,RIC
2022-09-09,100.6708,101.0633,656029AK1=
2022-09-12,100.3347,100.7256,656029AK1=
2022-09-13,99.9144,100.3033,656029AK1=
2022-09-14,99.9764,100.3655,656029AK1=
2022-09-15,99.6275,100.0147,656029AK1=
2022-09-16,99.5965,99.9835,656029AK1=
2022-09-19,99.2806,99.666,656029AK1=
2022-09-20,98.706,99.0886,656029AK1=
2022-09-21,98.9737,99.3575,656029AK1=
2022-09-22,97.638,98.0152,656029AK1=
2022-09-23,97.8117,98.1897,656029AK1=
2022-09-26,96.0151,96.3846,656029AK1=
2022-09-27,95.8611,96.2298,656029AK1=
2022-09-28,97.4216,97.7975,656029AK1=
2022-09-29,97.1011,97.4753,656029AK1=
2022-09-30,97.4157,97.7913,656029AK1=
2022-10-03,96.4258,96.7967,656029AK1=
2022-10-04,96.4856,96.8567,656029AK1=
2022-10-05,95.6029,95.9697,656029AK1=
2022-10-06,95.0739,95.438,656029AK1=
2022-10-07,94.6402,95.0022,656029AK1=
2022-10-10,94.1143,94.4738,656029AK1=
2022-10-11,94.2306,94.5906,656029AK1=
2022-10-12,94.5556,94.917,656029AK1=
2022-10-13,94.199,94.5585,656029AK1=
2022-10-14,93.6854,94.0425,656029AK1=
2022-10-17,93.7579,94.1152,656029AK1=
2022-10-18,93.7947,94.1521,656029AK1=
2022-10-19,93.2204,93.5751,656029AK1=
2022-10-20,93.458,93.8136,656029AK1=
2022-10-21,93.0067,93.3601,656029AK1=
2022-10-24,92.6703,93.022,656029AK1=
2022-10-25,93.214,93.5682,656029AK1=
2022-10-26,94.1037,94.462,656029AK1=
2022-10-27,94.5649,94.9252,656029AK1=
2022-10-28,93.8574,94.2143,656029AK1=
2022-10-31,93.7875,94.144,656029AK1=
2022-11-01,93.7318,94.0879,656029AK1=
2022-11-02,93.4635,93.8183,656029AK1=
2022-11-03,92.7419,93.0932,656029AK1=
2022-11-04,92.9117,93.2637,656029AK1=
2022-11-07,92.5418,92.892,656029AK1=
2022-11-08,93.1043,93.457,656029AK1=
2022-11-09,93.2434,93.5965,656029AK1=
2022-11-10,95.3005,95.663,656029AK1=
2022-11-11,95.0197,95.3809,656029AK1=
2022-11-14,95.4317,95.7947,656029AK1=
2022-11-15,96.7913,97.1605,656029AK1=
2022-11-16,97.3612,97.733,656029AK1=
2022-11-17,97.0741,97.4443,656029AK1=
2022-11-18,96.4859,96.8533,656029AK1=
2022-11-21,96.5526,96.9203,656029AK1=
2022-11-22,97.3796,97.7509,656029AK1=
2022-11-23,97.9683,98.3421,656029AK1=
2022-11-24,98.1612,98.5359,656029AK1=
2022-11-25,98.1778,98.5525,656029AK1=
2022-11-28,98.3428,98.7182,656029AK1=
2022-11-29,97.8876,98.2608,656029AK1=
2022-11-30,98.7036,99.0805,656029AK1=
2022-12-01,99.9998,100.3824,656029AK1=
2022-12-02,100.1373,100.5205,656029AK1=
2022-12-05,99.4445,99.8244,656029AK1=
2022-12-06,99.6875,100.0685,656029AK1=
2022-12-07,100.6123,100.9974,656029AK1=
2022-12-08,100.466,100.8502,656029AK1=
2022-12-09,99.7258,100.1065,656029AK1=
2022-12-12,99.6423,100.0225,656029AK1=
2022-12-13,100.527,100.9112,656029AK1=
2022-12-14,100.5423,100.9265,656029AK1=
2022-12-15,101.0723,101.4587,656029AK1=
2022-12-16,100.7796,101.1646,656029AK1=
2022-12-19,100.0758,100.4574,656029AK1=
2022-12-20,99.0769,99.4539,656029AK1=
2022-12-21,99.2201,99.5976,656029AK1=
2022-12-22,99.1983,99.5754,656029AK1=
2022-12-23,98.711,99.0858,656029AK1=
2022-12-27,98.056,98.4277,656029AK1=
2022-12-28,97.7087,98.0787,656029AK1=
2022-12-29,98.0653,98.4367,656029AK1=
2022-12-30,97.7551,98.125,656029AK1=
2023-01-02,98.1159,98.4874,656029AK1=
2023-01-03,98.8552,99.23,656029AK1=
2023-01-04,99.0951,99.471,656029AK1=
2023-01-05,98.8713,99.2459,656029AK1=
2023-01-06,100.0761,100.4561,656029AK1=
2023-01-09,100.0989,100.4789,656029AK1=
2023-01-10,99.8113,100.1899,656029AK1=
2023-01-11,100.4331,100.8145,656029AK1=
2023-01-12,101.4197,101.8053,656029AK1=
2023-01-13,101.1583,101.5426,656029AK1=
2023-01-16,100.8484,101.2313,656029AK1=
2023-01-17,100.9972,101.3807,656029AK1=
2023-01-18,102.7441,103.1355,656029AK1=
2023-01-19,102.6956,103.0865,656029AK1=
2023-01-20,101.8955,102.2827,656029AK1=
2023-01-23,101.8257,102.2125,656029AK1=
2023-01-24,102.1036,102.4915,656029AK1=
2023-01-25,102.6,102.9901,656029AK1=
2023-01-26,102.4197,102.8087,656029AK1=
2023-01-27,102.7712,103.1619,656029AK1=
2023-01-30,102.4658,102.855,656029AK1=
2023-01-31,102.6674,103.0574,656029AK1=
2023-02-01,103.8814,104.2769,656029AK1=
2023-02-02,104.3138,104.711,656029AK1=
2023-02-03,103.7049,104.0992,656029AK1=
2023-02-06,103.2726,103.6648,656029AK1=
2023-02-07,103.0141,103.4051,656029AK1=
2023-02-08,103.8128,104.2073,656029AK1=
2023-02-09,103.1912,103.5826,656029AK1=
2023-02-10,102.6612,103.0501,656029AK1=
2023-02-13,102.886,103.2758,656029AK1=
2023-02-14,102.575,102.9633,656029AK1=
2023-02-15,102.188,102.5745,656029AK1=
2023-02-16,101.8022,102.1865,656029AK1=
2023-02-17,102.0015,102.3867,656029AK1=
2023-02-20,101.8112,102.1955,656029AK1=
2023-02-21,100.955,101.3353,656029AK1=
2023-02-22,101.008,101.3885,656029AK1=
2023-02-23,101.1368,101.5176,656029AK1=
2023-02-24,101.0205,101.4004,656029AK1=
2023-02-27,101.1971,101.5778,656029AK1=
2023-02-28,101.1666,101.5471,656029AK1=
2023-03-01,100.6519,101.0299,656029AK1=
2023-03-02,100.1409,100.5164,656029AK1=
2023-03-03,100.9237,101.3026,656029AK1=
2023-03-06,100.8632,101.2418,656029AK1=
2023-03-07,100.8329,101.2112,656029AK1=
2023-03-08,101.0658,101.4451,656029AK1=
2023-03-09,101.7397,102.1218,656029AK1=
2023-03-10,101.8387,102.2211,656029AK1=
2023-03-13,103.1249,103.5131,656029AK1=
2023-03-14,102.0433,102.4265,656029AK1=
2023-03-15,102.2519,102.636,656029AK1=
2023-03-16,101.3197,101.6993,656029AK1=
2023-03-17,102.4453,102.8299,656029AK1=
2023-03-20,102.0857,102.4686,656029AK1=
2023-03-21,101.1322,101.5107,656029AK1=
2023-03-22,102.3546,102.7385,656029AK1=
2023-03-23,102.6737,103.0588,656029AK1=
2023-03-24,102.9898,103.3762,656029AK1=
2023-03-27,101.6979,102.0784,656029AK1=
