Date,BID,ASK,RIC
2014-08-20,100.2181,100.6256,680033AC1=
2014-08-21,101.1907,101.6028,680033AC1=
2014-08-22,101.9665,102.3822,680033AC1=
2014-08-25,102.1402,102.5567,680033AC1=
2014-08-26,102.0069,102.4226,680033AC1=
2014-08-27,102.3291,102.746,680033AC1=
2014-08-28,102.52,102.9378,680033AC1=
2014-08-29,102.461,102.8784,680033AC1=
2014-09-02,101.8298,102.2441,680033AC1=
2014-09-03,102.0019,102.4168,680033AC1=
2014-09-04,101.5639,101.9766,680033AC1=
2014-09-05,101.5306,101.9429,680033AC1=
2014-09-08,101.415,101.8268,680033AC1=
2014-09-09,101.1604,101.5708,680033AC1=
2014-09-10,100.8245,101.233,680033AC1=
2014-09-11,100.7591,101.1672,680033AC1=
2014-09-12,100.2879,100.6937,680033AC1=
2014-09-15,100.4336,100.84,680033AC1=
2014-09-16,100.4091,100.8153,680033AC1=
2014-09-17,100.1983,100.6032,680033AC1=
2014-09-18,100.2143,100.6192,680033AC1=
2014-09-19,100.5379,100.9443,680033AC1=
2014-09-22,100.6432,101.0499,680033AC1=
2014-09-23,100.9519,101.36,680033AC1=
2014-09-24,100.6261,101.0324,680033AC1=
2014-09-25,101.1381,101.5467,680033AC1=
2014-09-26,100.9342,101.3418,680033AC1=
2014-09-29,101.3414,101.7509,680033AC1=
2014-09-30,101.2105,101.6192,680033AC1=
2014-10-01,102.0777,102.4903,680033AC1=
2014-10-02,101.6912,102.1019,680033AC1=
2014-10-03,101.7072,102.1178,680033AC1=
2014-10-06,101.8133,102.2243,680033AC1=
2014-10-07,102.4878,102.902,680033AC1=
2014-10-08,102.6589,103.0735,680033AC1=
2014-10-09,102.5838,102.998,680033AC1=
2014-10-10,102.9226,103.3382,680033AC1=
2014-10-14,103.6713,104.0904,680033AC1=
2014-10-15,103.6435,104.0623,680033AC1=
2014-10-16,103.4508,103.8685,680033AC1=
2014-10-17,103.0592,103.4749,680033AC1=
2014-10-20,103.0999,103.5158,680033AC1=
2014-10-21,102.8258,103.2403,680033AC1=
2014-10-22,102.8816,103.2961,680033AC1=
2014-10-23,102.411,102.8231,680033AC1=
2014-10-24,102.5009,102.9133,680033AC1=
2014-10-27,102.5579,102.9705,680033AC1=
2014-10-28,102.2095,102.6205,680033AC1=
2014-10-29,102.0475,102.4574,680033AC1=
2014-10-30,102.1615,102.5719,680033AC1=
2014-10-31,101.9321,102.3413,680033AC1=
2014-11-03,101.8419,102.2505,680033AC1=
2014-11-04,101.9312,102.3401,680033AC1=
2014-11-05,101.8401,102.2484,680033AC1=
2014-11-06,101.5467,101.9533,680033AC1=
2014-11-07,102.2059,102.6156,680033AC1=
2014-11-10,101.7245,102.1319,680033AC1=
2014-11-12,101.6178,102.0243,680033AC1=
2014-11-13,101.8501,102.2577,680033AC1=
2014-11-14,102.0654,102.4739,680033AC1=
2014-11-17,101.8934,102.3009,680033AC1=
2014-11-18,102.0713,102.4796,680033AC1=
2014-11-19,101.7367,102.1432,680033AC1=
2014-11-20,101.8987,102.3058,680033AC1=
2014-11-21,102.1096,102.5176,680033AC1=
2014-11-24,102.1656,102.5737,680033AC1=
2014-11-25,102.5392,102.9488,680033AC1=
2014-11-26,102.6449,103.0549,680033AC1=
2014-11-28,103.2598,103.6726,680033AC1=
2014-12-01,102.7255,103.1356,680033AC1=
2014-12-02,102.2354,102.6431,680033AC1=
2014-12-03,102.3396,102.7475,680033AC1=
2014-12-04,102.7224,103.132,680033AC1=
2014-12-05,102.1354,102.5422,680033AC1=
2014-12-08,102.5498,102.9584,680033AC1=
2014-12-09,102.8922,103.3024,680033AC1=
2014-12-10,103.2344,103.6458,680033AC1=
2014-12-11,103.2665,103.678,680033AC1=
2014-12-12,103.9746,104.3893,680033AC1=
2014-12-15,103.7093,104.1227,680033AC1=
2014-12-16,104.1549,104.5703,680033AC1=
2014-12-17,103.5083,103.9204,680033AC1=
2014-12-18,102.9422,103.3515,680033AC1=
2014-12-19,103.3343,103.7454,680033AC1=
2014-12-22,103.3492,103.7601,680033AC1=
2014-12-23,102.4422,102.8486,680033AC1=
2014-12-24,102.4822,102.8887,680033AC1=
2014-12-26,102.5681,102.9751,680033AC1=
2014-12-29,102.9689,103.3774,680033AC1=
2014-12-30,103.0647,103.4734,680033AC1=
2014-12-31,103.2436,103.6531,680033AC1=
2015-01-02,103.7015,104.113,680033AC1=
2015-01-05,104.3515,104.7659,680033AC1=
2015-01-06,105.1561,105.5741,680033AC1=
2015-01-07,104.8778,105.2943,680033AC1=
2015-01-08,104.487,104.9016,680033AC1=
2015-01-09,105.0502,105.4672,680033AC1=
2015-01-12,105.3824,105.801,680033AC1=
2015-01-13,105.4229,105.8415,680033AC1=
2015-01-14,105.8361,106.2562,680033AC1=
2015-01-15,106.9054,107.3305,680033AC1=
2015-01-16,106.0347,106.4555,680033AC1=
2015-01-20,106.3697,106.792,680033AC1=
2015-01-21,105.6606,106.0794,680033AC1=
2015-01-22,105.6844,106.1031,680033AC1=
2015-01-23,106.379,106.8009,680033AC1=
2015-01-26,106.0583,106.4786,680033AC1=
2015-01-27,106.0485,106.4686,680033AC1=
2015-01-28,106.9636,107.3878,680033AC1=
2015-01-29,106.6578,107.0805,680033AC1=
2015-01-30,107.6396,108.0667,680033AC1=
2015-02-02,107.34,107.7656,680033AC1=
2015-02-03,106.2915,106.7121,680033AC1=
2015-02-04,106.7158,107.1381,680033AC1=
2015-02-05,106.1264,106.5459,680033AC1=
2015-02-06,104.9611,105.3751,680033AC1=
2015-02-09,104.7868,105.1998,680033AC1=
2015-02-10,104.5717,104.9836,680033AC1=
2015-02-11,101.0502,101.4454,680033AC1=
2015-02-12,101.2485,101.6446,680033AC1=
2015-02-13,100.7899,101.1838,680033AC1=
2015-02-17,100.0421,100.4325,680033AC1=
2015-02-18,100.6238,101.0165,680033AC1=
2015-02-19,100.3341,100.7254,680033AC1=
2015-02-20,100.3886,100.7801,680033AC1=
2015-02-23,100.8112,101.2045,680033AC1=
2015-02-24,101.5121,101.9085,680033AC1=
2015-02-25,101.5098,101.9058,680033AC1=
2015-02-26,101.0445,101.4382,680033AC1=
2015-02-27,101.3195,101.7144,680033AC1=
2015-03-02,100.5895,100.981,680033AC1=
2015-03-03,100.332,100.7222,680033AC1=
2015-03-04,102.9623,104.5814,680033AC1=
2015-03-05,102.9775,104.5965,680033AC1=
2015-03-06,101.9404,103.5398,680033AC1=
2015-03-09,102.3687,103.9756,680033AC1=
2015-03-10,102.943,104.5602,680033AC1=
2015-03-11,103.0368,104.6545,680033AC1=
2015-03-12,103.0279,104.6451,680033AC1=
2015-03-13,102.9791,104.595,680033AC1=
2015-03-16,103.3231,104.9449,680033AC1=
2015-03-17,103.4911,105.1157,680033AC1=
2015-03-18,104.5726,106.2159,680033AC1=
2015-03-19,104.1492,105.7843,680033AC1=
2015-03-20,104.4564,106.0968,680033AC1=
2015-03-23,104.6423,106.2857,680033AC1=
2015-03-24,104.9346,106.583,680033AC1=
2015-03-25,104.4911,106.1301,680033AC1=
2015-03-26,103.9211,105.5498,680033AC1=
2015-03-27,104.2144,105.8479,680033AC1=
2015-03-30,104.278,105.9123,680033AC1=
2015-03-31,104.4841,106.1206,680033AC1=
2015-04-01,105.0359,106.6822,680033AC1=
2015-04-02,104.5872,106.2248,680033AC1=
2015-04-03,105.1896,106.8383,680033AC1=
2015-04-06,104.7078,106.3472,680033AC1=
2015-04-07,104.8122,106.4531,680033AC1=
2015-04-08,104.6461,106.2828,680033AC1=
2015-04-09,104.184,105.8118,680033AC1=
2015-04-10,104.2959,105.9253,680033AC1=
2015-04-13,104.4482,106.08,680033AC1=
2015-04-14,104.6899,106.3258,680033AC1=
2015-04-15,104.7592,106.3951,680033AC1=
2015-04-16,104.7255,106.3604,680033AC1=
2015-04-17,104.9757,106.6148,680033AC1=
2015-04-20,104.7798,106.4149,680033AC1=
2015-04-21,104.6006,106.232,680033AC1=
2015-04-22,104.0013,105.6205,680033AC1=
2015-04-23,104.2412,105.8644,680033AC1=
2015-04-24,104.5624,106.1911,680033AC1=
2015-04-27,104.4644,106.0909,680033AC1=
2015-04-28,103.8451,105.4599,680033AC1=
2015-04-29,103.499,105.1062,680033AC1=
2015-04-30,100.9172,102.477,680033AC1=
2015-05-01,100.3241,101.8727,680033AC1=
2015-05-04,100.0636,101.6071,680033AC1=
2015-05-05,99.7887,101.3268,680033AC1=
2015-05-06,99.2574,100.7847,680033AC1=
2015-05-07,99.8194,101.3565,680033AC1=
2015-05-08,100.094,101.6357,680033AC1=
2015-05-11,99.0088,100.5304,680033AC1=
2015-05-12,99.296,100.8225,680033AC1=
2015-05-13,98.942,100.4609,680033AC1=
2015-05-14,99.3322,100.8578,680033AC1=
2015-05-15,99.9719,101.5087,680033AC1=
2015-05-18,99.3121,100.8366,680033AC1=
2015-05-19,98.8979,100.4145,680033AC1=
2015-05-20,99.1472,100.6668,680033AC1=
2015-05-21,99.6155,101.1432,680033AC1=
2015-05-22,99.4795,101.0043,680033AC1=
2015-05-26,100.0177,101.5519,680033AC1=
2015-05-27,100.1089,101.6439,680033AC1=
2015-05-28,100.0709,101.6049,680033AC1=
2015-05-29,100.1469,101.6819,680033AC1=
2015-06-01,99.707,101.2336,680033AC1=
2015-06-02,99.0817,100.5967,680033AC1=
2015-06-03,98.3728,99.8739,680033AC1=
2015-06-04,98.7608,100.2685,680033AC1=
