Date,BID,ASK,RIC
2019-10-31,100.6847,100.922,693475AY1=
2019-11-01,100.5518,100.7886,693475AY1=
2019-11-04,100.2539,100.4898,693475AY1=
2019-11-05,99.5736,99.8076,693475AY1=
2019-11-06,99.7046,99.9388,693475AY1=
2019-11-07,99.1523,99.3845,693475AY1=
2019-11-08,99.2446,99.4769,693475AY1=
2019-11-11,99.2818,99.5142,693475AY1=
2019-11-12,99.4679,99.7007,693475AY1=
2019-11-13,100.009,100.2431,693475AY1=
2019-11-14,100.2337,100.4681,693475AY1=
2019-11-15,99.7572,99.9902,693475AY1=
2019-11-18,99.9668,100.2002,693475AY1=
2019-11-19,99.8877,100.1208,693475AY1=
2019-11-20,100.2747,100.5087,693475AY1=
2019-11-21,100.1627,100.396,693475AY1=
2019-11-22,99.9714,100.2041,693475AY1=
2019-11-25,100.3344,100.5679,693475AY1=
2019-11-26,100.1108,100.3435,693475AY1=
2019-11-27,100.0614,100.2936,693475AY1=
2019-11-28,100.0294,100.2615,693475AY1=
2019-11-29,100.0763,100.3084,693475AY1=
2019-12-02,100.0235,100.2553,693475AY1=
2019-12-03,100.5991,100.8323,693475AY1=
2019-12-04,100.2199,100.452,693475AY1=
2019-12-05,99.9529,100.1839,693475AY1=
2019-12-06,99.7826,100.013,693475AY1=
2019-12-09,100.0369,100.2679,693475AY1=
2019-12-10,99.902,100.1325,693475AY1=
2019-12-11,100.3802,100.6118,693475AY1=
2019-12-12,99.9116,100.1416,693475AY1=
2019-12-13,100.2035,100.4342,693475AY1=
2019-12-16,100.0783,100.3085,693475AY1=
2019-12-17,100.1608,100.3911,693475AY1=
2019-12-18,99.747,99.9761,693475AY1=
2019-12-19,99.873,100.1021,693475AY1=
2019-12-20,99.8628,100.0917,693475AY1=
2019-12-23,99.8084,100.0369,693475AY1=
2019-12-24,99.9679,100.1967,693475AY1=
2019-12-25,99.9284,100.1571,693475AY1=
2019-12-26,99.9487,100.1771,693475AY1=
2019-12-27,100.1297,100.3586,693475AY1=
2019-12-30,100.148,100.3767,693475AY1=
2019-12-31,100.2627,100.4915,693475AY1=
2020-01-01,100.3047,100.5336,693475AY1=
2020-01-02,100.409,100.6378,693475AY1=
2020-01-03,100.733,100.9626,693475AY1=
2020-01-06,100.5506,100.7796,693475AY1=
2020-01-07,100.6841,100.9133,693475AY1=
2020-01-08,100.3166,100.5447,693475AY1=
2020-01-09,100.3793,100.6072,693475AY1=
2020-01-10,100.3674,100.5951,693475AY1=
2020-01-13,100.3532,100.5808,693475AY1=
2020-01-14,100.4822,100.71,693475AY1=
2020-01-15,100.6032,100.8312,693475AY1=
2020-01-16,100.5703,100.7977,693475AY1=
2020-01-17,100.4731,100.7001,693475AY1=
2020-01-20,100.4881,100.7151,693475AY1=
2020-01-21,100.9488,101.1769,693475AY1=
2020-01-22,100.7943,101.0219,693475AY1=
2020-01-23,101.1235,101.3516,693475AY1=
2020-01-24,101.2775,101.5058,693475AY1=
2020-01-27,101.2665,101.4947,693475AY1=
2020-01-28,101.092,101.3196,693475AY1=
2020-01-29,101.4351,101.6636,693475AY1=
2020-01-30,101.6403,101.8689,693475AY1=
2020-01-31,101.6124,101.8408,693475AY1=
2020-02-03,101.8569,102.0858,693475AY1=
2020-02-04,101.5308,101.7588,693475AY1=
2020-02-05,101.4889,101.7166,693475AY1=
2020-02-06,101.4822,101.7095,693475AY1=
2020-02-07,101.5652,101.7926,693475AY1=
2020-02-10,101.6251,101.8525,693475AY1=
2020-02-11,101.4393,101.6661,693475AY1=
2020-02-12,101.2998,101.5262,693475AY1=
2020-02-13,101.5192,101.7456,693475AY1=
2020-02-14,101.819,102.046,693475AY1=
2020-02-17,101.81,102.037,693475AY1=
2020-02-18,101.9937,102.2211,693475AY1=
2020-02-19,102.1226,102.3502,693475AY1=
2020-02-20,102.0056,102.2325,693475AY1=
2020-02-21,102.1879,102.4151,693475AY1=
2020-02-24,102.7144,102.9428,693475AY1=
2020-02-25,102.4988,102.7265,693475AY1=
2020-02-26,102.614,102.8419,693475AY1=
2020-02-27,102.2458,102.4723,693475AY1=
2020-02-28,102.9743,103.2025,693475AY1=
2020-03-02,103.0691,103.2974,693475AY1=
2020-03-03,103.4174,103.6464,693475AY1=
2020-03-04,103.246,103.4745,693475AY1=
2020-03-05,103.7003,103.9295,693475AY1=
2020-03-06,104.0214,104.2513,693475AY1=
2020-03-09,103.6101,103.8388,693475AY1=
2020-03-10,104.387,104.6176,693475AY1=
2020-03-11,104.2609,104.491,693475AY1=
2020-03-12,99.9873,100.2063,693475AY1=
2020-03-13,100.162,100.3813,693475AY1=
2020-03-16,99.7666,99.9848,693475AY1=
2020-03-17,96.3743,96.6679,693475AY1=
2020-03-18,95.1103,95.3994,693475AY1=
2020-03-19,95.2755,95.5646,693475AY1=
2020-03-20,93.0799,93.3613,693475AY1=
2020-03-23,93.3624,93.6446,693475AY1=
2020-03-24,92.8976,93.178,693475AY1=
2020-03-25,96.4611,96.7537,693475AY1=
2020-03-26,96.4814,96.7735,693475AY1=
2020-03-27,96.968,97.2618,693475AY1=
2020-03-30,100.9063,101.2136,693475AY1=
2020-03-31,101.0551,101.3627,693475AY1=
2020-04-01,100.8951,101.202,693475AY1=
2020-04-02,99.7197,100.022,693475AY1=
2020-04-03,98.0002,98.2964,693475AY1=
2020-04-06,97.7639,98.0591,693475AY1=
2020-04-07,97.6796,97.9743,693475AY1=
2020-04-08,97.689,97.9831,693475AY1=
2020-04-09,98.7693,99.0669,693475AY1=
2020-04-10,98.7789,99.0766,693475AY1=
2020-04-13,101.8803,102.1885,693475AY1=
2020-04-14,102.0248,102.3333,693475AY1=
2020-04-15,102.8491,103.1603,693475AY1=
2020-04-16,102.3648,102.6737,693475AY1=
2020-04-17,102.3153,102.6239,693475AY1=
2020-04-20,103.2701,103.5818,693475AY1=
2020-04-21,102.4472,102.7559,693475AY1=
2020-04-22,103.329,103.6405,693475AY1=
2020-04-23,103.2941,103.605,693475AY1=
2020-04-24,103.2804,103.591,693475AY1=
2020-04-27,102.2674,102.5744,693475AY1=
2020-04-28,102.412,102.7193,693475AY1=
2020-04-29,102.6785,102.9865,693475AY1=
2020-04-30,103.5187,103.8291,693475AY1=
2020-05-01,103.299,103.6084,693475AY1=
2020-05-04,103.2824,103.5916,693475AY1=
2020-05-05,103.8096,104.1204,693475AY1=
2020-05-06,103.8227,104.1334,693475AY1=
2020-05-07,103.8229,104.133,693475AY1=
2020-05-08,103.6944,104.0039,693475AY1=
2020-05-11,103.6336,103.9427,693475AY1=
2020-05-12,103.7353,104.0446,693475AY1=
2020-05-13,103.976,104.2416,693475AY1=
2020-05-14,103.9184,104.1834,693475AY1=
2020-05-15,103.3077,103.5707,693475AY1=
2020-05-18,104.0596,104.3247,693475AY1=
2020-05-19,104.2023,104.4676,693475AY1=
2020-05-20,103.7365,104.0003,693475AY1=
2020-05-21,104.386,104.6511,693475AY1=
2020-05-22,104.4259,104.6909,693475AY1=
2020-05-25,104.4405,104.7056,693475AY1=
2020-05-26,104.3673,104.632,693475AY1=
2020-05-27,103.9822,104.2456,693475AY1=
2020-05-28,104.0419,104.3052,693475AY1=
2020-05-29,104.1878,104.4513,693475AY1=
2020-06-01,105.3511,105.6179,693475AY1=
2020-06-02,105.4829,105.7499,693475AY1=
2020-06-03,105.299,105.5653,693475AY1=
2020-06-04,105.1353,105.4006,693475AY1=
2020-06-05,104.9164,105.1809,693475AY1=
