Date,BID,ASK,RIC
2020-01-20,99.831,100.271,693475AZ8=
2020-01-21,100.095,100.535,693475AZ8=
2020-01-22,100.412,100.854,693475AZ8=
2020-01-23,100.369,100.81,693475AZ8=
2020-01-24,100.614,101.057,693475AZ8=
2020-01-27,100.994,101.439,693475AZ8=
2020-01-28,101.1,101.545,693475AZ8=
2020-01-29,101.724,102.172,693475AZ8=
2020-01-30,101.632,102.079,693475AZ8=
2020-01-31,101.843,102.291,693475AZ8=
2020-02-03,102.04,102.489,693475AZ8=
2020-02-04,101.611,102.058,693475AZ8=
2020-02-05,101.29,101.735,693475AZ8=
2020-02-06,100.982,101.424,693475AZ8=
2020-02-07,102.065,102.513,693475AZ8=
2020-02-10,102.234,102.683,693475AZ8=
2020-02-11,101.44,101.885,693475AZ8=
2020-02-12,101.663,102.109,693475AZ8=
2020-02-13,101.713,102.158,693475AZ8=
2020-02-14,101.794,102.24,693475AZ8=
2020-02-17,101.791,102.237,693475AZ8=
2020-02-18,102.05,102.498,693475AZ8=
2020-02-19,101.614,102.059,693475AZ8=
2020-02-20,101.888,102.334,693475AZ8=
2020-02-21,102.637,103.086,693475AZ8=
2020-02-24,102.844,103.295,693475AZ8=
2020-02-25,102.978,103.429,693475AZ8=
2020-02-26,103.158,103.61,693475AZ8=
2020-02-27,102.361,102.808,693475AZ8=
2020-02-28,103.084,103.535,693475AZ8=
2020-03-02,102.555,103.003,693475AZ8=
2020-03-03,103.937,104.392,693475AZ8=
2020-03-04,103.43,103.882,693475AZ8=
2020-03-05,104.678,105.136,693475AZ8=
2020-03-06,104.885,105.344,693475AZ8=
2020-03-09,105.456,105.917,693475AZ8=
2020-03-10,101.934,102.378,693475AZ8=
2020-03-11,100.284,100.72,693475AZ8=
2020-03-12,98.703,99.131,693475AZ8=
2020-03-13,98.95,99.379,693475AZ8=
2020-03-16,97.535,97.957,693475AZ8=
2020-03-17,94.329,94.898,693475AZ8=
2020-03-18,92.221,92.776,693475AZ8=
2020-03-19,87.153,87.672,693475AZ8=
2020-03-20,84.131,84.63,693475AZ8=
2020-03-23,87.002,87.52,693475AZ8=
2020-03-24,88.333,88.86,693475AZ8=
