Date,BID,ASK,RIC
2014-10-29,99.4017,99.8224,69353REF1=
2014-10-30,99.8562,100.279,69353REF1=
2014-10-31,99.873,100.2959,69353REF1=
2014-11-03,99.7802,100.2025,69353REF1=
2014-11-04,99.7044,100.1263,69353REF1=
2014-11-05,100.1175,100.5411,69353REF1=
2014-11-06,99.8138,100.2357,69353REF1=
2014-11-07,100.3286,100.7529,69353REF1=
2014-11-10,99.8306,100.2523,69353REF1=
2014-11-12,100.2266,100.65,69353REF1=
2014-11-13,100.4689,100.8934,69353REF1=
2014-11-14,100.3545,100.7783,69353REF1=
2014-11-17,100.1764,100.5992,69353REF1=
2014-11-18,100.1081,100.5305,69353REF1=
2014-11-19,99.7632,100.1837,69353REF1=
2014-11-20,99.9311,100.3523,69353REF1=
2014-11-21,100.1498,100.5719,69353REF1=
2014-11-24,100.2086,100.6308,69353REF1=
2014-11-25,100.5964,101.0202,69353REF1=
2014-11-26,100.6216,101.0454,69353REF1=
2014-11-28,101.2577,101.6846,69353REF1=
2014-12-01,101.1298,101.5559,69353REF1=
2014-12-02,100.3678,100.7901,69353REF1=
2014-12-03,100.908,101.3326,69353REF1=
2014-12-04,100.9585,101.3833,69353REF1=
2014-12-05,100.6876,101.1109,69353REF1=
2014-12-08,101.1191,101.5445,69353REF1=
2014-12-09,101.1358,101.5611,69353REF1=
2014-12-10,101.4917,101.9185,69353REF1=
2014-12-11,101.5254,101.9522,69353REF1=
2014-12-12,102.0887,102.5182,69353REF1=
2014-12-15,101.5586,101.9854,69353REF1=
2014-12-16,101.1675,101.5923,69353REF1=
2014-12-17,101.0988,101.523,69353REF1=
2014-12-18,100.5167,100.9379,69353REF1=
2014-12-19,100.9208,101.3439,69353REF1=
2014-12-22,101.9557,102.3836,69353REF1=
2014-12-23,101.0123,101.4354,69353REF1=
2014-12-24,101.0543,101.4774,69353REF1=
2014-12-26,101.1556,101.5793,69353REF1=
2014-12-29,101.5615,101.9869,69353REF1=
2014-12-30,101.6621,102.0877,69353REF1=
2014-12-31,101.8486,102.275,69353REF1=
2015-01-02,102.3257,102.7543,69353REF1=
2015-01-05,103.0031,103.4348,69353REF1=
2015-01-06,103.8416,104.2773,69353REF1=
2015-01-07,103.5525,103.9865,69353REF1=
2015-01-08,103.1457,103.5776,69353REF1=
2015-01-09,103.4729,103.9063,69353REF1=
2015-01-12,103.8185,104.2534,69353REF1=
2015-01-13,103.8609,104.296,69353REF1=
2015-01-14,104.2917,104.7284,69353REF1=
2015-01-15,105.1395,105.5803,69353REF1=
2015-01-16,103.2849,103.7166,69353REF1=
2015-01-20,103.6292,104.0624,69353REF1=
2015-01-21,102.9039,103.3333,69353REF1=
2015-01-22,102.9289,103.3583,69353REF1=
2015-01-23,103.642,104.0747,69353REF1=
2015-01-26,103.572,104.0043,69353REF1=
2015-01-27,103.5625,103.9947,69353REF1=
2015-01-28,104.505,104.9415,69353REF1=
2015-01-29,104.8004,105.2382,69353REF1=
2015-01-30,105.3774,105.8179,69353REF1=
2015-02-02,105.596,106.4809,69353REF1=
2015-02-03,104.5093,105.3835,69353REF1=
2015-02-04,104.8631,105.7401,69353REF1=
2015-02-05,103.9934,104.8618,69353REF1=
2015-02-06,102.7909,103.6475,69353REF1=
2015-02-09,102.6114,103.4661,69353REF1=
2015-02-10,102.3899,103.2423,69353REF1=
2015-02-11,102.2437,103.0938,69353REF1=
2015-02-12,102.626,103.4795,69353REF1=
2015-02-13,102.133,102.9816,69353REF1=
2015-02-17,101.3294,102.1701,69353REF1=
2015-02-18,102.6299,103.4824,69353REF1=
2015-02-19,102.3159,103.1653,69353REF1=
2015-02-20,102.3746,103.2243,69353REF1=
