Date,BID,ASK,RIC
2017-10-20,99.4632,99.8888,69353RFG8=
2017-10-23,99.9144,100.3421,69353RFG8=
2017-10-24,98.9724,99.3954,69353RFG8=
2017-10-25,98.7703,99.1922,69353RFG8=
2017-10-26,98.872,99.2941,69353RFG8=
2017-10-27,99.4295,99.8544,69353RFG8=
2017-10-30,99.4043,99.8289,69353RFG8=
2017-10-31,99.2436,99.6673,69353RFG8=
2017-11-01,99.3029,99.7268,69353RFG8=
2017-11-02,99.4301,99.8544,69353RFG8=
2017-11-03,99.982,100.4089,69353RFG8=
2017-11-06,99.8458,100.2719,69353RFG8=
2017-11-07,99.8628,100.2889,69353RFG8=
2017-11-08,99.7099,100.1351,69353RFG8=
2017-11-09,99.5726,99.9969,69353RFG8=
2017-11-10,98.9481,99.3692,69353RFG8=
2017-11-13,98.9957,99.4169,69353RFG8=
2017-11-14,99.244,99.6663,69353RFG8=
2017-11-15,99.2707,99.6931,69353RFG8=
2017-11-16,98.8595,99.2796,69353RFG8=
2017-11-17,99.1282,99.5495,69353RFG8=
2017-11-20,99.2545,99.6763,69353RFG8=
2017-11-21,99.3305,99.7525,69353RFG8=
2017-11-22,99.6511,100.0743,69353RFG8=
2017-11-23,99.6851,100.1085,69353RFG8=
2017-11-24,99.4909,99.9132,69353RFG8=
2017-11-27,99.5669,99.9895,69353RFG8=
2017-11-28,99.1884,99.6091,69353RFG8=
2017-11-29,99.0879,99.508,69353RFG8=
2017-11-30,98.8627,99.2814,69353RFG8=
2017-12-01,99.0468,99.4663,69353RFG8=
2017-12-04,98.9717,99.3907,69353RFG8=
2017-12-05,99.2985,99.719,69353RFG8=
2017-12-06,99.4078,99.8287,69353RFG8=
2017-12-07,99.2236,99.6433,69353RFG8=
2017-12-08,99.0732,99.4921,69353RFG8=
2017-12-11,99.157,99.5762,69353RFG8=
2017-12-12,99.0319,99.4504,69353RFG8=
2017-12-13,99.7614,100.1833,69353RFG8=
2017-12-14,99.7531,100.1747,69353RFG8=
2017-12-15,99.7363,100.1577,69353RFG8=
2017-12-18,99.3756,99.7952,69353RFG8=
2017-12-19,98.8335,99.2503,69353RFG8=
2017-12-20,99.0168,99.4344,69353RFG8=
2017-12-21,99.1093,99.527,69353RFG8=
2017-12-22,99.1095,99.5271,69353RFG8=
2017-12-26,98.9599,99.3766,69353RFG8=
2017-12-27,99.4771,99.8962,69353RFG8=
2017-12-28,99.2937,99.7117,69353RFG8=
2017-12-29,99.6243,100.0438,69353RFG8=
2018-01-02,99.2274,99.6448,69353RFG8=
2018-01-03,99.3692,99.7872,69353RFG8=
2018-01-04,99.2947,99.7121,69353RFG8=
2018-01-05,98.9459,99.3615,69353RFG8=
2018-01-08,98.8964,99.3116,69353RFG8=
2018-01-09,98.3271,98.7395,69353RFG8=
2018-01-10,98.2535,98.6654,69353RFG8=
2018-01-11,98.4442,98.8566,69353RFG8=
2018-01-12,98.5021,98.9147,69353RFG8=
2018-01-16,99.0226,99.4376,69353RFG8=
2018-01-17,98.281,98.6923,69353RFG8=
2018-01-18,98.1429,98.5533,69353RFG8=
2018-01-19,97.5154,97.9227,69353RFG8=
2018-01-22,97.8823,98.2912,69353RFG8=
2018-01-23,98.2015,98.6119,69353RFG8=
2018-01-24,97.9486,98.3576,69353RFG8=
2018-01-25,97.8197,98.2278,69353RFG8=
2018-01-26,97.7714,98.1792,69353RFG8=
2018-01-29,97.365,97.7709,69353RFG8=
2018-01-30,97.1721,97.5769,69353RFG8=
2018-01-31,97.2617,97.6668,69353RFG8=
2018-02-01,97.191,97.5955,69353RFG8=
2018-02-02,96.3168,96.717,69353RFG8=
2018-02-05,97.621,98.0274,69353RFG8=
2018-02-06,96.855,97.2576,69353RFG8=
2018-02-07,96.4552,96.8558,69353RFG8=
2018-02-08,96.221,96.6202,69353RFG8=
2018-02-09,95.5369,95.9327,69353RFG8=
2018-02-12,95.4938,95.8893,69353RFG8=
2018-02-13,95.6265,96.0225,69353RFG8=
2018-02-14,94.9634,95.3562,69353RFG8=
2018-02-15,95.246,95.6397,69353RFG8=
2018-02-16,95.3651,95.7593,69353RFG8=
2018-02-20,95.382,95.7762,69353RFG8=
2018-02-21,95.0613,95.4539,69353RFG8=
2018-02-22,95.3236,95.7171,69353RFG8=
2018-02-23,95.3326,95.7261,69353RFG8=
2018-02-26,95.369,95.7623,69353RFG8=
2018-02-27,95.0788,95.4707,69353RFG8=
2018-02-28,95.5425,95.9365,69353RFG8=
2018-03-01,95.9474,96.343,69353RFG8=
2018-03-02,95.4999,95.8933,69353RFG8=
2018-03-05,95.3755,95.7682,69353RFG8=
2018-03-06,94.8146,95.2045,69353RFG8=
2018-03-07,94.8548,95.2448,69353RFG8=
2018-03-08,95.0454,95.436,69353RFG8=
