Date,BID,ASK,RIC
2011-07-21,94.8837,95.8837,74977RCM4=
2011-07-22,95.7327,96.7327,74977RCM4=
2011-07-25,94.707,95.707,74977RCM4=
2011-07-26,95.4301,96.4301,74977RCM4=
2011-07-27,95.4155,96.4155,74977RCM4=
2011-07-28,95.7561,96.7561,74977RCM4=
2011-07-29,97.8858,98.8858,74977RCM4=
2011-08-01,98.7611,99.7611,74977RCM4=
2011-08-02,101.3604,102.3604,74977RCM4=
2011-08-03,102.1441,103.1441,74977RCM4=
2011-08-04,104.9383,105.9383,74977RCM4=
2011-08-05,102.5699,103.5699,74977RCM4=
2011-08-08,104.0696,105.0696,74977RCM4=
2011-08-09,105.7825,106.7825,74977RCM4=
2011-08-10,106.5073,107.5073,74977RCM4=
2011-08-11,101.8356,102.8356,74977RCM4=
2011-08-12,103.3942,104.3942,74977RCM4=
2011-08-15,103.0729,104.0729,74977RCM4=
2011-08-16,104.8066,105.8066,74977RCM4=
2011-08-17,106.2967,107.2967,74977RCM4=
2011-08-18,108.8465,109.8465,74977RCM4=
2011-08-19,109.7212,110.7212,74977RCM4=
2011-08-22,109.6196,110.6196,74977RCM4=
2011-08-23,108.1006,109.1006,74977RCM4=
2011-08-24,105.3637,106.3637,74977RCM4=
2011-08-25,105.7946,106.7946,74977RCM4=
2011-08-26,106.8781,107.8781,74977RCM4=
2011-08-29,105.2903,106.2903,74977RCM4=
2011-08-30,107.4216,108.4216,74977RCM4=
2011-08-31,105.8915,106.8915,74977RCM4=
2011-09-01,107.4082,108.4082,74977RCM4=
2011-09-02,111.7645,112.7645,74977RCM4=
2011-09-05,112.2222,113.2222,74977RCM4=
2011-09-06,112.6562,113.6562,74977RCM4=
2011-09-07,110.6475,111.6475,74977RCM4=
2011-09-08,111.4912,112.4912,74977RCM4=
2011-09-09,112.9664,113.9664,74977RCM4=
2011-09-12,112.9689,113.9689,74977RCM4=
2011-09-13,111.3372,112.3372,74977RCM4=
2011-09-14,111.6895,112.6895,74977RCM4=
2011-09-15,110.6403,111.6403,74977RCM4=
2011-09-16,111.4344,112.4344,74977RCM4=
2011-09-19,114.1246,115.1246,74977RCM4=
2011-09-20,113.7858,114.7858,74977RCM4=
2011-09-21,117.7509,118.7509,74977RCM4=
2011-09-22,124.0405,125.0405,74977RCM4=
2011-09-23,121.1304,122.1304,74977RCM4=
2011-09-26,118.5067,119.5067,74977RCM4=
2011-09-27,115.831,116.831,74977RCM4=
2011-09-28,116.4722,117.4722,74977RCM4=
2011-09-29,118.5605,119.5605,74977RCM4=
2011-09-30,120.8057,121.8057,74977RCM4=
2011-10-03,122.1314,123.1314,74977RCM4=
2011-10-04,122.0999,123.0999,74977RCM4=
2011-10-05,119.0518,120.0518,74977RCM4=
2011-10-06,117.4446,118.4446,74977RCM4=
2011-10-07,115.9037,116.9037,74977RCM4=
2011-10-10,114.8716,115.8716,74977RCM4=
2011-10-11,114.3923,115.3923,74977RCM4=
2011-10-12,112.2327,113.2327,74977RCM4=
2011-10-13,113.7716,114.7716,74977RCM4=
2011-10-14,111.6888,112.6888,74977RCM4=
2011-10-17,113.8079,114.8079,74977RCM4=
2011-10-18,113.4427,114.4427,74977RCM4=
2011-10-19,113.1256,114.1256,74977RCM4=
2011-10-20,112.4612,113.4612,74977RCM4=
2011-10-21,111.1657,112.1657,74977RCM4=
2011-10-24,110.8757,111.8757,74977RCM4=
2011-10-25,113.6567,114.6567,74977RCM4=
2011-10-26,111.9931,112.9931,74977RCM4=
2011-10-27,108.4037,109.4037,74977RCM4=
2011-10-28,109.7414,110.7414,74977RCM4=
2011-10-31,113.5472,114.5472,74977RCM4=
2011-11-01,117.9277,118.9277,74977RCM4=
2011-11-02,117.218,118.218,74977RCM4=
2011-11-03,115.4312,116.4312,74977RCM4=
2011-11-04,115.9466,116.9466,74977RCM4=
2011-11-07,117.1915,118.1915,74977RCM4=
2011-11-08,115.2899,116.2899,74977RCM4=
2011-11-09,117.739,118.739,74977RCM4=
2011-11-10,115.5243,116.5243,74977RCM4=
2011-11-11,114.6472,115.6472,74977RCM4=
2011-11-14,116.4428,117.4428,74977RCM4=
2011-11-15,116.3292,117.3292,74977RCM4=
2011-11-16,117.3021,118.3021,74977RCM4=
2011-11-17,119.2313,120.2313,74977RCM4=
2011-11-18,118.8179,119.8179,74977RCM4=
2011-11-21,119.9754,120.9754,74977RCM4=
2011-11-22,120.8192,121.8192,74977RCM4=
2011-11-23,122.9995,123.9995,74977RCM4=
2011-11-25,120.5385,121.5385,74977RCM4=
2011-11-28,120.7794,121.7794,74977RCM4=
2011-11-29,119.7707,120.7707,74977RCM4=
2011-11-30,117.1741,118.1741,74977RCM4=
2011-12-01,115.5318,116.5318,74977RCM4=
2011-12-02,118.0861,119.0861,74977RCM4=
2011-12-05,117.6783,118.6783,74977RCM4=
2011-12-06,116.2274,117.2274,74977RCM4=
2011-12-07,117.6315,118.6315,74977RCM4=
2011-12-08,118.7308,119.7308,74977RCM4=
2011-12-09,116.1386,117.1386,74977RCM4=
2011-12-12,117.5895,118.5895,74977RCM4=
2011-12-13,118.6346,119.6346,74977RCM4=
2011-12-14,121.0277,122.0277,74977RCM4=
2011-12-15,120.5559,121.5559,74977RCM4=
2011-12-16,122.4943,123.4943,74977RCM4=
2011-12-19,123.7019,124.7019,74977RCM4=
2011-12-20,120.548,121.548,74977RCM4=
2011-12-21,118.7687,119.7687,74977RCM4=
2011-12-22,119.2557,120.2557,74977RCM4=
2011-12-23,117.5997,118.5997,74977RCM4=
2011-12-27,117.8618,118.8618,74977RCM4=
2011-12-28,121.121,122.121,74977RCM4=
2011-12-29,120.9533,121.9533,74977RCM4=
2011-12-30,121.3809,122.3809,74977RCM4=
2012-01-03,118.8236,119.8236,74977RCM4=
2012-01-04,117.7248,118.7248,74977RCM4=
2012-01-05,117.3943,118.3943,74977RCM4=
2012-01-06,118.3714,119.3714,74977RCM4=
2012-01-09,118.1488,119.1488,74977RCM4=
2012-01-10,118.1337,119.1337,74977RCM4=
2012-01-11,119.7267,120.7267,74977RCM4=
2012-01-12,119.2577,120.2577,74977RCM4=
2012-01-13,120.8304,121.8304,74977RCM4=
2012-01-20,116.4467,117.4467,74977RCM4=
2012-01-27,117.6111,118.6111,74977RCM4=
2012-02-03,116.2385,117.2385,74977RCM4=
2012-02-10,116.136,117.136,74977RCM4=
2012-02-16,101.8232,102.8232,74977RCM4=
2012-02-17,101.7658,102.7658,74977RCM4=
2012-02-21,100.639,101.639,74977RCM4=
2012-02-22,101.7881,102.7881,74977RCM4=
2012-02-23,101.9182,102.9182,74977RCM4=
2012-02-24,102.5694,103.5694,74977RCM4=
2012-02-27,103.5409,104.5409,74977RCM4=
2012-02-28,102.9919,103.9919,74977RCM4=
2012-02-29,102.8745,103.8745,74977RCM4=
2012-03-01,101.6051,102.6051,74977RCM4=
2012-03-02,102.4419,103.4419,74977RCM4=
2012-03-05,101.7428,102.7428,74977RCM4=
2012-03-06,102.8982,103.8982,74977RCM4=
2012-03-07,102.1619,103.1619,74977RCM4=
2012-03-08,101.177,102.177,74977RCM4=
2012-03-09,101.1108,102.1108,74977RCM4=
2012-03-12,101.1987,102.1987,74977RCM4=
2012-03-13,99.5469,100.5469,74977RCM4=
2012-03-14,97.284,98.284,74977RCM4=
2012-03-15,97.2074,98.2074,74977RCM4=
2012-03-16,97.2243,98.2243,74977RCM4=
2012-03-19,96.1096,97.1096,74977RCM4=
2012-03-20,96.545,97.545,74977RCM4=
2012-03-21,97.6197,98.6197,74977RCM4=
2012-03-22,97.9024,98.9024,74977RCM4=
2012-03-23,98.9046,99.9046,74977RCM4=
2012-03-26,98.2554,99.2554,74977RCM4=
2012-03-27,99.0119,100.0119,74977RCM4=
2012-03-28,98.8564,99.8564,74977RCM4=
2012-03-29,99.4558,100.4558,74977RCM4=
2012-03-30,98.2945,99.2945,74977RCM4=
2012-04-02,98.6622,99.6622,74977RCM4=
2012-04-03,96.866,97.866,74977RCM4=
2012-04-04,98.0783,99.0783,74977RCM4=
2012-04-05,98.5784,99.5784,74977RCM4=
2012-04-06,100.0936,101.0936,74977RCM4=
2012-04-09,100.2722,101.2722,74977RCM4=
2012-04-10,101.4324,102.4324,74977RCM4=
2012-04-11,100.2848,101.2848,74977RCM4=
2012-04-12,99.9927,100.9927,74977RCM4=
2012-04-13,101.3717,102.3717,74977RCM4=
2012-04-16,101.4618,102.4618,74977RCM4=
2012-04-17,101.2186,102.2186,74977RCM4=
2012-04-18,101.5337,102.5337,74977RCM4=
2012-04-19,101.5818,102.5818,74977RCM4=
2012-04-20,101.6716,102.6716,74977RCM4=
2012-04-23,102.1778,103.1778,74977RCM4=
2012-04-24,101.4794,102.4794,74977RCM4=
2012-04-25,101.0539,102.0539,74977RCM4=
2012-04-26,101.5468,102.5468,74977RCM4=
2012-04-27,101.5913,102.5913,74977RCM4=
2012-04-30,101.7116,102.7116,74977RCM4=
2012-05-01,101.1085,102.1085,74977RCM4=
2012-05-02,101.6591,102.6591,74977RCM4=
2012-05-03,101.6056,102.6056,74977RCM4=
2012-05-04,102.4524,103.4524,74977RCM4=
2012-05-07,102.7011,103.7011,74977RCM4=
2012-05-08,103.0756,104.0756,74977RCM4=
2012-05-09,103.221,104.221,74977RCM4=
2012-05-10,102.9815,103.9815,74977RCM4=
2012-05-11,103.6519,104.6519,74977RCM4=
2012-05-14,105.2731,106.2731,74977RCM4=
2012-05-15,105.3972,106.3972,74977RCM4=
2012-05-16,105.8036,106.8036,74977RCM4=
2012-05-17,108.0598,109.0598,74977RCM4=
2012-05-18,107.6633,108.6633,74977RCM4=
2012-05-21,107.5169,108.5169,74977RCM4=
2012-05-22,106.2487,107.2487,74977RCM4=
2012-05-23,107.3539,108.3539,74977RCM4=
2012-05-24,106.1352,107.1352,74977RCM4=
2012-05-25,106.6748,107.6748,74977RCM4=
2012-05-29,106.6093,107.6093,74977RCM4=
2012-05-30,109.3794,110.3794,74977RCM4=
2012-05-31,110.8734,111.8734,74977RCM4=
2012-06-01,112.2176,113.2176,74977RCM4=
2012-06-04,111.4049,112.4049,74977RCM4=
2012-06-05,110.6099,111.6099,74977RCM4=
2012-06-06,107.8658,108.8658,74977RCM4=
2012-06-07,107.7114,108.7114,74977RCM4=
2012-06-08,107.726,108.726,74977RCM4=
2012-06-11,108.4766,109.4766,74977RCM4=
2012-06-12,107.2414,108.2414,74977RCM4=
2012-06-13,108.3216,109.3216,74977RCM4=
2012-06-14,107.779,108.779,74977RCM4=
2012-06-15,108.7426,109.7426,74977RCM4=
2012-06-18,109.4238,110.4238,74977RCM4=
2012-06-19,107.9635,108.9635,74977RCM4=
2012-06-20,108.1495,109.1495,74977RCM4=
2012-06-21,108.933,109.933,74977RCM4=
2012-06-22,107.4623,108.4623,74977RCM4=
2012-06-25,109.1666,110.1666,74977RCM4=
2012-06-26,108.67,109.67,74977RCM4=
2012-06-27,108.8251,109.8251,74977RCM4=
2012-06-28,109.0166,110.0166,74977RCM4=
2012-06-29,107.6315,108.6315,74977RCM4=
2012-07-02,108.8096,109.8096,74977RCM4=
2012-07-03,107.9011,108.9011,74977RCM4=
2012-07-04,108.4311,109.4311,74977RCM4=
2012-07-05,108.3845,109.3845,74977RCM4=
2012-07-06,109.4543,110.4543,74977RCM4=
2012-07-09,110.3007,111.3007,74977RCM4=
2012-07-10,110.7,111.7,74977RCM4=
2012-07-11,110.5835,111.5835,74977RCM4=
2012-07-12,111.5854,112.5854,74977RCM4=
2012-07-13,111.2716,112.2716,74977RCM4=
2012-07-16,111.7485,112.7485,74977RCM4=
2012-07-17,110.7432,111.7432,74977RCM4=
2012-07-18,110.881,111.881,74977RCM4=
2012-07-19,110.5852,111.5852,74977RCM4=
2012-07-20,111.9306,112.9306,74977RCM4=
2012-07-23,112.7346,113.7346,74977RCM4=
2012-07-24,113.8601,114.8601,74977RCM4=
2012-07-25,113.9969,114.9969,74977RCM4=
2012-07-26,112.8642,113.8642,74977RCM4=
2012-07-27,110.3336,111.3336,74977RCM4=
2012-07-30,111.1923,112.1923,74977RCM4=
2012-07-31,111.8915,112.8915,74977RCM4=
2012-08-01,110.8397,111.8397,74977RCM4=
2012-08-02,111.7716,112.7716,74977RCM4=
2012-08-03,109.7638,110.7638,74977RCM4=
2012-08-06,109.7015,110.7015,74977RCM4=
2012-08-07,108.2713,109.2713,74977RCM4=
2012-08-08,107.6544,108.6544,74977RCM4=
2012-08-09,107.5028,108.5028,74977RCM4=
2012-08-10,108.0385,109.0385,74977RCM4=
2012-08-13,107.903,108.903,74977RCM4=
2012-08-14,106.3847,107.3847,74977RCM4=
2012-08-15,104.6582,105.6582,74977RCM4=
2012-08-16,104.0292,105.0292,74977RCM4=
2012-08-17,104.5049,105.5049,74977RCM4=
2012-08-20,104.5133,105.5133,74977RCM4=
2012-08-21,104.9664,105.9664,74977RCM4=
2012-08-22,106.7579,107.7579,74977RCM4=
2012-08-23,107.1902,108.1902,74977RCM4=
2012-08-24,106.9387,107.9387,74977RCM4=
2012-08-27,107.6798,108.6798,74977RCM4=
2012-08-29,107.5781,108.5781,74977RCM4=
2012-08-30,107.9523,108.9523,74977RCM4=
2012-08-31,109.5671,110.5671,74977RCM4=
2012-09-03,109.432,110.432,74977RCM4=
2012-09-04,109.2892,110.2892,74977RCM4=
2012-09-05,108.7714,109.7714,74977RCM4=
2012-09-06,106.9448,107.9448,74977RCM4=
2012-09-07,106.5491,107.5491,74977RCM4=
2012-09-10,106.8226,107.8226,74977RCM4=
2012-09-11,105.8775,106.8775,74977RCM4=
2012-09-12,104.6605,105.6605,74977RCM4=
2012-09-13,104.4919,105.4919,74977RCM4=
2012-09-14,102.3636,103.3636,74977RCM4=
2012-09-18,103.8918,104.8918,74977RCM4=
2012-09-19,104.7641,105.7641,74977RCM4=
2012-09-20,105.0917,106.0917,74977RCM4=
2012-09-21,105.0504,106.0504,74977RCM4=
2012-09-24,105.9482,106.9482,74977RCM4=
2012-09-25,106.9167,107.9167,74977RCM4=
2012-09-26,108.3338,109.3338,74977RCM4=
2012-09-27,107.0767,108.0767,74977RCM4=
2012-09-28,107.4539,108.4539,74977RCM4=
2012-10-01,107.6441,108.6441,74977RCM4=
2012-10-02,107.6069,108.6069,74977RCM4=
2012-10-03,107.5624,108.5624,74977RCM4=
2012-10-04,106.1887,107.1887,74977RCM4=
2012-10-05,104.6423,105.6423,74977RCM4=
2012-10-08,104.6448,105.6448,74977RCM4=
2012-10-09,105.504,106.504,74977RCM4=
2012-10-10,106.2657,107.2657,74977RCM4=
2012-10-11,106.9967,107.9967,74977RCM4=
2012-10-12,107.2804,108.2804,74977RCM4=
2012-10-15,106.9607,107.9607,74977RCM4=
2012-10-16,105.6362,106.6362,74977RCM4=
2012-10-17,103.9766,104.9766,74977RCM4=
2012-10-18,103.8158,104.8158,74977RCM4=
2012-10-19,105.2933,106.2933,74977RCM4=
2012-10-22,104.5973,105.5973,74977RCM4=
2012-10-23,105.8599,106.8599,74977RCM4=
