Date,BID,ASK,RIC
2019-11-13,100.372,100.737,78014RBQ2=
2019-11-14,100.877,101.243,78014RBQ2=
2019-11-15,100.763,101.129,78014RBQ2=
2019-11-18,100.906,101.273,78014RBQ2=
2019-11-19,101.065,101.432,78014RBQ2=
2019-11-20,101.345,101.713,78014RBQ2=
2019-11-21,101.108,101.475,78014RBQ2=
2019-11-22,101.134,101.5,78014RBQ2=
2019-11-25,101.258,101.625,78014RBQ2=
2019-11-26,101.318,101.685,78014RBQ2=
2019-11-27,101.098,101.464,78014RBQ2=
2019-11-28,101.02,101.385,78014RBQ2=
2019-11-29,101.021,101.386,78014RBQ2=
2019-12-02,100.747,101.111,78014RBQ2=
2019-12-03,101.513,101.88,78014RBQ2=
2019-12-04,101.109,101.474,78014RBQ2=
2019-12-05,100.881,101.245,78014RBQ2=
2019-12-06,100.624,100.986,78014RBQ2=
2019-12-09,100.783,101.146,78014RBQ2=
2019-12-10,100.591,100.953,78014RBQ2=
2019-12-11,100.951,101.314,78014RBQ2=
2019-12-12,100.214,100.575,78014RBQ2=
2019-12-13,100.74,101.102,78014RBQ2=
2019-12-16,100.39,100.751,78014RBQ2=
2019-12-17,100.381,100.742,78014RBQ2=
2019-12-18,100.087,100.447,78014RBQ2=
2019-12-19,100.059,100.418,78014RBQ2=
2019-12-20,100.094,100.454,78014RBQ2=
2019-12-23,100.045,100.403,78014RBQ2=
2019-12-24,100.223,100.582,78014RBQ2=
2019-12-25,100.181,100.54,78014RBQ2=
2019-12-26,100.294,100.653,78014RBQ2=
2019-12-27,100.433,100.793,78014RBQ2=
2019-12-30,100.432,100.791,78014RBQ2=
2019-12-31,100.17,100.528,78014RBQ2=
2020-01-01,100.252,100.611,78014RBQ2=
2020-01-02,100.47,100.83,78014RBQ2=
2020-01-03,101.091,101.452,78014RBQ2=
2020-01-06,100.958,101.319,78014RBQ2=
2020-01-07,100.983,101.344,78014RBQ2=
2020-01-08,100.536,100.895,78014RBQ2=
2020-01-09,100.645,101.004,78014RBQ2=
2020-01-10,100.864,101.224,78014RBQ2=
2020-01-13,100.671,101.029,78014RBQ2=
2020-01-14,100.921,101.281,78014RBQ2=
2020-01-15,101.097,101.457,78014RBQ2=
2020-01-16,100.91,101.269,78014RBQ2=
2020-01-17,100.874,101.233,78014RBQ2=
2020-01-20,100.892,101.251,78014RBQ2=
2020-01-21,101.225,101.585,78014RBQ2=
2020-01-22,101.225,101.585,78014RBQ2=
2020-01-23,101.509,101.87,78014RBQ2=
2020-01-24,101.836,102.198,78014RBQ2=
2020-01-27,102.344,102.708,78014RBQ2=
2020-01-28,102.021,102.383,78014RBQ2=
2020-01-29,102.609,102.974,78014RBQ2=
2020-01-30,102.544,102.908,78014RBQ2=
2020-01-31,103.171,103.538,78014RBQ2=
2020-02-03,102.997,103.362,78014RBQ2=
2020-02-04,102.437,102.8,78014RBQ2=
2020-02-05,102.116,102.478,78014RBQ2=
2020-02-06,102.125,102.486,78014RBQ2=
2020-02-07,102.566,102.929,78014RBQ2=
2020-02-10,102.729,103.093,78014RBQ2=
2020-02-11,102.44,102.803,78014RBQ2=
2020-02-12,102.196,102.557,78014RBQ2=
2020-02-13,102.301,102.662,78014RBQ2=
2020-02-14,102.539,102.901,78014RBQ2=
2020-02-17,102.523,102.885,78014RBQ2=
2020-02-18,102.716,103.078,78014RBQ2=
2020-02-19,102.659,103.021,78014RBQ2=
2020-02-20,102.995,103.359,78014RBQ2=
2020-02-21,103.308,103.672,78014RBQ2=
2020-02-24,104.113,104.481,78014RBQ2=
2020-02-25,104.217,104.584,78014RBQ2=
2020-02-26,104.384,104.752,78014RBQ2=
2020-02-27,104.867,105.237,78014RBQ2=
2020-02-28,105.682,106.055,78014RBQ2=
2020-03-02,105.774,106.147,78014RBQ2=
2020-03-03,107.05,107.428,78014RBQ2=
2020-03-04,106.644,107.02,78014RBQ2=
2020-03-05,107.574,107.953,78014RBQ2=
2020-03-06,108.406,108.789,78014RBQ2=
2020-03-09,109.615,110.001,78014RBQ2=
2020-03-10,108.094,108.475,78014RBQ2=
2020-03-11,106.032,106.404,78014RBQ2=
2020-03-12,106.611,106.985,78014RBQ2=
2020-03-13,105.326,105.695,78014RBQ2=
2020-03-16,101.347,101.701,78014RBQ2=
2020-03-17,91.27,91.713,78014RBQ2=
2020-03-18,90.606,91.045,78014RBQ2=
2020-03-19,90.888,91.328,78014RBQ2=
2020-03-20,92.598,93.046,78014RBQ2=
2020-03-23,93.413,93.866,78014RBQ2=
2020-03-24,92.706,93.155,78014RBQ2=
2020-03-25,92.716,93.165,78014RBQ2=
2020-03-26,94.84,95.3,78014RBQ2=
2020-03-27,95.874,96.339,78014RBQ2=
2020-03-30,95.703,96.167,78014RBQ2=
2020-03-31,96.031,96.497,78014RBQ2=
2020-04-01,94.005,94.46,78014RBQ2=
2020-04-02,93.951,94.405,78014RBQ2=
2020-04-03,93.971,94.425,78014RBQ2=
2020-04-06,93.53,93.981,78014RBQ2=
2020-04-07,93.224,93.673,78014RBQ2=
2020-04-08,93.053,93.501,78014RBQ2=
2020-04-09,93.317,93.766,78014RBQ2=
2020-04-10,93.396,93.846,78014RBQ2=
2020-04-13,93.107,93.555,78014RBQ2=
2020-04-14,93.295,93.744,78014RBQ2=
2020-04-15,94.018,94.471,78014RBQ2=
2020-04-16,94.045,94.497,78014RBQ2=
2020-04-17,93.925,94.377,78014RBQ2=
2020-04-20,94.716,95.171,78014RBQ2=
2020-04-21,94.945,95.402,78014RBQ2=
2020-04-22,94.672,95.127,78014RBQ2=
2020-04-23,94.687,95.142,78014RBQ2=
2020-04-24,94.645,95.1,78014RBQ2=
2020-04-27,94.329,94.781,78014RBQ2=
2020-04-28,94.602,95.056,78014RBQ2=
2020-04-29,94.595,95.049,78014RBQ2=
2020-04-30,94.52,94.972,78014RBQ2=
2020-05-01,94.685,95.139,78014RBQ2=
2020-05-04,94.625,95.078,78014RBQ2=
2020-05-05,94.482,94.935,78014RBQ2=
2020-05-06,94.283,94.734,78014RBQ2=
2020-05-07,94.746,95.199,78014RBQ2=
2020-05-08,94.511,94.963,78014RBQ2=
2020-05-11,94.409,94.86,78014RBQ2=
2020-05-12,94.639,95.091,78014RBQ2=
2020-05-13,94.737,95.189,78014RBQ2=
2020-05-14,94.929,95.317,78014RBQ2=
2020-05-15,94.814,95.201,78014RBQ2=
2020-05-18,94.358,94.743,78014RBQ2=
2020-05-19,94.585,94.971,78014RBQ2=
2020-05-20,94.561,94.947,78014RBQ2=
2020-05-21,95.251,95.64,78014RBQ2=
2020-05-22,95.361,95.75,78014RBQ2=
2020-05-25,95.399,95.788,78014RBQ2=
2020-05-26,95.217,95.605,78014RBQ2=
2020-05-27,95.2,95.587,78014RBQ2=
2020-05-28,95.218,95.605,78014RBQ2=
2020-05-29,95.447,95.835,78014RBQ2=
2020-06-01,95.395,95.783,78014RBQ2=
2020-06-02,95.289,95.677,78014RBQ2=
2020-06-03,94.95,95.336,78014RBQ2=
2020-06-04,94.518,94.901,78014RBQ2=
2020-06-05,94.134,94.515,78014RBQ2=
2020-06-08,94.197,94.579,78014RBQ2=
2020-06-09,94.533,94.916,78014RBQ2=
2020-06-10,95.108,95.493,78014RBQ2=
2020-06-11,95.377,95.763,78014RBQ2=
2020-06-12,95.172,95.557,78014RBQ2=
2020-06-15,95.131,95.516,78014RBQ2=
2020-06-16,95.097,95.481,78014RBQ2=
2020-06-17,95.106,95.491,78014RBQ2=
2020-06-18,95.241,95.626,78014RBQ2=
2020-06-19,95.302,95.687,78014RBQ2=
2020-06-22,95.199,95.584,78014RBQ2=
2020-06-23,95.516,95.902,78014RBQ2=
2020-06-24,95.698,96.084,78014RBQ2=
2020-06-25,95.683,96.069,78014RBQ2=
2020-06-26,95.903,96.29,78014RBQ2=
2020-06-29,96.036,96.423,78014RBQ2=
2020-06-30,95.877,96.263,78014RBQ2=
2020-07-01,95.769,96.154,78014RBQ2=
2020-07-02,95.885,96.271,78014RBQ2=
2020-07-03,95.888,96.274,78014RBQ2=
2020-07-06,95.812,96.197,78014RBQ2=
2020-07-07,95.973,96.359,78014RBQ2=
2020-07-08,95.824,96.209,78014RBQ2=
2020-07-09,96.084,96.47,78014RBQ2=
2020-07-10,95.91,96.295,78014RBQ2=
2020-07-13,96.066,96.451,78014RBQ2=
2020-07-14,96.028,96.413,78014RBQ2=
2020-07-15,96.023,96.408,78014RBQ2=
2020-07-16,96.097,96.482,78014RBQ2=
2020-07-17,96.093,96.477,78014RBQ2=
2020-07-20,96.108,96.493,78014RBQ2=
2020-07-21,96.177,96.562,78014RBQ2=
2020-07-22,96.188,96.573,78014RBQ2=
2020-07-23,96.283,96.668,78014RBQ2=
2020-07-24,96.242,96.627,78014RBQ2=
2020-07-27,96.102,96.486,78014RBQ2=
2020-07-28,96.319,96.703,78014RBQ2=
2020-07-29,96.339,96.724,78014RBQ2=
2020-07-30,96.539,96.924,78014RBQ2=
2020-07-31,96.632,97.018,78014RBQ2=
2020-08-03,96.534,96.919,78014RBQ2=
2020-08-04,96.801,97.187,78014RBQ2=
2020-08-05,96.586,96.971,78014RBQ2=
2020-08-06,96.65,97.034,78014RBQ2=
2020-08-07,96.5,96.82,78014RBQ2=
2020-08-10,96.429,96.748,78014RBQ2=
2020-08-11,96.093,96.411,78014RBQ2=
2020-08-12,95.921,96.238,78014RBQ2=
2020-08-13,95.767,96.083,78014RBQ2=
2020-08-14,95.904,96.221,78014RBQ2=
2020-08-17,95.996,96.313,78014RBQ2=
2020-08-18,96.067,96.384,78014RBQ2=
2020-08-19,96.002,96.319,78014RBQ2=
2020-08-20,96.17,96.487,78014RBQ2=
2020-08-21,96.262,96.58,78014RBQ2=
2020-08-24,96.153,96.47,78014RBQ2=
2020-08-25,95.986,96.302,78014RBQ2=
2020-08-26,96.022,96.338,78014RBQ2=
2020-08-27,95.69,96.005,78014RBQ2=
2020-08-28,95.947,96.263,78014RBQ2=
2020-08-31,96.001,96.317,78014RBQ2=
2020-09-01,96.171,96.487,78014RBQ2=
2020-09-02,96.289,96.605,78014RBQ2=
2020-09-03,96.373,96.689,78014RBQ2=
2020-09-04,95.923,96.237,78014RBQ2=
2020-09-07,95.945,96.259,78014RBQ2=
2020-09-08,96.164,96.479,78014RBQ2=
2020-09-09,96.095,96.41,78014RBQ2=
2020-09-10,96.168,96.482,78014RBQ2=
2020-09-11,96.283,96.598,78014RBQ2=
2020-09-14,96.234,96.549,78014RBQ2=
2020-09-15,96.216,96.53,78014RBQ2=
2020-09-16,96.116,96.43,78014RBQ2=
2020-09-17,96.168,96.482,78014RBQ2=
2020-09-18,96.11,96.424,78014RBQ2=
2020-09-21,96.258,96.572,78014RBQ2=
2020-09-22,96.264,96.578,78014RBQ2=
2020-09-23,96.216,96.53,78014RBQ2=
2020-09-24,96.267,96.581,78014RBQ2=
2020-09-25,96.296,96.61,78014RBQ2=
2020-09-28,96.329,96.642,78014RBQ2=
2020-09-29,96.375,96.688,78014RBQ2=
2020-09-30,96.206,96.518,78014RBQ2=
2020-10-01,96.226,96.538,78014RBQ2=
2020-10-02,96.129,96.441,78014RBQ2=
2020-10-05,95.724,96.035,78014RBQ2=
2020-10-06,95.963,96.274,78014RBQ2=
2020-10-07,95.69,96.001,78014RBQ2=
2020-10-08,95.761,96.071,78014RBQ2=
2020-10-09,95.729,96.038,78014RBQ2=
2020-10-12,95.813,96.123,78014RBQ2=
2020-10-13,95.992,96.303,78014RBQ2=
2020-10-14,96.006,96.317,78014RBQ2=
2020-10-15,95.921,96.231,78014RBQ2=
2020-10-16,95.863,96.173,78014RBQ2=
2020-10-19,95.741,96.05,78014RBQ2=
2020-10-20,95.704,96.013,78014RBQ2=
2020-10-21,95.519,95.828,78014RBQ2=
2020-10-22,95.31,95.617,78014RBQ2=
2020-10-23,95.409,95.716,78014RBQ2=
2020-10-26,95.603,95.91,78014RBQ2=
2020-10-27,95.759,96.068,78014RBQ2=
2020-10-28,95.737,96.045,78014RBQ2=
2020-10-29,95.45,95.757,78014RBQ2=
2020-10-30,95.217,95.523,78014RBQ2=
2020-11-02,95.317,95.623,78014RBQ2=
2020-11-03,95.147,95.452,78014RBQ2=
2020-11-04,95.767,96.075,78014RBQ2=
2020-11-05,95.83,96.137,78014RBQ2=
2020-11-06,95.559,95.865,78014RBQ2=
2020-11-09,95.014,95.319,78014RBQ2=
2020-11-10,94.808,95.112,78014RBQ2=
2020-11-12,95.291,95.595,78014RBQ2=
2020-11-13,95.192,95.497,78014RBQ2=
2020-11-16,95.163,95.467,78014RBQ2=
2020-11-17,95.384,95.689,78014RBQ2=
2020-11-18,95.307,95.611,78014RBQ2=
2020-11-19,95.442,95.747,78014RBQ2=
2020-11-20,95.496,95.801,78014RBQ2=
2020-11-23,95.346,95.65,78014RBQ2=
2020-11-24,95.247,95.55,78014RBQ2=
2020-11-25,95.306,95.609,78014RBQ2=
2020-11-26,95.429,95.733,78014RBQ2=
2020-11-27,95.514,95.818,78014RBQ2=
2020-11-30,95.51,95.814,78014RBQ2=
2020-12-01,95.068,95.37,78014RBQ2=
2020-12-02,95.071,95.373,78014RBQ2=
2020-12-03,95.242,95.544,78014RBQ2=
2020-12-04,94.983,95.285,78014RBQ2=
2020-12-07,95.236,95.538,78014RBQ2=
2020-12-08,95.243,95.545,78014RBQ2=
2020-12-09,95.172,95.474,78014RBQ2=
2020-12-10,95.326,95.628,78014RBQ2=
2020-12-11,95.462,95.764,78014RBQ2=
2020-12-14,95.446,95.748,78014RBQ2=
2020-12-15,95.394,95.696,78014RBQ2=
2020-12-16,95.372,95.674,78014RBQ2=
2020-12-17,95.31,95.611,78014RBQ2=
2020-12-18,95.278,95.579,78014RBQ2=
2020-12-21,95.291,95.592,78014RBQ2=
2020-12-22,95.407,95.707,78014RBQ2=
2020-12-23,95.315,95.615,78014RBQ2=
2020-12-24,95.369,95.669,78014RBQ2=
2020-12-28,95.418,95.719,78014RBQ2=
2020-12-29,95.355,95.655,78014RBQ2=
2020-12-30,95.402,95.701,78014RBQ2=
2020-12-31,95.444,95.744,78014RBQ2=
2021-01-04,95.522,95.822,78014RBQ2=
2021-01-05,95.336,95.636,78014RBQ2=
2021-01-06,94.929,95.227,78014RBQ2=
2021-01-07,94.707,95.003,78014RBQ2=
2021-01-08,94.494,94.789,78014RBQ2=
2021-01-11,94.334,94.63,78014RBQ2=
2021-01-12,94.4,94.695,78014RBQ2=
2021-01-13,94.609,94.905,78014RBQ2=
2021-01-14,94.506,94.801,78014RBQ2=
2021-01-15,94.744,95.039,78014RBQ2=
2021-01-18,94.729,95.025,78014RBQ2=
2021-01-19,94.748,95.043,78014RBQ2=
2021-01-20,94.812,95.108,78014RBQ2=
2021-01-21,94.723,95.018,78014RBQ2=
2021-01-22,94.824,95.119,78014RBQ2=
2021-01-25,95.067,95.363,78014RBQ2=
2021-01-26,95.056,95.352,78014RBQ2=
2021-01-27,95.151,95.447,78014RBQ2=
2021-01-28,94.962,95.257,78014RBQ2=
2021-01-29,94.926,95.221,78014RBQ2=
2021-02-01,94.912,95.207,78014RBQ2=
2021-02-02,94.818,95.112,78014RBQ2=
2021-02-03,94.625,94.919,78014RBQ2=
2021-02-04,94.704,94.998,78014RBQ2=
2021-02-05,94.586,94.879,78014RBQ2=
2021-02-08,94.51,94.802,78014RBQ2=
2021-02-09,94.583,94.876,78014RBQ2=
2021-02-10,94.757,95.05,78014RBQ2=
2021-02-11,94.681,94.974,78014RBQ2=
2021-02-12,94.465,94.756,78014RBQ2=
2021-02-15,94.294,94.585,78014RBQ2=
2021-02-16,93.911,94.2,78014RBQ2=
2021-02-17,94.017,94.307,78014RBQ2=
2021-02-18,93.978,94.268,78014RBQ2=
2021-02-19,93.781,94.07,78014RBQ2=
2021-02-22,93.635,93.923,78014RBQ2=
2021-02-23,93.8,94.089,78014RBQ2=
2021-02-24,93.615,93.902,78014RBQ2=
2021-02-25,92.494,92.778,78014RBQ2=
2021-02-26,93.044,93.329,78014RBQ2=
2021-03-01,93.162,93.447,78014RBQ2=
2021-03-02,93.383,93.669,78014RBQ2=
2021-03-03,92.892,93.176,78014RBQ2=
2021-03-04,92.547,92.83,78014RBQ2=
2021-03-05,92.415,92.698,78014RBQ2=
2021-03-08,92.145,92.426,78014RBQ2=
2021-03-09,92.526,92.808,78014RBQ2=
2021-03-10,92.626,92.909,78014RBQ2=
2021-03-11,92.63,92.912,78014RBQ2=
2021-03-12,92.199,92.48,78014RBQ2=
2021-03-15,92.264,92.545,78014RBQ2=
2021-03-16,92.238,92.519,78014RBQ2=
2021-03-17,92.26,92.541,78014RBQ2=
2021-03-18,91.915,92.194,78014RBQ2=
2021-03-19,91.76,92.039,78014RBQ2=
2021-03-22,91.939,92.218,78014RBQ2=
2021-03-23,92.299,92.579,78014RBQ2=
2021-03-24,92.333,92.614,78014RBQ2=
2021-03-25,92.281,92.561,78014RBQ2=
2021-03-26,92.091,92.371,78014RBQ2=
2021-03-29,91.884,92.163,78014RBQ2=
2021-03-30,91.868,92.146,78014RBQ2=
2021-03-31,91.661,91.939,78014RBQ2=
2021-04-01,91.938,92.215,78014RBQ2=
2021-04-02,91.635,91.912,78014RBQ2=
2021-04-05,91.794,92.072,78014RBQ2=
2021-04-06,92.117,92.395,78014RBQ2=
2021-04-07,92.089,92.367,78014RBQ2=
2021-04-08,92.358,92.637,78014RBQ2=
2021-04-09,92.181,92.459,78014RBQ2=
2021-04-12,92.101,92.378,78014RBQ2=
2021-04-13,92.374,92.653,78014RBQ2=
2021-04-14,92.267,92.545,78014RBQ2=
2021-04-15,92.585,92.864,78014RBQ2=
2021-04-16,92.469,92.747,78014RBQ2=
2021-04-19,92.435,92.713,78014RBQ2=
2021-04-20,92.66,92.939,78014RBQ2=
2021-04-21,92.668,92.946,78014RBQ2=
2021-04-22,92.736,93.015,78014RBQ2=
2021-04-23,92.606,92.884,78014RBQ2=
