Date,BID,ASK,RIC
2022-08-19,99.727,99.798,78014RFT2=
2022-08-22,99.88,99.951,78014RFT2=
2022-08-23,99.909,99.98,78014RFT2=
2022-08-24,99.816,99.887,78014RFT2=
2022-08-25,99.84,99.91,78014RFT2=
2022-08-26,99.82,99.89,78014RFT2=
2022-08-29,99.777,99.847,78014RFT2=
2022-08-30,99.751,99.821,78014RFT2=
2022-08-31,99.686,99.756,78014RFT2=
2022-09-01,99.682,99.751,78014RFT2=
2022-09-02,99.791,99.86,78014RFT2=
2022-09-05,99.757,99.827,78014RFT2=
2022-09-06,99.616,99.684,78014RFT2=
2022-09-07,99.571,99.64,78014RFT2=
2022-09-08,99.627,99.695,78014RFT2=
2022-09-09,99.617,99.685,78014RFT2=
2022-09-12,99.6,99.668,78014RFT2=
2022-09-13,99.587,99.655,78014RFT2=
2022-09-14,99.545,99.612,78014RFT2=
2022-09-15,99.486,99.553,78014RFT2=
2022-09-16,99.241,99.308,78014RFT2=
2022-09-19,99.158,99.224,78014RFT2=
2022-09-20,99.018,99.085,78014RFT2=
2022-09-21,98.928,98.994,78014RFT2=
2022-09-22,98.911,98.977,78014RFT2=
2022-09-23,98.822,98.888,78014RFT2=
2022-09-26,98.626,98.692,78014RFT2=
2022-09-27,98.77,98.835,78014RFT2=
2022-09-28,99.005,99.071,78014RFT2=
2022-09-29,99.02,99.085,78014RFT2=
2022-09-30,98.686,98.751,78014RFT2=
2022-10-03,98.816,98.881,78014RFT2=
2022-10-04,98.849,98.914,78014RFT2=
2022-10-05,98.627,98.692,78014RFT2=
2022-10-06,99.68,99.744,78014RFT2=
2022-10-07,98.741,98.805,78014RFT2=
2022-10-10,98.745,98.809,78014RFT2=
2022-10-11,98.725,98.789,78014RFT2=
2022-10-12,98.76,98.824,78014RFT2=
2022-10-13,98.323,98.386,78014RFT2=
2022-10-14,98.271,98.334,78014RFT2=
2022-10-17,98.295,98.357,78014RFT2=
2022-10-18,98.236,98.298,78014RFT2=
2022-10-19,98.062,98.124,78014RFT2=
2022-10-21,98.124,98.185,78014RFT2=
2022-10-24,98.102,98.163,78014RFT2=
2022-10-25,98.159,98.22,78014RFT2=
2022-10-26,98.223,98.285,78014RFT2=
2022-10-27,98.317,98.378,78014RFT2=
2022-10-28,98.219,98.28,78014RFT2=
2022-10-31,98.078,98.138,78014RFT2=
2022-11-01,98.106,98.166,78014RFT2=
2022-11-02,97.986,98.046,78014RFT2=
2022-11-03,97.903,97.963,78014RFT2=
2022-11-04,97.957,98.016,78014RFT2=
2022-11-07,97.915,97.974,78014RFT2=
2022-11-08,97.962,98.022,78014RFT2=
2022-11-09,98.048,98.107,78014RFT2=
2022-11-10,98.234,98.294,78014RFT2=
2022-11-11,98.264,98.324,78014RFT2=
2022-11-14,98.189,98.248,78014RFT2=
2022-11-15,98.244,98.303,78014RFT2=
2022-11-16,98.219,98.278,78014RFT2=
2022-11-17,98.117,98.176,78014RFT2=
2022-11-18,98.054,98.112,78014RFT2=
2022-11-21,98.026,98.084,78014RFT2=
2022-11-22,98.038,98.095,78014RFT2=
2022-11-23,98.121,98.178,78014RFT2=
2022-11-24,98.097,98.154,78014RFT2=
2022-11-25,98.099,98.156,78014RFT2=
2022-11-28,98.117,98.174,78014RFT2=
2022-11-29,98.135,98.192,78014RFT2=
2022-11-30,98.145,98.202,78014RFT2=
2022-12-01,98.259,98.316,78014RFT2=
2022-12-02,98.221,98.277,78014RFT2=
2022-12-05,98.128,98.184,78014RFT2=
2022-12-06,98.179,98.235,78014RFT2=
2022-12-07,98.262,98.318,78014RFT2=
2022-12-08,98.241,98.297,78014RFT2=
2022-12-09,98.22,98.275,78014RFT2=
2022-12-12,98.19,98.245,78014RFT2=
2022-12-13,98.349,98.404,78014RFT2=
2022-12-14,98.353,98.408,78014RFT2=
2022-12-15,98.332,98.387,78014RFT2=
2022-12-16,98.38,98.434,78014RFT2=
2022-12-19,98.334,98.389,78014RFT2=
2022-12-20,98.358,98.413,78014RFT2=
2022-12-21,98.406,98.46,78014RFT2=
2022-12-22,98.354,98.407,78014RFT2=
2022-12-23,98.326,98.379,78014RFT2=
2022-12-27,98.28,98.333,78014RFT2=
2022-12-28,98.276,98.33,78014RFT2=
2022-12-29,98.299,98.352,78014RFT2=
2022-12-30,98.275,98.328,78014RFT2=
2023-01-02,98.267,98.319,78014RFT2=
2023-01-03,98.285,98.337,78014RFT2=
2023-01-04,98.331,98.383,78014RFT2=
2023-01-05,98.247,98.299,78014RFT2=
2023-01-06,98.333,98.385,78014RFT2=
2023-01-09,98.363,98.415,78014RFT2=
2023-01-10,98.339,98.391,78014RFT2=
2023-01-11,98.342,98.393,78014RFT2=
2023-01-12,98.418,98.47,78014RFT2=
2023-01-13,98.4,98.451,78014RFT2=
2023-01-16,98.385,98.436,78014RFT2=
2023-01-17,98.395,98.445,78014RFT2=
2023-01-18,98.475,98.526,78014RFT2=
2023-01-19,98.452,98.503,78014RFT2=
2023-01-20,98.441,98.491,78014RFT2=
2023-01-23,98.411,98.461,78014RFT2=
2023-01-24,98.45,98.5,78014RFT2=
2023-01-25,98.438,98.487,78014RFT2=
2023-01-26,98.424,98.474,78014RFT2=
2023-01-27,98.432,98.481,78014RFT2=
2023-01-30,98.393,98.442,78014RFT2=
2023-01-31,98.44,98.489,78014RFT2=
2023-02-01,98.656,98.706,78014RFT2=
2023-02-02,98.669,98.718,78014RFT2=
2023-02-03,98.537,98.586,78014RFT2=
2023-02-06,98.436,98.484,78014RFT2=
2023-02-07,98.454,98.503,78014RFT2=
2023-02-08,98.473,98.522,78014RFT2=
2023-02-09,98.466,98.514,78014RFT2=
2023-02-10,98.458,98.506,78014RFT2=
2023-02-13,98.439,98.486,78014RFT2=
2023-02-14,98.383,98.43,78014RFT2=
2023-02-15,98.396,98.444,78014RFT2=
2023-02-16,98.39,98.437,78014RFT2=
2023-02-17,98.389,98.435,78014RFT2=
2023-02-20,98.382,98.429,78014RFT2=
2023-02-21,98.359,98.405,78014RFT2=
2023-02-22,98.32,98.366,78014RFT2=
2023-02-23,98.356,98.402,78014RFT2=
2023-02-24,98.351,98.396,78014RFT2=
2023-02-27,98.35,98.395,78014RFT2=
2023-02-28,98.347,98.392,78014RFT2=
2023-03-01,98.333,98.378,78014RFT2=
2023-03-02,98.365,98.409,78014RFT2=
2023-03-03,98.377,98.422,78014RFT2=
2023-03-06,98.353,98.398,78014RFT2=
2023-03-07,98.207,98.252,78014RFT2=
2023-03-08,98.188,98.232,78014RFT2=
2023-03-09,98.29,98.334,78014RFT2=
2023-03-10,98.544,98.588,78014RFT2=
2023-03-13,99.052,99.096,78014RFT2=
2023-03-14,98.88,98.924,78014RFT2=
2023-03-15,99.157,99.2,78014RFT2=
2023-03-16,98.867,98.911,78014RFT2=
2023-03-17,99.093,99.136,78014RFT2=
2023-03-20,98.974,99.017,78014RFT2=
2023-03-21,98.787,98.83,78014RFT2=
2023-03-22,98.837,98.88,78014RFT2=
2023-03-23,98.965,99.007,78014RFT2=
2023-03-24,99.036,99.079,78014RFT2=
2023-03-27,98.866,98.908,78014RFT2=
2023-03-28,98.815,98.857,78014RFT2=
2023-03-29,98.8,98.842,78014RFT2=
2023-03-30,98.806,98.847,78014RFT2=
2023-03-31,98.812,98.853,78014RFT2=
2023-04-03,98.847,98.888,78014RFT2=
2023-04-04,98.5,98.541,78014RFT2=
2023-04-05,98.734,98.774,78014RFT2=
2023-04-06,98.735,98.776,78014RFT2=
2023-04-07,98.631,98.671,78014RFT2=
2023-04-10,98.749,98.79,78014RFT2=
2023-04-11,98.74,98.78,78014RFT2=
2023-04-12,98.763,98.803,78014RFT2=
2023-04-13,98.78,98.819,78014RFT2=
2023-04-14,98.701,98.74,78014RFT2=
2023-04-17,98.679,98.719,78014RFT2=
2023-04-18,98.668,98.708,78014RFT2=
2023-04-19,98.645,98.684,78014RFT2=
2023-04-20,98.717,98.756,78014RFT2=
2023-04-21,98.712,98.751,78014RFT2=
2023-04-24,98.738,98.776,78014RFT2=
2023-04-25,98.799,98.838,78014RFT2=
2023-04-26,98.775,98.813,78014RFT2=
2023-04-27,98.728,98.766,78014RFT2=
2023-04-28,98.759,98.796,78014RFT2=
2023-05-01,98.697,98.734,78014RFT2=
2023-05-02,98.758,98.795,78014RFT2=
2023-05-03,98.779,98.816,78014RFT2=
2023-05-04,98.805,98.842,78014RFT2=
2023-05-05,98.741,98.778,78014RFT2=
2023-05-08,98.758,98.795,78014RFT2=
2023-05-09,98.542,98.579,78014RFT2=
2023-05-10,98.668,98.705,78014RFT2=
2023-05-11,98.676,98.711,78014RFT2=
2023-05-12,98.49,98.525,78014RFT2=
2023-05-15,98.63,98.665,78014RFT2=
2023-05-16,98.617,98.653,78014RFT2=
2023-05-17,98.604,98.64,78014RFT2=
2023-05-18,98.537,98.572,78014RFT2=
2023-05-19,98.572,98.606,78014RFT2=
2023-05-22,98.7,98.735,78014RFT2=
2023-05-23,98.678,98.712,78014RFT2=
2023-05-24,98.521,98.556,78014RFT2=
2023-05-25,98.493,98.527,78014RFT2=
2023-05-26,98.467,98.5,78014RFT2=
2023-05-30,98.606,98.64,78014RFT2=
2023-05-31,98.508,98.542,78014RFT2=
2023-06-01,98.453,98.486,78014RFT2=
2023-06-02,98.413,98.446,78014RFT2=
2023-06-05,98.479,98.512,78014RFT2=
2023-06-06,98.555,98.588,78014RFT2=
2023-06-07,98.564,98.597,78014RFT2=
2023-06-08,98.521,98.553,78014RFT2=
2023-06-09,98.498,98.53,78014RFT2=
2023-06-12,98.494,98.526,78014RFT2=
2023-06-13,98.478,98.51,78014RFT2=
2023-06-14,98.434,98.466,78014RFT2=
2023-06-15,98.575,98.606,78014RFT2=
2023-06-16,98.416,98.447,78014RFT2=
2023-06-20,98.674,98.705,78014RFT2=
2023-06-21,98.54,98.571,78014RFT2=
2023-06-22,98.52,98.55,78014RFT2=
2023-06-23,98.506,98.536,78014RFT2=
2023-06-26,98.501,98.531,78014RFT2=
2023-06-27,98.485,98.515,78014RFT2=
2023-06-28,98.485,98.514,78014RFT2=
2023-06-29,98.604,98.633,78014RFT2=
2023-06-30,98.631,98.66,78014RFT2=
2023-07-03,98.627,98.656,78014RFT2=
2023-07-04,98.616,98.645,78014RFT2=
2023-07-05,98.687,98.716,78014RFT2=
2023-07-06,98.887,98.915,78014RFT2=
2023-07-07,98.935,98.963,78014RFT2=
2023-07-10,98.869,98.898,78014RFT2=
2023-07-11,98.863,98.891,78014RFT2=
2023-07-12,98.887,98.916,78014RFT2=
2023-07-13,98.914,98.942,78014RFT2=
2023-07-14,98.756,98.783,78014RFT2=
2023-07-17,98.706,98.733,78014RFT2=
2023-07-18,98.743,98.771,78014RFT2=
2023-07-19,98.69,98.717,78014RFT2=
2023-07-20,98.661,98.687,78014RFT2=
2023-07-21,98.644,98.67,78014RFT2=
