Date,BID,ASK,RIC
2022-08-12,99.795,99.867,78014RGB0=
2022-08-15,99.847,99.919,78014RGB0=
2022-08-16,99.765,99.836,78014RGB0=
2022-08-17,99.758,99.829,78014RGB0=
2022-08-18,99.846,99.917,78014RGB0=
2022-08-19,99.807,99.878,78014RGB0=
2022-08-22,99.701,99.772,78014RGB0=
2022-08-23,99.729,99.8,78014RGB0=
2022-08-24,99.609,99.679,78014RGB0=
2022-08-25,99.648,99.718,78014RGB0=
2022-08-26,99.63,99.7,78014RGB0=
2022-08-29,99.552,99.621,78014RGB0=
2022-08-30,99.502,99.571,78014RGB0=
2022-08-31,99.442,99.511,78014RGB0=
2022-09-01,99.431,99.499,78014RGB0=
2022-09-02,99.562,99.631,78014RGB0=
2022-09-05,99.508,99.577,78014RGB0=
2022-09-06,99.441,99.509,78014RGB0=
2022-09-07,99.426,99.494,78014RGB0=
2022-09-08,99.371,99.439,78014RGB0=
2022-09-09,99.303,99.37,78014RGB0=
2022-09-12,99.274,99.342,78014RGB0=
2022-09-13,99.001,99.068,78014RGB0=
2022-09-14,98.949,99.016,78014RGB0=
2022-09-15,98.887,98.954,78014RGB0=
2022-09-16,98.892,98.959,78014RGB0=
2022-09-19,98.802,98.869,78014RGB0=
2022-09-20,98.805,98.872,78014RGB0=
2022-09-21,98.719,98.785,78014RGB0=
2022-09-22,98.693,98.759,78014RGB0=
2022-09-23,98.625,98.69,78014RGB0=
2022-09-26,98.52,98.585,78014RGB0=
2022-09-27,98.573,98.638,78014RGB0=
2022-09-28,98.775,98.84,78014RGB0=
2022-09-29,98.761,98.825,78014RGB0=
2022-09-30,98.672,98.737,78014RGB0=
2022-10-03,98.796,98.86,78014RGB0=
2022-10-04,98.808,98.872,78014RGB0=
2022-10-05,98.663,98.727,78014RGB0=
2022-10-06,102.117,102.183,78014RGB0=
2022-10-07,98.568,98.632,78014RGB0=
2022-10-10,98.563,98.626,78014RGB0=
2022-10-11,98.488,98.552,78014RGB0=
2022-10-12,98.516,98.58,78014RGB0=
2022-10-13,98.294,98.357,78014RGB0=
2022-10-14,98.255,98.318,78014RGB0=
2022-10-17,98.275,98.338,78014RGB0=
2022-10-18,98.286,98.348,78014RGB0=
2022-10-19,98.137,98.199,78014RGB0=
2022-10-21,98.202,98.263,78014RGB0=
2022-10-24,98.18,98.241,78014RGB0=
2022-10-25,98.217,98.278,78014RGB0=
2022-10-26,98.286,98.347,78014RGB0=
2022-10-27,98.376,98.437,78014RGB0=
2022-10-28,98.274,98.335,78014RGB0=
2022-10-31,98.158,98.219,78014RGB0=
2022-11-01,98.154,98.214,78014RGB0=
2022-11-02,98.065,98.125,78014RGB0=
2022-11-03,98.0,98.06,78014RGB0=
2022-11-04,98.054,98.114,78014RGB0=
2022-11-07,98.005,98.064,78014RGB0=
2022-11-08,98.047,98.107,78014RGB0=
2022-11-09,98.129,98.188,78014RGB0=
2022-11-10,98.307,98.366,78014RGB0=
2022-11-11,98.325,98.384,78014RGB0=
2022-11-14,98.27,98.329,78014RGB0=
2022-11-15,98.315,98.374,78014RGB0=
2022-11-16,98.296,98.355,78014RGB0=
2022-11-17,98.215,98.273,78014RGB0=
2022-11-18,98.148,98.206,78014RGB0=
2022-11-21,98.128,98.186,78014RGB0=
2022-11-22,98.121,98.179,78014RGB0=
2022-11-23,98.184,98.241,78014RGB0=
2022-11-24,98.188,98.246,78014RGB0=
2022-11-25,98.187,98.244,78014RGB0=
2022-11-28,98.2,98.257,78014RGB0=
2022-11-29,98.195,98.252,78014RGB0=
2022-11-30,98.219,98.275,78014RGB0=
2022-12-01,98.33,98.387,78014RGB0=
2022-12-02,98.295,98.352,78014RGB0=
2022-12-05,98.205,98.261,78014RGB0=
2022-12-06,98.239,98.295,78014RGB0=
2022-12-07,98.314,98.37,78014RGB0=
2022-12-08,98.301,98.357,78014RGB0=
2022-12-09,98.278,98.333,78014RGB0=
2022-12-12,98.248,98.303,78014RGB0=
2022-12-13,98.392,98.447,78014RGB0=
2022-12-14,98.402,98.457,78014RGB0=
2022-12-15,98.384,98.439,78014RGB0=
2022-12-16,98.43,98.485,78014RGB0=
2022-12-19,98.393,98.448,78014RGB0=
