Date,BID,ASK,RIC
2022-08-19,99.618,99.69,78014RGD6=
2022-08-22,99.512,99.584,78014RGD6=
2022-08-23,99.552,99.624,78014RGD6=
2022-08-24,99.432,99.504,78014RGD6=
2022-08-25,99.469,99.541,78014RGD6=
2022-08-26,99.744,99.816,78014RGD6=
2022-08-29,99.724,99.796,78014RGD6=
2022-08-30,99.756,99.828,78014RGD6=
2022-08-31,99.678,99.75,78014RGD6=
2022-09-01,99.861,99.933,78014RGD6=
2022-09-02,99.749,99.82,78014RGD6=
2022-09-05,99.702,99.773,78014RGD6=
2022-09-06,99.741,99.812,78014RGD6=
2022-09-07,99.783,99.854,78014RGD6=
2022-09-08,99.759,99.829,78014RGD6=
2022-09-09,99.705,99.775,78014RGD6=
2022-09-12,99.674,99.744,78014RGD6=
2022-09-13,99.408,99.478,78014RGD6=
2022-09-14,99.364,99.433,78014RGD6=
2022-09-15,99.298,99.367,78014RGD6=
2022-09-16,99.31,99.379,78014RGD6=
2022-09-19,98.993,99.061,78014RGD6=
2022-09-20,99.004,99.073,78014RGD6=
2022-09-21,98.911,98.979,78014RGD6=
2022-09-22,98.886,98.954,78014RGD6=
2022-09-23,98.798,98.866,78014RGD6=
2022-09-26,98.685,98.753,78014RGD6=
2022-09-27,98.77,98.837,78014RGD6=
2022-09-28,99.01,99.077,78014RGD6=
2022-09-29,98.992,99.059,78014RGD6=
2022-09-30,98.916,98.983,78014RGD6=
2022-10-03,99.051,99.118,78014RGD6=
2022-10-04,99.074,99.141,78014RGD6=
2022-10-05,98.852,98.919,78014RGD6=
2022-10-06,102.141,102.185,78014RGD6=
2022-10-07,98.78,98.846,78014RGD6=
2022-10-10,98.782,98.848,78014RGD6=
2022-10-11,98.483,98.549,78014RGD6=
2022-10-12,98.52,98.585,78014RGD6=
2022-10-13,98.268,98.333,78014RGD6=
2022-10-14,98.229,98.293,78014RGD6=
2022-10-17,98.255,98.319,78014RGD6=
2022-10-18,98.272,98.337,78014RGD6=
2022-10-19,98.095,98.159,78014RGD6=
2022-10-21,98.16,98.224,78014RGD6=
2022-10-24,98.137,98.201,78014RGD6=
2022-10-25,98.195,98.259,78014RGD6=
2022-10-26,98.26,98.324,78014RGD6=
2022-10-27,98.31,98.373,78014RGD6=
2022-10-28,98.208,98.271,78014RGD6=
2022-10-31,98.065,98.128,78014RGD6=
2022-11-01,98.089,98.152,78014RGD6=
2022-11-02,97.968,98.03,78014RGD6=
2022-11-03,97.879,97.941,78014RGD6=
2022-11-04,97.937,97.998,78014RGD6=
2022-11-07,97.89,97.952,78014RGD6=
2022-11-08,97.942,98.004,78014RGD6=
2022-11-09,98.031,98.092,78014RGD6=
2022-11-10,98.229,98.291,78014RGD6=
2022-11-11,98.258,98.319,78014RGD6=
2022-11-14,98.18,98.241,78014RGD6=
2022-11-15,98.237,98.298,78014RGD6=
2022-11-16,98.212,98.272,78014RGD6=
2022-11-17,98.105,98.165,78014RGD6=
2022-11-18,98.052,98.112,78014RGD6=
2022-11-21,98.09,98.151,78014RGD6=
2022-11-22,98.104,98.164,78014RGD6=
2022-11-23,98.189,98.248,78014RGD6=
2022-11-24,98.165,98.224,78014RGD6=
2022-11-25,98.164,98.224,78014RGD6=
2022-11-28,98.181,98.24,78014RGD6=
2022-11-29,98.2,98.259,78014RGD6=
2022-11-30,98.213,98.272,78014RGD6=
2022-12-01,98.328,98.387,78014RGD6=
2022-12-02,98.288,98.346,78014RGD6=
2022-12-05,98.191,98.249,78014RGD6=
2022-12-06,98.245,98.303,78014RGD6=
2022-12-07,98.332,98.39,78014RGD6=
2022-12-08,98.308,98.365,78014RGD6=
2022-12-09,98.286,98.343,78014RGD6=
2022-12-12,98.254,98.311,78014RGD6=
2022-12-13,98.42,98.477,78014RGD6=
2022-12-14,98.423,98.48,78014RGD6=
2022-12-15,98.4,98.456,78014RGD6=
2022-12-16,98.449,98.506,78014RGD6=
2022-12-19,98.4,98.456,78014RGD6=
2022-12-20,98.426,98.482,78014RGD6=
2022-12-21,98.475,98.531,78014RGD6=
2022-12-22,98.416,98.472,78014RGD6=
2022-12-23,98.386,98.442,78014RGD6=
2022-12-27,98.337,98.393,78014RGD6=
2022-12-28,98.336,98.391,78014RGD6=
2022-12-29,98.355,98.41,78014RGD6=
2022-12-30,98.33,98.385,78014RGD6=
2023-01-02,98.322,98.377,78014RGD6=
2023-01-03,97.632,97.686,78014RGD6=
2023-01-04,97.682,97.736,78014RGD6=
2023-01-05,97.598,97.652,78014RGD6=
2023-01-06,97.694,97.747,78014RGD6=
2023-01-09,97.727,97.781,78014RGD6=
2023-01-10,97.705,97.758,78014RGD6=
2023-01-11,97.709,97.762,78014RGD6=
2023-01-12,97.791,97.844,78014RGD6=
2023-01-13,97.771,97.824,78014RGD6=
2023-01-16,97.755,97.808,78014RGD6=
2023-01-17,97.767,97.82,78014RGD6=
2023-01-18,97.857,97.909,78014RGD6=
2023-01-19,97.836,97.888,78014RGD6=
2023-01-20,97.824,97.876,78014RGD6=
2023-01-23,97.793,97.845,78014RGD6=
2023-01-24,97.836,97.887,78014RGD6=
2023-01-25,97.826,97.877,78014RGD6=
2023-01-26,97.814,97.865,78014RGD6=
2023-01-27,97.822,97.873,78014RGD6=
2023-01-30,97.783,97.834,78014RGD6=
2023-01-31,97.834,97.885,78014RGD6=
2023-02-01,97.869,97.919,78014RGD6=
2023-02-02,98.483,98.534,78014RGD6=
2023-02-03,98.344,98.394,78014RGD6=
2023-02-06,98.235,98.285,78014RGD6=
2023-02-07,98.376,98.426,78014RGD6=
2023-02-08,98.397,98.447,78014RGD6=
2023-02-09,98.387,98.436,78014RGD6=
2023-02-10,98.377,98.427,78014RGD6=
2023-02-13,98.358,98.408,78014RGD6=
2023-02-14,98.301,98.35,78014RGD6=
2023-02-15,98.314,98.363,78014RGD6=
2023-02-16,98.307,98.356,78014RGD6=
2023-02-17,98.307,98.355,78014RGD6=
2023-02-20,98.297,98.346,78014RGD6=
2023-02-21,98.271,98.319,78014RGD6=
2023-02-22,98.236,98.284,78014RGD6=
2023-02-23,98.271,98.319,78014RGD6=
2023-02-24,98.253,98.301,78014RGD6=
2023-02-27,98.272,98.32,78014RGD6=
2023-02-28,98.277,98.325,78014RGD6=
2023-03-01,98.261,98.308,78014RGD6=
