Date,BID,ASK,RIC
2022-11-01,99.73,99.781,78014RHN3=
2022-11-02,99.664,99.715,78014RHN3=
2022-11-03,99.619,99.67,78014RHN3=
2022-11-04,99.65,99.701,78014RHN3=
2022-11-07,99.622,99.673,78014RHN3=
2022-11-08,99.639,99.69,78014RHN3=
2022-11-09,99.68,99.731,78014RHN3=
2022-11-10,99.769,99.82,78014RHN3=
2022-11-11,99.787,99.838,78014RHN3=
2022-11-14,99.759,99.81,78014RHN3=
2022-11-15,99.78,99.83,78014RHN3=
2022-11-16,99.767,99.817,78014RHN3=
2022-11-17,99.71,99.76,78014RHN3=
2022-11-18,99.659,99.708,78014RHN3=
2022-11-21,99.649,99.698,78014RHN3=
2022-11-22,99.625,99.674,78014RHN3=
2022-11-23,99.658,99.706,78014RHN3=
2022-11-24,99.657,99.705,78014RHN3=
2022-11-25,99.662,99.71,78014RHN3=
2022-11-28,99.666,99.714,78014RHN3=
2022-11-29,99.666,99.714,78014RHN3=
2022-11-30,99.659,99.707,78014RHN3=
2022-12-01,99.731,99.778,78014RHN3=
2022-12-02,99.708,99.755,78014RHN3=
2022-12-05,99.651,99.698,78014RHN3=
2022-12-06,99.661,99.708,78014RHN3=
2022-12-07,99.697,99.744,78014RHN3=
2022-12-08,99.696,99.743,78014RHN3=
2022-12-09,99.675,99.721,78014RHN3=
2022-12-12,99.657,99.703,78014RHN3=
2022-12-13,99.736,99.782,78014RHN3=
2022-12-14,99.748,99.794,78014RHN3=
2022-12-15,99.734,99.779,78014RHN3=
2022-12-16,99.757,99.802,78014RHN3=
2022-12-19,99.748,99.794,78014RHN3=
2022-12-20,99.738,99.783,78014RHN3=
2022-12-21,99.767,99.812,78014RHN3=
2022-12-22,99.757,99.801,78014RHN3=
2022-12-23,99.745,99.79,78014RHN3=
2022-12-27,99.729,99.773,78014RHN3=
2022-12-28,99.696,99.74,78014RHN3=
2022-12-29,99.731,99.774,78014RHN3=
2022-12-30,99.715,99.758,78014RHN3=
2023-01-02,99.71,99.754,78014RHN3=
2023-01-03,99.714,99.757,78014RHN3=
2023-01-04,99.715,99.758,78014RHN3=
2023-01-05,99.664,99.707,78014RHN3=
2023-01-06,99.691,99.734,78014RHN3=
2023-01-09,99.699,99.741,78014RHN3=
2023-01-10,99.668,99.711,78014RHN3=
2023-01-11,99.676,99.719,78014RHN3=
2023-01-12,99.73,99.772,78014RHN3=
2023-01-13,99.725,99.767,78014RHN3=
2023-01-16,99.721,99.763,78014RHN3=
2023-01-17,99.732,99.773,78014RHN3=
2023-01-18,99.727,99.769,78014RHN3=
2023-01-19,99.72,99.761,78014RHN3=
2023-01-20,99.72,99.761,78014RHN3=
2023-01-23,99.709,99.75,78014RHN3=
2023-01-24,99.711,99.752,78014RHN3=
2023-01-25,99.704,99.745,78014RHN3=
2023-01-26,99.705,99.745,78014RHN3=
2023-01-27,99.717,99.757,78014RHN3=
2023-01-30,99.733,99.773,78014RHN3=
2023-01-31,99.716,99.755,78014RHN3=
2023-02-01,99.73,99.769,78014RHN3=
2023-02-02,99.749,99.789,78014RHN3=
2023-02-03,99.684,99.724,78014RHN3=
2023-02-06,99.64,99.679,78014RHN3=
2023-02-07,99.615,99.654,78014RHN3=
2023-02-08,99.624,99.663,78014RHN3=
2023-02-09,99.633,99.671,78014RHN3=
2023-02-10,99.631,99.669,78014RHN3=
2023-02-13,99.615,99.653,78014RHN3=
2023-02-14,99.554,99.592,78014RHN3=
2023-02-15,99.567,99.605,78014RHN3=
2023-02-16,99.565,99.603,78014RHN3=
2023-02-17,99.56,99.597,78014RHN3=
2023-02-20,99.56,99.597,78014RHN3=
2023-02-21,99.55,99.587,78014RHN3=
2023-02-22,99.482,99.518,78014RHN3=
2023-02-23,99.518,99.555,78014RHN3=
2023-02-24,99.51,99.546,78014RHN3=
2023-02-27,99.504,99.54,78014RHN3=
2023-02-28,99.451,99.487,78014RHN3=
2023-03-01,99.452,99.488,78014RHN3=
2023-03-02,99.487,99.522,78014RHN3=
2023-03-03,99.496,99.532,78014RHN3=
2023-03-06,99.48,99.515,78014RHN3=
2023-03-07,99.37,99.406,78014RHN3=
2023-03-08,99.365,99.401,78014RHN3=
2023-03-09,99.427,99.462,78014RHN3=
2023-03-10,99.561,99.595,78014RHN3=
2023-03-13,99.811,99.845,78014RHN3=
2023-03-14,99.723,99.757,78014RHN3=
2023-03-15,99.852,99.886,78014RHN3=
2023-03-16,99.745,99.779,78014RHN3=
2023-03-17,99.857,99.891,78014RHN3=
2023-03-20,99.798,99.831,78014RHN3=
2023-03-21,99.706,99.74,78014RHN3=
2023-03-22,99.758,99.792,78014RHN3=
2023-03-23,99.83,99.863,78014RHN3=
2023-03-24,99.851,99.883,78014RHN3=
2023-03-27,99.789,99.822,78014RHN3=
2023-03-28,99.745,99.778,78014RHN3=
2023-03-29,99.754,99.787,78014RHN3=
2023-03-30,99.765,99.797,78014RHN3=
2023-03-31,99.775,99.807,78014RHN3=
2023-04-03,99.793,99.825,78014RHN3=
2023-04-04,99.816,99.848,78014RHN3=
2023-04-05,99.815,99.846,78014RHN3=
2023-04-06,99.801,99.832,78014RHN3=
2023-04-07,99.748,99.779,78014RHN3=
2023-04-10,99.736,99.767,78014RHN3=
2023-04-11,99.728,99.759,78014RHN3=
2023-04-12,99.738,99.768,78014RHN3=
2023-04-13,99.748,99.778,78014RHN3=
2023-04-14,99.707,99.737,78014RHN3=
2023-04-17,99.756,99.786,78014RHN3=
2023-04-18,99.732,99.761,78014RHN3=
2023-04-19,99.76,99.79,78014RHN3=
2023-04-20,99.786,99.816,78014RHN3=
2023-04-21,99.787,99.816,78014RHN3=
2023-04-24,99.8,99.829,78014RHN3=
2023-04-25,99.816,99.845,78014RHN3=
2023-04-26,99.799,99.828,78014RHN3=
2023-04-27,99.776,99.805,78014RHN3=
2023-04-28,99.796,99.824,78014RHN3=
2023-05-01,99.767,99.795,78014RHN3=
2023-05-02,99.784,99.813,78014RHN3=
2023-05-03,99.787,99.815,78014RHN3=
2023-05-04,99.786,99.814,78014RHN3=
2023-05-05,99.759,99.787,78014RHN3=
2023-05-08,99.759,99.786,78014RHN3=
2023-05-09,99.658,99.685,78014RHN3=
2023-05-10,99.749,99.776,78014RHN3=
2023-05-11,99.747,99.774,78014RHN3=
2023-05-12,99.607,99.634,78014RHN3=
2023-05-15,99.709,99.735,78014RHN3=
2023-05-16,99.697,99.723,78014RHN3=
2023-05-17,99.677,99.703,78014RHN3=
2023-05-18,99.629,99.655,78014RHN3=
2023-05-19,99.654,99.679,78014RHN3=
2023-05-22,99.744,99.77,78014RHN3=
2023-05-23,99.725,99.751,78014RHN3=
2023-05-24,99.609,99.634,78014RHN3=
2023-05-25,99.581,99.605,78014RHN3=
2023-05-26,99.585,99.61,78014RHN3=
2023-05-30,99.66,99.684,78014RHN3=
2023-05-31,99.577,99.601,78014RHN3=
2023-06-01,99.542,99.566,78014RHN3=
2023-06-02,99.512,99.535,78014RHN3=
2023-06-05,99.556,99.58,78014RHN3=
2023-06-06,99.609,99.632,78014RHN3=
2023-06-07,99.613,99.637,78014RHN3=
2023-06-08,99.577,99.6,78014RHN3=
