Date,BID,ASK,RIC
2023-01-06,99.573,99.639,78014RJG6=
2023-01-09,99.584,99.65,78014RJG6=
2023-01-10,99.552,99.617,78014RJG6=
2023-01-11,99.56,99.625,78014RJG6=
2023-01-12,99.625,99.69,78014RJG6=
2023-01-13,99.603,99.668,78014RJG6=
2023-01-16,99.593,99.658,78014RJG6=
2023-01-17,99.605,99.67,78014RJG6=
2023-01-18,99.649,99.714,78014RJG6=
2023-01-19,99.627,99.691,78014RJG6=
2023-01-20,99.618,99.682,78014RJG6=
2023-01-23,99.591,99.655,78014RJG6=
2023-01-24,99.61,99.674,78014RJG6=
2023-01-25,99.604,99.668,78014RJG6=
2023-01-26,99.589,99.652,78014RJG6=
2023-01-27,99.603,99.667,78014RJG6=
2023-01-30,99.582,99.645,78014RJG6=
2023-01-31,99.606,99.669,78014RJG6=
2023-02-01,99.638,99.701,78014RJG6=
2023-02-02,99.647,99.709,78014RJG6=
2023-02-03,99.521,99.583,78014RJG6=
2023-02-06,99.401,99.463,78014RJG6=
2023-02-07,99.423,99.485,78014RJG6=
2023-02-08,99.444,99.506,78014RJG6=
2023-02-09,99.419,99.481,78014RJG6=
2023-02-10,99.402,99.463,78014RJG6=
2023-02-13,99.381,99.443,78014RJG6=
2023-02-14,99.314,99.375,78014RJG6=
2023-02-15,99.321,99.382,78014RJG6=
2023-02-16,99.301,99.361,78014RJG6=
2023-02-17,99.302,99.362,78014RJG6=
2023-02-20,99.287,99.347,78014RJG6=
2023-02-21,99.246,99.306,78014RJG6=
2023-02-22,99.217,99.277,78014RJG6=
2023-02-23,99.238,99.297,78014RJG6=
2023-02-24,99.183,99.243,78014RJG6=
2023-02-27,99.201,99.261,78014RJG6=
2023-02-28,99.209,99.268,78014RJG6=
2023-03-01,99.256,99.316,78014RJG6=
2023-03-02,99.272,99.33,78014RJG6=
2023-03-03,99.283,99.342,78014RJG6=
2023-03-06,99.374,99.433,78014RJG6=
2023-03-07,99.219,99.278,78014RJG6=
2023-03-08,99.18,99.239,78014RJG6=
2023-03-09,99.301,99.359,78014RJG6=
2023-03-10,99.569,99.627,78014RJG6=
2023-03-13,99.912,99.97,78014RJG6=
2023-03-14,99.799,99.857,78014RJG6=
2023-03-15,99.966,100.012,78014RJG6=
2023-03-16,99.807,99.865,78014RJG6=
2023-03-17,99.943,100.0,78014RJG6=
2023-03-20,99.869,99.926,78014RJG6=
2023-03-21,99.753,99.81,78014RJG6=
2023-03-22,99.795,99.851,78014RJG6=
2023-03-23,99.872,99.929,78014RJG6=
2023-03-24,99.905,99.962,78014RJG6=
