Date,BID,ASK,RIC
2022-12-19,99.818,99.87,78014RJP6=
2022-12-20,99.811,99.862,78014RJP6=
2022-12-21,99.839,99.89,78014RJP6=
2022-12-22,99.824,99.875,78014RJP6=
2022-12-23,99.81,99.861,78014RJP6=
2022-12-27,99.785,99.836,78014RJP6=
2022-12-28,99.763,99.813,78014RJP6=
2022-12-29,99.784,99.834,78014RJP6=
2022-12-30,99.765,99.815,78014RJP6=
2023-01-02,99.759,99.809,78014RJP6=
2023-01-03,99.767,99.817,78014RJP6=
2023-01-04,99.894,99.943,78014RJP6=
2023-01-05,99.836,99.885,78014RJP6=
2023-01-06,99.872,99.921,78014RJP6=
2023-01-09,99.877,99.926,78014RJP6=
2023-01-10,99.849,99.898,78014RJP6=
2023-01-11,99.854,99.902,78014RJP6=
2023-01-12,99.898,99.947,78014RJP6=
2023-01-13,99.893,99.941,78014RJP6=
2023-01-16,99.894,99.942,78014RJP6=
2023-01-17,99.901,99.949,78014RJP6=
2023-01-18,99.905,99.953,78014RJP6=
2023-01-19,99.893,99.941,78014RJP6=
2023-01-20,99.892,99.939,78014RJP6=
2023-01-23,99.881,99.928,78014RJP6=
2023-01-24,99.885,99.932,78014RJP6=
2023-01-25,99.882,99.929,78014RJP6=
2023-01-26,99.877,99.924,78014RJP6=
2023-01-27,99.876,99.922,78014RJP6=
2023-01-30,99.89,99.937,78014RJP6=
2023-01-31,99.891,99.937,78014RJP6=
2023-02-01,99.894,99.94,78014RJP6=
2023-02-02,99.924,99.969,78014RJP6=
2023-02-03,99.847,99.892,78014RJP6=
2023-02-06,99.795,99.84,78014RJP6=
2023-02-07,99.784,99.829,78014RJP6=
2023-02-08,99.793,99.838,78014RJP6=
2023-02-09,99.789,99.834,78014RJP6=
2023-02-10,99.784,99.829,78014RJP6=
2023-02-13,99.772,99.816,78014RJP6=
2023-02-14,99.72,99.764,78014RJP6=
2023-02-15,99.73,99.774,78014RJP6=
2023-02-16,99.719,99.762,78014RJP6=
2023-02-17,99.714,99.758,78014RJP6=
2023-02-20,99.712,99.756,78014RJP6=
2023-02-21,99.696,99.739,78014RJP6=
2023-02-22,99.646,99.689,78014RJP6=
2023-02-23,99.671,99.714,78014RJP6=
2023-02-24,99.662,99.705,78014RJP6=
2023-02-27,99.651,99.693,78014RJP6=
2023-02-28,99.624,99.666,78014RJP6=
2023-03-01,99.615,99.657,78014RJP6=
2023-03-02,99.636,99.678,78014RJP6=
2023-03-03,99.644,99.685,78014RJP6=
2023-03-06,99.624,99.666,78014RJP6=
2023-03-07,99.501,99.542,78014RJP6=
2023-03-08,99.486,99.527,78014RJP6=
2023-03-09,99.559,99.6,78014RJP6=
2023-03-10,99.718,99.759,78014RJP6=
2023-03-13,99.926,99.966,78014RJP6=
2023-03-14,99.856,99.896,78014RJP6=
2023-03-15,99.965,100.002,78014RJP6=
2023-03-16,99.883,99.923,78014RJP6=
2023-03-17,99.975,100.005,78014RJP6=
2023-03-20,99.926,99.966,78014RJP6=
2023-03-21,99.856,99.896,78014RJP6=
2023-03-22,99.878,99.918,78014RJP6=
2023-03-23,99.934,99.973,78014RJP6=
2023-03-24,99.95,99.989,78014RJP6=
2023-03-27,99.893,99.932,78014RJP6=
2023-03-28,99.865,99.904,78014RJP6=
2023-03-29,99.86,99.899,78014RJP6=
2023-03-30,99.874,99.912,78014RJP6=
2023-03-31,99.881,99.919,78014RJP6=
2023-04-03,99.894,99.932,78014RJP6=
2023-04-04,99.754,99.792,78014RJP6=
2023-04-05,99.753,99.79,78014RJP6=
2023-04-06,99.747,99.784,78014RJP6=
2023-04-07,99.68,99.718,78014RJP6=
2023-04-10,99.664,99.7,78014RJP6=
2023-04-11,99.651,99.688,78014RJP6=
2023-04-12,99.667,99.703,78014RJP6=
2023-04-13,99.678,99.714,78014RJP6=
2023-04-14,99.619,99.655,78014RJP6=
2023-04-17,99.613,99.649,78014RJP6=
2023-04-18,99.584,99.62,78014RJP6=
2023-04-19,99.569,99.605,78014RJP6=
2023-04-20,99.622,99.657,78014RJP6=
2023-04-21,99.621,99.656,78014RJP6=
2023-04-24,99.642,99.677,78014RJP6=
2023-04-25,99.669,99.704,78014RJP6=
2023-04-26,99.64,99.675,78014RJP6=
2023-04-27,99.605,99.64,78014RJP6=
2023-04-28,99.634,99.668,78014RJP6=
2023-05-01,99.586,99.62,78014RJP6=
2023-05-02,99.621,99.655,78014RJP6=
2023-05-03,99.629,99.662,78014RJP6=
2023-05-04,99.635,99.668,78014RJP6=
2023-05-05,99.593,99.627,78014RJP6=
2023-05-08,99.571,99.605,78014RJP6=
2023-05-09,99.711,99.744,78014RJP6=
2023-05-10,99.822,99.855,78014RJP6=
2023-05-11,99.818,99.851,78014RJP6=
2023-05-12,99.645,99.678,78014RJP6=
2023-05-15,99.769,99.802,78014RJP6=
2023-05-16,99.754,99.786,78014RJP6=
2023-05-17,99.739,99.771,78014RJP6=
2023-05-18,99.667,99.699,78014RJP6=
2023-05-19,99.695,99.727,78014RJP6=
2023-05-22,99.808,99.84,78014RJP6=
2023-05-23,99.784,99.816,78014RJP6=
2023-05-24,99.639,99.67,78014RJP6=
2023-05-25,99.6,99.63,78014RJP6=
2023-05-26,99.57,99.601,78014RJP6=
2023-05-30,99.698,99.729,78014RJP6=
2023-05-31,99.606,99.637,78014RJP6=
2023-06-01,99.547,99.577,78014RJP6=
2023-06-02,99.508,99.538,78014RJP6=
2023-06-05,99.563,99.593,78014RJP6=
2023-06-06,99.628,99.658,78014RJP6=
2023-06-07,99.633,99.663,78014RJP6=
2023-06-08,99.584,99.613,78014RJP6=
2023-06-09,99.56,99.589,78014RJP6=
2023-06-12,99.553,99.582,78014RJP6=
2023-06-13,99.625,99.653,78014RJP6=
2023-06-14,99.492,99.521,78014RJP6=
2023-06-15,99.604,99.632,78014RJP6=
2023-06-16,99.458,99.486,78014RJP6=
2023-06-20,99.686,99.714,78014RJP6=
2023-06-21,99.562,99.59,78014RJP6=
2023-06-22,99.533,99.56,78014RJP6=
2023-06-23,99.517,99.544,78014RJP6=
2023-06-26,99.509,99.536,78014RJP6=
2023-06-27,99.492,99.519,78014RJP6=
2023-06-28,99.488,99.515,78014RJP6=
2023-06-29,99.584,99.61,78014RJP6=
2023-06-30,99.601,99.627,78014RJP6=
2023-07-03,99.594,99.62,78014RJP6=
2023-07-04,99.584,99.61,78014RJP6=
2023-07-05,99.644,99.669,78014RJP6=
2023-07-06,99.809,99.834,78014RJP6=
2023-07-07,99.848,99.873,78014RJP6=
2023-07-10,99.786,99.811,78014RJP6=
2023-07-11,99.777,99.802,78014RJP6=
2023-07-12,99.795,99.82,78014RJP6=
2023-07-13,99.808,99.832,78014RJP6=
2023-07-14,99.665,99.69,78014RJP6=
2023-07-17,99.618,99.642,78014RJP6=
2023-07-18,99.647,99.671,78014RJP6=
2023-07-19,99.597,99.621,78014RJP6=
