Date,BID,ASK,RIC
2022-12-20,100.637,100.73,78014RJS0=
2022-12-21,100.72,100.813,78014RJS0=
2022-12-22,100.802,100.895,78014RJS0=
2022-12-23,100.881,100.974,78014RJS0=
2022-12-27,100.915,101.007,78014RJS0=
2022-12-28,100.876,100.968,78014RJS0=
2022-12-29,100.944,101.036,78014RJS0=
2022-12-30,100.773,100.865,78014RJS0=
2023-01-02,100.855,100.947,78014RJS0=
2023-01-03,100.967,101.059,78014RJS0=
2023-01-04,101.05,101.142,78014RJS0=
2023-01-05,100.839,100.93,78014RJS0=
2023-01-06,101.426,101.517,78014RJS0=
2023-01-09,101.784,101.876,78014RJS0=
2023-01-10,101.171,101.262,78014RJS0=
2023-01-11,101.238,101.329,78014RJS0=
2023-01-12,101.398,101.489,78014RJS0=
2023-01-13,101.249,101.34,78014RJS0=
2023-01-16,101.185,101.276,78014RJS0=
2023-01-17,101.251,101.342,78014RJS0=
2023-01-18,101.523,101.613,78014RJS0=
2023-01-19,101.43,101.52,78014RJS0=
2023-01-20,101.322,101.412,78014RJS0=
2023-01-23,101.205,101.294,78014RJS0=
2023-01-24,101.264,101.354,78014RJS0=
2023-01-25,101.333,101.422,78014RJS0=
2023-01-26,101.216,101.304,78014RJS0=
2023-01-27,101.193,101.282,78014RJS0=
2023-01-30,101.103,101.191,78014RJS0=
2023-01-31,101.187,101.276,78014RJS0=
2023-02-01,101.384,101.473,78014RJS0=
2023-02-02,101.373,101.462,78014RJS0=
2023-02-03,101.023,101.111,78014RJS0=
2023-02-06,100.661,100.748,78014RJS0=
2023-02-07,100.676,100.763,78014RJS0=
2023-02-08,100.752,100.839,78014RJS0=
2023-02-09,100.632,100.719,78014RJS0=
2023-02-10,100.522,100.608,78014RJS0=
2023-02-13,100.537,100.623,78014RJS0=
2023-02-14,100.891,100.977,78014RJS0=
2023-02-15,100.846,100.933,78014RJS0=
2023-02-16,100.786,100.872,78014RJS0=
2023-02-17,100.862,100.948,78014RJS0=
2023-02-20,100.782,100.867,78014RJS0=
2023-02-21,100.581,100.667,78014RJS0=
2023-02-22,100.605,100.69,78014RJS0=
2023-02-23,100.624,100.709,78014RJS0=
2023-02-24,98.89,99.252,78014RJS0=
2023-02-27,98.944,99.307,78014RJS0=
2023-02-28,98.897,99.259,78014RJS0=
2023-03-01,98.691,99.052,78014RJS0=
2023-03-02,98.545,98.905,78014RJS0=
2023-03-03,98.752,99.113,78014RJS0=
2023-03-06,98.708,99.069,78014RJS0=
2023-03-07,98.492,98.852,78014RJS0=
2023-03-08,98.388,98.747,78014RJS0=
2023-03-09,98.834,99.195,78014RJS0=
2023-03-10,99.531,99.895,78014RJS0=
2023-03-13,100.602,100.684,78014RJS0=
2023-03-14,100.093,100.175,78014RJS0=
2023-03-15,100.868,100.951,78014RJS0=
2023-03-16,99.192,99.554,78014RJS0=
2023-03-17,100.493,100.574,78014RJS0=
2023-03-20,100.255,100.337,78014RJS0=
2023-03-21,99.467,99.83,78014RJS0=
2023-03-22,100.008,100.088,78014RJS0=
2023-03-23,99.656,99.996,78014RJS0=
2023-03-24,99.807,100.029,78014RJS0=
2023-03-27,99.188,99.549,78014RJS0=
2023-03-28,98.553,98.911,78014RJS0=
2023-03-29,98.53,98.889,78014RJS0=
2023-03-30,98.562,98.92,78014RJS0=
2023-03-31,98.811,99.17,78014RJS0=
2023-04-03,98.988,99.348,78014RJS0=
2023-04-04,99.327,99.688,78014RJS0=
2023-04-05,99.182,99.542,78014RJS0=
2023-04-06,99.151,99.511,78014RJS0=
2023-04-07,98.739,99.098,78014RJS0=
2023-04-10,98.696,99.054,78014RJS0=
2023-04-11,98.648,99.005,78014RJS0=
2023-04-12,99.076,99.435,78014RJS0=
2023-04-13,98.991,99.35,78014RJS0=
2023-04-14,98.704,99.061,78014RJS0=
2023-04-17,98.398,98.755,78014RJS0=
2023-04-18,98.481,98.838,78014RJS0=
2023-04-19,98.39,98.746,78014RJS0=
2023-04-20,98.616,98.973,78014RJS0=
2023-04-21,98.53,98.887,78014RJS0=
2023-04-24,100.924,101.001,78014RJS0=
2023-04-25,101.189,101.267,78014RJS0=
2023-04-26,101.104,101.182,78014RJS0=
2023-04-27,100.879,100.956,78014RJS0=
2023-04-28,100.943,101.02,78014RJS0=
2023-05-01,100.723,100.8,78014RJS0=
2023-05-02,100.982,101.058,78014RJS0=
2023-05-03,101.158,101.235,78014RJS0=
2023-05-04,101.297,101.373,78014RJS0=
2023-05-05,101.08,101.156,78014RJS0=
2023-05-08,100.933,101.009,78014RJS0=
2023-05-09,100.917,100.993,78014RJS0=
2023-05-10,100.93,101.006,78014RJS0=
2023-05-11,101.078,101.154,78014RJS0=
2023-05-12,100.945,101.02,78014RJS0=
2023-05-15,100.835,100.91,78014RJS0=
2023-05-16,100.821,100.896,78014RJS0=
2023-05-17,100.743,100.817,78014RJS0=
2023-05-18,100.697,100.771,78014RJS0=
2023-05-19,100.797,100.871,78014RJS0=
2023-05-22,100.612,100.686,78014RJS0=
2023-05-23,100.597,100.671,78014RJS0=
2023-05-24,100.567,100.64,78014RJS0=
2023-05-25,100.441,100.514,78014RJS0=
2023-05-26,100.378,100.451,78014RJS0=
2023-05-29,100.435,100.508,78014RJS0=
2023-05-30,100.632,100.705,78014RJS0=
2023-05-31,100.7,100.773,78014RJS0=
2023-06-01,100.844,100.917,78014RJS0=
2023-06-02,100.703,100.776,78014RJS0=
2023-06-05,100.671,100.744,78014RJS0=
2023-06-06,100.779,100.852,78014RJS0=
2023-06-07,100.562,100.634,78014RJS0=
2023-06-08,100.617,100.688,78014RJS0=
2023-06-09,100.497,100.569,78014RJS0=
2023-06-12,100.539,100.61,78014RJS0=
2023-06-13,100.453,100.524,78014RJS0=
2023-06-14,100.429,100.5,78014RJS0=
2023-06-15,100.505,100.576,78014RJS0=
2023-06-16,100.487,100.557,78014RJS0=
