Date,BID,ASK,RIC
2022-01-14,99.6913,99.9825,78016EYM3=
2022-01-17,99.5421,99.8328,78016EYM3=
2022-01-18,99.4243,99.7146,78016EYM3=
2022-01-19,99.4098,99.7,78016EYM3=
2022-01-20,99.29,99.4344,78016EYM3=
2022-01-21,99.5389,99.6836,78016EYM3=
2022-01-24,99.6174,99.7621,78016EYM3=
2022-01-25,99.9622,100.1074,78016EYM3=
2022-01-26,99.4047,99.5488,78016EYM3=
2022-01-27,99.1918,99.3353,78016EYM3=
2022-01-28,99.303,99.4465,78016EYM3=
2022-01-31,99.1519,99.295,78016EYM3=
2022-02-01,98.9871,99.1298,78016EYM3=
2022-02-02,99.3563,99.4995,78016EYM3=
2022-02-03,99.1727,99.3152,78016EYM3=
2022-02-07,98.8905,99.0323,78016EYM3=
2022-02-08,98.7557,98.8971,78016EYM3=
2022-02-09,98.6102,98.7512,78016EYM3=
2022-02-10,98.1599,98.2998,78016EYM3=
2022-02-11,98.3461,98.4862,78016EYM3=
2022-02-14,98.0378,98.1772,78016EYM3=
2022-02-15,98.0173,98.1565,78016EYM3=
2022-02-16,98.083,98.2222,78016EYM3=
2022-02-17,98.2815,98.4205,78016EYM3=
2022-02-18,98.2942,98.4331,78016EYM3=
2022-02-21,98.3542,98.4932,78016EYM3=
2022-02-22,98.0216,98.1599,78016EYM3=
2022-02-23,97.8578,97.9957,78016EYM3=
2022-02-24,97.7943,97.9315,78016EYM3=
2022-02-25,97.9684,98.1058,78016EYM3=
2022-02-28,97.9675,98.1047,78016EYM3=
2022-03-01,98.2328,98.3703,78016EYM3=
2022-03-02,98.0397,98.1768,78016EYM3=
2022-03-03,98.0178,98.1545,78016EYM3=
2022-03-04,98.0388,98.1754,78016EYM3=
2022-03-07,98.0597,98.1962,78016EYM3=
2022-03-08,97.3264,97.4615,78016EYM3=
2022-03-09,97.0246,97.1591,78016EYM3=
2022-03-10,96.9927,97.1268,78016EYM3=
2022-03-11,96.8404,96.9741,78016EYM3=
2022-03-14,96.4652,96.5981,78016EYM3=
2022-03-15,96.6413,96.7744,78016EYM3=
2022-03-16,96.1833,96.3155,78016EYM3=
2022-03-17,96.5241,96.6565,78016EYM3=
2022-03-18,96.6384,96.7709,78016EYM3=
2022-03-21,95.9936,96.1249,78016EYM3=
2022-03-22,96.1443,96.2757,78016EYM3=
2022-03-23,96.2188,96.3502,78016EYM3=
2022-03-24,96.1483,96.2792,78016EYM3=
2022-03-25,95.8077,95.9379,78016EYM3=
2022-03-28,96.1216,96.2522,78016EYM3=
2022-03-29,95.6981,95.828,78016EYM3=
2022-03-30,96.008,96.1383,78016EYM3=
2022-03-31,96.022,96.1519,78016EYM3=
2022-04-01,95.9687,96.0984,78016EYM3=
2022-04-04,95.9829,96.1125,78016EYM3=
2022-04-05,95.8393,95.9686,78016EYM3=
2022-04-06,95.9983,96.1277,78016EYM3=
2022-04-07,95.7112,95.8397,78016EYM3=
2022-04-08,95.523,95.6511,78016EYM3=
2022-04-11,95.2337,95.3612,78016EYM3=
2022-04-12,95.4447,95.5724,78016EYM3=
2022-04-13,95.4215,95.5487,78016EYM3=
2022-04-14,95.5555,95.6828,78016EYM3=
2022-04-15,95.5843,95.7116,78016EYM3=
2022-04-18,95.5369,95.664,78016EYM3=
2022-04-19,95.3739,95.5006,78016EYM3=
2022-04-20,94.8588,94.9846,78016EYM3=
2022-04-21,95.0568,95.1825,78016EYM3=
2022-04-22,94.8435,94.9688,78016EYM3=
2022-04-25,95.0188,95.1442,78016EYM3=
2022-04-26,95.297,95.4227,78016EYM3=
2022-04-27,95.0985,95.2238,78016EYM3=
2022-04-28,95.0604,95.1853,78016EYM3=
2022-04-29,94.4345,94.5582,78016EYM3=
2022-05-02,94.6775,94.8015,78016EYM3=
2022-05-03,94.6282,94.752,78016EYM3=
2022-05-04,94.5445,94.668,78016EYM3=
2022-05-05,94.6689,94.7923,78016EYM3=
2022-05-06,94.5756,94.6987,78016EYM3=
2022-05-09,94.8838,95.0072,78016EYM3=
2022-05-10,94.7608,94.8839,78016EYM3=
2022-05-11,94.8545,94.9777,78016EYM3=
2022-05-12,95.1475,95.2707,78016EYM3=
2022-05-13,94.9778,95.1006,78016EYM3=
2022-05-16,94.9975,95.1202,78016EYM3=
2022-05-17,94.8214,94.9437,78016EYM3=
2022-05-18,94.8583,94.9806,78016EYM3=
2022-05-19,95.0102,95.1323,78016EYM3=
2022-05-20,95.0786,95.2007,78016EYM3=
2022-05-23,94.9179,95.0396,78016EYM3=
2022-05-24,95.2713,95.3935,78016EYM3=
2022-05-25,95.3419,95.464,78016EYM3=
2022-05-26,95.825,95.9475,78016EYM3=
2022-05-27,95.5846,95.7066,78016EYM3=
2022-05-30,95.4357,95.5575,78016EYM3=
2022-05-31,95.3556,95.4771,78016EYM3=
2022-06-01,95.0769,95.1979,78016EYM3=
2022-06-02,95.1545,95.2752,78016EYM3=
2022-06-03,95.1329,95.2535,78016EYM3=
2022-06-06,95.0729,95.1932,78016EYM3=
2022-06-07,94.9699,95.09,78016EYM3=
2022-06-08,94.9486,95.0685,78016EYM3=
2022-06-09,94.9139,95.0334,78016EYM3=
2022-06-10,94.593,94.7118,78016EYM3=
2022-06-13,93.7161,93.8335,78016EYM3=
2022-06-14,93.5352,93.6522,78016EYM3=
2022-06-15,93.7851,93.9023,78016EYM3=
2022-06-16,94.0091,94.1262,78016EYM3=
2022-06-17,93.9989,94.1158,78016EYM3=
2022-06-20,93.9202,94.037,78016EYM3=
2022-06-21,93.9024,94.0191,78016EYM3=
2022-06-22,94.7471,94.8649,78016EYM3=
2022-06-23,94.2952,94.412,78016EYM3=
2022-06-24,94.4855,94.6024,78016EYM3=
2022-06-27,94.4166,94.5333,78016EYM3=
2022-06-28,94.5646,94.6814,78016EYM3=
2022-06-29,94.5516,94.6682,78016EYM3=
2022-06-30,94.5697,94.6859,78016EYM3=
2022-07-01,94.7541,94.8704,78016EYM3=
2022-07-04,94.6776,94.7938,78016EYM3=
2022-07-05,95.0784,95.1951,78016EYM3=
