Date,BID,ASK,RIC
2022-07-27,100.335,100.525,78016EZH3=
2022-07-28,100.554,100.65,78016EZH3=
2022-07-29,100.586,100.681,78016EZH3=
2022-08-01,100.367,100.461,78016EZH3=
2022-08-02,100.013,100.107,78016EZH3=
2022-08-03,100.171,100.265,78016EZH3=
2022-08-04,100.208,100.302,78016EZH3=
2022-08-05,99.85,99.943,78016EZH3=
2022-08-08,99.982,100.076,78016EZH3=
2022-08-09,99.984,100.077,78016EZH3=
2022-08-10,99.98,100.073,78016EZH3=
2022-08-11,99.837,99.93,78016EZH3=
2022-08-12,100.017,100.11,78016EZH3=
2022-08-15,100.045,100.137,78016EZH3=
2022-08-16,99.744,99.836,78016EZH3=
2022-08-17,99.841,99.934,78016EZH3=
2022-08-18,99.965,100.057,78016EZH3=
2022-08-19,100.02,100.112,78016EZH3=
2022-08-22,99.936,100.027,78016EZH3=
2022-08-23,99.756,99.848,78016EZH3=
2022-08-24,99.755,99.846,78016EZH3=
2022-08-25,99.863,99.954,78016EZH3=
2022-08-26,99.921,100.012,78016EZH3=
2022-08-29,99.767,99.857,78016EZH3=
2022-08-30,99.639,99.729,78016EZH3=
2022-08-31,99.644,99.735,78016EZH3=
2022-09-01,99.605,99.695,78016EZH3=
2022-09-02,99.914,100.004,78016EZH3=
2022-09-05,99.793,99.883,78016EZH3=
2022-09-06,99.733,99.823,78016EZH3=
2022-09-07,99.855,99.945,78016EZH3=
2022-09-08,98.699,98.787,78016EZH3=
2022-09-09,99.795,99.884,78016EZH3=
2022-09-12,99.808,99.897,78016EZH3=
2022-09-13,99.385,99.473,78016EZH3=
2022-09-14,99.345,99.433,78016EZH3=
2022-09-15,99.251,99.339,78016EZH3=
2022-09-16,99.221,99.308,78016EZH3=
2022-09-19,99.091,99.178,78016EZH3=
2022-09-20,98.979,99.066,78016EZH3=
2022-09-21,98.827,98.914,78016EZH3=
2022-09-22,98.61,98.696,78016EZH3=
2022-09-23,98.466,98.552,78016EZH3=
2022-09-26,98.294,98.379,78016EZH3=
2022-09-27,98.259,98.344,78016EZH3=
2022-09-28,98.346,98.432,78016EZH3=
2022-09-29,98.158,98.243,78016EZH3=
2022-09-30,98.43,98.515,78016EZH3=
2022-10-03,98.484,98.568,78016EZH3=
2022-10-04,98.543,98.628,78016EZH3=
2022-10-05,98.449,98.534,78016EZH3=
2022-10-06,98.324,98.408,78016EZH3=
2022-10-07,98.132,98.216,78016EZH3=
2022-10-10,98.111,98.195,78016EZH3=
2022-10-11,98.145,98.228,78016EZH3=
2022-10-12,98.149,98.233,78016EZH3=
2022-10-13,97.825,97.908,78016EZH3=
2022-10-14,97.779,97.861,78016EZH3=
2022-10-17,97.891,97.973,78016EZH3=
2022-10-18,97.892,97.974,78016EZH3=
2022-10-19,97.846,97.928,78016EZH3=
2022-10-21,97.755,97.836,78016EZH3=
2022-10-24,97.605,97.686,78016EZH3=
2022-10-25,97.732,97.813,78016EZH3=
2022-10-26,97.727,97.809,78016EZH3=
2022-10-27,97.976,98.057,78016EZH3=
2022-10-28,97.841,97.922,78016EZH3=
2022-10-31,97.759,97.84,78016EZH3=
2022-11-01,97.711,97.791,78016EZH3=
2022-11-02,97.503,97.583,78016EZH3=
2022-11-03,97.328,97.408,78016EZH3=
2022-11-04,97.38,97.459,78016EZH3=
2022-11-07,97.368,97.447,78016EZH3=
2022-11-08,97.5,97.58,78016EZH3=
2022-11-09,97.508,97.587,78016EZH3=
2022-11-10,98.068,98.147,78016EZH3=
2022-11-11,98.038,98.117,78016EZH3=
2022-11-14,98.184,98.263,78016EZH3=
2022-11-15,98.304,98.383,78016EZH3=
2022-11-16,98.132,98.211,78016EZH3=
2022-11-17,98.008,98.086,78016EZH3=
2022-11-18,97.884,97.963,78016EZH3=
2022-11-21,97.963,98.041,78016EZH3=
2022-11-22,97.969,98.047,78016EZH3=
2022-11-23,98.026,98.103,78016EZH3=
2022-11-24,98.099,98.177,78016EZH3=
2022-11-25,98.147,98.224,78016EZH3=
2022-11-28,98.154,98.232,78016EZH3=
2022-11-29,98.119,98.196,78016EZH3=
2022-11-30,98.4,98.478,78016EZH3=
2022-12-01,98.443,98.521,78016EZH3=
2022-12-02,98.637,98.715,78016EZH3=
2022-12-05,98.307,98.384,78016EZH3=
2022-12-06,98.267,98.344,78016EZH3=
2022-12-07,98.518,98.595,78016EZH3=
2022-12-08,98.51,98.587,78016EZH3=
2022-12-09,98.455,98.531,78016EZH3=
2022-12-12,98.445,98.521,78016EZH3=
2022-12-13,98.655,98.731,78016EZH3=
2022-12-14,98.442,98.517,78016EZH3=
2022-12-15,98.655,98.73,78016EZH3=
2022-12-16,98.715,98.79,78016EZH3=
2022-12-19,98.563,98.638,78016EZH3=
2022-12-20,98.518,98.593,78016EZH3=
2022-12-21,98.6,98.675,78016EZH3=
2022-12-22,98.45,98.524,78016EZH3=
2022-12-23,98.621,98.695,78016EZH3=
2022-12-27,98.659,98.733,78016EZH3=
2022-12-28,98.625,98.7,78016EZH3=
2022-12-29,98.621,98.695,78016EZH3=
2022-12-30,98.634,98.707,78016EZH3=
2023-01-02,98.664,98.738,78016EZH3=
2023-01-03,98.545,98.618,78016EZH3=
2023-01-04,98.496,98.57,78016EZH3=
2023-01-05,98.593,98.666,78016EZH3=
