Date,BID,ASK,RIC
2021-01-18,100.1273,100.6175,78016EZM2=
2021-01-19,100.1758,100.4206,78016EZM2=
2021-01-20,100.0585,100.3028,78016EZM2=
2021-01-21,100.1169,100.361,78016EZM2=
2021-01-22,99.8395,100.0827,78016EZM2=
2021-01-25,99.9368,100.1801,78016EZM2=
2021-01-26,99.9368,100.18,78016EZM2=
2021-01-27,100.034,100.2773,78016EZM2=
2021-01-28,99.9951,100.238,78016EZM2=
2021-01-29,99.903,100.1456,78016EZM2=
2021-02-01,99.9127,100.1552,78016EZM2=
2021-02-02,100.0338,100.2765,78016EZM2=
2021-02-03,99.8838,100.1259,78016EZM2=
2021-02-04,99.8984,100.1402,78016EZM2=
2021-02-05,100.0192,100.2612,78016EZM2=
2021-02-08,100.0289,100.2707,78016EZM2=
2021-02-09,99.7012,99.942,78016EZM2=
2021-02-10,99.7109,99.9516,78016EZM2=
2021-02-11,100.0817,100.3229,78016EZM2=
2021-02-12,100.0432,100.2842,78016EZM2=
2021-02-15,99.982,100.2228,78016EZM2=
2021-02-16,99.5921,99.8317,78016EZM2=
2021-02-17,99.6929,99.9326,78016EZM2=
2021-02-18,99.7077,99.9471,78016EZM2=
2021-02-19,99.5837,99.8226,78016EZM2=
2021-02-22,99.5077,99.7463,78016EZM2=
2021-02-23,99.6652,99.9041,78016EZM2=
2021-02-24,99.5558,99.7943,78016EZM2=
2021-02-25,98.5323,98.7674,78016EZM2=
2021-02-26,98.881,99.1169,78016EZM2=
2021-03-01,99.0183,99.2544,78016EZM2=
2021-03-02,99.0283,99.2643,78016EZM2=
2021-03-03,98.8406,99.076,78016EZM2=
2021-03-04,98.7674,99.0022,78016EZM2=
2021-03-05,98.506,98.7399,78016EZM2=
2021-03-08,98.4508,98.6845,78016EZM2=
2021-03-09,98.0515,98.284,78016EZM2=
2021-03-10,98.0247,98.257,78016EZM2=
2021-03-11,98.3435,98.5762,78016EZM2=
2021-03-12,98.0152,98.2469,78016EZM2=
2021-03-15,98.0255,98.2571,78016EZM2=
2021-03-16,97.925,98.1562,78016EZM2=
2021-03-17,97.9908,98.2221,78016EZM2=
2021-03-18,97.8973,98.1279,78016EZM2=
2021-03-19,97.8616,98.092,78016EZM2=
2021-03-22,97.9227,98.1531,78016EZM2=
2021-03-23,97.9974,98.2279,78016EZM2=
2021-03-24,97.9986,98.229,78016EZM2=
2021-03-25,98.0479,98.278,78016EZM2=
2021-03-26,97.9893,98.2191,78016EZM2=
2021-03-29,97.9363,98.166,78016EZM2=
2021-03-30,97.8116,98.0408,78016EZM2=
2021-03-31,97.7206,97.9491,78016EZM2=
2021-04-01,98.0418,98.271,78016EZM2=
2021-04-02,97.8451,98.0738,78016EZM2=
2021-04-05,97.9423,98.1711,78016EZM2=
2021-04-06,98.0074,98.2362,78016EZM2=
2021-04-07,98.1594,98.3885,78016EZM2=
2021-04-08,98.7262,98.9564,78016EZM2=
2021-04-09,98.6076,98.8374,78016EZM2=
2021-04-12,98.3519,98.5809,78016EZM2=
2021-04-13,98.3574,98.5862,78016EZM2=
2021-04-14,98.7888,99.0186,78016EZM2=
2021-04-15,98.9101,99.1399,78016EZM2=
2021-04-16,98.8878,99.1174,78016EZM2=
2021-04-19,98.9113,99.1408,78016EZM2=
2021-04-20,99.0082,99.2378,78016EZM2=
2021-04-21,99.0088,99.2383,78016EZM2=
2021-04-22,98.8642,99.0929,78016EZM2=
2021-04-23,98.7599,98.9882,78016EZM2=
2021-04-26,98.7332,98.9613,78016EZM2=
2021-04-27,98.652,98.8798,78016EZM2=
2021-04-28,98.762,98.9899,78016EZM2=
2021-04-29,98.6596,98.8869,78016EZM2=
2021-04-30,98.6876,98.9148,78016EZM2=
2021-05-03,98.7338,98.961,78016EZM2=
2021-05-04,98.7481,98.9752,78016EZM2=
2021-05-05,98.6627,98.8894,78016EZM2=
2021-05-06,98.9231,99.1501,78016EZM2=
2021-05-07,99.0099,99.237,78016EZM2=
2021-05-10,98.8972,99.1239,78016EZM2=
2021-05-11,98.8707,99.0972,78016EZM2=
2021-05-12,98.6365,98.8623,78016EZM2=
2021-05-13,98.7245,98.9501,78016EZM2=
2021-05-14,98.8018,99.0274,78016EZM2=
2021-05-17,98.7665,98.9919,78016EZM2=
2021-05-18,98.8167,99.0421,78016EZM2=
2021-05-19,98.7095,98.9345,78016EZM2=
2021-05-20,98.8195,99.0444,78016EZM2=
2021-05-21,98.6811,98.9055,78016EZM2=
2021-05-24,98.7087,98.9331,78016EZM2=
2021-05-25,98.7901,99.0145,78016EZM2=
2021-05-26,98.6879,98.9119,78016EZM2=
2021-05-27,98.6902,98.9139,78016EZM2=
2021-05-28,98.5259,98.749,78016EZM2=
2021-05-31,98.5043,98.7273,78016EZM2=
2021-06-01,98.4822,98.7051,78016EZM2=
2021-06-02,98.4831,98.7058,78016EZM2=
2021-06-03,98.7438,98.9668,78016EZM2=
2021-06-04,98.9317,99.155,78016EZM2=
2021-06-07,98.683,98.9056,78016EZM2=
2021-06-08,99.1069,99.3304,78016EZM2=
2021-06-09,99.0583,99.2816,78016EZM2=
2021-06-10,99.1535,99.3766,78016EZM2=
2021-06-11,99.0828,99.3056,78016EZM2=
2021-06-14,98.9767,99.1991,78016EZM2=
2021-06-15,98.964,99.1862,78016EZM2=
2021-06-16,98.6148,98.836,78016EZM2=
2021-06-17,98.5379,98.7585,78016EZM2=
2021-06-18,98.3847,98.6048,78016EZM2=
2021-06-21,98.3725,98.5925,78016EZM2=
2021-06-22,98.3823,98.6021,78016EZM2=
2021-06-23,98.2867,98.5062,78016EZM2=
2021-06-24,98.2329,98.4518,78016EZM2=
2021-06-25,98.5799,98.7996,78016EZM2=
2021-06-28,98.6378,98.8575,78016EZM2=
2021-06-29,98.6518,98.8714,78016EZM2=
2021-06-30,98.6394,98.8588,78016EZM2=
2021-07-01,98.6296,98.8485,78016EZM2=
2021-07-02,98.731,98.95,78016EZM2=
2021-07-05,98.7562,98.9753,78016EZM2=
2021-07-06,98.9068,99.1261,78016EZM2=
2021-07-07,98.9206,99.1398,78016EZM2=
2021-07-08,99.2597,99.4794,78016EZM2=
2021-07-09,99.0325,99.2515,78016EZM2=
2021-07-12,99.0287,99.2475,78016EZM2=
2021-07-13,98.7632,98.9812,78016EZM2=
2021-07-14,98.9121,99.1304,78016EZM2=
2021-07-15,98.9053,99.1232,78016EZM2=
2021-07-16,98.9147,99.1324,78016EZM2=
2021-07-19,98.9371,99.1548,78016EZM2=
2021-07-20,99.0421,99.2599,78016EZM2=
2021-07-21,98.9253,99.1427,78016EZM2=
2021-07-22,99.2138,99.4315,78016EZM2=
2021-07-23,99.2142,99.4318,78016EZM2=
2021-07-26,99.2017,99.4191,78016EZM2=
2021-07-27,99.2629,99.4803,78016EZM2=
2021-07-28,99.2504,99.4676,78016EZM2=
2021-07-29,99.2296,99.4465,78016EZM2=
2021-07-30,99.3557,99.5728,78016EZM2=
2021-08-02,99.4472,99.6644,78016EZM2=
2021-08-03,99.4822,99.6994,78016EZM2=
2021-08-04,99.3136,99.5302,78016EZM2=
2021-08-05,99.1552,99.371,78016EZM2=
2021-08-06,99.0136,99.2289,78016EZM2=
2021-08-09,98.9154,99.1304,78016EZM2=
2021-08-10,98.8003,99.0149,78016EZM2=
2021-08-11,98.7368,98.9511,78016EZM2=
2021-08-12,98.6921,98.9059,78016EZM2=
2021-08-13,98.8167,99.0306,78016EZM2=
2021-08-16,98.7107,98.9243,78016EZM2=
2021-08-17,98.6987,98.9121,78016EZM2=
2021-08-18,98.6995,98.9128,78016EZM2=
2021-08-19,98.6679,98.8807,78016EZM2=
2021-08-20,98.6262,98.8388,78016EZM2=
2021-08-23,98.6695,98.882,78016EZM2=
2021-08-24,98.785,98.9977,78016EZM2=
2021-08-25,98.6754,98.8877,78016EZM2=
2021-08-26,98.6566,98.8684,78016EZM2=
2021-08-27,98.8236,99.0359,78016EZM2=
2021-08-30,98.7167,98.9286,78016EZM2=
2021-08-31,98.7556,98.9674,78016EZM2=
2021-09-01,98.7563,98.968,78016EZM2=
2021-09-02,98.772,98.9832,78016EZM2=
2021-09-03,98.7601,98.9711,78016EZM2=
2021-09-07,98.6683,98.879,78016EZM2=
2021-09-08,98.6102,98.8206,78016EZM2=
2021-09-09,99.0966,99.3078,78016EZM2=
2021-09-10,99.055,99.266,78016EZM2=
2021-09-13,99.0767,99.2876,78016EZM2=
2021-09-14,99.1194,99.3302,78016EZM2=
2021-09-15,99.0989,99.3096,78016EZM2=
2021-09-16,99.0208,99.2309,78016EZM2=
2021-09-17,98.9669,99.1767,78016EZM2=
2021-09-20,98.9382,99.1478,78016EZM2=
2021-09-21,98.897,99.1064,78016EZM2=
2021-09-22,98.8392,99.0483,78016EZM2=
2021-09-23,98.6498,98.8581,78016EZM2=
2021-09-24,98.4223,98.6299,78016EZM2=
2021-09-27,98.4481,98.6556,78016EZM2=
2021-09-28,98.4077,98.615,78016EZM2=
2021-09-29,98.5288,98.7363,78016EZM2=
2021-09-30,98.5853,98.7925,78016EZM2=
2021-10-01,98.7063,98.9136,78016EZM2=
2021-10-04,98.6326,98.8396,78016EZM2=
2021-10-05,98.5756,98.7824,78016EZM2=
2021-10-06,98.4981,98.7046,78016EZM2=
2021-10-07,98.3909,98.5966,78016EZM2=
2021-10-08,98.3221,98.5275,78016EZM2=
2021-10-11,98.1446,98.3496,78016EZM2=
2021-10-12,98.2126,98.4176,78016EZM2=
2021-10-13,98.0216,98.226,78016EZM2=
2021-10-14,98.0783,98.2825,78016EZM2=
2021-10-15,97.8557,98.0592,78016EZM2=
2021-10-18,97.7149,97.9179,78016EZM2=
2021-10-19,97.7691,97.9721,78016EZM2=
2021-10-20,97.7705,97.9734,78016EZM2=
2021-10-21,97.4759,97.6777,78016EZM2=
2021-10-22,97.5501,97.752,78016EZM2=
2021-10-25,97.6484,97.8504,78016EZM2=
2021-10-26,97.6056,97.8073,78016EZM2=
2021-10-27,97.5628,97.7643,78016EZM2=
2021-10-28,97.5981,97.7994,78016EZM2=
2021-10-29,97.6398,97.8411,78016EZM2=
2021-11-01,97.5208,97.7217,78016EZM2=
2021-11-02,97.7232,97.9244,78016EZM2=
2021-11-03,97.5521,97.7528,78016EZM2=
2021-11-04,97.8293,98.0302,78016EZM2=
2021-11-05,98.0798,98.2812,78016EZM2=
2021-11-08,97.78,97.9806,78016EZM2=
2021-11-09,97.7549,97.9552,78016EZM2=
2021-11-10,97.2774,97.4762,78016EZM2=
2021-11-11,97.1285,97.3269,78016EZM2=
2021-11-12,97.2871,97.4857,78016EZM2=
2021-11-15,97.2849,97.4834,78016EZM2=
2021-11-16,97.2668,97.4651,78016EZM2=
2021-11-17,97.2726,97.4708,78016EZM2=
2021-11-18,97.2778,97.4756,78016EZM2=
2021-11-19,97.1967,97.3942,78016EZM2=
2021-11-22,96.9386,97.1354,78016EZM2=
2021-11-23,96.9505,97.1471,78016EZM2=
2021-11-24,96.8819,97.0779,78016EZM2=
2021-11-25,96.8727,97.0687,78016EZM2=
2021-11-26,97.4927,97.69,78016EZM2=
2021-11-29,97.5692,97.7665,78016EZM2=
2021-11-30,97.3701,97.5669,78016EZM2=
2021-12-01,97.3601,97.5567,78016EZM2=
2021-12-02,97.0795,97.2751,78016EZM2=
2021-12-03,97.2065,97.4022,78016EZM2=
2021-12-06,97.0288,97.224,78016EZM2=
2021-12-07,96.7972,96.9917,78016EZM2=
2021-12-08,96.6286,96.8226,78016EZM2=
2021-12-09,96.6159,96.8095,78016EZM2=
2021-12-10,96.7419,96.9357,78016EZM2=
2021-12-13,96.8756,97.0695,78016EZM2=
2021-12-14,96.7655,96.9591,78016EZM2=
2021-12-15,96.7676,96.961,78016EZM2=
2021-12-16,97.0598,97.2535,78016EZM2=
2021-12-17,96.9806,97.174,78016EZM2=
2021-12-20,97.4006,97.5948,78016EZM2=
2021-12-21,97.2706,97.4644,78016EZM2=
2021-12-22,97.2392,97.4324,78016EZM2=
2021-12-23,97.1485,97.3414,78016EZM2=
2021-12-27,97.1196,97.3123,78016EZM2=
2021-12-28,97.1293,97.3219,78016EZM2=
2021-12-29,97.1043,97.2964,78016EZM2=
2021-12-30,97.2213,97.4135,78016EZM2=
2021-12-31,97.2021,97.3943,78016EZM2=
2022-01-03,96.9741,97.1657,78016EZM2=
2022-01-04,97.0182,97.2097,78016EZM2=
2022-01-05,96.7301,96.9208,78016EZM2=
2022-01-06,96.5429,96.7328,78016EZM2=
2022-01-07,96.4694,96.659,78016EZM2=
2022-01-10,96.1807,96.3696,78016EZM2=
2022-01-11,96.2134,96.4022,78016EZM2=
2022-01-12,96.2273,96.416,78016EZM2=
2022-01-13,96.3126,96.501,78016EZM2=
2022-01-14,96.101,96.2888,78016EZM2=
2022-01-17,95.9326,96.12,78016EZM2=
2022-01-18,95.7295,95.9163,78016EZM2=
2022-01-19,95.5684,95.7547,78016EZM2=
