Date,BID,ASK,RIC
2021-04-27,99.273,99.513,78016EZQ3=
2021-04-28,99.461,99.701,78016EZQ3=
2021-04-29,99.437,99.677,78016EZQ3=
2021-04-30,99.572,99.812,78016EZQ3=
2021-05-03,99.543,99.783,78016EZQ3=
2021-05-04,99.716,99.957,78016EZQ3=
2021-05-05,99.986,100.226,78016EZQ3=
2021-05-06,99.937,100.178,78016EZQ3=
2021-05-07,100.077,100.317,78016EZQ3=
2021-05-10,99.822,100.062,78016EZQ3=
2021-05-11,99.842,100.082,78016EZQ3=
2021-05-12,99.55,99.789,78016EZQ3=
2021-05-13,99.718,99.957,78016EZQ3=
2021-05-14,99.866,100.105,78016EZQ3=
2021-05-17,99.732,99.971,78016EZQ3=
2021-05-18,99.861,100.1,78016EZQ3=
2021-05-19,99.485,99.723,78016EZQ3=
2021-05-20,99.738,99.976,78016EZQ3=
2021-05-21,99.795,100.033,78016EZQ3=
2021-05-24,99.748,99.986,78016EZQ3=
2021-05-25,99.981,100.219,78016EZQ3=
2021-05-26,99.8,100.038,78016EZQ3=
2021-05-27,99.791,100.028,78016EZQ3=
2021-05-28,99.852,100.089,78016EZQ3=
2021-05-31,99.837,100.074,78016EZQ3=
2021-06-01,99.843,100.081,78016EZQ3=
2021-06-02,100.033,100.27,78016EZQ3=
2021-06-03,99.811,100.047,78016EZQ3=
2021-06-04,99.952,100.189,78016EZQ3=
2021-06-07,99.891,100.128,78016EZQ3=
2021-06-08,99.886,100.123,78016EZQ3=
2021-06-09,99.905,100.142,78016EZQ3=
2021-06-10,100.113,100.349,78016EZQ3=
2021-06-11,99.981,100.217,78016EZQ3=
2021-06-14,99.779,100.014,78016EZQ3=
2021-06-15,99.816,100.052,78016EZQ3=
2021-06-16,99.264,99.498,78016EZQ3=
2021-06-17,99.33,99.564,78016EZQ3=
2021-06-18,99.363,99.597,78016EZQ3=
2021-06-21,99.308,99.541,78016EZQ3=
2021-06-22,99.555,99.789,78016EZQ3=
2021-06-23,99.485,99.719,78016EZQ3=
2021-06-24,99.417,99.649,78016EZQ3=
2021-06-25,99.37,99.603,78016EZQ3=
2021-06-28,99.492,99.724,78016EZQ3=
2021-06-29,99.762,99.995,78016EZQ3=
2021-06-30,99.762,99.995,78016EZQ3=
2021-07-01,99.753,99.986,78016EZQ3=
2021-07-02,99.902,100.135,78016EZQ3=
2021-07-05,99.926,100.159,78016EZQ3=
2021-07-06,100.205,100.438,78016EZQ3=
2021-07-07,100.256,100.489,78016EZQ3=
2021-07-08,100.456,100.69,78016EZQ3=
2021-07-09,100.246,100.479,78016EZQ3=
2021-07-12,100.157,100.39,78016EZQ3=
2021-07-13,99.925,100.157,78016EZQ3=
2021-07-14,100.162,100.394,78016EZQ3=
2021-07-15,100.231,100.463,78016EZQ3=
2021-07-16,100.18,100.412,78016EZQ3=
2021-07-19,100.101,100.333,78016EZQ3=
2021-07-20,100.3,100.532,78016EZQ3=
2021-07-21,100.05,100.282,78016EZQ3=
2021-07-22,100.0,100.23,78016EZQ3=
2021-07-23,100.036,100.267,78016EZQ3=
2021-07-26,100.147,100.378,78016EZQ3=
2021-07-27,100.276,100.507,78016EZQ3=
2021-07-28,100.211,100.442,78016EZQ3=
2021-07-29,100.22,100.451,78016EZQ3=
2021-07-30,100.257,100.487,78016EZQ3=
2021-08-02,100.529,100.76,78016EZQ3=
2021-08-03,100.565,100.796,78016EZQ3=
2021-08-04,100.44,100.671,78016EZQ3=
2021-08-05,100.201,100.43,78016EZQ3=
2021-08-06,99.981,100.21,78016EZQ3=
2021-08-09,99.872,100.1,78016EZQ3=
2021-08-10,99.731,99.958,78016EZQ3=
2021-08-11,99.694,99.922,78016EZQ3=
2021-08-12,99.6,99.827,78016EZQ3=
2021-08-13,99.836,100.063,78016EZQ3=
2021-08-16,100.077,100.305,78016EZQ3=
2021-08-17,100.045,100.273,78016EZQ3=
2021-08-18,100.045,100.273,78016EZQ3=
2021-08-19,100.045,100.272,78016EZQ3=
2021-08-20,99.986,100.213,78016EZQ3=
2021-08-23,100.045,100.272,78016EZQ3=
2021-08-24,99.909,100.136,78016EZQ3=
2021-08-25,99.85,100.077,78016EZQ3=
2021-08-26,99.725,99.95,78016EZQ3=
2021-08-27,99.947,100.173,78016EZQ3=
2021-08-30,100.099,100.325,78016EZQ3=
2021-08-31,100.018,100.244,78016EZQ3=
2021-09-01,100.027,100.253,78016EZQ3=
2021-09-02,100.049,100.275,78016EZQ3=
2021-09-03,100.247,100.473,78016EZQ3=
2021-09-06,100.246,100.472,78016EZQ3=
2021-09-07,99.982,100.207,78016EZQ3=
2021-09-08,100.018,100.243,78016EZQ3=
2021-09-09,100.184,100.409,78016EZQ3=
2021-09-10,100.062,100.287,78016EZQ3=
2021-09-13,100.107,100.332,78016EZQ3=
2021-09-14,100.112,100.336,78016EZQ3=
2021-09-15,100.044,100.268,78016EZQ3=
2021-09-16,100.018,100.241,78016EZQ3=
2021-09-17,99.808,100.031,78016EZQ3=
2021-09-20,99.982,100.205,78016EZQ3=
2021-09-21,99.839,100.062,78016EZQ3=
2021-09-22,99.711,99.933,78016EZQ3=
2021-09-23,99.291,99.512,78016EZQ3=
2021-09-24,99.473,99.694,78016EZQ3=
2021-09-27,99.354,99.574,78016EZQ3=
2021-09-28,99.015,99.235,78016EZQ3=
2021-09-29,99.139,99.359,78016EZQ3=
2021-09-30,99.246,99.466,78016EZQ3=
2021-10-01,99.602,99.823,78016EZQ3=
2021-10-04,99.528,99.748,78016EZQ3=
2021-10-05,99.405,99.625,78016EZQ3=
2021-10-06,99.357,99.577,78016EZQ3=
2021-10-07,99.223,99.442,78016EZQ3=
2021-10-08,99.088,99.307,78016EZQ3=
2021-10-11,98.926,99.144,78016EZQ3=
2021-10-12,99.041,99.259,78016EZQ3=
2021-10-13,99.02,99.238,78016EZQ3=
2021-10-14,99.135,99.352,78016EZQ3=
2021-10-15,98.797,99.014,78016EZQ3=
2021-10-18,98.629,98.845,78016EZQ3=
2021-10-19,98.63,98.846,78016EZQ3=
2021-10-20,98.622,98.838,78016EZQ3=
2021-10-21,98.332,98.547,78016EZQ3=
2021-10-22,98.479,98.694,78016EZQ3=
2021-10-25,98.609,98.824,78016EZQ3=
2021-10-26,98.588,98.803,78016EZQ3=
2021-10-27,98.701,98.916,78016EZQ3=
2021-10-28,98.561,98.775,78016EZQ3=
2021-10-29,98.553,98.768,78016EZQ3=
2021-11-01,98.575,98.79,78016EZQ3=
2021-11-02,98.735,98.949,78016EZQ3=
2021-11-03,98.543,98.757,78016EZQ3=
2021-11-04,98.862,99.076,78016EZQ3=
2021-11-05,99.111,99.326,78016EZQ3=
2021-11-08,98.829,99.043,78016EZQ3=
2021-11-09,99.006,99.22,78016EZQ3=
2021-11-10,98.178,98.39,78016EZQ3=
2021-11-11,98.0,98.211,78016EZQ3=
2021-11-12,98.171,98.383,78016EZQ3=
2021-11-15,98.142,98.354,78016EZQ3=
2021-11-16,98.249,98.461,78016EZQ3=
2021-11-17,98.424,98.635,78016EZQ3=
2021-11-18,98.338,98.549,78016EZQ3=
2021-11-19,98.326,98.537,78016EZQ3=
2021-11-22,97.864,98.074,78016EZQ3=
2021-11-23,97.779,97.989,78016EZQ3=
2021-11-24,97.775,97.984,78016EZQ3=
2021-11-25,97.756,97.965,78016EZQ3=
2021-11-26,98.518,98.729,78016EZQ3=
2021-11-29,98.565,98.776,78016EZQ3=
2021-11-30,98.524,98.735,78016EZQ3=
2021-12-01,98.466,98.676,78016EZQ3=
2021-12-02,98.18,98.389,78016EZQ3=
2021-12-03,98.436,98.646,78016EZQ3=
2021-12-06,98.166,98.375,78016EZQ3=
2021-12-07,97.938,98.146,78016EZQ3=
2021-12-08,97.852,98.06,78016EZQ3=
2021-12-09,98.076,98.284,78016EZQ3=
2021-12-10,97.915,98.123,78016EZQ3=
2021-12-13,98.431,98.64,78016EZQ3=
2021-12-14,98.303,98.512,78016EZQ3=
2021-12-15,98.134,98.342,78016EZQ3=
2021-12-16,98.428,98.636,78016EZQ3=
2021-12-17,98.462,98.67,78016EZQ3=
2021-12-20,98.285,98.492,78016EZQ3=
2021-12-21,98.406,98.613,78016EZQ3=
2021-12-22,98.265,98.472,78016EZQ3=
2021-12-23,98.155,98.361,78016EZQ3=
2021-12-24,98.153,98.36,78016EZQ3=
2021-12-27,98.127,98.333,78016EZQ3=
2021-12-28,98.141,98.347,78016EZQ3=
2021-12-29,97.927,98.132,78016EZQ3=
2021-12-30,98.072,98.277,78016EZQ3=
2021-12-31,98.072,98.277,78016EZQ3=
2022-01-03,97.684,97.889,78016EZQ3=
2022-01-04,97.69,97.894,78016EZQ3=
2022-01-05,97.419,97.622,78016EZQ3=
2022-01-06,97.229,97.432,78016EZQ3=
2022-01-07,97.11,97.312,78016EZQ3=
2022-01-10,97.067,97.269,78016EZQ3=
2022-01-11,97.101,97.303,78016EZQ3=
2022-01-12,96.966,97.167,78016EZQ3=
2022-01-13,97.295,97.497,78016EZQ3=
2022-01-14,96.735,96.935,78016EZQ3=
2022-01-17,96.556,96.755,78016EZQ3=
2022-01-18,96.498,96.697,78016EZQ3=
2022-01-19,96.663,96.863,78016EZQ3=
2022-01-20,96.741,96.941,78016EZQ3=
2022-01-21,96.624,96.823,78016EZQ3=
2022-01-24,96.638,96.837,78016EZQ3=
2022-01-25,96.66,96.859,78016EZQ3=
2022-01-26,95.93,96.127,78016EZQ3=
2022-01-27,96.192,96.389,78016EZQ3=
2022-01-28,96.363,96.561,78016EZQ3=
2022-01-31,96.393,96.591,78016EZQ3=
2022-02-01,96.159,96.356,78016EZQ3=
2022-02-02,96.323,96.52,78016EZQ3=
2022-02-03,96.523,96.72,78016EZQ3=
2022-02-07,95.692,95.888,78016EZQ3=
2022-02-08,95.5,95.695,78016EZQ3=
2022-02-09,95.484,95.678,78016EZQ3=
2022-02-10,95.516,95.71,78016EZQ3=
2022-02-11,95.259,95.453,78016EZQ3=
2022-02-14,94.857,95.05,78016EZQ3=
2022-02-15,94.749,94.941,78016EZQ3=
2022-02-16,94.81,95.002,78016EZQ3=
2022-02-17,94.976,95.168,78016EZQ3=
2022-02-18,94.953,95.145,78016EZQ3=
