Date,BID,ASK,RIC
2022-04-11,98.2881,99.1018,78016FZQ0=
2022-04-12,98.3448,98.7509,78016FZQ0=
2022-04-13,98.5404,98.9471,78016FZQ0=
2022-04-14,97.7012,98.1037,78016FZQ0=
2022-04-15,97.8518,98.2551,78016FZQ0=
2022-04-18,97.381,97.7819,78016FZQ0=
2022-04-19,96.5619,96.9587,78016FZQ0=
2022-04-20,97.2621,97.6622,78016FZQ0=
2022-04-21,97.5354,97.9366,78016FZQ0=
2022-04-22,96.5336,96.9299,78016FZQ0=
2022-04-25,97.0576,97.4563,78016FZQ0=
2022-04-26,97.8573,98.2598,78016FZQ0=
2022-04-27,96.5988,96.9951,78016FZQ0=
2022-04-28,96.6324,97.0286,78016FZQ0=
2022-04-29,95.7292,96.1209,78016FZQ0=
2022-05-02,95.496,95.8865,78016FZQ0=
2022-05-03,95.7935,96.1854,78016FZQ0=
2022-05-04,95.2723,95.6616,78016FZQ0=
2022-05-05,94.5103,94.8956,78016FZQ0=
2022-05-06,94.151,94.5345,78016FZQ0=
2022-05-09,95.215,95.6036,78016FZQ0=
2022-05-10,95.0998,95.4877,78016FZQ0=
2022-05-11,95.3488,95.7378,78016FZQ0=
2022-05-12,96.1468,96.5394,78016FZQ0=
2022-05-13,95.5001,95.8895,78016FZQ0=
2022-05-16,95.0363,95.4234,78016FZQ0=
2022-05-17,94.7521,95.1377,78016FZQ0=
2022-05-18,95.5339,95.9232,78016FZQ0=
2022-05-19,95.3429,95.731,78016FZQ0=
2022-05-20,95.8954,96.2861,78016FZQ0=
2022-05-23,95.6473,96.0367,78016FZQ0=
2022-05-24,95.7726,96.1625,78016FZQ0=
2022-05-25,96.6572,97.0513,78016FZQ0=
2022-05-26,97.5095,97.9075,78016FZQ0=
2022-05-27,97.275,97.6717,78016FZQ0=
2022-05-30,97.0131,97.4085,78016FZQ0=
2022-05-31,96.9833,97.3785,78016FZQ0=
2022-06-01,96.5828,96.976,78016FZQ0=
2022-06-02,95.1088,95.4947,78016FZQ0=
2022-06-03,96.1947,96.5857,78016FZQ0=
2022-06-06,95.6592,96.0475,78016FZQ0=
2022-06-07,95.8229,96.2119,78016FZQ0=
2022-06-08,95.7618,96.1504,78016FZQ0=
2022-06-09,95.4551,95.842,78016FZQ0=
2022-06-10,94.1698,94.5505,78016FZQ0=
2022-06-13,91.7261,92.095,78016FZQ0=
2022-06-14,91.2363,91.6028,78016FZQ0=
2022-06-15,93.073,93.4482,78016FZQ0=
2022-06-16,92.6017,92.9743,78016FZQ0=
2022-06-17,93.8318,94.2102,78016FZQ0=
2022-06-20,93.5728,93.9499,78016FZQ0=
2022-06-21,92.8878,93.2616,78016FZQ0=
2022-06-22,93.6912,94.0687,78016FZQ0=
2022-06-23,94.0046,94.3834,78016FZQ0=
2022-06-24,94.6965,95.0785,78016FZQ0=
2022-06-27,93.9091,94.2872,78016FZQ0=
2022-06-28,94.0236,94.4022,78016FZQ0=
2022-06-29,94.4794,94.8601,78016FZQ0=
2022-06-30,95.1855,95.5692,78016FZQ0=
2022-07-01,95.5394,95.9247,78016FZQ0=
2022-07-04,95.7578,96.1441,78016FZQ0=
2022-07-05,95.4712,95.8561,78016FZQ0=
2022-07-06,95.3649,95.7492,78016FZQ0=
2022-07-07,95.001,95.3833,78016FZQ0=
2022-07-08,94.7737,95.1548,78016FZQ0=
2022-07-11,94.5244,94.9042,78016FZQ0=
2022-07-12,95.2258,95.6089,78016FZQ0=
2022-07-13,93.833,94.2094,78016FZQ0=
2022-07-14,95.4059,95.7895,78016FZQ0=
2022-07-15,95.4835,95.8673,78016FZQ0=
2022-07-18,95.5381,95.9221,78016FZQ0=
2022-07-19,94.2699,94.6478,78016FZQ0=
2022-07-20,95.7779,96.1629,78016FZQ0=
2022-07-21,96.3045,96.6917,78016FZQ0=
2022-07-22,97.4722,97.8648,78016FZQ0=
2022-07-25,96.5769,96.9652,78016FZQ0=
2022-07-26,95.9912,96.3766,78016FZQ0=
2022-07-27,95.8999,96.2848,78016FZQ0=
2022-07-28,97.0148,97.4048,78016FZQ0=
2022-07-29,98.2144,98.61,78016FZQ0=
2022-08-01,98.8485,99.247,78016FZQ0=
2022-08-02,97.9789,98.3732,78016FZQ0=
2022-08-03,97.6028,97.9952,78016FZQ0=
2022-08-04,97.5576,97.9495,78016FZQ0=
2022-08-05,97.2071,97.5973,78016FZQ0=
2022-08-08,97.8877,98.281,78016FZQ0=
2022-08-09,96.8823,97.2708,78016FZQ0=
2022-08-10,97.6147,98.0065,78016FZQ0=
