Date,BID,ASK,RIC
2022-07-27,99.705,100.152,78016FZS6=
2022-07-28,101.178,101.405,78016FZS6=
2022-07-29,101.254,101.481,78016FZS6=
2022-08-01,101.014,101.24,78016FZS6=
2022-08-02,100.536,100.761,78016FZS6=
2022-08-03,100.45,100.675,78016FZS6=
2022-08-04,100.682,100.907,78016FZS6=
2022-08-05,100.012,100.234,78016FZS6=
2022-08-08,99.918,100.141,78016FZS6=
2022-08-09,99.727,99.949,78016FZS6=
2022-08-10,100.1,100.323,78016FZS6=
2022-08-11,99.555,99.776,78016FZS6=
2022-08-12,100.331,100.554,78016FZS6=
2022-08-15,100.411,100.634,78016FZS6=
2022-08-16,100.7,100.924,78016FZS6=
2022-08-17,100.028,100.25,78016FZS6=
2022-08-18,99.944,100.165,78016FZS6=
2022-08-19,100.143,100.364,78016FZS6=
2022-08-22,99.28,99.499,78016FZS6=
2022-08-23,99.649,99.869,78016FZS6=
2022-08-24,99.482,99.701,78016FZS6=
2022-08-25,99.124,99.342,78016FZS6=
2022-08-26,99.596,99.816,78016FZS6=
2022-08-29,99.235,99.453,78016FZS6=
2022-08-30,98.59,98.807,78016FZS6=
2022-08-31,98.5,98.717,78016FZS6=
2022-09-01,98.24,98.455,78016FZS6=
2022-09-02,98.611,98.828,78016FZS6=
2022-09-05,98.396,98.612,78016FZS6=
2022-09-06,98.07,98.285,78016FZS6=
2022-09-07,98.26,98.475,78016FZS6=
2022-09-08,98.314,98.529,78016FZS6=
2022-09-09,98.276,98.49,78016FZS6=
2022-09-12,98.247,98.461,78016FZS6=
2022-09-13,97.893,98.106,78016FZS6=
2022-09-14,97.839,98.052,78016FZS6=
2022-09-15,97.578,97.791,78016FZS6=
2022-09-16,97.224,97.436,78016FZS6=
2022-09-19,96.877,97.087,78016FZS6=
2022-09-20,97.071,97.282,78016FZS6=
2022-09-21,97.685,97.897,78016FZS6=
2022-09-22,96.3,96.508,78016FZS6=
2022-09-23,96.185,96.393,78016FZS6=
2022-09-26,95.067,95.271,78016FZS6=
2022-09-27,95.004,95.208,78016FZS6=
2022-09-28,95.473,95.679,78016FZS6=
2022-09-29,95.537,95.743,78016FZS6=
2022-09-30,94.763,94.967,78016FZS6=
2022-10-03,95.973,96.18,78016FZS6=
2022-10-04,96.505,96.712,78016FZS6=
2022-10-05,95.399,95.603,78016FZS6=
2022-10-06,95.62,95.825,78016FZS6=
2022-10-07,95.276,95.479,78016FZS6=
2022-10-10,95.148,95.351,78016FZS6=
2022-10-11,94.686,94.888,78016FZS6=
2022-10-12,94.976,95.179,78016FZS6=
2022-10-13,94.435,94.636,78016FZS6=
2022-10-14,94.47,94.671,78016FZS6=
2022-10-17,94.384,94.585,78016FZS6=
2022-10-18,94.499,94.7,78016FZS6=
2022-10-19,94.197,94.398,78016FZS6=
2022-10-20,93.226,93.423,78016FZS6=
2022-10-21,93.024,93.221,78016FZS6=
2022-10-24,93.469,93.667,78016FZS6=
2022-10-25,93.817,94.016,78016FZS6=
2022-10-26,93.864,94.063,78016FZS6=
2022-10-27,94.304,94.503,78016FZS6=
2022-10-28,94.298,94.498,78016FZS6=
2022-10-31,94.027,94.226,78016FZS6=
2022-11-01,93.943,94.141,78016FZS6=
2022-11-02,93.622,93.819,78016FZS6=
2022-11-03,93.506,93.703,78016FZS6=
2022-11-04,93.293,93.489,78016FZS6=
2022-11-07,93.721,93.918,78016FZS6=
2022-11-08,93.826,94.024,78016FZS6=
2022-11-09,94.087,94.285,78016FZS6=
2022-11-10,95.275,95.475,78016FZS6=
2022-11-11,95.178,95.378,78016FZS6=
2022-11-14,95.481,95.682,78016FZS6=
2022-11-15,96.015,96.217,78016FZS6=
2022-11-16,96.336,96.539,78016FZS6=
2022-11-17,96.047,96.249,78016FZS6=
2022-11-18,95.804,96.005,78016FZS6=
2022-11-21,95.782,95.983,78016FZS6=
2022-11-22,95.971,96.172,78016FZS6=
2022-11-23,96.424,96.626,78016FZS6=
2022-11-24,96.572,96.774,78016FZS6=
2022-11-25,96.454,96.656,78016FZS6=
2022-11-28,96.565,96.767,78016FZS6=
2022-11-29,96.761,96.963,78016FZS6=
2022-11-30,96.936,97.139,78016FZS6=
2022-12-01,97.289,97.493,78016FZS6=
2022-12-02,97.971,98.176,78016FZS6=
2022-12-05,97.365,97.569,78016FZS6=
2022-12-06,97.205,97.407,78016FZS6=
2022-12-07,97.905,98.109,78016FZS6=
2022-12-08,97.892,98.096,78016FZS6=
