Date,BID,ASK,RIC
2023-01-12,100.4512,100.6715,78016FZW7=
2023-01-13,100.1874,100.4069,78016FZW7=
2023-01-16,100.082,100.3012,78016FZW7=
2023-01-17,100.0908,100.3099,78016FZW7=
2023-01-18,100.7935,101.0144,78016FZW7=
2023-01-19,100.9374,101.1583,78016FZW7=
2023-01-20,100.5891,100.809,78016FZW7=
2023-01-23,99.998,100.2163,78016FZW7=
2023-01-24,100.4216,100.6409,78016FZW7=
2023-01-25,100.4957,100.715,78016FZW7=
2023-01-26,100.4771,100.6961,78016FZW7=
2023-01-27,100.411,100.6298,78016FZW7=
2023-01-30,100.1321,100.3501,78016FZW7=
2023-01-31,100.831,101.0507,78016FZW7=
2023-02-01,101.301,101.5218,78016FZW7=
2023-02-02,101.0832,101.3031,78016FZW7=
2023-02-03,100.9466,101.166,78016FZW7=
2023-02-06,100.2132,100.4306,78016FZW7=
2023-02-07,99.8708,100.0872,78016FZW7=
2023-02-08,100.2562,100.4735,78016FZW7=
2023-02-09,100.3422,100.5594,78016FZW7=
2023-02-10,99.5649,99.78,78016FZW7=
2023-02-13,99.6423,99.8575,78016FZW7=
2023-02-14,99.2865,99.5007,78016FZW7=
2023-02-15,99.1219,99.3356,78016FZW7=
2023-02-16,98.9671,99.18,78016FZW7=
2023-02-17,99.1611,99.3744,78016FZW7=
2023-02-20,98.9774,99.1902,78016FZW7=
2023-02-21,98.7389,98.951,78016FZW7=
2023-02-22,98.7729,98.985,78016FZW7=
2023-02-23,98.6927,98.9042,78016FZW7=
2023-02-24,98.2312,98.4412,78016FZW7=
2023-02-27,98.4938,98.7044,78016FZW7=
2023-02-28,98.4583,98.6687,78016FZW7=
2023-03-01,97.9188,98.1278,78016FZW7=
2023-03-02,97.8289,98.0373,78016FZW7=
2023-03-03,97.7904,97.9986,78016FZW7=
2023-03-06,98.2619,98.4712,78016FZW7=
2023-03-07,97.9603,98.1687,78016FZW7=
2023-03-08,97.8825,98.0906,78016FZW7=
2023-03-09,98.412,98.6211,78016FZW7=
2023-03-10,98.9079,99.1182,78016FZW7=
2023-03-13,99.4155,99.6269,78016FZW7=
2023-03-14,98.6957,98.9052,78016FZW7=
2023-03-15,99.2432,99.454,78016FZW7=
2023-03-16,98.593,98.8018,78016FZW7=
2023-03-17,98.719,98.9281,78016FZW7=
2023-03-20,99.0416,99.2513,78016FZW7=
2023-03-21,98.8359,99.045,78016FZW7=
2023-03-22,100.4159,100.6289,78016FZW7=
2023-03-23,100.9425,101.1565,78016FZW7=
2023-03-24,100.5906,100.8036,78016FZW7=
2023-03-27,99.8092,100.0201,78016FZW7=
2023-03-28,99.5343,99.7444,78016FZW7=
2023-03-29,99.4384,99.6483,78016FZW7=
2023-03-30,99.5536,99.7634,78016FZW7=
